Time 1-10.0.0.3-10.0.0.2 Aggregate-Flow
0.000000 0.006741 0.006741
1.000000 0.003323 0.003323
2.000000 0.001859 0.001859
3.000000 0.003609 0.003609
4.000000 0.002066 0.002066
5.000000 0.002990 0.002990
6.000000 0.002657 0.002657
7.000000 0.003853 0.003853
8.000000 0.002692 0.002692
9.000000 0.001537 0.001537
10.000000 0.002137 0.002137
11.000000 0.003898 0.003898
12.000000 0.002287 0.002287
13.000000 0.003054 0.003054
14.000000 0.002390 0.002390
15.000000 0.003694 0.003694
16.000000 0.002626 0.002626
17.000000 0.002301 0.002301
18.000000 0.002192 0.002192
19.000000 0.002447 0.002447
20.000000 0.003742 0.003742
21.000000 0.002552 0.002552
22.000000 0.002533 0.002533
23.000000 0.002125 0.002125
24.000000 0.002604 0.002604
25.000000 0.003796 0.003796
26.000000 0.002092 0.002092
27.000000 0.002158 0.002158
28.000000 0.004388 0.004388
29.000000 0.002821 0.002821
30.000000 0.002785 0.002785
31.000000 0.002820 0.002820
32.000000 0.002347 0.002347
33.000000 0.004057 0.004057
34.000000 0.002785 0.002785
35.000000 0.002642 0.002642
36.000000 0.003597 0.003597
37.000000 0.004196 0.004196
38.000000 0.002298 0.002298
39.000000 0.001847 0.001847
40.000000 0.002712 0.002712
41.000000 0.002357 0.002357
42.000000 0.003352 0.003352
43.000000 0.002802 0.002802
44.000000 0.001963 0.001963
45.000000 0.002021 0.002021
46.000000 0.001837 0.001837
47.000000 0.002164 0.002164
48.000000 0.002888 0.002888
49.000000 0.007735 0.007735
50.000000 0.002365 0.002365
51.000000 0.001391 0.001391
52.000000 0.004359 0.004359
53.000000 0.003301 0.003301
54.000000 0.001898 0.001898
55.000000 0.005552 0.005552
56.000000 0.002702 0.002702
57.000000 0.001657 0.001657
58.000000 0.003311 0.003311
59.000000 0.002870 0.002870
60.000000 0.001882 0.001882
61.000000 0.003213 0.003213
62.000000 0.003045 0.003045
63.000000 0.002596 0.002596
64.000000 0.002817 0.002817
65.000000 0.002280 0.002280
66.000000 0.002691 0.002691
67.000000 0.002735 0.002735
68.000000 0.003131 0.003131
69.000000 0.001844 0.001844
70.000000 0.002260 0.002260
71.000000 0.002558 0.002558
72.000000 0.003644 0.003644
73.000000 0.004186 0.004186
74.000000 0.001986 0.001986
75.000000 0.003537 0.003537
76.000000 0.003281 0.003281
77.000000 0.002067 0.002067
78.000000 0.001989 0.001989
79.000000 0.004503 0.004503
80.000000 0.002468 0.002468
81.000000 0.002176 0.002176
82.000000 0.003273 0.003273
83.000000 0.002420 0.002420
84.000000 0.003971 0.003971
85.000000 0.003191 0.003191
86.000000 0.002504 0.002504
87.000000 0.002110 0.002110
88.000000 0.004291 0.004291
89.000000 0.001723 0.001723
90.000000 0.002790 0.002790
91.000000 0.002716 0.002716
92.000000 0.001883 0.001883
93.000000 0.002425 0.002425
94.000000 0.004091 0.004091
95.000000 0.002414 0.002414
96.000000 0.002010 0.002010
97.000000 0.002708 0.002708
98.000000 0.002104 0.002104
99.000000 0.002914 0.002914
100.000000 0.002347 0.002347
101.000000 0.002210 0.002210
