Interval	Avg	Std	CI=0.95	Min	Median	Max
    0 --     1	1505.920	60.784	75.474	1414.400	1497.600	1601.600
    1 --     2	1666.080	132.436	164.441	1435.200	1716.000	1809.600
    2 --     3	1688.960	117.221	145.548	1497.600	1705.600	1851.200
    3 --     4	1541.280	183.630	228.007	1404.000	1466.400	1903.200
    4 --     5	1449.760	128.489	159.541	1300.000	1404.000	1612.000
    5 --     6	1601.600	146.193	181.523	1404.000	1612.000	1840.800
    6 --     7	1668.160	215.217	267.227	1331.200	1653.600	1913.600
    7 --     8	1547.520	160.362	199.116	1289.600	1539.200	1788.800
    8 --     9	1612.000	210.378	261.219	1206.400	1674.400	1788.800
    9 --    10	1612.000	53.839	66.851	1528.800	1632.800	1664.000
   10 --    11	1541.280	61.492	76.352	1445.600	1539.200	1612.000
   11 --    12	1591.200	241.495	299.856	1289.600	1580.800	1934.400
   12 --    13	1622.400	135.918	168.765	1466.400	1601.600	1872.000
   13 --    14	1653.600	127.033	157.733	1435.200	1716.000	1788.800
   14 --    15	1587.040	171.345	212.752	1404.000	1487.200	1809.600
   15 --    16	1587.040	73.715	91.530	1476.800	1591.200	1684.800
   16 --    17	1520.480	89.802	111.504	1424.800	1476.800	1684.800
   17 --    18	1578.720	144.915	179.936	1300.000	1643.200	1716.000
   18 --    19	1614.080	125.215	155.475	1456.000	1601.600	1830.400
   19 --    20	1713.920	167.875	208.445	1580.800	1664.000	2038.400
   20 --    21	1620.320	142.658	177.134	1435.200	1684.800	1788.800
   21 --    22	1678.560	146.872	182.366	1445.600	1653.600	1851.200
   22 --    23	1597.440	128.826	159.958	1372.800	1612.000	1757.600
   23 --    24	1574.560	198.158	246.045	1300.000	1539.200	1872.000
   24 --    25	1649.440	133.607	165.895	1456.000	1695.200	1840.800
   25 --    26	1716.000	69.610	86.432	1622.400	1705.600	1809.600
   26 --    27	1566.240	192.959	239.590	1362.400	1487.200	1913.600
   27 --    28	1634.880	133.898	166.256	1424.800	1653.600	1840.800
   28 --    29	1487.200	211.097	262.111	1185.600	1622.400	1684.800
   29 --    30	1632.800	142.142	176.492	1435.200	1674.400	1851.200
   30 --    31	1651.520	125.042	155.261	1497.600	1632.800	1872.000
   31 --    32	1566.240	118.140	146.690	1393.600	1580.800	1736.800
   32 --    33	1566.240	169.695	210.705	1362.400	1487.200	1778.400
   33 --    34	1686.880	301.521	374.388	1362.400	1570.400	2246.400
   34 --    35	1526.720	155.430	192.992	1362.400	1445.600	1757.600
   35 --    36	1553.760	169.313	210.229	1300.000	1664.000	1726.400
   36 --    37	1501.760	178.153	221.206	1196.000	1612.000	1664.000
   37 --    38	1647.360	133.445	165.693	1497.600	1591.200	1861.600
   38 --    39	1612.000	228.895	284.210	1268.800	1684.800	1944.800
   39 --    40	1618.240	202.049	250.877	1352.000	1549.600	1965.600
   40 --    41	1578.720	154.453	191.779	1341.600	1622.400	1799.200
   41 --    42	1676.480	77.380	96.081	1580.800	1684.800	1809.600
   42 --    43	1501.760	111.547	138.504	1320.800	1487.200	1643.200
   43 --    44	1497.600	106.872	132.700	1300.000	1528.800	1612.000
   44 --    45	1688.960	156.568	194.404	1445.600	1799.200	1830.400
   45 --    46	1645.280	80.397	99.826	1518.400	1643.200	1757.600
   46 --    47	1699.360	169.313	210.229	1508.000	1601.600	1955.200
   47 --    48	1680.640	145.838	181.081	1497.600	1695.200	1924.000
   48 --    49	1597.440	99.667	123.752	1435.200	1653.600	1695.200
   49 --    50	1618.240	93.623	116.248	1508.000	1643.200	1768.000
   50 --    51	1770.080	88.589	109.998	1643.200	1768.000	1903.200
   51 --    52	1582.880	187.708	233.070	1248.000	1664.000	1778.400
   52 --    53	1647.360	173.727	215.710	1435.200	1591.200	1944.800
   53 --    54	1784.640	78.821	97.869	1653.600	1799.200	1892.800
   54 --    55	1664.000	80.019	99.357	1549.600	1695.200	1778.400
   55 --    56	1672.320	167.230	207.643	1476.800	1747.200	1892.800
   56 --    57	1724.320	94.268	117.049	1580.800	1757.600	1840.800
   57 --    58	1759.680	121.711	151.124	1591.200	1716.000	1924.000
   58 --    59	1676.480	138.191	171.587	1497.600	1643.200	1851.200
   59 --    60	1680.640	121.212	150.505	1549.600	1664.000	1882.400
   60 --    61	1593.280	166.062	206.193	1352.000	1653.600	1768.000
   61 --    62	1628.640	176.077	218.628	1383.200	1612.000	1934.400
   62 --    63	1734.720	155.012	192.473	1497.600	1695.200	1934.400
   63 --    64	1641.120	232.123	288.219	1476.800	1549.600	2100.800
   64 --    65	1740.960	266.662	331.105	1518.400	1643.200	2246.400
   65 --    66	1722.240	207.438	257.568	1404.000	1664.000	1965.600
   66 --    67	1634.880	139.593	173.327	1456.000	1632.800	1882.400
   67 --    68	1543.360	233.442	289.857	1196.000	1528.800	1924.000
   68 --    69	1668.160	97.694	121.303	1497.600	1716.000	1757.600
   69 --    70	1797.120	99.188	123.158	1632.800	1820.000	1913.600
   70 --    71	1724.320	168.262	208.924	1476.800	1664.000	1913.600
   71 --    72	1632.800	199.181	247.316	1279.200	1747.200	1820.000
   72 --    73	1693.120	152.480	189.329	1435.200	1726.400	1903.200
   73 --    74	1661.920	59.707	74.136	1591.200	1664.000	1768.000
   74 --    75	1659.840	211.670	262.823	1445.600	1560.000	1944.800
   75 --    76	1622.400	62.746	77.909	1508.000	1664.000	1674.400
   76 --    77	1711.840	222.531	276.309	1393.600	1736.800	2028.000
   77 --    78	1655.680	244.292	303.328	1414.400	1580.800	2080.000
   78 --    79	1716.000	105.035	130.418	1560.000	1736.800	1861.600
   79 --    80	1720.160	142.991	177.547	1570.400	1643.200	1903.200
   80 --    81	1699.360	130.328	161.824	1528.800	1684.800	1924.000
   81 --    82	1755.520	216.500	268.820	1435.200	1757.600	2059.200
   82 --    83	1716.000	106.670	132.448	1601.600	1653.600	1882.400
   83 --    84	1743.040	136.806	169.868	1508.000	1757.600	1913.600
   84 --    85	1716.000	194.009	240.895	1456.000	1684.800	2059.200
   85 --    86	1728.480	215.097	267.078	1528.800	1664.000	2111.200
   86 --    87	1718.080	82.521	102.464	1643.200	1695.200	1872.000
   87 --    88	1609.920	218.291	271.044	1352.000	1684.800	1924.000
   88 --    89	1626.560	174.596	216.790	1341.600	1643.200	1882.400
   89 --    90	1651.520	135.504	168.250	1435.200	1653.600	1861.600
