Interval	Avg	Std	CI=0.95	Min	Median	Max
    0 --     1	1.816	1.352	1.419	0.000	2.235	3.250
    1 --     2	6.181	2.735	2.870	2.500	6.042	9.333
    2 --     3	10.140	2.596	2.725	5.000	11.213	12.888
    3 --     4	12.559	1.841	1.932	9.000	13.068	14.865
    4 --     5	12.417	1.205	1.265	10.777	12.358	14.784
    5 --     6	12.217	2.043	2.144	8.915	12.270	15.107
    6 --     7	13.565	3.015	3.164	8.069	14.759	17.038
    7 --     8	15.722	3.481	3.653	8.382	17.563	18.174
    8 --     9	15.563	3.708	3.891	7.785	17.250	18.379
    9 --    10	14.825	3.295	3.458	8.055	16.469	17.460
   10 --    11	15.238	3.265	3.427	9.813	16.199	20.079
   11 --    12	15.174	2.925	3.069	11.074	15.128	19.794
   12 --    13	14.432	3.022	3.172	9.832	14.133	18.570
   13 --    14	14.892	2.978	3.125	11.237	13.903	20.514
   14 --    15	14.625	2.981	3.129	11.937	13.761	20.548
   15 --    16	15.002	2.686	2.819	12.374	14.213	20.446
   16 --    17	14.963	3.271	3.433	11.755	14.235	20.787
   17 --    18	14.559	3.176	3.333	10.863	14.028	19.650
   18 --    19	14.644	3.312	3.476	9.962	14.877	19.005
   19 --    20	15.441	4.157	4.362	8.615	16.450	20.779
   20 --    21	15.320	5.031	5.280	7.777	15.195	22.073
   21 --    22	15.063	5.162	5.417	6.449	15.223	21.017
   22 --    23	15.169	5.166	5.421	5.918	14.965	21.016
   23 --    24	15.589	6.017	6.315	4.877	15.596	23.727
   24 --    25	16.005	6.729	7.062	5.708	15.338	27.580
   25 --    26	15.686	6.940	7.283	5.622	14.163	27.721
   26 --    27	15.702	6.506	6.827	6.128	15.320	26.760
   27 --    28	15.139	5.986	6.282	7.458	14.306	25.672
   28 --    29	14.578	6.199	6.505	6.526	13.173	25.555
   29 --    30	14.527	6.752	7.086	5.287	12.913	26.106
   30 --    31	14.575	6.745	7.078	5.595	13.642	25.730
   31 --    32	13.909	6.710	7.042	5.526	12.508	24.877
   32 --    33	13.374	7.584	7.958	3.600	11.453	23.931
   33 --    34	13.145	7.681	8.061	4.324	10.472	23.620
   34 --    35	13.583	8.927	9.368	5.293	9.659	28.741
   35 --    36	13.474	9.290	9.749	4.544	8.993	29.406
   36 --    37	14.493	10.235	10.741	5.327	9.664	33.058
   37 --    38	16.038	10.807	11.341	5.128	12.317	35.019
   38 --    39	15.724	10.784	11.317	4.044	12.141	34.827
   39 --    40	16.069	9.776	10.259	5.651	12.833	33.913
   40 --    41	15.663	9.383	9.847	4.678	13.078	32.720
   41 --    42	15.272	9.611	10.086	3.823	12.675	31.904
