Interval	Avg	Std	CI=0.95	Min	Median	Max
    0 --     1	0.002	0.000	0.001	0.002	0.002	0.003
    1 --     2	0.003	0.001	0.001	0.003	0.003	0.004
    2 --     3	0.004	0.001	0.001	0.003	0.003	0.005
    3 --     4	0.003	0.000	0.001	0.002	0.003	0.003
    4 --     5	0.004	0.000	0.000	0.003	0.004	0.004
    5 --     6	0.004	0.001	0.001	0.003	0.004	0.006
    6 --     7	0.003	0.001	0.001	0.002	0.003	0.004
    7 --     8	0.004	0.001	0.001	0.003	0.004	0.005
    8 --     9	0.004	0.001	0.001	0.003	0.003	0.005
    9 --    10	0.003	0.001	0.001	0.003	0.004	0.004
   10 --    11	0.004	0.001	0.001	0.003	0.004	0.005
   11 --    12	0.004	0.001	0.001	0.003	0.004	0.005
   12 --    13	0.004	0.000	0.000	0.003	0.004	0.004
   13 --    14	0.004	0.001	0.001	0.003	0.004	0.005
   14 --    15	0.004	0.001	0.001	0.003	0.004	0.005
   15 --    16	0.004	0.001	0.001	0.003	0.003	0.004
   16 --    17	0.003	0.000	0.000	0.003	0.003	0.004
   17 --    18	0.004	0.000	0.000	0.003	0.004	0.004
   18 --    19	0.004	0.000	0.000	0.003	0.004	0.004
   19 --    20	0.004	0.000	0.000	0.003	0.004	0.004
   20 --    21	0.004	0.000	0.001	0.003	0.004	0.004
   21 --    22	0.004	0.001	0.001	0.003	0.003	0.004
   22 --    23	0.003	0.000	0.000	0.003	0.003	0.004
   23 --    24	0.004	0.000	0.000	0.003	0.004	0.004
   24 --    25	0.004	0.001	0.001	0.003	0.004	0.006
   25 --    26	0.003	0.000	0.001	0.002	0.003	0.004
   26 --    27	0.003	0.000	0.000	0.003	0.003	0.004
   27 --    28	0.004	0.000	0.000	0.003	0.004	0.004
   28 --    29	0.004	0.000	0.000	0.003	0.004	0.004
   29 --    30	0.004	0.000	0.001	0.003	0.004	0.004
   30 --    31	0.004	0.000	0.000	0.003	0.004	0.004
   31 --    32	0.004	0.001	0.001	0.003	0.004	0.005
