Time 1-10.0.0.3-10.0.0.2 Aggregate-Flow
0.000000 0.001835 0.001835
1.000000 0.002347 0.002347
2.000000 0.003123 0.003123
3.000000 0.003505 0.003505
4.000000 0.003759 0.003759
5.000000 0.002495 0.002495
6.000000 0.002358 0.002358
7.000000 0.003961 0.003961
8.000000 0.004923 0.004923
9.000000 0.003163 0.003163
10.000000 0.002185 0.002185
11.000000 0.004901 0.004901
12.000000 0.002258 0.002258
13.000000 0.008880 0.008880
14.000000 0.005012 0.005012
15.000000 0.002354 0.002354
16.000000 0.001962 0.001962
17.000000 0.002435 0.002435
18.000000 0.001607 0.001607
19.000000 0.002846 0.002846
20.000000 0.002816 0.002816
21.000000 0.002123 0.002123
22.000000 0.002027 0.002027
23.000000 0.001687 0.001687
24.000000 0.002064 0.002064
25.000000 0.002810 0.002810
26.000000 0.001915 0.001915
27.000000 0.002711 0.002711
28.000000 0.002215 0.002215
29.000000 0.001769 0.001769
30.000000 0.002369 0.002369
31.000000 0.002184 0.002184
32.000000 0.002290 0.002290
33.000000 0.002250 0.002250
34.000000 0.001856 0.001856
35.000000 0.002392 0.002392
36.000000 0.002713 0.002713
37.000000 0.002183 0.002183
38.000000 0.001705 0.001705
39.000000 0.002497 0.002497
40.000000 0.004193 0.004193
41.000000 0.002175 0.002175
42.000000 0.001934 0.001934
43.000000 0.005912 0.005912
44.000000 0.003123 0.003123
45.000000 0.002413 0.002413
46.000000 0.002552 0.002552
47.000000 0.001807 0.001807
48.000000 0.003094 0.003094
49.000000 0.002887 0.002887
50.000000 0.001860 0.001860
51.000000 0.002451 0.002451
52.000000 0.002569 0.002569
53.000000 0.001949 0.001949
54.000000 0.003226 0.003226
55.000000 0.002449 0.002449
56.000000 0.002145 0.002145
57.000000 0.002945 0.002945
58.000000 0.002595 0.002595
59.000000 0.002223 0.002223
60.000000 0.002294 0.002294
61.000000 0.002987 0.002987
62.000000 0.002431 0.002431
63.000000 0.002874 0.002874
64.000000 0.002469 0.002469
65.000000 0.001772 0.001772
66.000000 0.002772 0.002772
67.000000 0.002485 0.002485
68.000000 0.002344 0.002344
69.000000 0.003283 0.003283
70.000000 0.001921 0.001921
71.000000 0.002395 0.002395
72.000000 0.002274 0.002274
73.000000 0.002467 0.002467
74.000000 0.002886 0.002886
75.000000 0.002712 0.002712
76.000000 0.002509 0.002509
77.000000 0.003537 0.003537
78.000000 0.002265 0.002265
79.000000 0.002595 0.002595
80.000000 0.002553 0.002553
81.000000 0.002096 0.002096
82.000000 0.002166 0.002166
83.000000 0.001821 0.001821
84.000000 0.002084 0.002084
85.000000 0.002775 0.002775
86.000000 0.003858 0.003858
87.000000 0.001527 0.001527
88.000000 0.002036 0.002036
89.000000 0.002014 0.002014
90.000000 0.002304 0.002304
91.000000 0.002791 0.002791
92.000000 0.003948 0.003948
93.000000 0.002290 0.002290
94.000000 0.001727 0.001727
95.000000 0.002792 0.002792
96.000000 0.002458 0.002458
97.000000 0.002681 0.002681
98.000000 0.003743 0.003743
99.000000 0.002488 0.002488
100.000000 0.002436 0.002436
101.000000 0.002726 0.002726
102.000000 0.001583 0.001583
103.000000 0.004195 0.004195
104.000000 0.002110 0.002110
105.000000 0.003174 0.003174
106.000000 0.001906 0.001906
107.000000 0.002260 0.002260
108.000000 0.002011 0.002011
109.000000 0.002344 0.002344
110.000000 0.002689 0.002689
111.000000 0.001974 0.001974
112.000000 0.002070 0.002070
113.000000 0.003671 0.003671
114.000000 0.002124 0.002124
115.000000 0.001951 0.001951
116.000000 0.002541 0.002541
117.000000 0.002491 0.002491
118.000000 0.002142 0.002142
119.000000 0.003624 0.003624
120.000000 0.002580 0.002580
121.000000 0.002697 0.002697
122.000000 0.002627 0.002627
123.000000 0.002197 0.002197
124.000000 0.001977 0.001977
125.000000 0.002763 0.002763
126.000000 0.001917 0.001917
127.000000 0.002256 0.002256
128.000000 0.002143 0.002143
129.000000 0.002263 0.002263
130.000000 0.002228 0.002228
131.000000 0.003201 0.003201
132.000000 0.002438 0.002438
133.000000 0.003366 0.003366
134.000000 0.002695 0.002695
135.000000 0.002072 0.002072
136.000000 0.002059 0.002059
137.000000 0.002063 0.002063
138.000000 0.001863 0.001863
139.000000 0.002721 0.002721
140.000000 0.002000 0.002000
141.000000 0.002144 0.002144
142.000000 0.003493 0.003493
143.000000 0.005317 0.005317
144.000000 0.002617 0.002617
145.000000 0.002228 0.002228
146.000000 0.003371 0.003371
147.000000 0.003187 0.003187
148.000000 0.002807 0.002807
149.000000 0.001912 0.001912
150.000000 0.002462 0.002462
151.000000 0.002011 0.002011
152.000000 0.002423 0.002423
153.000000 0.002656 0.002656
154.000000 0.001961 0.001961
155.000000 0.003097 0.003097
156.000000 0.001995 0.001995
157.000000 0.002642 0.002642
158.000000 0.001929 0.001929
159.000000 0.002063 0.002063
160.000000 0.003488 0.003488
