Time 1-10.0.0.3-10.0.0.2 Aggregate-Flow
0.000000 0.002686 0.002686
1.000000 0.003365 0.003365
2.000000 0.004784 0.004784
3.000000 0.003883 0.003883
4.000000 0.004705 0.004705
5.000000 0.003578 0.003578
6.000000 0.003259 0.003259
7.000000 0.004853 0.004853
8.000000 0.004148 0.004148
9.000000 0.003636 0.003636
10.000000 0.003403 0.003403
11.000000 0.005490 0.005490
12.000000 0.003600 0.003600
13.000000 0.004741 0.004741
14.000000 0.004294 0.004294
15.000000 0.003826 0.003826
16.000000 0.003068 0.003068
17.000000 0.003750 0.003750
18.000000 0.002539 0.002539
19.000000 0.003562 0.003562
20.000000 0.003913 0.003913
21.000000 0.003349 0.003349
22.000000 0.003160 0.003160
23.000000 0.002958 0.002958
24.000000 0.002901 0.002901
25.000000 0.003660 0.003660
26.000000 0.003047 0.003047
27.000000 0.003936 0.003936
28.000000 0.003188 0.003188
29.000000 0.002987 0.002987
30.000000 0.003528 0.003528
31.000000 0.003678 0.003678
32.000000 0.003810 0.003810
33.000000 0.003372 0.003372
34.000000 0.003211 0.003211
35.000000 0.003623 0.003623
36.000000 0.004004 0.004004
37.000000 0.003522 0.003522
38.000000 0.002462 0.002462
39.000000 0.004175 0.004175
40.000000 0.004277 0.004277
41.000000 0.003056 0.003056
42.000000 0.003009 0.003009
43.000000 0.005431 0.005431
44.000000 0.004022 0.004022
45.000000 0.003837 0.003837
46.000000 0.003350 0.003350
47.000000 0.003085 0.003085
48.000000 0.004202 0.004202
49.000000 0.003538 0.003538
50.000000 0.003137 0.003137
51.000000 0.003502 0.003502
52.000000 0.004102 0.004102
53.000000 0.003069 0.003069
54.000000 0.003973 0.003973
55.000000 0.002880 0.002880
56.000000 0.003371 0.003371
57.000000 0.003268 0.003268
58.000000 0.003455 0.003455
59.000000 0.003559 0.003559
60.000000 0.003273 0.003273
61.000000 0.004262 0.004262
62.000000 0.003420 0.003420
63.000000 0.003838 0.003838
64.000000 0.003710 0.003710
65.000000 0.002665 0.002665
66.000000 0.003359 0.003359
67.000000 0.003382 0.003382
68.000000 0.003391 0.003391
69.000000 0.003996 0.003996
70.000000 0.002510 0.002510
71.000000 0.003776 0.003776
72.000000 0.003517 0.003517
73.000000 0.003947 0.003947
74.000000 0.004687 0.004687
75.000000 0.003785 0.003785
76.000000 0.003745 0.003745
77.000000 0.004422 0.004422
78.000000 0.003101 0.003101
79.000000 0.003421 0.003421
80.000000 0.003286 0.003286
81.000000 0.003350 0.003350
82.000000 0.003284 0.003284
83.000000 0.002972 0.002972
84.000000 0.003225 0.003225
85.000000 0.004169 0.004169
86.000000 0.004776 0.004776
87.000000 0.002586 0.002586
88.000000 0.003320 0.003320
89.000000 0.003112 0.003112
90.000000 0.003663 0.003663
91.000000 0.004136 0.004136
92.000000 0.004743 0.004743
93.000000 0.003765 0.003765
94.000000 0.002861 0.002861
95.000000 0.003950 0.003950
96.000000 0.003999 0.003999
97.000000 0.003680 0.003680
98.000000 0.004619 0.004619
99.000000 0.003131 0.003131
100.000000 0.003416 0.003416
101.000000 0.004483 0.004483
102.000000 0.002646 0.002646
103.000000 0.003175 0.003175
104.000000 0.003767 0.003767
105.000000 0.004674 0.004674
106.000000 0.003119 0.003119
107.000000 0.003531 0.003531
108.000000 0.003110 0.003110
109.000000 0.003309 0.003309
110.000000 0.003968 0.003968
111.000000 0.003289 0.003289
112.000000 0.003594 0.003594
113.000000 0.003865 0.003865
114.000000 0.003753 0.003753
115.000000 0.003321 0.003321
116.000000 0.003711 0.003711
117.000000 0.003891 0.003891
118.000000 0.003212 0.003212
119.000000 0.003592 0.003592
120.000000 0.003269 0.003269
121.000000 0.003477 0.003477
122.000000 0.004393 0.004393
123.000000 0.003550 0.003550
124.000000 0.003208 0.003208
125.000000 0.004341 0.004341
126.000000 0.003060 0.003060
127.000000 0.003651 0.003651
128.000000 0.003485 0.003485
129.000000 0.002899 0.002899
130.000000 0.003020 0.003020
131.000000 0.004370 0.004370
132.000000 0.002944 0.002944
133.000000 0.004534 0.004534
134.000000 0.003395 0.003395
135.000000 0.003270 0.003270
136.000000 0.003331 0.003331
137.000000 0.003056 0.003056
138.000000 0.002806 0.002806
139.000000 0.004110 0.004110
140.000000 0.003285 0.003285
141.000000 0.003275 0.003275
142.000000 0.004861 0.004861
143.000000 0.004823 0.004823
144.000000 0.003620 0.003620
145.000000 0.003492 0.003492
146.000000 0.004529 0.004529
147.000000 0.003839 0.003839
148.000000 0.003895 0.003895
149.000000 0.002976 0.002976
150.000000 0.003961 0.003961
151.000000 0.003186 0.003186
152.000000 0.003510 0.003510
153.000000 0.003865 0.003865
154.000000 0.002962 0.002962
155.000000 0.003938 0.003938
156.000000 0.003420 0.003420
157.000000 0.004160 0.004160
158.000000 0.002696 0.002696
159.000000 0.003222 0.003222
160.000000 0.003807 0.003807
161.000000 0.004248 0.004248
162.000000 0.003611 0.003611
163.000000 0.003514 0.003514
164.000000 0.003427 0.003427
165.000000 0.002952 0.002952
166.000000 0.003095 0.003095
167.000000 0.003107 0.003107
168.000000 0.004039 0.004039
169.000000 0.004381 0.004381
170.000000 0.003744 0.003744
171.000000 0.003522 0.003522
172.000000 0.003642 0.003642
173.000000 0.003112 0.003112
174.000000 0.003510 0.003510
175.000000 0.003624 0.003624
176.000000 0.003063 0.003063
177.000000 0.003962 0.003962
178.000000 0.004274 0.004274
179.000000 0.003421 0.003421
180.000000 0.006092 0.006092
181.000000 0.003362 0.003362
182.000000 0.003464 0.003464
183.000000 0.004283 0.004283
184.000000 0.002944 0.002944
185.000000 0.003628 0.003628
186.000000 0.003706 0.003706
187.000000 0.003319 0.003319
188.000000 0.004590 0.004590
189.000000 0.004208 0.004208
190.000000 0.003036 0.003036
191.000000 0.003417 0.003417
192.000000 0.004144 0.004144
193.000000 0.003809 0.003809
194.000000 0.004061 0.004061
195.000000 0.003027 0.003027
196.000000 0.003066 0.003066
197.000000 0.003645 0.003645
198.000000 0.004474 0.004474
199.000000 0.004305 0.004305
200.000000 0.004348 0.004348
201.000000 0.003256 0.003256
202.000000 0.003111 0.003111
203.000000 0.004598 0.004598
204.000000 0.003316 0.003316
205.000000 0.003813 0.003813
206.000000 0.004936 0.004936
207.000000 0.003201 0.003201
208.000000 0.004048 0.004048
209.000000 0.005035 0.005035
210.000000 0.003084 0.003084
211.000000 0.004397 0.004397
212.000000 0.005423 0.005423
213.000000 0.003994 0.003994
214.000000 0.003400 0.003400
215.000000 0.003424 0.003424
216.000000 0.002849 0.002849
217.000000 0.003751 0.003751
218.000000 0.003071 0.003071
219.000000 0.003946 0.003946
220.000000 0.003086 0.003086
221.000000 0.003460 0.003460
222.000000 0.003381 0.003381
223.000000 0.003469 0.003469
224.000000 0.002737 0.002737
225.000000 0.003220 0.003220
226.000000 0.003133 0.003133
227.000000 0.003884 0.003884
228.000000 0.002692 0.002692
229.000000 0.002976 0.002976
230.000000 0.003999 0.003999
231.000000 0.004042 0.004042
232.000000 0.002613 0.002613
233.000000 0.003078 0.003078
234.000000 0.003424 0.003424
235.000000 0.003670 0.003670
236.000000 0.004200 0.004200
237.000000 0.002828 0.002828
238.000000 0.004055 0.004055
239.000000 0.003817 0.003817
240.000000 0.003510 0.003510
241.000000 0.003502 0.003502
242.000000 0.002923 0.002923
243.000000 0.003001 0.003001
244.000000 0.003694 0.003694
245.000000 0.002946 0.002946
246.000000 0.002866 0.002866
247.000000 0.002581 0.002581
248.000000 0.002940 0.002940
249.000000 0.003150 0.003150
250.000000 0.003429 0.003429
251.000000 0.004110 0.004110
252.000000 0.002980 0.002980
253.000000 0.003268 0.003268
254.000000 0.004395 0.004395
255.000000 0.003072 0.003072
256.000000 0.003148 0.003148
257.000000 0.003662 0.003662
258.000000 0.002805 0.002805
259.000000 0.003748 0.003748
260.000000 0.003698 0.003698
261.000000 0.005358 0.005358
262.000000 0.003484 0.003484
263.000000 0.003057 0.003057
264.000000 0.003307 0.003307
265.000000 0.003227 0.003227
266.000000 0.003129 0.003129
267.000000 0.003640 0.003640
268.000000 0.003064 0.003064
269.000000 0.004535 0.004535
270.000000 0.003057 0.003057
271.000000 0.003965 0.003965
272.000000 0.003520 0.003520
273.000000 0.003758 0.003758
274.000000 0.003669 0.003669
275.000000 0.004267 0.004267
276.000000 0.003878 0.003878
277.000000 0.002936 0.002936
278.000000 0.002779 0.002779
279.000000 0.004258 0.004258
280.000000 0.004458 0.004458
281.000000 0.005355 0.005355
282.000000 0.003131 0.003131
283.000000 0.003080 0.003080
284.000000 0.002954 0.002954
285.000000 0.003599 0.003599
286.000000 0.002759 0.002759
287.000000 0.003058 0.003058
288.000000 0.003076 0.003076
289.000000 0.003778 0.003778
290.000000 0.002925 0.002925
291.000000 0.003738 0.003738
292.000000 0.002932 0.002932
293.000000 0.004238 0.004238
294.000000 0.003240 0.003240
295.000000 0.003050 0.003050
296.000000 0.003319 0.003319
297.000000 0.003368 0.003368
298.000000 0.004445 0.004445
299.000000 0.004101 0.004101
300.000000 0.003357 0.003357
301.000000 0.004213 0.004213
302.000000 0.003022 0.003022
303.000000 0.004675 0.004675
304.000000 0.004116 0.004116
305.000000 0.003027 0.003027
306.000000 0.003371 0.003371
307.000000 0.004282 0.004282
308.000000 0.003944 0.003944
309.000000 0.003856 0.003856
310.000000 0.004955 0.004955
311.000000 0.005461 0.005461
312.000000 0.002916 0.002916
313.000000 0.003837 0.003837
314.000000 0.003184 0.003184
315.000000 0.003236 0.003236
316.000000 0.004250 0.004250
317.000000 0.002273 0.002273
318.000000 0.003356 0.003356
319.000000 0.003585 0.003585
320.000000 0.002389 0.002389
321.000000 0.003495 0.003495
322.000000 0.003494 0.003494
323.000000 0.002937 0.002937
324.000000 0.003425 0.003425
325.000000 0.002818 0.002818
326.000000 0.002910 0.002910
327.000000 0.003036 0.003036
328.000000 0.004143 0.004143
329.000000 0.002844 0.002844
330.000000 0.002884 0.002884
331.000000 0.003651 0.003651
332.000000 0.003009 0.003009
333.000000 0.003814 0.003814
334.000000 0.004550 0.004550
335.000000 0.003693 0.003693
336.000000 0.004888 0.004888
337.000000 0.003532 0.003532
338.000000 0.003921 0.003921
339.000000 0.004385 0.004385
340.000000 0.003098 0.003098
341.000000 0.004441 0.004441
342.000000 0.004071 0.004071
343.000000 0.003145 0.003145
344.000000 0.003993 0.003993
345.000000 0.002974 0.002974
346.000000 0.002564 0.002564
347.000000 0.003107 0.003107
348.000000 0.003886 0.003886
349.000000 0.003632 0.003632
350.000000 0.003665 0.003665
351.000000 0.004050 0.004050
352.000000 0.003311 0.003311
353.000000 0.002918 0.002918
354.000000 0.003343 0.003343
355.000000 0.003658 0.003658
356.000000 0.004080 0.004080
357.000000 0.003725 0.003725
358.000000 0.003401 0.003401
359.000000 0.004111 0.004111
360.000000 0.003817 0.003817
361.000000 0.003909 0.003909
362.000000 0.004243 0.004243
363.000000 0.003544 0.003544
364.000000 0.003745 0.003745
365.000000 0.003902 0.003902
366.000000 0.003673 0.003673
367.000000 0.004422 0.004422
368.000000 0.004225 0.004225
369.000000 0.003190 0.003190
370.000000 0.003580 0.003580
371.000000 0.003593 0.003593
372.000000 0.003458 0.003458
373.000000 0.002842 0.002842
374.000000 0.004259 0.004259
375.000000 0.002848 0.002848
376.000000 0.003762 0.003762
377.000000 0.004070 0.004070
378.000000 0.003161 0.003161
379.000000 0.003535 0.003535
380.000000 0.003168 0.003168
381.000000 0.003292 0.003292
382.000000 0.002904 0.002904
383.000000 0.003264 0.003264
384.000000 0.002794 0.002794
385.000000 0.004232 0.004232
386.000000 0.003751 0.003751
387.000000 0.003856 0.003856
388.000000 0.003264 0.003264
389.000000 0.003562 0.003562
390.000000 0.002956 0.002956
391.000000 0.003702 0.003702
392.000000 0.003544 0.003544
393.000000 0.003692 0.003692
394.000000 0.004193 0.004193
395.000000 0.002894 0.002894
396.000000 0.003230 0.003230
397.000000 0.003713 0.003713
398.000000 0.003374 0.003374
399.000000 0.004286 0.004286
400.000000 0.003741 0.003741
401.000000 0.004317 0.004317
402.000000 0.003169 0.003169
403.000000 0.004166 0.004166
404.000000 0.004184 0.004184
405.000000 0.004418 0.004418
406.000000 0.004516 0.004516
407.000000 0.004655 0.004655
408.000000 0.004824 0.004824
409.000000 0.003962 0.003962
410.000000 0.003548 0.003548
411.000000 0.003819 0.003819
412.000000 0.004435 0.004435
413.000000 0.002896 0.002896
414.000000 0.003656 0.003656
415.000000 0.004665 0.004665
416.000000 0.003579 0.003579
417.000000 0.003797 0.003797
418.000000 0.005447 0.005447
419.000000 0.003052 0.003052
420.000000 0.003627 0.003627
421.000000 0.005971 0.005971
422.000000 0.003361 0.003361
423.000000 0.002942 0.002942
424.000000 0.004189 0.004189
425.000000 0.005007 0.005007
426.000000 0.003359 0.003359
427.000000 0.004759 0.004759
428.000000 0.004785 0.004785
429.000000 0.002717 0.002717
430.000000 0.005577 0.005577
431.000000 0.004209 0.004209
432.000000 0.003280 0.003280
433.000000 0.004228 0.004228
434.000000 0.004696 0.004696
435.000000 0.002778 0.002778
436.000000 0.003005 0.003005
437.000000 0.004259 0.004259
438.000000 0.003566 0.003566
439.000000 0.003673 0.003673
440.000000 0.003012 0.003012
441.000000 0.003860 0.003860
442.000000 0.004190 0.004190
443.000000 0.005644 0.005644
444.000000 0.003746 0.003746
445.000000 0.003933 0.003933
446.000000 0.003655 0.003655
447.000000 0.003540 0.003540
448.000000 0.004882 0.004882
449.000000 0.003655 0.003655
450.000000 0.004349 0.004349
451.000000 0.004144 0.004144
452.000000 0.003813 0.003813
453.000000 0.004010 0.004010
454.000000 0.003579 0.003579
455.000000 0.003371 0.003371
456.000000 0.003358 0.003358
457.000000 0.003261 0.003261
458.000000 0.003420 0.003420
459.000000 0.003298 0.003298
460.000000 0.003750 0.003750
461.000000 0.003934 0.003934
462.000000 0.003209 0.003209
463.000000 0.003760 0.003760
464.000000 0.003171 0.003171
465.000000 0.004583 0.004583
466.000000 0.003144 0.003144
467.000000 0.002702 0.002702
468.000000 0.004052 0.004052
469.000000 0.002264 0.002264
470.000000 0.004287 0.004287
471.000000 0.003076 0.003076
472.000000 0.002912 0.002912
473.000000 0.004141 0.004141
474.000000 0.003204 0.003204
475.000000 0.004292 0.004292
476.000000 0.003185 0.003185
477.000000 0.003584 0.003584
478.000000 0.003619 0.003619
479.000000 0.003294 0.003294
480.000000 0.003530 0.003530
481.000000 0.003722 0.003722
482.000000 0.004244 0.004244
483.000000 0.003734 0.003734
484.000000 0.003579 0.003579
485.000000 0.004706 0.004706
486.000000 0.003471 0.003471
487.000000 0.003117 0.003117
488.000000 0.002917 0.002917
489.000000 0.003192 0.003192
490.000000 0.003313 0.003313
491.000000 0.004264 0.004264
492.000000 0.003141 0.003141
493.000000 0.003825 0.003825
494.000000 0.003542 0.003542
495.000000 0.004596 0.004596
496.000000 0.003554 0.003554
497.000000 0.003829 0.003829
498.000000 0.003310 0.003310
499.000000 0.003077 0.003077
500.000000 0.003373 0.003373
501.000000 0.002789 0.002789
502.000000 0.002723 0.002723
503.000000 0.003757 0.003757
504.000000 0.003800 0.003800
505.000000 0.002719 0.002719
506.000000 0.003564 0.003564
507.000000 0.003071 0.003071
508.000000 0.004393 0.004393
509.000000 0.004188 0.004188
510.000000 0.003193 0.003193
511.000000 0.003205 0.003205
512.000000 0.002917 0.002917
513.000000 0.003323 0.003323
514.000000 0.003426 0.003426
515.000000 0.003664 0.003664
516.000000 0.003002 0.003002
517.000000 0.003819 0.003819
518.000000 0.003672 0.003672
519.000000 0.003309 0.003309
520.000000 0.004151 0.004151
521.000000 0.003089 0.003089
522.000000 0.003687 0.003687
523.000000 0.003941 0.003941
524.000000 0.003938 0.003938
525.000000 0.002887 0.002887
526.000000 0.003779 0.003779
527.000000 0.003433 0.003433
528.000000 0.003598 0.003598
529.000000 0.003781 0.003781
530.000000 0.003622 0.003622
531.000000 0.003080 0.003080
532.000000 0.003964 0.003964
533.000000 0.004237 0.004237
534.000000 0.003116 0.003116
535.000000 0.003755 0.003755
536.000000 0.003641 0.003641
537.000000 0.003656 0.003656
538.000000 0.003615 0.003615
539.000000 0.003100 0.003100
540.000000 0.003814 0.003814
541.000000 0.004898 0.004898
542.000000 0.003516 0.003516
543.000000 0.003073 0.003073
544.000000 0.004169 0.004169
545.000000 0.004198 0.004198
546.000000 0.003167 0.003167
547.000000 0.003404 0.003404
548.000000 0.003299 0.003299
549.000000 0.003774 0.003774
550.000000 0.003788 0.003788
551.000000 0.003544 0.003544
552.000000 0.003910 0.003910
553.000000 0.003780 0.003780
554.000000 0.003890 0.003890
555.000000 0.003919 0.003919
556.000000 0.004054 0.004054
557.000000 0.002060 0.002060
558.000000 0.003933 0.003933
559.000000 0.003639 0.003639
560.000000 0.003285 0.003285
561.000000 0.003036 0.003036
562.000000 0.002921 0.002921
563.000000 0.003303 0.003303
564.000000 0.003488 0.003488
565.000000 0.003836 0.003836
566.000000 0.003617 0.003617
567.000000 0.003214 0.003214
568.000000 0.003547 0.003547
569.000000 0.002585 0.002585
570.000000 0.003195 0.003195
571.000000 0.003255 0.003255
572.000000 0.003563 0.003563
573.000000 0.003282 0.003282
574.000000 0.002637 0.002637
575.000000 0.003585 0.003585
576.000000 0.004748 0.004748
577.000000 0.003269 0.003269
578.000000 0.003523 0.003523
579.000000 0.003665 0.003665
580.000000 0.003501 0.003501
581.000000 0.003231 0.003231
582.000000 0.004582 0.004582
583.000000 0.003553 0.003553
584.000000 0.004394 0.004394
585.000000 0.002936 0.002936
586.000000 0.002877 0.002877
587.000000 0.003289 0.003289
588.000000 0.002499 0.002499
589.000000 0.002757 0.002757
590.000000 0.003320 0.003320
591.000000 0.003314 0.003314
592.000000 0.004082 0.004082
593.000000 0.003487 0.003487
594.000000 0.003303 0.003303
595.000000 0.003656 0.003656
596.000000 0.003430 0.003430
597.000000 0.003039 0.003039
598.000000 0.003053 0.003053
