Interval	Avg	Std	CI=0.95	Min	Median	Max
    0 --     1	0.003	0.001	0.001	0.002	0.003	0.004
    1 --     2	0.004	0.000	0.000	0.003	0.004	0.004
    2 --     3	0.004	0.001	0.001	0.003	0.004	0.005
    3 --     4	0.005	0.001	0.001	0.004	0.004	0.006
    4 --     5	0.005	0.001	0.001	0.004	0.005	0.007
    5 --     6	0.005	0.002	0.002	0.003	0.004	0.008
    6 --     7	0.004	0.001	0.002	0.003	0.003	0.006
    7 --     8	0.004	0.001	0.001	0.003	0.004	0.006
    8 --     9	0.005	0.002	0.003	0.003	0.004	0.008
    9 --    10	0.005	0.001	0.001	0.004	0.004	0.006
   10 --    11	0.005	0.001	0.002	0.003	0.004	0.007
   11 --    12	0.005	0.002	0.002	0.002	0.005	0.007
   12 --    13	0.004	0.001	0.001	0.003	0.004	0.005
   13 --    14	0.004	0.001	0.001	0.003	0.004	0.006
   14 --    15	0.004	0.002	0.002	0.003	0.003	0.007
   15 --    16	0.004	0.001	0.002	0.003	0.004	0.007
   16 --    17	0.004	0.001	0.002	0.003	0.004	0.007
   17 --    18	0.004	0.001	0.002	0.003	0.004	0.007
   18 --    19	0.004	0.001	0.001	0.003	0.004	0.005
   19 --    20	0.005	0.002	0.003	0.002	0.004	0.009
   20 --    21	0.004	0.001	0.001	0.003	0.004	0.005
   21 --    22	0.004	0.001	0.001	0.003	0.003	0.004
   22 --    23	0.004	0.000	0.001	0.003	0.003	0.004
   23 --    24	0.004	0.001	0.001	0.003	0.004	0.004
   24 --    25	0.004	0.001	0.001	0.003	0.003	0.004
   25 --    26	0.004	0.000	0.000	0.003	0.004	0.004
   26 --    27	0.004	0.002	0.002	0.003	0.004	0.007
   27 --    28	0.005	0.002	0.002	0.003	0.004	0.007
   28 --    29	0.005	0.001	0.002	0.003	0.004	0.007
   29 --    30	0.004	0.001	0.001	0.003	0.004	0.005
   30 --    31	0.004	0.001	0.001	0.004	0.004	0.005
   31 --    32	0.004	0.000	0.000	0.003	0.004	0.004
   32 --    33	0.005	0.001	0.001	0.004	0.004	0.006
   33 --    34	0.004	0.001	0.001	0.003	0.003	0.005
   34 --    35	0.004	0.001	0.002	0.003	0.003	0.006
   35 --    36	0.005	0.001	0.002	0.003	0.004	0.007
   36 --    37	0.004	0.001	0.001	0.003	0.005	0.005
   37 --    38	0.004	0.001	0.002	0.003	0.004	0.007
   38 --    39	0.005	0.002	0.003	0.002	0.004	0.009
   39 --    40	0.004	0.001	0.001	0.003	0.004	0.005
   40 --    41	0.004	0.001	0.001	0.003	0.004	0.005
   41 --    42	0.003	0.001	0.001	0.003	0.003	0.005
   42 --    43	0.004	0.001	0.001	0.003	0.004	0.006
   43 --    44	0.005	0.001	0.001	0.004	0.005	0.006
   44 --    45	0.004	0.001	0.001	0.003	0.003	0.006
   45 --    46	0.004	0.001	0.001	0.003	0.004	0.005
   46 --    47	0.004	0.001	0.001	0.003	0.003	0.005
   47 --    48	0.004	0.001	0.001	0.003	0.003	0.006
   48 --    49	0.004	0.001	0.001	0.003	0.004	0.006
   49 --    50	0.004	0.001	0.001	0.004	0.004	0.006
   50 --    51	0.004	0.000	0.001	0.003	0.004	0.004
   51 --    52	0.004	0.000	0.001	0.003	0.004	0.004
   52 --    53	0.004	0.001	0.001	0.003	0.003	0.005
   53 --    54	0.004	0.001	0.001	0.003	0.003	0.005
   54 --    55	0.004	0.001	0.001	0.003	0.004	0.006
   55 --    56	0.003	0.001	0.001	0.003	0.003	0.004
   56 --    57	0.004	0.000	0.000	0.003	0.004	0.004
   57 --    58	0.004	0.001	0.001	0.003	0.003	0.006
   58 --    59	0.004	0.001	0.001	0.003	0.004	0.005
   59 --    60	0.004	0.001	0.001	0.003	0.004	0.006
   60 --    61	0.004	0.001	0.001	0.003	0.005	0.006
   61 --    62	0.004	0.000	0.000	0.004	0.004	0.004
   62 --    63	0.004	0.001	0.001	0.003	0.004	0.005
   63 --    64	0.004	0.001	0.001	0.003	0.004	0.005
   64 --    65	0.004	0.001	0.001	0.003	0.004	0.005
   65 --    66	0.004	0.001	0.001	0.003	0.004	0.005
   66 --    67	0.004	0.002	0.002	0.003	0.003	0.007
   67 --    68	0.005	0.001	0.001	0.003	0.005	0.006
   68 --    69	0.004	0.002	0.003	0.003	0.003	0.009
   69 --    70	0.004	0.001	0.001	0.003	0.004	0.005
   70 --    71	0.003	0.001	0.001	0.003	0.003	0.004
   71 --    72	0.004	0.000	0.001	0.003	0.004	0.004
   72 --    73	0.004	0.001	0.001	0.002	0.004	0.006
   73 --    74	0.004	0.000	0.001	0.003	0.004	0.004
   74 --    75	0.004	0.001	0.002	0.003	0.004	0.007
   75 --    76	0.003	0.000	0.001	0.002	0.003	0.004
   76 --    77	0.004	0.001	0.001	0.003	0.004	0.004
   77 --    78	0.004	0.001	0.001	0.003	0.004	0.006
   78 --    79	0.004	0.001	0.002	0.003	0.003	0.006
   79 --    80	0.004	0.001	0.002	0.003	0.003	0.006
   80 --    81	0.004	0.001	0.001	0.003	0.003	0.006
   81 --    82	0.003	0.001	0.001	0.002	0.003	0.004
   82 --    83	0.004	0.001	0.001	0.002	0.004	0.005
   83 --    84	0.004	0.002	0.002	0.003	0.003	0.007
   84 --    85	0.004	0.001	0.002	0.002	0.003	0.006
