Interval	Avg	Std	CI=0.95	Min	Median	Max
    0 --     1	0.003	0.002	0.002	0.001	0.003	0.005
    1 --     2	0.004	0.002	0.002	0.002	0.003	0.006
    2 --     3	0.006	0.001	0.002	0.004	0.006	0.008
    3 --     4	0.004	0.002	0.002	0.003	0.004	0.007
    4 --     5	0.006	0.004	0.005	0.002	0.004	0.013
    5 --     6	0.006	0.003	0.004	0.002	0.007	0.010
    6 --     7	0.004	0.002	0.003	0.002	0.003	0.008
    7 --     8	0.005	0.003	0.003	0.003	0.004	0.009
    8 --     9	0.006	0.002	0.002	0.003	0.006	0.009
    9 --    10	0.005	0.001	0.002	0.003	0.005	0.007
   10 --    11	0.005	0.002	0.003	0.002	0.005	0.008
   11 --    12	0.005	0.002	0.003	0.002	0.006	0.009
   12 --    13	0.005	0.003	0.003	0.002	0.005	0.010
   13 --    14	0.006	0.001	0.002	0.005	0.006	0.009
   14 --    15	0.007	0.001	0.001	0.006	0.007	0.008
   15 --    16	0.007	0.002	0.002	0.006	0.006	0.011
   16 --    17	0.006	0.002	0.002	0.003	0.006	0.007
   17 --    18	0.007	0.002	0.002	0.005	0.006	0.009
   18 --    19	0.006	0.002	0.003	0.005	0.005	0.011
   19 --    20	0.006	0.003	0.004	0.003	0.005	0.012
   20 --    21	0.005	0.002	0.002	0.002	0.005	0.007
   21 --    22	0.007	0.001	0.002	0.004	0.007	0.009
   22 --    23	0.006	0.001	0.001	0.004	0.006	0.007
   23 --    24	0.006	0.002	0.002	0.003	0.006	0.008
   24 --    25	0.005	0.002	0.002	0.003	0.005	0.008
   25 --    26	0.006	0.002	0.002	0.003	0.006	0.008
   26 --    27	0.005	0.003	0.003	0.002	0.005	0.009
   27 --    28	0.004	0.001	0.001	0.002	0.004	0.005
   28 --    29	0.006	0.002	0.002	0.004	0.006	0.009
   29 --    30	0.005	0.002	0.002	0.002	0.006	0.007
   30 --    31	0.005	0.002	0.003	0.003	0.006	0.008
   31 --    32	0.006	0.002	0.002	0.004	0.008	0.008
   32 --    33	0.005	0.002	0.002	0.002	0.005	0.008
   33 --    34	0.005	0.002	0.002	0.003	0.005	0.007
   34 --    35	0.005	0.002	0.003	0.003	0.004	0.009
   35 --    36	0.005	0.001	0.002	0.003	0.005	0.007
   36 --    37	0.004	0.002	0.002	0.002	0.004	0.007
   37 --    38	0.004	0.001	0.001	0.002	0.004	0.005
   38 --    39	0.004	0.001	0.001	0.003	0.004	0.005
   39 --    40	0.004	0.002	0.002	0.002	0.003	0.006
   40 --    41	0.005	0.003	0.004	0.002	0.003	0.010
   41 --    42	0.004	0.003	0.003	0.002	0.003	0.009
   42 --    43	0.004	0.002	0.002	0.002	0.004	0.007
   43 --    44	0.005	0.001	0.002	0.004	0.005	0.008
   44 --    45	0.006	0.002	0.002	0.003	0.006	0.008
   45 --    46	0.006	0.001	0.002	0.003	0.006	0.007
