Time 1-10.0.0.3-10.0.0.2 Aggregate-Flow
0.000000 0.009122 0.009122
1.000000 0.003852 0.003852
2.000000 0.003959 0.003959
3.000000 0.004428 0.004428
4.000000 0.003820 0.003820
5.000000 0.003388 0.003388
6.000000 0.005328 0.005328
7.000000 0.002993 0.002993
8.000000 0.003556 0.003556
9.000000 0.004630 0.004630
10.000000 0.003584 0.003584
11.000000 0.004590 0.004590
12.000000 0.004374 0.004374
13.000000 0.004083 0.004083
14.000000 0.003902 0.003902
15.000000 0.003372 0.003372
16.000000 0.005128 0.005128
17.000000 0.004871 0.004871
18.000000 0.004572 0.004572
19.000000 0.006632 0.006632
20.000000 0.008228 0.008228
21.000000 0.006861 0.006861
22.000000 0.003995 0.003995
23.000000 0.005825 0.005825
24.000000 0.006303 0.006303
25.000000 0.007462 0.007462
26.000000 0.007660 0.007660
27.000000 0.007178 0.007178
28.000000 0.005632 0.005632
29.000000 0.004292 0.004292
30.000000 0.003886 0.003886
31.000000 0.004915 0.004915
32.000000 0.004502 0.004502
33.000000 0.007074 0.007074
34.000000 0.006172 0.006172
35.000000 0.006341 0.006341
36.000000 0.005654 0.005654
37.000000 0.004514 0.004514
38.000000 0.006122 0.006122
39.000000 0.007694 0.007694
40.000000 0.004470 0.004470
41.000000 0.003628 0.003628
42.000000 0.005786 0.005786
43.000000 0.005094 0.005094
44.000000 0.003748 0.003748
45.000000 0.006514 0.006514
46.000000 0.004819 0.004819
47.000000 0.003564 0.003564
48.000000 0.004711 0.004711
49.000000 0.007217 0.007217
50.000000 0.006432 0.006432
51.000000 0.005996 0.005996
52.000000 0.006866 0.006866
53.000000 0.006077 0.006077
54.000000 0.005719 0.005719
55.000000 0.004184 0.004184
56.000000 0.006826 0.006826
57.000000 0.003996 0.003996
58.000000 0.004086 0.004086
59.000000 0.003401 0.003401
60.000000 0.003969 0.003969
61.000000 0.006207 0.006207
62.000000 0.004882 0.004882
63.000000 0.005766 0.005766
64.000000 0.006377 0.006377
65.000000 0.004863 0.004863
66.000000 0.005789 0.005789
67.000000 0.005963 0.005963
68.000000 0.005267 0.005267
69.000000 0.005856 0.005856
70.000000 0.003968 0.003968
71.000000 0.006337 0.006337
72.000000 0.007243 0.007243
73.000000 0.007392 0.007392
74.000000 0.005566 0.005566
75.000000 0.006408 0.006408
76.000000 0.003291 0.003291
77.000000 0.003467 0.003467
78.000000 0.005252 0.005252
79.000000 0.005673 0.005673
80.000000 0.005253 0.005253
81.000000 0.006629 0.006629
82.000000 0.005754 0.005754
83.000000 0.008687 0.008687
84.000000 0.005694 0.005694
85.000000 0.006962 0.006962
86.000000 0.006273 0.006273
87.000000 0.005966 0.005966
88.000000 0.007123 0.007123
89.000000 0.005203 0.005203
90.000000 0.002621 0.002621
91.000000 0.003713 0.003713
92.000000 0.003402 0.003402
93.000000 0.006155 0.006155
94.000000 0.005879 0.005879
95.000000 0.005766 0.005766
96.000000 0.005755 0.005755
97.000000 0.005481 0.005481
98.000000 0.006830 0.006830
99.000000 0.006662 0.006662
100.000000 0.005947 0.005947
101.000000 0.006389 0.006389
102.000000 0.005359 0.005359
103.000000 0.006668 0.006668
104.000000 0.006809 0.006809
105.000000 0.006535 0.006535
106.000000 0.007560 0.007560
107.000000 0.004979 0.004979
108.000000 0.006397 0.006397
109.000000 0.003124 0.003124
110.000000 0.004068 0.004068
111.000000 0.006337 0.006337
112.000000 0.006787 0.006787
113.000000 0.005965 0.005965
114.000000 0.006021 0.006021
115.000000 0.003541 0.003541
116.000000 0.006452 0.006452
117.000000 0.004869 0.004869
118.000000 0.005407 0.005407
119.000000 0.006901 0.006901
120.000000 0.004851 0.004851
121.000000 0.006846 0.006846
122.000000 0.004919 0.004919
123.000000 0.004629 0.004629
124.000000 0.005414 0.005414
125.000000 0.003297 0.003297
126.000000 0.003347 0.003347
127.000000 0.004127 0.004127
128.000000 0.004596 0.004596
129.000000 0.007243 0.007243
130.000000 0.006582 0.006582
131.000000 0.004724 0.004724
132.000000 0.006887 0.006887
133.000000 0.003110 0.003110
134.000000 0.004054 0.004054
135.000000 0.003785 0.003785
136.000000 0.003341 0.003341
137.000000 0.003214 0.003214
138.000000 0.003889 0.003889
139.000000 0.003197 0.003197
140.000000 0.002786 0.002786
141.000000 0.002783 0.002783
142.000000 0.002453 0.002453
143.000000 0.003193 0.003193
144.000000 0.005376 0.005376
145.000000 0.004709 0.004709
146.000000 0.005013 0.005013
147.000000 0.005685 0.005685
148.000000 0.005817 0.005817
149.000000 0.006010 0.006010
150.000000 0.003030 0.003030
151.000000 0.005352 0.005352
152.000000 0.007506 0.007506
153.000000 0.003387 0.003387
154.000000 0.003277 0.003277
155.000000 0.004090 0.004090
156.000000 0.003916 0.003916
157.000000 0.006239 0.006239
158.000000 0.005436 0.005436
159.000000 0.005173 0.005173
160.000000 0.003928 0.003928
161.000000 0.006162 0.006162
162.000000 0.006274 0.006274
163.000000 0.004719 0.004719
164.000000 0.003932 0.003932
165.000000 0.005421 0.005421
166.000000 0.005609 0.005609
167.000000 0.005714 0.005714
168.000000 0.005562 0.005562
169.000000 0.005895 0.005895
170.000000 0.005100 0.005100
171.000000 0.004099 0.004099
172.000000 0.002882 0.002882
173.000000 0.003861 0.003861
174.000000 0.004717 0.004717
175.000000 0.006734 0.006734
176.000000 0.006816 0.006816
177.000000 0.005326 0.005326
178.000000 0.006308 0.006308
179.000000 0.007719 0.007719
180.000000 0.004697 0.004697
181.000000 0.006774 0.006774
182.000000 0.004121 0.004121
183.000000 0.006294 0.006294
184.000000 0.006264 0.006264
185.000000 0.006100 0.006100
186.000000 0.009010 0.009010
187.000000 0.004241 0.004241
188.000000 0.004465 0.004465
189.000000 0.004515 0.004515
190.000000 0.003204 0.003204
191.000000 0.005857 0.005857
192.000000 0.006728 0.006728
193.000000 0.006803 0.006803
194.000000 0.005666 0.005666
195.000000 0.005568 0.005568
