Interval	Avg	Std	CI=0.95	Min	Median	Max
    0 --     1	5121.909	465.387	332.918	4124.412	5260.797	5615.765
    1 --     2	4586.257	1158.126	828.474	2175.265	5145.010	5531.075
    2 --     3	4478.358	700.122	500.837	3133.401	4561.126	5494.381
    3 --     4	3605.761	1002.387	717.064	2586.221	3480.583	5767.683
    4 --     5	4969.432	931.179	666.126	3208.076	5518.788	5704.964
    5 --     6	4030.872	730.877	522.838	2999.791	4065.290	5463.905
    6 --     7	3192.809	834.376	596.877	2553.084	2891.726	5496.725
    7 --     8	4372.861	593.040	424.236	3041.263	4403.245	5093.304
    8 --     9	3736.169	818.455	585.487	2109.529	3757.340	5068.176
    9 --    10	4255.337	1242.154	888.583	2387.674	4299.546	6626.278
   10 --    11	4076.914	945.788	676.576	2564.006	4300.361	5281.046
   11 --    12	4095.690	1119.891	801.122	1683.320	4486.361	5236.694
   12 --    13	4592.538	459.643	328.809	3711.702	4582.330	5451.436
   13 --    14	4120.256	715.954	512.163	2476.089	4387.650	4873.165
   14 --    15	4053.522	1127.890	806.844	2225.132	4748.233	5042.991
   15 --    16	4128.047	1211.016	866.309	1605.388	4740.080	5171.158
   16 --    17	4304.195	789.707	564.922	2640.210	4728.814	5305.434
   17 --    18	4155.399	1021.800	730.952	2729.523	4532.017	5334.531
   18 --    19	4544.324	802.403	574.005	2424.470	4830.788	5167.816
   19 --    20	4333.347	800.954	572.968	2610.518	4278.972	5616.343
   20 --    21	3746.847	1236.724	884.699	1944.575	4375.620	5192.650
   21 --    22	4176.164	978.435	699.930	1707.043	4529.486	5259.733
   22 --    23	3627.107	707.187	505.891	2447.190	3794.924	4562.480
   23 --    24	3204.310	1182.737	846.079	1592.072	2952.390	5240.325
   24 --    25	4180.424	1143.555	818.050	2062.914	4576.840	5670.929
   25 --    26	4603.551	943.483	674.927	2749.541	4839.649	5898.265
   26 --    27	4190.795	1040.747	744.505	1650.242	4431.440	5289.714
   27 --    28	50872.740	141927.370	101528.724	921.210	3902.508	476642.526
   28 --    29	4225.365	1278.792	914.793	1429.686	4782.455	5424.831
   29 --    30	4353.849	1004.008	718.224	2716.673	4636.450	5835.817
   30 --    31	3693.974	673.515	481.804	2752.326	3780.882	5059.677
   31 --    32	4546.129	693.392	496.023	3359.174	4779.457	5462.913
   32 --    33	4121.150	768.011	549.402	2808.069	4184.596	5192.602
   33 --    34	3860.875	1052.864	753.173	2393.141	3527.100	5225.287
   34 --    35	94652.928	219013.701	156672.963	3293.909	5187.800	734310.000
   35 --    36	102362.645	292241.411	209056.911	3833.286	4820.588	979080.000
   36 --    37	3945.563	870.619	622.803	2271.246	4077.309	5227.295
   37 --    38	4257.580	1559.444	1115.559	2188.036	4526.746	7320.000
   38 --    39	4488.163	528.978	378.408	3573.989	4616.605	5108.000
   39 --    40	4668.270	827.423	591.903	3348.900	4627.044	6523.200
   40 --    41	4109.721	948.084	678.219	2582.638	4098.930	5513.347
   41 --    42	4064.649	1083.250	774.911	2425.921	4281.031	5321.502
   42 --    43	3909.481	925.131	661.799	2709.705	4006.243	5020.672
   43 --    44	5398.805	3936.250	2815.824	1362.614	4791.870	16386.000
   44 --    45	4787.153	584.443	418.085	3408.771	5029.703	5330.874
   45 --    46	4632.711	1750.619	1252.317	2800.791	4333.134	9345.143
   46 --    47	3933.039	1047.740	749.508	2255.254	3870.769	5548.514
   47 --    48	5803.954	3615.871	2586.638	3142.442	5044.687	16406.000
   48 --    49	3511.978	1171.471	838.020	1713.606	3158.510	5380.595
   49 --    50	4264.300	744.839	532.826	3456.842	4152.012	5460.579
   50 --    51	4389.324	1161.778	831.086	1595.595	4662.883	5704.833
   51 --    52	9535.062	14519.954	10386.950	3314.002	4480.041	52820.500
   52 --    53	3726.780	1028.247	735.563	2302.380	3714.654	5303.565
   53 --    54	4609.076	2260.435	1617.018	2409.899	4255.348	10973.333
   54 --    55	3495.161	996.360	712.753	1838.021	3041.590	4942.816
   55 --    56	4382.885	1210.733	866.106	2046.937	4682.762	6573.600
   56 --    57	4378.610	816.460	584.060	2848.479	4517.986	5392.240
   57 --    58	4860.746	821.182	587.438	3744.299	4909.877	6541.600
   58 --    59	4766.805	1230.256	880.072	1528.739	5251.289	5747.925
   59 --    60	4325.593	1686.720	1206.607	1679.521	4128.209	8187.000
   60 --    61	4299.134	878.088	628.147	2462.937	4697.330	5409.486
   61 --    62	4517.874	1399.948	1001.462	1077.941	4655.003	6593.600
   62 --    63	3916.765	757.069	541.575	2516.029	4004.648	5055.141
   63 --    64	3760.800	1003.954	718.186	2456.035	3565.724	5175.508
   64 --    65	4902.665	493.959	353.357	3926.904	5018.658	5541.068
   65 --    66	4414.947	1167.116	834.904	3075.796	4103.767	7292.444
   66 --    67	3561.715	2107.453	1507.581	1096.045	3349.024	9046.460
   67 --    68	4883.320	2904.844	2078.000	1806.739	4080.178	13190.400
   68 --    69	4464.101	1097.302	784.962	2324.984	4746.117	6260.396
   69 --    70	3966.050	851.498	609.125	2791.694	3694.002	5539.174
   70 --    71	3655.535	1194.322	854.367	1663.410	3521.655	5263.870
   71 --    72	4314.844	1214.448	868.763	2334.518	4249.145	6536.800
   72 --    73	3952.901	1193.241	853.593	1474.158	4173.958	5146.623
   73 --    74	4020.421	860.383	615.481	2881.929	3904.830	5195.528
   74 --    75	4209.830	932.787	667.275	2243.419	4622.357	5402.062
   75 --    76	6505.457	8840.616	6324.196	2328.988	3805.119	32800.000
   76 --    77	4138.098	1065.924	762.516	2363.194	4274.493	5480.542
   77 --    78	4332.023	1278.321	914.456	1920.344	4905.343	5973.091
   78 --    79	3625.671	1192.615	853.145	1921.849	3596.611	5454.130
   79 --    80	4106.387	1135.801	812.503	1694.874	4620.639	5382.783
   80 --    81	4474.208	851.468	609.103	2460.703	4776.709	5321.871
   81 --    82	4481.555	1026.594	734.381	2722.775	4832.630	5997.818
   82 --    83	72106.533	205070.298	146698.454	2100.091	4219.989	687310.769
   83 --    84	4428.299	1188.621	850.288	2892.475	4141.683	7294.222
   84 --    85	4422.543	898.533	642.772	2415.233	4630.410	5314.863
   85 --    86	3849.005	1216.264	870.063	2232.231	4323.587	5418.844
   86 --    87	41015.310	109874.456	78599.451	3240.557	4570.725	370631.273
   87 --    88	4489.383	910.578	651.388	3418.636	4569.577	6528.000
   88 --    89	3891.018	851.657	609.238	2399.575	3731.278	5167.727
   89 --    90	4667.570	856.004	612.348	2293.250	4939.838	5371.441
   90 --    91	4468.086	615.306	440.164	3220.820	4681.431	5151.706
