Interval	Avg	Std	CI=0.95	Min	Median	Max
    0 --     1	1046.778	0.000	0.000	1046.778	1046.778	1046.778
    1 --     2	1046.778	0.000	0.000	1046.778	1046.778	1046.778
    2 --     3	1046.778	0.000	0.000	1046.778	1046.778	1046.778
    3 --     4	1046.778	0.000	0.000	1046.778	1046.778	1046.778
    4 --     5	1046.778	0.000	0.000	1046.778	1046.778	1046.778
    5 --     6	1046.778	0.000	0.000	1046.778	1046.778	1046.778
    6 --     7	1137.115	271.010	193.869	1046.778	1046.778	1950.145
    7 --     8	1859.808	271.010	193.869	1046.778	1950.145	1950.145
    8 --     9	1950.145	0.000	0.000	1950.145	1950.145	1950.145
    9 --    10	2144.439	582.883	416.970	1950.145	1950.145	3893.089
   10 --    11	2727.323	951.844	680.908	1950.145	1950.145	3893.089
   11 --    12	2921.617	971.472	694.949	1950.145	2921.617	3893.089
   12 --    13	2831.280	1092.119	781.255	1046.778	2921.617	3893.089
   13 --    14	3608.458	853.893	610.838	1046.778	3893.089	3893.089
   14 --    15	3608.458	853.893	610.838	1046.778	3893.089	3893.089
   15 --    16	3893.089	0.000	0.000	3893.089	3893.089	3893.089
   16 --    17	3608.458	853.893	610.838	1046.778	3893.089	3893.089
   17 --    18	3323.827	1138.524	814.451	1046.778	3893.089	3893.089
   18 --    19	3039.196	1304.344	933.071	1046.778	3893.089	3893.089
   19 --    20	3039.196	1304.344	933.071	1046.778	3893.089	3893.089
   20 --    21	2754.565	1394.402	997.495	1046.778	3893.089	3893.089
   21 --    22	2844.901	1307.383	935.246	1046.778	3893.089	3893.089
   22 --    23	3219.869	1054.481	754.330	1046.778	3893.089	3893.089
   23 --    24	2935.238	1207.404	863.725	1046.778	3893.089	3893.089
   24 --    25	2935.238	1207.404	863.725	1046.778	3893.089	3893.089
   25 --    26	2844.901	1307.383	935.246	1046.778	3893.089	3893.089
   26 --    27	2754.565	1394.402	997.495	1046.778	3893.089	3893.089
   27 --    28	2469.934	1423.156	1018.064	1046.778	2469.934	3893.089
   28 --    29	1900.671	1304.344	933.071	1046.778	1046.778	3893.089
   29 --    30	1331.409	853.893	610.838	1046.778	1046.778	3893.089
   30 --    31	1900.671	1304.344	933.071	1046.778	1046.778	3893.089
   31 --    32	1706.377	1125.537	805.161	1046.778	1046.778	3893.089
   32 --    33	1796.714	1105.038	790.496	1046.778	1046.778	3893.089
   33 --    34	1410.748	971.378	694.882	33.434	1046.778	3893.089
   34 --    35	2081.345	1234.233	882.917	1046.778	1498.461	3893.089
   35 --    36	1889.674	1379.952	987.158	33.434	1046.778	3893.089
   36 --    37	1692.756	848.110	606.701	1046.778	1498.461	3893.089
   37 --    38	1876.053	1166.926	834.769	33.434	1950.145	3893.089
   38 --    39	2158.060	935.410	669.152	1046.778	1950.145	3893.089
   39 --    40	2445.315	1309.124	936.491	33.434	1950.145	3893.089
   40 --    41	2636.986	1058.239	757.018	1046.778	1950.145	3893.089
   41 --    42	2174.305	1467.505	1049.790	33.434	1498.461	3893.089
   42 --    43	2844.901	1307.383	935.246	1046.778	3893.089	3893.089
   43 --    44	1514.706	1226.388	877.305	33.434	1046.778	3893.089
   44 --    45	1796.714	1105.038	790.496	1046.778	1046.778	3893.089
   45 --    46	1410.748	971.378	694.882	33.434	1046.778	3893.089
   46 --    47	1796.714	1105.038	790.496	1046.778	1046.778	3893.089
   47 --    48	1514.706	1226.388	877.305	33.434	1046.778	3893.089
   48 --    49	2185.302	1394.402	997.495	1046.778	1046.778	3893.089
   49 --    50	1230.075	937.677	670.773	33.434	1046.778	3893.089
   50 --    51	1796.714	1105.038	790.496	1046.778	1046.778	3893.089
   51 --    52	1785.716	1192.383	852.979	33.434	1498.461	3893.089
   52 --    53	1887.050	1076.597	770.151	1046.778	1498.461	3893.089
   53 --    54	1306.790	601.256	430.113	33.434	1046.778	1950.145
   54 --    55	2171.681	1187.375	849.397	1046.778	1950.145	3893.089
   55 --    56	2264.641	1422.429	1017.544	33.434	1950.145	3893.089
   56 --    57	2365.976	1289.778	922.651	1046.778	1950.145	3893.089
   57 --    58	1799.337	1402.422	1003.232	33.434	1046.778	3893.089
   58 --    59	1706.377	1125.537	805.161	1046.778	1046.778	3893.089
   59 --    60	1695.379	1210.584	866.000	33.434	1046.778	3893.089
   60 --    61	2365.976	1289.778	922.651	1046.778	1950.145	3893.089
   61 --    62	1785.716	1192.383	852.979	33.434	1498.461	3893.089
   62 --    63	2456.312	1224.185	875.729	1046.778	1950.145	3893.089
   63 --    64	1785.716	1192.383	852.979	33.434	1498.461	3893.089
   64 --    65	1991.008	1272.982	910.636	1046.778	1046.778	3893.089
   65 --    66	1799.337	1402.422	1003.232	33.434	1046.778	3893.089
   66 --    67	1900.671	1304.344	933.071	1046.778	1046.778	3893.089
   67 --    68	1605.043	1221.856	874.063	33.434	1046.778	3893.089
   68 --    69	1900.671	1304.344	933.071	1046.778	1046.778	3893.089
   69 --    70	1605.043	1221.856	874.063	33.434	1046.778	3893.089
   70 --    71	1796.714	1105.038	790.496	1046.778	1046.778	3893.089
   71 --    72	1785.716	1192.383	852.979	33.434	1498.461	3893.089
   72 --    73	1887.050	1076.597	770.151	1046.778	1498.461	3893.089
   73 --    74	1501.085	975.327	697.707	33.434	1046.778	3893.089
   74 --    75	2081.345	1234.233	882.917	1046.778	1498.461	3893.089
   75 --    76	1889.674	1379.952	987.158	33.434	1046.778	3893.089
   76 --    77	2365.976	1289.778	922.651	1046.778	1950.145	3893.089
   77 --    78	1980.010	1351.083	966.506	33.434	1498.461	3893.089
   78 --    79	2185.302	1394.402	997.495	1046.778	1046.778	3893.089
   79 --    80	1889.674	1379.952	987.158	33.434	1046.778	3893.089
   80 --    81	1796.714	1105.038	790.496	1046.778	1046.778	3893.089
   81 --    82	1410.748	971.378	694.882	33.434	1046.778	3893.089
   82 --    83	2262.018	1131.400	809.355	1046.778	1950.145	3893.089
   83 --    84	1785.716	1192.383	852.979	33.434	1498.461	3893.089
   84 --    85	2081.345	1234.233	882.917	1046.778	1498.461	3893.089
   85 --    86	2174.305	1467.505	1049.790	33.434	1498.461	3893.089
   86 --    87	1991.008	1272.982	910.636	1046.778	1046.778	3893.089
   87 --    88	1514.706	1226.388	877.305	33.434	1046.778	3893.089
   88 --    89	1616.040	1138.524	814.451	1046.778	1046.778	3893.089
   89 --    90	1605.043	1221.856	874.063	33.434	1046.778	3893.089
   90 --    91	1706.377	1125.537	805.161	1046.778	1046.778	3893.089
   91 --    92	1695.379	1210.584	866.000	33.434	1046.778	3893.089
   92 --    93	1706.377	1125.537	805.161	1046.778	1046.778	3893.089
   93 --    94	1889.674	1379.952	987.158	33.434	1046.778	3893.089
   94 --    95	1796.714	1105.038	790.496	1046.778	1046.778	3893.089
   95 --    96	1785.716	1192.383	852.979	33.434	1498.461	3893.089
   96 --    97	1887.050	1076.597	770.151	1046.778	1498.461	3893.089
   97 --    98	1876.053	1166.926	834.769	33.434	1950.145	3893.089
   98 --    99	2469.934	1423.156	1018.064	1046.778	2469.934	3893.089
   99 --   100	2070.347	1315.394	940.976	33.434	1950.145	3893.089
  100 --   101	2456.312	1224.185	875.729	1046.778	1950.145	3893.089
  101 --   102	2264.641	1422.429	1017.544	33.434	1950.145	3893.089
  102 --   103	2171.681	1187.375	849.397	1046.778	1950.145	3893.089
  103 --   104	2081.345	1234.233	882.917	1046.778	1498.461	3893.089
  104 --   105	1605.043	1221.856	874.063	33.434	1046.778	3893.089
  105 --   106	2740.944	1193.888	854.056	1046.778	2921.617	3893.089
  106 --   107	1980.010	1351.083	966.506	33.434	1498.461	3893.089
  107 --   108	2560.270	1357.089	970.803	1046.778	2921.617	3893.089
  108 --   109	1980.010	1351.083	966.506	33.434	1498.461	3893.089
  109 --   110	1991.008	1272.982	910.636	1046.778	1046.778	3893.089
  110 --   111	1799.337	1402.422	1003.232	33.434	1046.778	3893.089
  111 --   112	2185.302	1394.402	997.495	1046.778	1046.778	3893.089
  112 --   113	1889.674	1379.952	987.158	33.434	1046.778	3893.089
  113 --   114	2081.345	1234.233	882.917	1046.778	1498.461	3893.089
  114 --   115	1695.379	1210.584	866.000	33.434	1046.778	3893.089
  115 --   116	2365.976	1289.778	922.651	1046.778	1950.145	3893.089
  116 --   117	2354.978	1369.933	979.991	33.434	1950.145	3893.089
  117 --   118	2740.944	1193.888	854.056	1046.778	2921.617	3893.089
  118 --   119	2264.641	1422.429	1017.544	33.434	1950.145	3893.089
  119 --   120	2275.639	1346.143	962.973	1046.778	1498.461	3893.089
  120 --   121	1980.010	1351.083	966.506	33.434	1498.461	3893.089
  121 --   122	2081.345	1234.233	882.917	1046.778	1498.461	3893.089
  122 --   123	1605.043	1221.856	874.063	33.434	1046.778	3893.089
  123 --   124	1616.040	1138.524	814.451	1046.778	1046.778	3893.089
  124 --   125	1514.706	1226.388	877.305	33.434	1046.778	3893.089
  125 --   126	1421.746	866.692	619.994	1046.778	1046.778	3893.089
  126 --   127	1320.411	958.941	685.985	33.434	1046.778	3893.089
  127 --   128	1602.419	863.848	617.960	1046.778	1046.778	3893.089
  128 --   129	1591.421	970.890	694.533	33.434	1498.461	3893.089
  129 --   130	2365.976	1289.778	922.651	1046.778	1950.145	3893.089
  130 --   131	1785.716	1192.383	852.979	33.434	1498.461	3893.089
  131 --   132	1602.419	863.848	617.960	1046.778	1046.778	3893.089
  132 --   133	2264.641	1422.429	1017.544	33.434	1950.145	3893.089
  133 --   134	1602.419	863.848	617.960	1046.778	1046.778	3893.089
  134 --   135	1695.379	1210.584	866.000	33.434	1046.778	3893.089
  135 --   136	2081.345	1234.233	882.917	1046.778	1498.461	3893.089
  136 --   137	2174.305	1467.505	1049.790	33.434	1498.461	3893.089
  137 --   138	1421.746	866.692	619.994	1046.778	1046.778	3893.089
  138 --   139	1320.411	958.941	685.985	33.434	1046.778	3893.089
