Time 1-10.0.0.4-10.0.0.2 3-10.0.0.4-10.0.0.2 2-10.0.0.4-10.0.0.2 Aggregate-Flow
0.000000 0.002397 0.001769 0.002517 0.006683
1.000000 0.008148 0.004656 0.007296 0.020100
2.000000 0.008291 0.006689 0.004959 0.019939
3.000000 0.013801 0.052416 0.021908 0.088125
4.000000 0.024964 0.321872 0.045211 0.392047
5.000000 0.022292 0.058676 0.018472 0.099440
6.000000 0.003816 0.003012 0.003381 0.010209
7.000000 0.004463 0.004308 0.004940 0.013711
8.000000 0.008384 0.006809 0.005783 0.020976
9.000000 0.011764 0.008172 0.007262 0.027198
10.000000 0.010509 0.008786 0.007267 0.026562
11.000000 0.017671 0.008061 0.008591 0.034323
12.000000 0.002701 0.002626 0.003442 0.008769
13.000000 0.002210 0.001579 0.002557 0.006346
14.000000 0.010836 0.008519 0.007609 0.026964
15.000000 0.008001 0.006169 0.005858 0.020028
16.000000 0.003414 0.002730 0.004170 0.010314
17.000000 0.004893 0.004820 0.005862 0.015575
18.000000 0.006135 0.004176 0.005062 0.015373
19.000000 0.009137 0.007186 0.007083 0.023406
20.000000 0.013855 0.007200 0.007280 0.028335
21.000000 0.053941 0.018628 0.025960 0.098529
22.000000 0.011423 0.008259 0.007163 0.026845
23.000000 0.005817 0.004713 0.004666 0.015196
24.000000 0.010067 0.007548 0.007104 0.024719
25.000000 0.001736 0.000911 0.002844 0.005491
26.000000 0.003142 0.002280 0.003093 0.008515
27.000000 0.001630 0.001382 0.002803 0.005815
28.000000 0.006596 0.004610 0.004839 0.016045
29.000000 0.012632 0.007737 0.007110 0.027479
30.000000 0.014677 0.008213 0.007331 0.030221
31.000000 0.012100 0.007632 0.007442 0.027174
32.000000 0.014357 0.007837 0.007036 0.029230
33.000000 0.011499 0.008082 0.006463 0.026044
34.000000 0.014606 0.009280 0.007921 0.031807
35.000000 0.013162 0.007171 0.006739 0.027072
36.000000 0.013048 0.007876 0.007972 0.028896
37.000000 0.014129 0.007680 0.006987 0.028796
38.000000 0.011827 0.008071 0.007445 0.027343
39.000000 0.002879 0.002465 0.002884 0.008228
40.000000 0.003188 0.002611 0.003310 0.009109
41.000000 0.006805 0.004994 0.005354 0.017153
42.000000 0.008464 0.005247 0.005712 0.019423
43.000000 0.012418 0.007728 0.007545 0.027691
44.000000 0.015996 0.007043 0.007501 0.030540
45.000000 0.013169 0.007134 0.008126 0.028429
46.000000 0.013865 0.007243 0.007967 0.029075
47.000000 0.012380 0.007549 0.007581 0.027510
48.000000 0.012930 0.008004 0.006932 0.027866
49.000000 0.016944 0.009621 0.009705 0.036270
50.000000 0.003493 0.002419 0.003942 0.009854
51.000000 0.009181 0.006165 0.006916 0.022262
52.000000 0.011812 0.007464 0.007046 0.026322
53.000000 0.014220 0.007289 0.007533 0.029042
54.000000 0.012615 0.008509 0.007115 0.028239
55.000000 0.003955 0.002992 0.004483 0.011430
56.000000 0.013910 0.007263 0.006927 0.028100
57.000000 0.008198 0.006292 0.006332 0.020822
58.000000 0.002881 0.001990 0.003330 0.008201
59.000000 0.003457 0.003109 0.004423 0.010989
60.000000 0.003893 0.003358 0.004321 0.011572
61.000000 0.010097 0.006693 0.005912 0.022702
62.000000 0.010867 0.008140 0.007462 0.026469
63.000000 0.013775 0.008344 0.007440 0.029559
64.000000 0.011313 0.008069 0.006953 0.026335
65.000000 0.019731 0.008466 0.007684 0.035881
66.000000 0.012145 0.006734 0.007671 0.026550
67.000000 0.013154 0.007113 0.007430 0.027697
68.000000 0.019845 0.033984 0.010237 0.064066
69.000000 0.007712 0.006560 0.006444 0.020716
70.000000 0.002972 0.002296 0.003158 0.008426
71.000000 0.007841 0.005596 0.006726 0.020163
72.000000 0.012590 0.007296 0.009053 0.028939
73.000000 0.006546 0.004272 0.004501 0.015319
74.000000 0.012162 0.008028 0.006513 0.026703
75.000000 0.002659 0.002251 0.003170 0.008080
76.000000 0.009229 0.006714 0.006382 0.022325
77.000000 0.015190 0.007984 0.007195 0.030369
78.000000 0.013050 0.006995 0.007112 0.027157
79.000000 0.008982 0.006569 0.005580 0.021131
80.000000 0.003274 0.002466 0.004113 0.009853
81.000000 0.011129 0.007777 0.006805 0.025711
82.000000 0.013653 0.007256 0.007261 0.028170
83.000000 0.010060 0.007443 0.006932 0.024435
84.000000 0.012174 0.007349 0.007898 0.027421
85.000000 0.010475 0.007074 0.007451 0.025000
