Time 1-10.0.0.4-10.0.0.2 3-10.0.0.4-10.0.0.2 2-10.0.0.4-10.0.0.2 Aggregate-Flow
0.000000 0.000505 0.001434 0.002860 0.004799
1.000000 0.000833 0.004187 0.005407 0.010427
2.000000 0.001324 0.005862 0.005554 0.012740
3.000000 0.000931 0.006584 0.006938 0.014453
4.000000 0.001397 0.005774 0.006510 0.013681
5.000000 0.000496 0.001763 0.003101 0.005360
6.000000 0.000905 0.004197 0.003959 0.009061
7.000000 0.000977 0.003992 0.004438 0.009407
8.000000 0.000440 0.001861 0.002675 0.004976
9.000000 0.000472 0.001249 0.003493 0.005214
10.000000 0.000361 0.001380 0.003056 0.004797
11.000000 0.000866 0.003472 0.004714 0.009052
12.000000 0.001409 0.005534 0.005836 0.012779
13.000000 0.000971 0.006000 0.004664 0.011635
14.000000 0.001339 0.005583 0.005258 0.012180
15.000000 0.001112 0.005192 0.004598 0.010902
16.000000 0.001461 0.006300 0.005322 0.013083
17.000000 0.001300 0.005654 0.005003 0.011957
18.000000 0.000944 0.003766 0.003884 0.008594
19.000000 0.001447 0.006302 0.005561 0.013310
20.000000 0.000498 0.002685 0.003122 0.006305
21.000000 0.000631 0.001950 0.004048 0.006629
22.000000 0.000355 0.001105 0.003267 0.004727
23.000000 0.000555 0.002125 0.003694 0.006374
24.000000 0.001376 0.005997 0.004816 0.012189
25.000000 0.001204 0.006108 0.005681 0.012993
26.000000 0.001466 0.005896 0.005343 0.012705
27.000000 0.001262 0.004651 0.005200 0.011113
28.000000 0.001493 0.005199 0.004703 0.011395
29.000000 0.001243 0.005744 0.005681 0.012668
30.000000 0.001084 0.005050 0.005067 0.011201
31.000000 0.000573 0.001129 0.003504 0.005206
32.000000 0.001186 0.005199 0.004414 0.010799
33.000000 0.001441 0.006003 0.005159 0.012603
34.000000 0.001164 0.005300 0.005819 0.012283
35.000000 0.001418 0.006279 0.005967 0.013664
36.000000 0.001241 0.005224 0.004652 0.011117
37.000000 0.001257 0.005663 0.005185 0.012105
38.000000 0.001395 0.006716 0.005198 0.013309
39.000000 0.001271 0.007114 0.005536 0.013921
40.000000 0.001074 0.004014 0.004423 0.009511
41.000000 0.000494 0.001372 0.003710 0.005576
42.000000 0.000496 0.001590 0.003226 0.005312
43.000000 0.000537 0.001645 0.003573 0.005755
44.000000 0.001170 0.004927 0.006063 0.012160
45.000000 0.001414 0.006820 0.006133 0.014367
46.000000 0.001291 0.006333 0.005203 0.012827
47.000000 0.001443 0.005683 0.004910 0.012036
48.000000 0.000703 0.003832 0.004711 0.009246
49.000000 0.000929 0.005936 0.004862 0.011727
50.000000 0.001449 0.005874 0.004963 0.012286
51.000000 0.000991 0.005496 0.004961 0.011448
52.000000 0.001501 0.004861 0.004649 0.011011
53.000000 0.001188 0.005672 0.005413 0.012273
54.000000 0.001292 0.005243 0.005928 0.012463
55.000000 0.000794 0.002862 0.003559 0.007215
56.000000 0.000445 0.001608 0.003161 0.005214
57.000000 0.000590 0.001983 0.003252 0.005825
58.000000 0.000481 0.001850 0.002852 0.005183
59.000000 0.001343 0.004631 0.004781 0.010755
60.000000 0.001055 0.004273 0.003912 0.009240
61.000000 0.001346 0.005908 0.005665 0.012919
62.000000 0.001045 0.004344 0.004916 0.010305
63.000000 0.000401 0.001969 0.003409 0.005779
64.000000 0.001464 0.005713 0.006395 0.013572
65.000000 0.000570 0.002518 0.003271 0.006359
66.000000 0.000607 0.001863 0.003319 0.005789
67.000000 0.000503 0.001461 0.003404 0.005368
68.000000 0.000477 0.002419 0.003386 0.006282
69.000000 0.001470 0.005543 0.005539 0.012552
70.000000 0.001238 0.005455 0.005307 0.012000
71.000000 0.001339 0.004975 0.004896 0.011210
72.000000 0.001187 0.006153 0.005621 0.012961
73.000000 0.001439 0.005221 0.005171 0.011831
74.000000 0.001010 0.005064 0.004169 0.010243
75.000000 0.001029 0.004516 0.005255 0.010800
76.000000 0.001059 0.004631 0.005104 0.010794
77.000000 0.000431 0.001875 0.003757 0.006063
78.000000 0.000614 0.001545 0.004085 0.006244
79.000000 0.001053 0.005284 0.005357 0.011694
80.000000 0.001079 0.004843 0.005896 0.011818
81.000000 0.001218 0.006589 0.005552 0.013359
82.000000 0.001114 0.004653 0.005225 0.010992
83.000000 0.000794 0.002898 0.003632 0.007324
84.000000 0.000943 0.005376 0.005873 0.012192
85.000000 0.000880 0.004364 0.004751 0.009995
86.000000 0.000427 0.001709 0.003088 0.005224
87.000000 0.000410 0.001511 0.003264 0.005185
88.000000 0.000619 0.002234 0.003889 0.006742
89.000000 0.000974 0.005401 0.006184 0.012559
90.000000 0.001067 0.004534 0.005328 0.010929
91.000000 0.001066 0.005937 0.004885 0.011888
92.000000 0.001455 0.006016 0.005018 0.012489
93.000000 0.000787 0.003548 0.004666 0.009001
94.000000 0.000400 0.001333 0.002838 0.004571
95.000000 0.000557 0.002073 0.003971 0.006601
96.000000 0.000874 0.004154 0.003745 0.008773
97.000000 0.001054 0.003488 0.004567 0.009109
98.000000 0.000397 0.001897 0.003343 0.005637
99.000000 0.000455 0.001703 0.002703 0.004861
100.000000 0.000429 0.001425 0.003392 0.005246
101.000000 0.000646 0.002317 0.003763 0.006726
102.000000 0.001512 0.006204 0.004921 0.012637
103.000000 0.000639 0.002544 0.004307 0.007490
104.000000 0.000515 0.001865 0.003445 0.005825
105.000000 0.000415 0.001454 0.002884 0.004753
106.000000 0.000870 0.004156 0.004196 0.009222
107.000000 0.001197 0.004800 0.004498 0.010495
108.000000 0.000703 0.002407 0.004360 0.007470
