Time 3-10.0.0.4-10.0.0.2 1-10.0.0.4-10.0.0.2 2-10.0.0.4-10.0.0.2 Aggregate-Flow
0.000000 0.024823 0.015281 0.037317 0.077421
1.000000 0.057005 0.013023 0.273026 0.343054
2.000000 0.074221 0.070755 0.234082 0.379058
3.000000 0.008518 0.013106 0.007333 0.028957
4.000000 0.007007 0.012577 0.006773 0.026357
5.000000 0.005891 0.009746 0.006474 0.022111
6.000000 0.007742 0.012722 0.011256 0.031720
7.000000 0.009756 0.014923 0.009991 0.034670
8.000000 0.013585 0.018366 0.023120 0.055071
9.000000 0.007249 0.010050 0.007853 0.025152
10.000000 0.005035 0.007939 0.005928 0.018902
11.000000 0.007647 0.012755 0.008640 0.029042
12.000000 0.007219 0.014820 0.007824 0.029863
13.000000 0.003826 0.005595 0.005104 0.014525
14.000000 0.002385 0.003297 0.003992 0.009674
15.000000 0.002564 0.003541 0.003764 0.009869
16.000000 0.007535 0.012456 0.006607 0.026598
17.000000 0.003449 0.004460 0.003764 0.011673
18.000000 0.002312 0.003077 0.003601 0.008990
19.000000 0.001781 0.002172 0.002913 0.006866
20.000000 0.002061 0.002375 0.003219 0.007655
21.000000 0.007548 0.011806 0.006919 0.026273
22.000000 0.007602 0.015040 0.008212 0.030854
23.000000 0.007644 0.012625 0.008393 0.028662
24.000000 0.007894 0.015039 0.007506 0.030439
25.000000 0.004265 0.005187 0.004312 0.013764
26.000000 0.006893 0.013161 0.007388 0.027442
27.000000 0.005038 0.009156 0.005638 0.019832
28.000000 0.003589 0.004696 0.004135 0.012420
29.000000 0.002155 0.002198 0.003284 0.007637
30.000000 0.003225 0.005008 0.005120 0.013353
31.000000 0.005690 0.010924 0.006027 0.022641
32.000000 0.007209 0.013368 0.007320 0.027897
33.000000 0.003056 0.003977 0.004044 0.011077
34.000000 0.002071 0.003253 0.003941 0.009265
35.000000 0.001504 0.002275 0.002975 0.006754
36.000000 0.006474 0.012184 0.005956 0.024614
37.000000 0.007196 0.012006 0.007263 0.026465
38.000000 0.005349 0.007694 0.005437 0.018480
39.000000 0.002652 0.003830 0.004323 0.010805
40.000000 0.001926 0.002335 0.002935 0.007196
41.000000 0.007185 0.015305 0.008518 0.031008
42.000000 0.008201 0.012015 0.007627 0.027843
43.000000 0.008267 0.012317 0.007575 0.028159
44.000000 0.008593 0.013908 0.008451 0.030952
45.000000 0.008745 0.012193 0.007225 0.028163
46.000000 0.008025 0.014313 0.007937 0.030275
47.000000 0.007831 0.013279 0.007266 0.028376
48.000000 0.008139 0.014507 0.007244 0.029890
49.000000 0.004684 0.005954 0.005055 0.015693
50.000000 0.006910 0.010129 0.007280 0.024319
51.000000 0.004729 0.009809 0.005500 0.020038
52.000000 0.005288 0.005534 0.005567 0.016389
53.000000 0.002652 0.003752 0.003627 0.010031
54.000000 0.003100 0.003799 0.004202 0.011101
55.000000 0.001480 0.002148 0.002986 0.006614
56.000000 0.004608 0.008238 0.005219 0.018065
57.000000 0.003667 0.005431 0.004092 0.013190
58.000000 0.004959 0.005279 0.004284 0.014522
59.000000 0.007379 0.012418 0.007356 0.027153
60.000000 0.007581 0.013524 0.007225 0.028330
61.000000 0.005218 0.006893 0.005218 0.017329
62.000000 0.003924 0.004580 0.005109 0.013613
63.000000 0.004089 0.006338 0.004530 0.014957
64.000000 0.005394 0.007111 0.005455 0.017960
65.000000 0.007543 0.013642 0.007737 0.028922
66.000000 0.007246 0.013541 0.006832 0.027619
67.000000 0.003536 0.004422 0.003948 0.011906
68.000000 0.007501 0.014433 0.007418 0.029352
69.000000 0.008171 0.012749 0.006961 0.027881
70.000000 0.001486 0.002428 0.002812 0.006726
71.000000 0.003303 0.004563 0.004064 0.011930
72.000000 0.001810 0.002070 0.003561 0.007441
73.000000 0.003047 0.004500 0.003503 0.011050
74.000000 0.002605 0.003415 0.004179 0.010199
75.000000 0.002516 0.003110 0.003547 0.009173
76.000000 0.005747 0.009189 0.006370 0.021306
77.000000 0.002360 0.003176 0.003660 0.009196
78.000000 0.003528 0.004639 0.004885 0.013052
79.000000 0.002592 0.003109 0.003623 0.009324
80.000000 0.002376 0.002970 0.004053 0.009399
81.000000 0.005908 0.010403 0.006347 0.022658
82.000000 0.007471 0.015568 0.007502 0.030541
83.000000 0.001976 0.002094 0.002816 0.006886
84.000000 0.002829 0.003132 0.003606 0.009567
85.000000 0.002554 0.003064 0.003779 0.009397
86.000000 0.008106 0.010450 0.006860 0.025416
87.000000 0.005168 0.009967 0.006052 0.021187
88.000000 0.006653 0.012237 0.006775 0.025665
89.000000 0.005243 0.008587 0.006117 0.019947
90.000000 0.002932 0.004145 0.004306 0.011383
91.000000 0.003472 0.003858 0.004163 0.011493
92.000000 0.001059 0.002132 0.003359 0.006550
93.000000 0.004882 0.005825 0.004827 0.015534
94.000000 0.008340 0.015977 0.007890 0.032207
95.000000 0.007149 0.011498 0.007637 0.026284
96.000000 0.002554 0.002925 0.003478 0.008957
97.000000 0.003456 0.004596 0.004888 0.012940
98.000000 0.006013 0.008028 0.005980 0.020021
99.000000 0.008030 0.014256 0.007139 0.029425
100.000000 0.008396 0.010944 0.007552 0.026892
101.000000 0.007401 0.012426 0.006975 0.026802
102.000000 0.007408 0.011353 0.007635 0.026396
103.000000 0.008003 0.013010 0.007532 0.028545
104.000000 0.005179 0.009979 0.005821 0.020979
105.000000 0.004647 0.006427 0.004862 0.015936
106.000000 0.001985 0.002660 0.003374 0.008019
107.000000 0.004377 0.004685 0.005752 0.014814
108.000000 0.005145 0.007400 0.005660 0.018205
109.000000 0.007215 0.011347 0.007769 0.026331
110.000000 0.006636 0.008261 0.009397 0.024294
111.000000 0.005056 0.010702 0.006851 0.022609
112.000000 0.003090 0.002897 0.004023 0.010010
113.000000 0.003083 0.003883 0.003652 0.010618
114.000000 0.002223 0.002674 0.003146 0.008043
115.000000 0.002726 0.003281 0.004143 0.010150
116.000000 0.007397 0.014852 0.007807 0.030056
117.000000 0.007431 0.010492 0.006594 0.024517
118.000000 0.002971 0.004363 0.003893 0.011227
119.000000 0.001575 0.002244 0.002826 0.006645
120.000000 0.003807 0.004310 0.004231 0.012348
121.000000 0.007030 0.013738 0.006755 0.027523
122.000000 0.003615 0.004107 0.004306 0.012028
123.000000 0.004484 0.005896 0.005928 0.016308
124.000000 0.007055 0.011919 0.007636 0.026610
125.000000 0.007866 0.012096 0.007394 0.027356
126.000000 0.006483 0.009978 0.006196 0.022657
127.000000 0.002029 0.002705 0.003075 0.007809
128.000000 0.004241 0.006491 0.004910 0.015642
129.000000 0.007444 0.010345 0.009002 0.026791
130.000000 0.009046 0.013769 0.007966 0.030781
131.000000 0.007334 0.014372 0.007563 0.029269
132.000000 0.008406 0.011113 0.008910 0.028429
133.000000 0.015449 0.016123 0.034444 0.066016
134.000000 0.004951 0.005944 0.005199 0.016094
135.000000 0.002793 0.002818 0.003988 0.009599
136.000000 0.006444 0.009733 0.006720 0.022897
