Time 3-10.0.0.4-10.0.0.2 1-10.0.0.4-10.0.0.2 2-10.0.0.4-10.0.0.2 Aggregate-Flow
0.000000 0.005760 0.000822 0.003041 0.009623
1.000000 0.001993 0.000686 0.003378 0.006057
2.000000 0.001423 0.000676 0.003221 0.005320
3.000000 0.002846 0.000790 0.003722 0.007358
4.000000 0.002095 0.000723 0.003792 0.006610
5.000000 0.002267 0.000725 0.002839 0.005831
6.000000 0.005114 0.001160 0.004356 0.010630
7.000000 0.001741 0.000621 0.003070 0.005432
8.000000 0.003212 0.000745 0.003561 0.007518
9.000000 0.005666 0.001453 0.004926 0.012045
10.000000 0.005770 0.001275 0.005768 0.012813
11.000000 0.002326 0.000603 0.003771 0.006700
12.000000 0.002095 0.000622 0.003300 0.006017
13.000000 0.001316 0.000438 0.002702 0.004456
14.000000 0.001559 0.000665 0.003808 0.006032
15.000000 0.001680 0.000583 0.003145 0.005408
16.000000 0.001267 0.000520 0.003697 0.005484
17.000000 0.001622 0.000588 0.003367 0.005577
18.000000 0.001568 0.000580 0.003512 0.005660
19.000000 0.002523 0.001073 0.003930 0.007526
20.000000 0.006147 0.001211 0.004674 0.012032
21.000000 0.001776 0.000546 0.003700 0.006022
22.000000 0.001759 0.000612 0.003456 0.005827
23.000000 0.003277 0.000750 0.003502 0.007529
24.000000 0.005441 0.001404 0.005466 0.012311
25.000000 0.005346 0.001211 0.005103 0.011660
26.000000 0.004989 0.001515 0.004440 0.010944
27.000000 0.002570 0.000740 0.002688 0.005998
28.000000 0.003181 0.000923 0.004728 0.008832
29.000000 0.001509 0.000518 0.003338 0.005365
30.000000 0.001814 0.000423 0.003133 0.005370
31.000000 0.003472 0.001123 0.003752 0.008347
32.000000 0.003113 0.000710 0.003773 0.007596
33.000000 0.002563 0.000696 0.003702 0.006961
34.000000 0.005259 0.001250 0.005724 0.012233
35.000000 0.005681 0.001183 0.006025 0.012889
36.000000 0.005284 0.001451 0.004998 0.011733
37.000000 0.001843 0.000435 0.002765 0.005043
38.000000 0.002497 0.000682 0.004629 0.007808
39.000000 0.002871 0.000558 0.003979 0.007408
40.000000 0.004221 0.001179 0.004719 0.010119
41.000000 0.003911 0.000955 0.004219 0.009085
42.000000 0.005068 0.001118 0.005983 0.012169
43.000000 0.006752 0.001612 0.006482 0.014846
44.000000 0.006598 0.001216 0.004929 0.012743
45.000000 0.008095 0.001264 0.004907 0.014266
46.000000 0.008070 0.001282 0.006171 0.015523
47.000000 0.006702 0.001169 0.005877 0.013748
48.000000 0.005786 0.001166 0.006155 0.013107
49.000000 0.001513 0.000434 0.003275 0.005222
