0	0.009	0.004	0.005	0.013
1	0.009	0.003	0.006	0.012
2	0.016	0.013	0.003	0.029
3	0.011	0.005	0.006	0.016
4	0.010	0.005	0.005	0.015
5	0.011	0.004	0.007	0.015
6	0.010	0.003	0.007	0.013
7	0.011	0.004	0.007	0.015
8	0.012	0.006	0.006	0.018
9	0.010	0.003	0.007	0.013
10	0.018	0.022	-0.004	0.040
11	0.032	0.051	-0.019	0.083
12	0.017	0.019	-0.002	0.036
13	0.039	0.073	-0.034	0.112
14	0.050	0.093	-0.043	0.143
15	0.014	0.012	0.002	0.026
16	0.011	0.005	0.006	0.016
17	0.035	0.054	-0.019	0.089
18	0.046	0.063	-0.017	0.109
19	0.049	0.059	-0.010	0.108
20	0.013	0.015	-0.002	0.028
21	0.010	0.011	-0.001	0.021
22	0.007	0.003	0.004	0.010
23	0.007	0.002	0.005	0.009
24	0.011	0.003	0.008	0.014
25	0.012	0.009	0.003	0.021
26	0.009	0.004	0.005	0.013
27	0.007	0.003	0.004	0.010
28	0.015	0.011	0.004	0.026
29	0.013	0.013	0.000	0.026
30	0.019	0.026	-0.007	0.045
31	0.026	0.033	-0.007	0.059
32	0.009	0.003	0.006	0.012
33	0.007	0.003	0.004	0.010
34	0.008	0.003	0.005	0.011
35	0.009	0.003	0.006	0.012
36	0.009	0.004	0.005	0.013
37	0.009	0.004	0.005	0.013
38	0.039	0.066	-0.027	0.105
39	0.047	0.063	-0.016	0.110
40	0.037	0.051	-0.014	0.088
41	0.035	0.041	-0.006	0.076
42	0.009	0.004	0.005	0.013
43	0.013	0.008	0.005	0.021
44	0.023	0.026	-0.003	0.049
45	0.067	0.118	-0.051	0.185
46	0.079	0.149	-0.070	0.228
47	0.018	0.020	-0.002	0.038
48	0.009	0.004	0.005	0.013
49	0.009	0.004	0.005	0.013
50	0.010	0.003	0.007	0.013
51	0.009	0.003	0.006	0.012
52	0.009	0.003	0.006	0.012
53	0.008	0.003	0.005	0.011
54	0.010	0.005	0.005	0.015
55	0.007	0.003	0.004	0.010
56	0.009	0.003	0.006	0.012
57	0.007	0.002	0.005	0.009
58	0.007	0.003	0.004	0.010
59	0.008	0.003	0.005	0.011
60	0.009	0.003	0.006	0.012
61	0.009	0.003	0.006	0.012
62	0.009	0.003	0.006	0.012
63	0.010	0.004	0.006	0.014
64	0.010	0.003	0.007	0.013
65	0.010	0.003	0.007	0.013
66	0.008	0.003	0.005	0.011
67	0.007	0.003	0.004	0.010
68	0.008	0.004	0.004	0.012
69	0.009	0.004	0.005	0.013
70	0.008	0.003	0.005	0.011
71	0.011	0.003	0.008	0.014
72	0.010	0.003	0.007	0.013
73	0.010	0.003	0.007	0.013
74	0.012	0.008	0.004	0.020
75	0.007	0.003	0.004	0.010
76	0.008	0.003	0.005	0.011
77	0.007	0.003	0.004	0.010
78	0.007	0.003	0.004	0.010
79	0.008	0.003	0.005	0.011
80	0.007	0.003	0.004	0.010
81	0.009	0.003	0.006	0.012
82	0.009	0.003	0.006	0.012
83	0.006	0.002	0.004	0.008
