Interval	Avg	Std	CI=0.95	Min	Median	Max
    0 --     1	0.009	0.005	0.004	0.002	0.008	0.019
    1 --     2	0.009	0.004	0.003	0.003	0.008	0.017
    2 --     3	0.016	0.019	0.013	0.002	0.011	0.071
    3 --     4	0.011	0.007	0.005	0.003	0.010	0.025
    4 --     5	0.010	0.007	0.005	0.002	0.008	0.025
    5 --     6	0.011	0.006	0.004	0.004	0.011	0.022
    6 --     7	0.010	0.004	0.003	0.004	0.011	0.015
    7 --     8	0.011	0.005	0.004	0.003	0.012	0.020
    8 --     9	0.012	0.008	0.006	0.004	0.011	0.032
    9 --    10	0.010	0.004	0.003	0.002	0.010	0.015
   10 --    11	0.018	0.031	0.022	0.002	0.009	0.109
   11 --    12	0.032	0.071	0.051	0.002	0.009	0.245
   12 --    13	0.017	0.027	0.019	0.003	0.007	0.096
   13 --    14	0.039	0.102	0.073	0.001	0.005	0.345
   14 --    15	0.050	0.130	0.093	0.000	0.007	0.439
   15 --    16	0.014	0.016	0.012	0.000	0.011	0.060
   16 --    17	0.011	0.007	0.005	0.002	0.011	0.022
   17 --    18	0.035	0.076	0.054	0.003	0.013	0.262
   18 --    19	0.046	0.089	0.063	0.003	0.011	0.300
   19 --    20	0.049	0.083	0.059	0.002	0.010	0.255
   20 --    21	0.013	0.020	0.015	0.002	0.005	0.073
   21 --    22	0.010	0.015	0.011	0.001	0.004	0.054
   22 --    23	0.007	0.004	0.003	0.002	0.005	0.015
   23 --    24	0.007	0.003	0.002	0.003	0.006	0.013
   24 --    25	0.011	0.005	0.003	0.002	0.013	0.015
   25 --    26	0.012	0.013	0.009	0.002	0.012	0.047
   26 --    27	0.009	0.005	0.004	0.001	0.010	0.016
   27 --    28	0.007	0.004	0.003	0.002	0.006	0.014
   28 --    29	0.015	0.015	0.011	0.005	0.011	0.058
   29 --    30	0.013	0.018	0.013	0.002	0.009	0.065
   30 --    31	0.019	0.037	0.026	0.002	0.007	0.129
   31 --    32	0.026	0.047	0.033	0.001	0.011	0.164
   32 --    33	0.009	0.004	0.003	0.003	0.009	0.015
   33 --    34	0.007	0.004	0.003	0.003	0.005	0.014
   34 --    35	0.008	0.004	0.003	0.002	0.008	0.015
   35 --    36	0.009	0.004	0.003	0.002	0.010	0.015
   36 --    37	0.009	0.005	0.004	0.002	0.009	0.015
   37 --    38	0.009	0.005	0.004	0.001	0.009	0.017
   38 --    39	0.039	0.093	0.066	0.002	0.010	0.317
   39 --    40	0.047	0.089	0.063	0.002	0.004	0.286
   40 --    41	0.037	0.072	0.051	0.002	0.006	0.242
   41 --    42	0.035	0.057	0.041	0.002	0.008	0.156
   42 --    43	0.009	0.006	0.004	0.002	0.008	0.024
   43 --    44	0.013	0.012	0.008	0.003	0.010	0.042
   44 --    45	0.023	0.036	0.026	0.003	0.012	0.131
   45 --    46	0.067	0.166	0.118	0.004	0.012	0.563
   46 --    47	0.079	0.208	0.149	0.002	0.011	0.702
   47 --    48	0.018	0.029	0.020	0.003	0.010	0.103
   48 --    49	0.009	0.005	0.004	0.003	0.010	0.016
   49 --    50	0.009	0.005	0.004	0.002	0.010	0.017
   50 --    51	0.010	0.004	0.003	0.003	0.011	0.015
   51 --    52	0.009	0.004	0.003	0.002	0.010	0.014
   52 --    53	0.009	0.005	0.003	0.001	0.009	0.016
   53 --    54	0.008	0.004	0.003	0.002	0.010	0.014
   54 --    55	0.010	0.006	0.005	0.004	0.010	0.026
   55 --    56	0.007	0.005	0.003	0.002	0.005	0.016
   56 --    57	0.009	0.005	0.003	0.003	0.009	0.016
   57 --    58	0.007	0.003	0.002	0.003	0.007	0.012
   58 --    59	0.007	0.005	0.003	0.002	0.006	0.016
   59 --    60	0.008	0.004	0.003	0.003	0.008	0.015
   60 --    61	0.009	0.004	0.003	0.002	0.009	0.016
   61 --    62	0.009	0.004	0.003	0.002	0.010	0.015
   62 --    63	0.009	0.004	0.003	0.002	0.010	0.015
   63 --    64	0.010	0.006	0.004	0.002	0.011	0.020
   64 --    65	0.010	0.005	0.003	0.003	0.012	0.015
   65 --    66	0.010	0.005	0.003	0.003	0.010	0.020
   66 --    67	0.008	0.004	0.003	0.002	0.009	0.014
   67 --    68	0.007	0.004	0.003	0.003	0.005	0.014
   68 --    69	0.008	0.006	0.004	0.002	0.005	0.020
   69 --    70	0.009	0.005	0.004	0.002	0.009	0.015
   70 --    71	0.008	0.005	0.003	0.002	0.010	0.015
   71 --    72	0.011	0.004	0.003	0.003	0.014	0.015
   72 --    73	0.010	0.004	0.003	0.002	0.012	0.014
   73 --    74	0.010	0.005	0.003	0.002	0.013	0.015
   74 --    75	0.012	0.011	0.008	0.002	0.010	0.043
   75 --    76	0.007	0.005	0.003	0.002	0.006	0.016
   76 --    77	0.008	0.004	0.003	0.002	0.009	0.015
   77 --    78	0.007	0.005	0.003	0.002	0.004	0.015
   78 --    79	0.007	0.004	0.003	0.001	0.006	0.014
   79 --    80	0.008	0.004	0.003	0.001	0.010	0.013
   80 --    81	0.007	0.005	0.003	0.002	0.007	0.015
   81 --    82	0.009	0.004	0.003	0.003	0.011	0.014
   82 --    83	0.009	0.004	0.003	0.002	0.007	0.016
   83 --    84	0.006	0.003	0.002	0.002	0.006	0.010
   84 --    85	0.008	0.004	0.003	0.002	0.009	0.013
   85 --    86	0.006	0.004	0.003	0.002	0.004	0.014
   86 --    87	0.005	0.003	0.002	0.003	0.004	0.010
   87 --    88	0.006	0.004	0.003	0.002	0.004	0.014
   88 --    89	0.009	0.005	0.003	0.002	0.009	0.016
   89 --    90	0.008	0.004	0.003	0.003	0.008	0.015
   90 --    91	0.007	0.004	0.003	0.002	0.005	0.014
   91 --    92	0.030	0.068	0.049	0.003	0.008	0.234
   92 --    93	0.027	0.058	0.042	0.002	0.009	0.201
   93 --    94	0.008	0.004	0.003	0.003	0.007	0.018
   94 --    95	0.042	0.107	0.076	0.002	0.005	0.362
   95 --    96	0.024	0.055	0.039	0.002	0.004	0.189
   96 --    97	0.008	0.005	0.003	0.002	0.008	0.015
   97 --    98	0.010	0.006	0.004	0.002	0.010	0.021
   98 --    99	0.007	0.003	0.002	0.002	0.007	0.012
   99 --   100	0.005	0.004	0.003	0.002	0.004	0.014
  100 --   101	0.006	0.004	0.003	0.001	0.004	0.015
  101 --   102	0.008	0.005	0.003	0.002	0.007	0.015
  102 --   103	0.011	0.006	0.004	0.001	0.011	0.023
  103 --   104	0.009	0.004	0.003	0.003	0.009	0.014
  104 --   105	0.039	0.093	0.067	0.002	0.009	0.318
  105 --   106	0.032	0.081	0.058	0.002	0.005	0.275
  106 --   107	0.014	0.020	0.014	0.001	0.005	0.065
  107 --   108	0.034	0.072	0.052	0.003	0.008	0.249
  108 --   109	0.027	0.057	0.041	0.002	0.008	0.198
  109 --   110	0.009	0.006	0.004	0.002	0.009	0.021
  110 --   111	0.007	0.004	0.003	0.003	0.004	0.015
