Time 1-10.0.0.4-10.0.0.2 Aggregate-Flow
0.000000 0.000381 0.000381
1.000000 0.000663 0.000663
2.000000 0.000601 0.000601
3.000000 0.000951 0.000951
4.000000 0.000471 0.000471
5.000000 0.000090 0.000090
6.000000 0.000333 0.000333
7.000000 0.000154 0.000154
8.000000 0.000618 0.000618
9.000000 0.000720 0.000720
10.000000 0.000343 0.000343
11.000000 0.000597 0.000597
12.000000 0.000534 0.000534
13.000000 0.000596 0.000596
14.000000 0.000913 0.000913
15.000000 0.000291 0.000291
16.000000 0.000641 0.000641
17.000000 0.000338 0.000338
18.000000 0.000827 0.000827
19.000000 0.000483 0.000483
20.000000 0.000083 0.000083
21.000000 0.001432 0.001432
22.000000 0.000540 0.000540
23.000000 0.000435 0.000435
24.000000 0.001056 0.001056
25.000000 0.000585 0.000585
26.000000 0.000303 0.000303
27.000000 0.000245 0.000245
28.000000 0.000354 0.000354
29.000000 0.000151 0.000151
30.000000 0.000446 0.000446
31.000000 0.000610 0.000610
32.000000 0.000456 0.000456
33.000000 0.000278 0.000278
34.000000 0.000071 0.000071
35.000000 0.000188 0.000188
36.000000 0.000880 0.000880
37.000000 0.000102 0.000102
38.000000 0.000260 0.000260
39.000000 0.000666 0.000666
40.000000 0.000134 0.000134
41.000000 0.001009 0.001009
42.000000 0.000401 0.000401
43.000000 0.000442 0.000442
44.000000 0.000378 0.000378
45.000000 0.000145 0.000145
46.000000 0.000661 0.000661
47.000000 0.000521 0.000521
48.000000 0.000066 0.000066
49.000000 0.001043 0.001043
50.000000 0.000660 0.000660
51.000000 0.000590 0.000590
52.000000 0.000173 0.000173
53.000000 0.000592 0.000592
54.000000 0.000686 0.000686
55.000000 0.000169 0.000169
56.000000 0.000962 0.000962
57.000000 0.000605 0.000605
58.000000 0.000537 0.000537
59.000000 0.001465 0.001465
60.000000 0.000294 0.000294
61.000000 0.000176 0.000176
62.000000 0.000390 0.000390
63.000000 0.000455 0.000455
64.000000 0.000349 0.000349
65.000000 0.000302 0.000302
66.000000 0.000923 0.000923
67.000000 0.000223 0.000223
68.000000 0.000563 0.000563
69.000000 0.000501 0.000501
70.000000 0.000117 0.000117
71.000000 0.001009 0.001009
72.000000 0.000262 0.000262
73.000000 0.000148 0.000148
74.000000 0.000098 0.000098
75.000000 0.000355 0.000355
76.000000 0.000823 0.000823
77.000000 0.000320 0.000320
78.000000 0.000626 0.000626
79.000000 0.000628 0.000628
80.000000 0.000914 0.000914
81.000000 0.000943 0.000943
82.000000 0.000489 0.000489
83.000000 0.000191 0.000191
84.000000 0.000835 0.000835
85.000000 0.000536 0.000536
86.000000 0.000727 0.000727
87.000000 0.000280 0.000280
88.000000 0.000244 0.000244
89.000000 0.001553 0.001553
90.000000 0.000979 0.000979
91.000000 0.000302 0.000302
92.000000 0.000346 0.000346
93.000000 0.000165 0.000165
94.000000 0.000229 0.000229
95.000000 0.000226 0.000226
96.000000 0.000135 0.000135
97.000000 0.000819 0.000819
98.000000 0.000400 0.000400
99.000000 0.000160 0.000160
100.000000 0.000147 0.000147
101.000000 0.001003 0.001003
102.000000 0.000746 0.000746
103.000000 0.001092 0.001092
104.000000 0.000795 0.000795
105.000000 0.000160 0.000160
106.000000 0.000833 0.000833
107.000000 0.000534 0.000534
108.000000 0.000265 0.000265
109.000000 0.000335 0.000335
110.000000 0.000182 0.000182
