Time 1-10.0.0.4-10.0.0.2 Aggregate-Flow
0.000000 634.880000 634.880000
1.000000 336.640000 336.640000
2.000000 460.160000 460.160000
3.000000 614.720000 614.720000
4.000000 346.560000 346.560000
5.000000 278.720000 278.720000
6.000000 397.120000 397.120000
7.000000 370.880000 370.880000
8.000000 499.520000 499.520000
9.000000 596.800000 596.800000
10.000000 306.240000 306.240000
11.000000 432.640000 432.640000
12.000000 467.840000 467.840000
13.000000 405.440000 405.440000
14.000000 428.160000 428.160000
15.000000 434.560000 434.560000
16.000000 392.640000 392.640000
17.000000 399.040000 399.040000
18.000000 536.320000 536.320000
19.000000 344.000000 344.000000
20.000000 439.680000 439.680000
21.000000 533.120000 533.120000
22.000000 506.240000 506.240000
23.000000 401.280000 401.280000
24.000000 514.560000 514.560000
25.000000 395.840000 395.840000
26.000000 345.920000 345.920000
27.000000 533.760000 533.760000
28.000000 303.680000 303.680000
29.000000 448.960000 448.960000
30.000000 451.840000 451.840000
31.000000 349.760000 349.760000
32.000000 582.080000 582.080000
33.000000 530.240000 530.240000
34.000000 370.240000 370.240000
35.000000 583.680000 583.680000
36.000000 498.560000 498.560000
37.000000 392.960000 392.960000
38.000000 646.400000 646.400000
39.000000 523.840000 523.840000
40.000000 364.800000 364.800000
41.000000 434.240000 434.240000
42.000000 633.280000 633.280000
43.000000 412.160000 412.160000
44.000000 353.920000 353.920000
45.000000 511.680000 511.680000
46.000000 517.440000 517.440000
47.000000 784.000000 784.000000
48.000000 688.640000 688.640000
49.000000 657.280000 657.280000
50.000000 384.960000 384.960000
51.000000 609.920000 609.920000
52.000000 344.000000 344.000000
53.000000 740.480000 740.480000
54.000000 595.840000 595.840000
55.000000 433.920000 433.920000
56.000000 650.240000 650.240000
57.000000 535.360000 535.360000
58.000000 477.440000 477.440000
59.000000 473.280000 473.280000
60.000000 701.760000 701.760000
61.000000 379.520000 379.520000
62.000000 477.440000 477.440000
63.000000 488.960000 488.960000
64.000000 377.600000 377.600000
65.000000 379.200000 379.200000
66.000000 471.680000 471.680000
67.000000 350.720000 350.720000
68.000000 220.160000 220.160000
69.000000 397.120000 397.120000
70.000000 395.520000 395.520000
71.000000 523.200000 523.200000
72.000000 474.560000 474.560000
73.000000 363.520000 363.520000
74.000000 513.280000 513.280000
75.000000 381.120000 381.120000
76.000000 298.880000 298.880000
77.000000 398.080000 398.080000
78.000000 426.560000 426.560000
79.000000 634.880000 634.880000
80.000000 765.120000 765.120000
81.000000 478.720000 478.720000
82.000000 510.080000 510.080000
83.000000 389.760000 389.760000
84.000000 317.760000 317.760000
85.000000 350.080000 350.080000
86.000000 710.080000 710.080000
87.000000 531.200000 531.200000
88.000000 454.080000 454.080000
89.000000 589.120000 589.120000
90.000000 528.000000 528.000000
91.000000 510.400000 510.400000
92.000000 616.960000 616.960000
93.000000 508.800000 508.800000
94.000000 523.200000 523.200000
95.000000 529.920000 529.920000
96.000000 491.840000 491.840000
97.000000 522.880000 522.880000
98.000000 568.640000 568.640000
99.000000 651.200000 651.200000
100.000000 534.400000 534.400000
101.000000 654.080000 654.080000
102.000000 638.720000 638.720000
103.000000 480.960000 480.960000
104.000000 624.000000 624.000000
105.000000 669.440000 669.440000
106.000000 344.320000 344.320000
107.000000 507.840000 507.840000
108.000000 519.040000 519.040000
109.000000 323.840000 323.840000
110.000000 791.680000 791.680000
111.000000 553.920000 553.920000
112.000000 253.440000 253.440000
113.000000 447.360000 447.360000
114.000000 615.680000 615.680000
115.000000 343.680000 343.680000
116.000000 569.280000 569.280000
117.000000 666.560000 666.560000
118.000000 438.720000 438.720000
119.000000 509.760000 509.760000
120.000000 623.680000 623.680000
121.000000 366.400000 366.400000
122.000000 937.920000 937.920000
123.000000 720.000000 720.000000
124.000000 488.000000 488.000000
125.000000 731.520000 731.520000
126.000000 541.440000 541.440000
127.000000 295.360000 295.360000
128.000000 567.040000 567.040000
129.000000 404.160000 404.160000
130.000000 421.440000 421.440000
131.000000 578.240000 578.240000
132.000000 575.360000 575.360000
133.000000 436.480000 436.480000
