Time 1-10.0.0.3-10.0.0.2 Aggregate-Flow
0.000000 0.000896 0.000896
1.000000 0.000104 0.000104
2.000000 0.000081 0.000081
3.000000 0.000055 0.000055
4.000000 0.000082 0.000082
5.000000 0.000078 0.000078
6.000000 0.000087 0.000087
7.000000 0.000118 0.000118
8.000000 0.000077 0.000077
9.000000 0.000082 0.000082
10.000000 0.024626 0.024626
11.000000 0.000085 0.000085
12.000000 0.000078 0.000078
13.000000 0.000118 0.000118
14.000000 0.000084 0.000084
15.000000 0.000083 0.000083
16.000000 0.000094 0.000094
17.000000 0.011243 0.011243
18.000000 0.000084 0.000084
19.000000 0.000114 0.000114
20.000000 0.000114 0.000114
21.000000 0.000078 0.000078
22.000000 0.000306 0.000306
23.000000 0.000113 0.000113
24.000000 0.000073 0.000073
25.000000 0.000115 0.000115
26.000000 0.000146 0.000146
27.000000 0.000077 0.000077
28.000000 0.000098 0.000098
29.000000 0.000118 0.000118
30.000000 0.000079 0.000079
31.000000 0.000086 0.000086
32.000000 0.000126 0.000126
33.000000 0.000068 0.000068
34.000000 0.006925 0.006925
35.000000 0.000090 0.000090
36.000000 0.000095 0.000095
37.000000 0.000079 0.000079
38.000000 0.000094 0.000094
39.000000 0.000089 0.000089
40.000000 0.000322 0.000322
41.000000 0.000153 0.000153
42.000000 0.000096 0.000096
43.000000 0.000104 0.000104
44.000000 0.000094 0.000094
45.000000 0.000100 0.000100
46.000000 0.000078 0.000078
47.000000 0.000084 0.000084
48.000000 0.000104 0.000104
49.000000 0.000079 0.000079
50.000000 0.000090 0.000090
51.000000 0.000087 0.000087
52.000000 0.000360 0.000360
53.000000 0.000086 0.000086
54.000000 0.000077 0.000077
55.000000 0.000097 0.000097
56.000000 0.000197 0.000197
57.000000 0.000292 0.000292
58.000000 0.000083 0.000083
59.000000 0.000071 0.000071
60.000000 0.000134 0.000134
61.000000 0.000083 0.000083
62.000000 0.000117 0.000117
63.000000 0.000110 0.000110
64.000000 0.000074 0.000074
65.000000 0.000077 0.000077
66.000000 0.000115 0.000115
67.000000 0.000080 0.000080
68.000000 0.000070 0.000070
69.000000 0.000120 0.000120
70.000000 0.000067 0.000067
71.000000 0.001011 0.001011
72.000000 0.000155 0.000155
73.000000 0.000075 0.000075
74.000000 0.000348 0.000348
75.000000 0.000110 0.000110
76.000000 0.000199 0.000199
77.000000 0.000085 0.000085
78.000000 0.000119 0.000119
79.000000 0.000073 0.000073
80.000000 0.000102 0.000102
81.000000 0.000123 0.000123
82.000000 0.000066 0.000066
83.000000 0.000081 0.000081
84.000000 0.000095 0.000095
85.000000 0.000087 0.000087
86.000000 0.000072 0.000072
87.000000 0.000089 0.000089
88.000000 0.000071 0.000071
89.000000 0.000169 0.000169
90.000000 0.000096 0.000096
91.000000 0.000114 0.000114
92.000000 0.000090 0.000090
93.000000 0.000087 0.000087
94.000000 0.000112 0.000112
95.000000 0.000069 0.000069
96.000000 0.000066 0.000066
97.000000 0.000108 0.000108
98.000000 0.000073 0.000073
99.000000 0.000117 0.000117
100.000000 0.000087 0.000087
101.000000 0.000121 0.000121
102.000000 0.000107 0.000107
103.000000 0.000125 0.000125
104.000000 0.000079 0.000079
105.000000 0.000081 0.000081
106.000000 0.000147 0.000147
107.000000 0.000084 0.000084
108.000000 0.000267 0.000267
109.000000 0.000149 0.000149
110.000000 0.000087 0.000087
111.000000 0.000089 0.000089
112.000000 0.000099 0.000099
113.000000 0.000080 0.000080
114.000000 0.000083 0.000083
115.000000 0.000122 0.000122
116.000000 0.000088 0.000088
117.000000 0.000081 0.000081
118.000000 0.000117 0.000117
119.000000 0.000079 0.000079
120.000000 0.000070 0.000070
121.000000 0.000105 0.000105
122.000000 0.000098 0.000098
123.000000 0.000107 0.000107
124.000000 0.000101 0.000101
125.000000 0.000088 0.000088
126.000000 0.000094 0.000094
127.000000 0.000091 0.000091
128.000000 0.000082 0.000082
129.000000 0.000078 0.000078
130.000000 0.000161 0.000161
131.000000 0.000102 0.000102
132.000000 0.000083 0.000083
133.000000 0.000100 0.000100
134.000000 0.000096 0.000096
135.000000 0.000236 0.000236
136.000000 0.000100 0.000100
137.000000 0.000087 0.000087
138.000000 0.000069 0.000069
139.000000 0.000088 0.000088
140.000000 0.000122 0.000122
141.000000 0.000080 0.000080
142.000000 0.000097 0.000097
143.000000 0.000081 0.000081
144.000000 0.000079 0.000079
145.000000 0.000082 0.000082
146.000000 0.000097 0.000097
147.000000 0.000102 0.000102
148.000000 0.000097 0.000097
149.000000 0.000112 0.000112
150.000000 0.000090 0.000090
151.000000 0.000092 0.000092
152.000000 0.000069 0.000069
153.000000 0.000083 0.000083
154.000000 0.000087 0.000087
155.000000 0.000158 0.000158
156.000000 0.000076 0.000076
157.000000 0.000101 0.000101
158.000000 0.000143 0.000143
159.000000 0.000095 0.000095
160.000000 0.000079 0.000079
161.000000 0.000095 0.000095
162.000000 0.000075 0.000075
163.000000 0.000077 0.000077
164.000000 0.000157 0.000157
165.000000 0.000142 0.000142
166.000000 0.000105 0.000105
167.000000 0.000127 0.000127
168.000000 0.000084 0.000084
169.000000 0.000086 0.000086
170.000000 0.000094 0.000094
171.000000 0.000099 0.000099
172.000000 0.000084 0.000084
173.000000 0.000110 0.000110
174.000000 0.000093 0.000093
175.000000 0.000099 0.000099
176.000000 0.000146 0.000146
177.000000 0.000091 0.000091
178.000000 0.000080 0.000080
179.000000 0.000095 0.000095
180.000000 0.000078 0.000078
181.000000 0.000417 0.000417
