Time 1-10.0.0.3-10.0.0.2 Aggregate-Flow
0.000000 0.000226 0.000226
1.000000 0.000100 0.000100
2.000000 0.000064 0.000064
3.000000 0.000033 0.000033
4.000000 0.000082 0.000082
5.000000 0.000061 0.000061
6.000000 0.000069 0.000069
7.000000 0.000128 0.000128
8.000000 0.000060 0.000060
9.000000 0.000065 0.000065
10.000000 0.001422 0.001422
11.000000 0.000061 0.000061
12.000000 0.000059 0.000059
13.000000 0.000129 0.000129
14.000000 0.000067 0.000067
15.000000 0.000063 0.000063
16.000000 0.000084 0.000084
17.000000 0.001036 0.001036
18.000000 0.000068 0.000068
19.000000 0.000128 0.000128
20.000000 0.000123 0.000123
21.000000 0.000056 0.000056
22.000000 0.000502 0.000502
23.000000 0.000124 0.000124
24.000000 0.000049 0.000049
25.000000 0.000133 0.000133
26.000000 0.000184 0.000184
27.000000 0.000056 0.000056
28.000000 0.000093 0.000093
29.000000 0.000136 0.000136
30.000000 0.000053 0.000053
31.000000 0.000069 0.000069
32.000000 0.000142 0.000142
33.000000 0.000046 0.000046
34.000000 0.000430 0.000430
35.000000 0.000079 0.000079
36.000000 0.000084 0.000084
37.000000 0.000059 0.000059
38.000000 0.000081 0.000081
39.000000 0.000077 0.000077
40.000000 0.000544 0.000544
41.000000 0.000192 0.000192
42.000000 0.000091 0.000091
43.000000 0.000106 0.000106
44.000000 0.000080 0.000080
45.000000 0.000100 0.000100
46.000000 0.000057 0.000057
47.000000 0.000071 0.000071
48.000000 0.000111 0.000111
49.000000 0.000057 0.000057
50.000000 0.000083 0.000083
51.000000 0.000070 0.000070
52.000000 0.000102 0.000102
53.000000 0.000078 0.000078
54.000000 0.000059 0.000059
55.000000 0.000089 0.000089
56.000000 0.000247 0.000247
57.000000 0.000476 0.000476
58.000000 0.000065 0.000065
59.000000 0.000045 0.000045
60.000000 0.000171 0.000171
61.000000 0.000062 0.000062
62.000000 0.000124 0.000124
63.000000 0.000120 0.000120
64.000000 0.000046 0.000046
65.000000 0.000050 0.000050
66.000000 0.000127 0.000127
67.000000 0.000061 0.000061
68.000000 0.000045 0.000045
69.000000 0.000139 0.000139
70.000000 0.000036 0.000036
71.000000 0.000173 0.000173
72.000000 0.000187 0.000187
73.000000 0.000055 0.000055
74.000000 0.000118 0.000118
75.000000 0.000116 0.000116
76.000000 0.000135 0.000135
77.000000 0.000069 0.000069
78.000000 0.000136 0.000136
79.000000 0.000047 0.000047
80.000000 0.000103 0.000103
81.000000 0.000145 0.000145
