Interval	Avg	Std	CI=0.95	Min	Median	Max
    0 --     1	293.920	70.560	633.956	223.360	293.920	364.480
    1 --     2	217.440	107.360	964.591	110.080	217.440	324.800
    2 --     3	176.320	33.920	304.759	142.400	176.320	210.240
    3 --     4	345.280	27.520	247.257	317.760	345.280	372.800
    4 --     5	311.040	99.200	891.277	211.840	311.040	410.240
    5 --     6	235.840	4.160	37.376	231.680	235.840	240.000
    6 --     7	319.040	70.080	629.644	248.960	319.040	389.120
    7 --     8	256.480	125.280	1125.596	131.200	256.480	381.760
    8 --     9	196.800	42.880	385.262	153.920	196.800	239.680
    9 --    10	266.080	16.160	145.192	249.920	266.080	282.240
   10 --    11	212.480	53.760	483.014	158.720	212.480	266.240
   11 --    12	227.360	72.160	648.332	155.200	227.360	299.520
   12 --    13	224.640	29.120	261.633	195.520	224.640	253.760
   13 --    14	214.400	89.280	802.149	125.120	214.400	303.680
   14 --    15	205.440	7.360	66.127	198.080	205.440	212.800
   15 --    16	211.520	27.520	247.257	184.000	211.520	239.040
   16 --    17	217.120	85.280	766.210	131.840	217.120	302.400
   17 --    18	186.880	15.040	135.129	171.840	186.880	201.920
   18 --    19	191.520	37.600	337.823	153.920	191.520	229.120
   19 --    20	247.040	80.320	721.647	166.720	247.040	327.360
   20 --    21	206.720	43.520	391.012	163.200	206.720	250.240
   21 --    22	186.240	65.280	586.518	120.960	186.240	251.520
   22 --    23	247.520	58.400	524.703	189.120	247.520	305.920
   23 --    24	230.080	56.320	506.015	173.760	230.080	286.400
   24 --    25	192.640	80.960	727.397	111.680	192.640	273.600
   25 --    26	216.000	17.280	155.255	198.720	216.000	233.280
   26 --    27	214.080	73.600	661.270	140.480	214.080	287.680
   27 --    28	208.800	55.840	501.702	152.960	208.800	264.640
   28 --    29	271.680	48.000	431.263	223.680	271.680	319.680
   29 --    30	206.400	81.920	736.022	124.480	206.400	288.320
   30 --    31	205.760	42.880	385.262	162.880	205.760	248.640
   31 --    32	210.400	0.800	7.188	209.600	210.400	211.200
   32 --    33	210.560	83.840	753.273	126.720	210.560	294.400
   33 --    34	250.400	21.920	196.943	228.480	250.400	272.320
   34 --    35	249.600	18.240	163.880	231.360	249.600	267.840
   35 --    36	218.720	111.200	999.092	107.520	218.720	329.920
   36 --    37	190.560	25.440	228.569	165.120	190.560	216.000
   37 --    38	187.840	35.200	316.259	152.640	187.840	223.040
   38 --    39	178.560	69.760	626.769	108.800	178.560	248.320
   39 --    40	180.800	27.200	244.382	153.600	180.800	208.000
   40 --    41	160.480	34.080	306.197	126.400	160.480	194.560
   41 --    42	179.840	80.960	727.397	98.880	179.840	260.800
   42 --    43	208.320	5.440	48.876	202.880	208.320	213.760
   43 --    44	178.400	55.840	501.702	122.560	178.400	234.240
   44 --    45	180.160	74.880	672.770	105.280	180.160	255.040
   45 --    46	188.160	23.040	207.006	165.120	188.160	211.200
   46 --    47	179.360	68.640	616.706	110.720	179.360	248.000
   47 --    48	239.520	30.240	271.696	209.280	239.520	269.760
   48 --    49	258.400	12.320	110.691	246.080	258.400	270.720
