Interval	Avg	Std	CI=0.95	Min	Median	Max
    0 --     1	0.000	0.000	0.000	0.000	0.000	0.000
    1 --     2	2.715	1.918	2.381	1.000	1.667	6.068
    2 --     3	6.290	4.113	5.107	2.000	4.952	11.940
    3 --     4	8.669	4.148	5.151	2.833	10.969	12.712
    4 --     5	9.199	3.600	4.470	3.875	11.037	13.043
    5 --     6	8.913	3.215	3.992	4.000	9.521	12.765
    6 --     7	8.936	2.929	3.637	4.000	8.971	12.134
    7 --     8	9.731	2.266	2.814	6.000	10.137	12.572
    8 --     9	11.115	2.031	2.522	7.875	10.919	13.977
    9 --    10	11.435	1.959	2.432	8.000	11.574	13.917
   10 --    11	11.767	1.906	2.366	8.000	12.754	12.990
   11 --    12	12.232	0.899	1.116	10.954	12.220	13.708
   12 --    13	12.255	1.049	1.303	10.846	12.467	13.605
   13 --    14	11.584	0.960	1.192	10.477	11.706	12.830
   14 --    15	11.064	1.634	2.029	9.583	10.722	14.128
   15 --    16	10.972	1.782	2.212	8.919	10.450	13.198
   16 --    17	10.767	1.433	1.779	8.809	10.112	12.549
   17 --    18	9.971	1.742	2.164	7.612	10.941	11.879
   18 --    19	9.652	2.446	3.037	6.735	9.759	12.612
   19 --    20	9.439	2.796	3.471	6.051	10.003	12.502
   20 --    21	9.771	3.098	3.847	5.901	10.319	14.693
   21 --    22	10.713	3.840	4.768	5.889	9.819	17.131
   22 --    23	10.275	3.909	4.854	4.971	9.544	16.185
   23 --    24	11.099	3.511	4.359	7.087	10.452	16.295
   24 --    25	11.135	3.867	4.802	6.414	11.044	16.447
   25 --    26	11.039	3.886	4.825	5.964	12.502	15.612
   26 --    27	10.448	3.733	4.635	5.669	12.492	14.850
   27 --    28	10.688	2.817	3.498	7.206	12.931	13.041
   28 --    29	11.828	2.491	3.093	7.171	12.315	14.691
   29 --    30	11.124	2.142	2.660	7.467	11.415	14.002
   30 --    31	10.671	2.444	3.035	5.999	11.433	12.653
   31 --    32	10.907	2.261	2.808	6.705	11.767	13.341
   32 --    33	9.915	3.006	3.733	6.434	10.884	14.494
   33 --    34	10.703	2.271	2.820	8.541	9.967	14.880
   34 --    35	10.984	1.913	2.376	9.426	10.387	14.731
   35 --    36	10.403	1.879	2.334	8.373	9.939	13.972
   36 --    37	10.655	2.275	2.825	7.328	11.898	13.310
   37 --    38	10.497	2.701	3.354	7.207	11.090	14.013
   38 --    39	10.923	3.568	4.430	6.346	11.831	16.388
   39 --    40	11.052	3.497	4.342	6.310	11.148	16.484
   40 --    41	11.629	3.246	4.030	6.274	11.778	15.845
   41 --    42	11.713	3.395	4.216	5.774	13.739	14.676
   42 --    43	12.156	3.969	4.928	4.583	13.126	16.231
   43 --    44	11.199	4.317	5.360	3.536	11.699	16.856
   44 --    45	11.119	3.617	4.491	4.748	11.195	15.877
   45 --    46	11.442	3.837	4.765	5.395	10.413	16.026
   46 --    47	12.751	3.500	4.346	9.237	10.511	18.593
   47 --    48	13.639	3.140	3.899	9.850	14.502	18.623
   48 --    49	14.189	3.661	4.546	9.339	14.062	19.144
   49 --    50	13.873	3.810	4.731	8.425	14.005	19.091
   50 --    51	13.614	4.388	5.449	7.082	14.005	20.058
   51 --    52	14.092	4.298	5.336	8.432	14.755	20.723
   52 --    53	13.577	4.157	5.161	7.996	15.115	19.480
   53 --    54	14.042	3.840	4.768	7.867	15.125	18.334
   54 --    55	13.719	4.339	5.388	7.657	12.874	18.935
   55 --    56	13.026	3.999	4.966	8.200	11.755	18.373
   56 --    57	13.254	3.953	4.908	8.819	12.533	18.300
   57 --    58	13.876	3.792	4.709	8.168	14.158	18.373
   58 --    59	15.072	4.171	5.179	8.297	15.616	20.741
   59 --    60	16.475	4.246	5.272	10.226	17.380	22.161
   60 --    61	17.204	3.592	4.461	11.408	17.546	21.047
   61 --    62	17.237	3.537	4.392	10.833	18.401	20.574
   62 --    63	16.970	4.275	5.308	8.645	19.190	20.194
   63 --    64	16.628	4.035	5.010	9.213	18.478	20.276
   64 --    65	16.982	3.809	4.730	10.397	18.740	21.130
   65 --    66	17.476	4.342	5.391	9.714	20.254	21.313
   66 --    67	18.896	5.632	6.993	9.816	20.785	25.556
   67 --    68	18.958	5.978	7.423	10.131	18.284	26.639
   68 --    69	19.136	6.489	8.058	9.618	18.356	28.046
   69 --    70	19.059	5.483	6.808	10.731	19.523	25.599
   70 --    71	19.571	4.313	5.355	13.584	21.144	24.438
   71 --    72	19.154	4.314	5.357	13.367	21.091	24.559
   72 --    73	18.938	5.850	7.263	11.898	20.764	27.788
   73 --    74	19.174	7.757	9.632	10.706	18.909	32.205
   74 --    75	19.242	8.204	10.186	10.145	17.957	32.200
   75 --    76	20.188	7.794	9.677	11.118	18.207	31.834
   76 --    77	20.893	7.474	9.280	11.118	19.332	31.097
   77 --    78	20.272	7.031	8.730	11.118	19.582	29.591
   78 --    79	20.158	7.398	9.186	11.118	20.165	30.749
   79 --    80	20.111	7.916	9.829	11.118	21.346	31.550
   80 --    81	20.378	8.287	10.289	10.615	22.568	31.608
   81 --    82	21.471	9.084	11.280	10.833	24.509	32.941
   82 --    83	22.425	9.459	11.745	9.771	27.134	33.231
   83 --    84	21.325	9.884	12.273	7.074	26.670	32.186
   84 --    85	20.645	9.733	12.085	6.776	25.279	31.236
   85 --    86	20.683	9.778	12.140	6.776	26.951	30.339
   86 --    87	20.514	9.519	11.819	7.348	26.415	29.142
   87 --    88	20.915	8.657	10.749	8.251	26.535	29.508
   88 --    89	21.265	8.543	10.607	8.154	26.231	30.743
   89 --    90	21.181	9.102	11.301	7.379	26.540	31.137
   90 --    91	23.126	6.233	7.740	12.443	26.372	29.335
   91 --    92	23.803	7.313	9.080	11.257	27.985	30.662
   92 --    93	24.668	8.402	10.433	10.650	28.064	33.495
   93 --    94	24.602	8.468	10.515	10.900	25.975	33.587
   94 --    95	24.689	8.248	10.242	11.817	25.090	34.043
   95 --    96	24.714	8.434	10.472	12.108	24.003	35.702
   96 --    97	24.796	8.536	10.599	12.225	24.495	37.035
   97 --    98	25.233	8.883	11.030	11.829	27.209	37.592
   98 --    99	25.433	9.481	11.772	10.747	29.560	37.239
   99 --   100	24.889	9.565	11.877	10.091	29.251	35.474
  100 --   101	24.337	9.701	12.046	9.880	27.968	35.075
  101 --   102	23.905	9.952	12.357	9.423	25.746	35.120
  102 --   103	24.359	9.505	11.802	11.360	25.625	35.574
  103 --   104	25.156	8.609	10.689	14.245	27.715	34.667
  104 --   105	26.108	7.399	9.187	15.807	29.371	33.571
  105 --   106	25.244	6.750	8.382	15.807	28.361	32.253
  106 --   107	24.387	6.857	8.514	15.524	27.427	31.517
  107 --   108	23.811	6.922	8.594	14.228	27.580	31.085
  108 --   109	23.501	7.323	9.092	13.136	27.454	31.189
  109 --   110	23.280	9.099	11.298	11.139	27.674	33.030
  110 --   111	23.812	8.984	11.155	11.139	29.361	32.033
  111 --   112	24.432	9.445	11.727	11.139	30.986	34.079
  112 --   113	24.762	9.398	11.669	11.139	30.425	34.523
  113 --   114	24.575	8.658	10.751	11.139	28.945	33.333
  114 --   115	24.935	7.921	9.835	11.139	30.278	31.328
  115 --   116	24.971	7.987	9.917	11.139	29.167	32.278
