Interval	Avg	Std	CI=0.95	Min	Median	Max
    0 --     1	0.000	0.000	0.000	0.000	0.000	0.000
    1 --     2	1.859	0.506	0.629	1.417	1.708	2.783
    2 --     3	3.583	2.485	3.086	1.917	2.000	8.389
    3 --     4	4.924	3.261	4.049	2.000	4.396	10.893
    4 --     5	5.948	2.979	3.699	2.000	6.222	10.893
    5 --     6	7.151	2.080	2.583	4.000	8.000	9.828
    6 --     7	8.574	2.149	2.669	4.667	9.333	10.473
    7 --     8	9.729	1.995	2.478	6.000	10.000	11.822
    8 --     9	10.823	2.072	2.573	6.938	11.224	13.018
    9 --    10	11.790	1.105	1.373	9.911	11.827	13.083
   10 --    11	12.831	1.621	2.013	10.610	12.680	15.463
   11 --    12	13.075	2.540	3.154	10.509	12.695	17.664
   12 --    13	13.359	2.528	3.139	10.932	12.412	18.217
   13 --    14	12.939	3.389	4.208	9.682	11.852	19.494
   14 --    15	11.755	3.881	4.819	6.938	11.752	18.628
   15 --    16	11.517	3.695	4.588	6.938	11.063	17.400
   16 --    17	12.645	3.292	4.087	8.608	11.457	16.889
   17 --    18	13.148	3.339	4.146	9.233	11.457	18.081
   18 --    19	13.269	3.697	4.590	8.944	13.457	17.394
   19 --    20	12.811	4.059	5.040	7.048	13.457	18.033
   20 --    21	11.950	3.972	4.932	6.490	10.839	17.902
   21 --    22	12.146	3.313	4.113	8.538	10.446	17.285
   22 --    23	12.597	2.663	3.307	9.138	11.442	16.474
   23 --    24	11.961	2.663	3.306	7.263	12.671	14.953
   24 --    25	11.818	1.575	1.956	9.921	11.849	14.156
   25 --    26	12.243	1.091	1.354	10.302	12.502	13.623
   26 --    27	12.285	0.872	1.083	10.817	12.317	13.305
   27 --    28	11.561	1.597	1.983	9.522	12.321	13.165
   28 --    29	11.470	2.369	2.941	8.909	11.754	15.275
   29 --    30	11.307	3.546	4.403	6.963	11.185	16.608
   30 --    31	11.136	3.989	4.953	6.616	11.144	16.608
   31 --    32	11.434	3.721	4.620	7.337	11.144	16.179
   32 --    33	11.385	3.274	4.065	7.365	11.325	15.058
   33 --    34	11.196	3.110	3.861	7.350	12.228	14.883
   34 --    35	10.685	3.319	4.122	5.965	12.519	13.932
   35 --    36	10.738	3.595	4.464	6.192	13.144	14.337
   36 --    37	9.877	3.635	4.513	5.372	11.425	13.670
   37 --    38	9.851	3.782	4.697	5.557	9.975	14.420
   38 --    39	10.491	4.314	5.357	5.326	9.002	15.837
   39 --    40	10.245	4.293	5.330	4.565	9.418	15.742
   40 --    41	10.438	4.301	5.340	4.565	10.043	16.309
   41 --    42	10.899	3.050	3.787	7.232	11.060	14.884
   42 --    43	11.713	2.493	3.095	7.023	12.415	14.392
   43 --    44	12.107	2.722	3.380	7.076	12.434	15.140
   44 --    45	11.837	3.069	3.811	6.356	12.595	15.792
   45 --    46	11.793	2.242	2.784	8.085	11.965	14.831
   46 --    47	11.100	1.721	2.137	9.022	10.918	13.714
   47 --    48	11.346	1.467	1.822	9.614	11.355	13.090
   48 --    49	12.133	1.731	2.150	9.593	12.724	13.980
   49 --    50	12.576	2.004	2.489	8.711	13.338	14.355
   50 --    51	13.066	2.009	2.494	9.890	12.724	16.088
   51 --    52	13.148	2.084	2.588	10.099	13.015	16.635
   52 --    53	13.051	1.795	2.229	11.109	12.184	15.966
   53 --    54	12.569	1.476	1.832	10.523	12.713	14.783
   54 --    55	13.287	1.618	2.009	11.379	12.599	15.960
   55 --    56	13.344	2.007	2.492	11.679	12.834	17.224
   56 --    57	13.870	2.305	2.862	10.836	13.295	17.890
   57 --    58	14.399	2.485	3.085	11.086	13.774	18.390
   58 --    59	15.114	2.298	2.853	11.627	14.795	18.599
   59 --    60	15.549	2.146	2.664	12.086	15.545	18.849
   60 --    61	15.527	3.055	3.793	10.561	15.754	19.869
   61 --    62	15.645	4.313	5.355	9.534	15.472	21.994
   62 --    63	15.634	4.911	6.098	9.303	13.740	23.015
   63 --    64	15.694	5.603	6.957	9.498	13.028	23.369
   64 --    65	15.887	5.651	7.016	9.948	13.028	23.890
   65 --    66	15.890	5.392	6.695	9.064	14.112	23.177
   66 --    67	15.605	5.022	6.236	8.411	14.112	22.317
   67 --    68	15.277	4.056	5.037	9.129	14.612	20.407
   68 --    69	15.912	4.006	4.974	8.784	16.646	20.252
   69 --    70	16.299	4.639	5.760	7.975	18.257	21.352
   70 --    71	17.015	4.454	5.530	11.475	16.569	23.825
   71 --    72	18.319	5.379	6.679	13.475	15.629	27.554
   72 --    73	18.897	5.613	6.969	14.403	15.339	28.960
   73 --    74	19.565	5.844	7.256	14.653	15.589	29.794
   74 --    75	19.728	6.341	7.873	14.357	15.554	30.669
   75 --    76	19.511	6.791	8.432	14.026	14.945	31.252
   76 --    77	18.867	6.760	8.394	12.803	14.945	30.132
   77 --    78	18.124	6.769	8.404	11.480	13.921	28.802
   78 --    79	18.503	6.813	8.460	11.646	15.296	29.012
   79 --    80	19.080	6.736	8.364	12.042	16.316	29.560
   80 --    81	18.531	7.022	8.718	12.188	14.496	30.921
   81 --    82	19.122	7.492	9.303	13.251	14.301	33.157
   82 --    83	20.819	8.604	10.683	14.240	16.188	37.407
   83 --    84	21.456	8.260	10.256	15.185	17.273	37.136
   84 --    85	21.200	8.397	10.426	14.262	15.805	36.425
   85 --    86	21.014	8.527	10.588	13.846	15.210	35.326
   86 --    87	20.382	8.474	10.522	12.770	14.520	33.837
   87 --    88	20.184	8.442	10.482	12.380	14.679	33.413
   88 --    89	19.915	8.856	10.996	11.090	15.523	33.301
   89 --    90	20.198	9.020	11.199	10.840	17.054	32.883
   90 --    91	20.506	9.082	11.277	10.276	19.113	31.842
   91 --    92	21.005	9.294	11.540	9.364	22.492	31.003
   92 --    93	21.113	9.149	11.360	9.908	23.700	31.021
   93 --    94	21.098	8.925	11.082	7.771	23.846	31.017
   94 --    95	22.034	8.789	10.913	7.372	24.221	30.996
   95 --    96	21.908	7.934	9.851	8.318	22.732	30.996
   96 --    97	21.858	8.181	10.159	9.339	22.087	32.412
   97 --    98	21.861	8.437	10.476	9.339	21.880	32.996
   98 --    99	22.398	7.854	9.752	11.339	22.269	32.732
   99 --   100	22.432	7.624	9.466	11.339	23.498	32.153
  100 --   101	23.407	8.041	9.984	11.339	24.901	32.677
  101 --   102	25.158	9.480	11.771	11.138	28.279	38.270
  102 --   103	25.272	10.003	12.420	10.058	28.650	39.076
  103 --   104	25.681	10.482	13.015	8.365	29.274	37.244
  104 --   105	25.804	10.691	13.274	7.776	30.699	36.671
  105 --   106	26.330	11.463	14.234	7.899	32.418	37.185
  106 --   107	26.778	11.610	14.416	8.691	34.220	37.852
  107 --   108	27.430	11.600	14.403	10.712	36.025	37.845
  108 --   109	27.578	11.438	14.202	11.066	36.323	37.394
  109 --   110	27.750	10.508	13.047	11.857	35.345	36.955
  110 --   111	28.572	9.907	12.301	12.857	33.437	38.955
  111 --   112	29.811	8.960	11.125	13.462	32.636	38.879
  112 --   113	30.290	8.260	10.256	14.857	32.636	38.199
  113 --   114	30.166	7.918	9.831	15.524	32.631	37.612
  114 --   115	29.536	7.170	8.903	16.462	32.100	36.160
  115 --   116	29.095	6.825	8.474	17.135	31.033	35.708
  116 --   117	28.721	6.106	7.581	18.858	29.368	35.076
  117 --   118	28.657	5.866	7.284	18.526	28.500	35.075
  118 --   119	28.674	6.321	7.849	16.231	31.324	33.305
  119 --   120	28.893	6.385	7.928	16.149	32.161	32.491
  120 --   121	28.898	6.505	8.077	16.104	31.407	34.341
  121 --   122	29.576	6.596	8.190	16.562	32.861	34.341
  122 --   123	29.261	6.238	7.745	16.895	31.787	33.752
  123 --   124	28.702	5.617	6.974	17.562	30.814	32.730
  124 --   125	28.571	5.458	6.778	17.833	30.980	32.431
  125 --   126	29.091	5.663	7.031	18.312	30.805	33.973
  126 --   127	29.603	5.620	6.978	18.895	31.104	34.943
  127 --   128	29.587	5.523	6.857	18.895	32.800	33.523
  128 --   129	29.783	5.306	6.588	19.312	32.007	33.627
  129 --   130	28.641	4.697	5.832	19.312	30.515	31.770
  130 --   131	28.163	4.420	5.488	19.438	30.291	31.390
  131 --   132	28.414	5.184	6.437	18.182	30.762	31.848
  132 --   133	28.625	5.765	7.158	17.131	31.029	32.040
  133 --   134	28.548	6.399	7.945	15.813	31.111	32.515
