Interval	Avg	Std	CI=0.95	Min	Median	Max
    0 --     1	0.570	0.551	0.684	0.000	0.472	1.400
    1 --     2	5.074	1.390	1.726	2.358	5.778	6.032
    2 --     3	9.459	1.497	1.859	6.530	10.000	10.794
    3 --     4	11.845	1.725	2.142	10.000	11.160	15.084
    4 --     5	11.955	1.605	1.993	10.014	11.325	14.251
    5 --     6	12.121	3.032	3.765	9.335	9.976	16.483
    6 --     7	13.741	3.465	4.302	9.044	14.179	19.533
    7 --     8	14.703	4.234	5.257	8.423	15.586	19.633
    8 --     9	14.611	4.134	5.133	7.181	16.129	18.813
    9 --    10	14.653	4.213	5.231	7.509	15.525	19.631
   10 --    11	15.162	4.895	6.078	7.452	16.168	21.206
   11 --    12	15.406	4.826	5.993	8.185	15.613	22.679
   12 --    13	16.267	4.638	5.758	9.310	16.613	23.305
   13 --    14	16.187	4.193	5.206	9.980	15.658	22.443
   14 --    15	16.284	4.460	5.537	9.570	16.658	23.009
   15 --    16	16.479	5.028	6.243	8.393	17.167	24.157
   16 --    17	16.236	5.420	6.729	8.621	16.091	25.469
   17 --    18	15.854	4.895	6.079	9.148	15.612	24.214
   18 --    19	15.684	6.150	7.637	7.768	14.815	26.334
   19 --    20	17.053	5.963	7.404	9.406	15.826	27.709
   20 --    21	17.807	5.739	7.125	9.638	16.956	27.559
   21 --    22	17.999	6.273	7.789	9.045	16.984	28.532
   22 --    23	18.116	6.241	7.750	7.824	18.924	27.313
   23 --    24	18.116	6.095	7.568	8.825	18.422	27.891
   24 --    25	18.695	6.942	8.620	7.814	18.678	29.755
   25 --    26	18.750	7.444	9.243	6.893	19.426	30.339
   26 --    27	19.174	7.548	9.372	5.912	19.960	29.310
   27 --    28	18.707	7.744	9.616	4.694	19.783	28.388
   28 --    29	18.889	6.707	8.327	7.189	18.851	27.198
   29 --    30	19.170	6.198	7.696	9.288	17.785	26.365
   30 --    31	19.067	6.098	7.572	10.066	16.777	26.206
   31 --    32	18.766	6.547	8.129	9.030	16.975	26.112
   32 --    33	19.444	6.646	8.252	10.056	18.752	27.744
   33 --    34	20.530	6.544	8.126	12.815	20.541	28.928
   34 --    35	21.216	7.181	8.917	12.784	19.986	32.376
   35 --    36	20.828	7.331	9.102	12.016	21.101	32.040
   36 --    37	21.190	7.332	9.103	12.471	20.088	31.217
   37 --    38	21.009	7.468	9.273	10.928	20.196	30.006
   38 --    39	20.999	7.780	9.660	10.288	21.238	31.143
   39 --    40	22.063	6.778	8.416	12.436	25.268	30.045
   40 --    41	21.569	7.196	8.935	12.195	24.218	31.370
   41 --    42	21.948	7.225	8.970	12.936	23.208	33.321
   42 --    43	21.825	7.261	9.015	11.925	22.488	31.991
   43 --    44	22.657	6.831	8.482	11.316	23.357	31.195
   44 --    45	22.463	7.273	9.030	10.342	24.111	30.287
   45 --    46	23.152	7.233	8.980	11.291	25.851	30.332
   46 --    47	23.733	6.869	8.529	12.930	26.751	30.746
   47 --    48	24.133	6.415	7.965	13.608	26.983	30.311
   48 --    49	24.182	6.520	8.096	13.095	27.025	30.905
   49 --    50	23.945	6.685	8.300	12.095	26.757	29.946
   50 --    51	23.876	6.870	8.530	11.945	27.024	30.952
   51 --    52	24.742	7.079	8.790	12.354	27.686	32.134
   52 --    53	24.658	7.613	9.453	11.972	27.026	33.173
   53 --    54	24.588	6.544	8.125	13.790	25.902	32.478
   54 --    55	24.912	5.693	7.069	16.197	26.311	31.344
   55 --    56	25.169	5.978	7.423	14.995	27.318	31.796
   56 --    57	24.943	5.958	7.398	14.430	27.428	31.565
   57 --    58	25.661	5.910	7.339	15.044	28.174	31.563
   58 --    59	25.964	4.864	6.039	17.265	26.984	31.469
   59 --    60	25.985	4.739	5.885	17.166	26.918	30.383
   60 --    61	25.911	5.411	6.718	16.210	27.012	31.056
   61 --    62	25.876	5.730	7.114	15.039	27.701	30.779
   62 --    63	26.327	6.197	7.695	14.318	28.232	31.420
   63 --    64	25.782	6.209	7.709	13.902	27.737	31.550
   64 --    65	26.057	6.271	7.786	13.927	28.976	31.323
   65 --    66	26.269	5.770	7.164	15.241	29.528	31.062
   66 --    67	27.500	4.985	6.190	17.981	30.246	31.377
   67 --    68	27.708	4.609	5.723	18.877	29.643	31.759
   68 --    69	27.944	4.644	5.766	18.864	30.243	31.481
   69 --    70	28.042	5.307	6.590	17.532	31.029	31.209
   70 --    71	27.749	5.572	6.919	16.618	30.564	30.849
   71 --    72	28.182	4.542	5.639	19.151	29.938	31.058
   72 --    73	28.181	4.785	5.942	18.621	30.598	30.783
   73 --    74	27.256	4.800	5.960	17.662	29.516	29.890
   74 --    75	27.248	4.302	5.341	18.690	29.270	30.129
   75 --    76	27.202	4.776	5.930	17.659	29.553	29.897
   76 --    77	28.006	4.397	5.459	19.249	30.054	30.906
   77 --    78	28.320	4.390	5.451	19.636	29.972	31.515
   78 --    79	27.963	4.688	5.821	18.696	30.458	31.064
   79 --    80	28.555	5.018	6.230	18.595	30.373	31.775
   80 --    81	28.718	3.981	4.943	20.765	30.628	31.056
   81 --    82	28.727	3.158	3.921	22.448	29.974	30.841
   82 --    83	28.872	3.643	4.524	21.605	30.676	30.961
   83 --    84	28.552	2.867	3.560	22.850	29.762	30.483
   84 --    85	28.602	3.415	4.240	21.855	30.310	30.832
   85 --    86	29.023	3.677	4.566	21.898	30.026	32.112
   86 --    87	28.970	3.182	3.952	22.907	29.962	31.724
   87 --    88	29.219	2.988	3.710	23.592	29.905	31.834
   88 --    89	29.234	2.743	3.406	23.978	30.162	31.934
   89 --    90	29.962	2.555	3.172	25.399	30.368	33.110
   90 --    91	30.253	2.044	2.538	26.364	30.800	32.418
   91 --    92	29.542	2.156	2.677	25.524	30.057	32.036
   92 --    93	29.835	2.710	3.364	24.581	30.715	32.393
   93 --    94	29.184	2.505	3.111	24.426	29.834	31.862
   94 --    95	29.459	2.727	3.386	24.393	30.641	32.328
   95 --    96	29.572	2.255	2.800	25.355	30.089	31.562
   96 --    97	29.722	1.594	1.979	27.032	30.085	31.482
   97 --    98	29.982	1.766	2.193	26.839	30.884	31.653
   98 --    99	29.582	1.942	2.411	25.763	30.510	30.887
   99 --   100	29.996	2.552	3.169	24.924	31.013	31.753
  100 --   101	29.193	2.645	3.284	23.936	30.382	31.032
  101 --   102	29.527	2.665	3.310	24.319	30.812	31.630
  102 --   103	29.241	2.774	3.444	23.801	30.169	31.619
  103 --   104	28.780	3.099	3.848	22.744	29.977	31.396
  104 --   105	28.715	3.570	4.432	21.806	29.662	32.050
  105 --   106	28.356	3.764	4.674	21.010	29.622	31.541
  106 --   107	28.901	3.706	4.601	21.573	30.201	31.602
  107 --   108	29.403	3.380	4.196	22.774	31.391	31.558
  108 --   109	28.758	2.846	3.534	23.238	30.141	31.021
  109 --   110	29.045	3.125	3.880	22.930	30.523	31.579
  110 --   111	28.479	3.495	4.339	21.686	30.358	31.147
  111 --   112	28.029	3.644	4.525	20.786	29.616	30.483
  112 --   113	28.413	4.095	5.085	20.279	30.428	31.198
  113 --   114	28.961	3.073	3.816	22.998	29.823	31.566
  114 --   115	29.613	2.731	3.391	24.397	30.294	32.225
  115 --   116	29.397	3.214	3.990	23.181	30.684	31.986
  116 --   117	29.345	3.294	4.090	22.867	30.936	31.902
  117 --   118	29.538	2.994	3.718	23.706	31.411	31.467
  118 --   119	29.085	2.609	3.240	23.951	30.296	31.058
  119 --   120	29.286	2.427	3.013	24.559	30.474	31.011
  120 --   121	29.517	2.498	3.101	24.541	30.572	31.181
  121 --   122	28.753	2.796	3.471	23.274	30.050	31.007
  122 --   123	28.860	3.218	3.995	22.435	30.387	30.770
  123 --   124	28.783	3.425	4.253	22.169	30.021	32.088
  124 --   125	28.993	3.403	4.226	22.447	30.022	32.250
  125 --   126	28.594	3.185	3.955	22.353	29.660	31.293
  126 --   127	28.382	2.057	2.554	24.456	28.928	30.398
  127 --   128	28.984	1.939	2.407	25.400	29.379	31.232
  128 --   129	28.186	2.112	2.622	24.177	28.747	30.403
  129 --   130	28.663	2.145	2.664	24.737	29.623	30.484
  130 --   131	29.215	1.798	2.233	25.915	30.245	30.633
  131 --   132	29.176	1.510	1.875	26.851	29.858	30.975
  132 --   133	29.637	2.007	2.492	26.441	30.660	31.942
  133 --   134	29.195	2.010	2.495	25.439	29.698	31.505
  134 --   135	29.569	2.772	3.442	24.441	30.192	32.881
  135 --   136	28.817	2.896	3.596	23.311	29.599	31.906
  136 --   137	29.027	2.413	2.996	24.545	29.822	31.736
  137 --   138	28.873	3.003	3.728	23.191	30.022	31.819
  138 --   139	29.367	2.551	3.168	24.531	30.801	31.495
  139 --   140	29.306	2.703	3.356	24.520	30.179	31.870
  140 --   141	29.504	1.651	2.050	26.486	30.407	30.977
  141 --   142	29.166	1.368	1.698	26.521	29.924	30.228
  142 --   143	29.927	1.165	1.446	28.056	30.709	30.941
  143 --   144	29.804	1.155	1.434	27.979	29.695	31.411
  144 --   145	29.539	1.536	1.908	27.118	30.638	30.849
  145 --   146	28.926	1.765	2.192	26.143	29.650	31.245
  146 --   147	29.083	2.213	2.748	25.148	29.939	31.538
  147 --   148	28.444	2.561	3.180	24.063	29.781	31.343
  148 --   149	27.791	2.548	3.164	22.979	28.648	30.494
  149 --   150	29.006	3.124	3.879	22.885	30.792	31.115
  150 --   151	28.663	2.875	3.569	23.128	30.269	30.898
  151 --   152	28.585	2.522	3.132	24.154	29.317	31.087
  152 --   153	28.950	1.663	2.065	26.279	28.716	30.904
  153 --   154	28.815	2.176	2.702	25.977	28.314	31.735
  154 --   155	28.671	2.731	3.390	24.985	28.695	31.888
  155 --   156	29.131	2.357	2.927	25.284	29.330	31.785
  156 --   157	29.830	2.413	2.996	25.722	30.119	32.736
  157 --   158	29.499	2.356	2.925	25.590	30.685	31.776
  158 --   159	29.187	2.235	2.775	26.037	30.545	31.588
  159 --   160	29.415	2.850	3.539	25.466	31.611	31.790
  160 --   161	29.006	2.166	2.689	25.753	30.647	30.819
  161 --   162	29.327	2.170	2.695	25.560	30.610	31.325
  162 --   163	29.606	2.630	3.266	24.831	30.655	32.622
  163 --   164	29.586	2.400	2.980	25.516	31.240	31.556
  164 --   165	29.713	2.530	3.141	26.484	30.772	32.819
  165 --   166	29.502	2.007	2.492	26.021	29.552	31.567
  166 --   167	29.559	2.335	2.899	25.891	29.629	32.875
  167 --   168	29.495	2.014	2.501	27.216	29.521	31.823
  168 --   169	29.154	1.641	2.038	26.421	28.970	31.150
  169 --   170	29.533	1.853	2.301	26.795	29.409	31.804
  170 --   171	29.712	1.089	1.352	27.936	30.269	30.906
  171 --   172	30.123	1.249	1.551	28.058	30.488	31.383
  172 --   173	29.896	1.347	1.673	28.188	30.653	31.379
  173 --   174	29.270	1.343	1.667	27.379	29.422	31.419
  174 --   175	29.825	1.952	2.423	26.459	30.162	32.559
  175 --   176	29.286	2.035	2.526	25.433	29.777	31.493
  176 --   177	28.969	2.175	2.700	25.141	29.061	31.858
  177 --   178	29.264	2.230	2.769	25.538	29.752	31.503
  178 --   179	28.413	2.438	3.027	24.338	29.683	30.677
  179 --   180	28.390	3.186	3.956	23.380	30.259	31.218
  180 --   181	28.617	2.547	3.163	24.341	30.370	30.730
  181 --   182	28.531	2.475	3.073	25.142	30.424	30.726
  182 --   183	28.753	3.056	3.795	24.379	30.774	31.883
  183 --   184	28.394	2.887	3.584	23.302	29.841	31.477
  184 --   185	28.607	3.370	4.185	22.468	30.110	32.042
  185 --   186	28.451	3.765	4.675	21.283	30.252	31.350
  186 --   187	28.413	4.343	5.393	20.479	30.585	32.275
  187 --   188	28.429	4.542	5.640	19.882	31.377	31.779
  188 --   189	27.736	4.781	5.936	18.401	30.339	31.034
  189 --   190	28.768	4.466	5.546	20.105	31.121	31.873
  190 --   191	28.543	3.317	4.118	22.028	30.424	30.701
  191 --   192	28.199	3.570	4.433	21.384	30.239	30.997
  192 --   193	27.961	4.037	5.012	20.439	30.509	30.937
  193 --   194	27.242	3.921	4.868	20.129	29.676	30.654
  194 --   195	27.641	4.126	5.124	20.774	30.554	31.168
  195 --   196	27.266	4.309	5.351	19.809	29.683	31.634
  196 --   197	28.247	3.138	3.896	23.306	30.304	31.462
  197 --   198	28.406	3.065	3.806	23.619	29.776	31.447
  198 --   199	27.855	2.814	3.494	23.844	29.271	30.671
  199 --   200	27.950	3.428	4.256	23.548	29.882	31.915
  200 --   201	27.600	3.212	3.989	22.463	28.586	30.819
  201 --   202	28.146	2.574	3.196	23.947	28.467	30.985
  202 --   203	28.339	2.332	2.895	24.493	28.901	30.690
  203 --   204	27.628	2.797	3.473	23.355	27.736	31.048
  204 --   205	28.569	3.213	3.990	23.950	29.561	32.919
  205 --   206	28.306	2.894	3.593	24.020	29.459	32.023
  206 --   207	28.516	2.430	3.018	24.626	29.997	30.634
  207 --   208	28.558	3.310	4.110	23.426	29.775	31.938
  208 --   209	28.166	3.304	4.103	23.796	28.865	31.940
  209 --   210	28.787	2.807	3.485	25.016	29.779	31.869
  210 --   211	28.699	2.530	3.141	24.552	30.376	30.942
  211 --   212	28.340	2.822	3.505	23.989	29.714	31.061
  212 --   213	27.830	3.238	4.021	22.982	29.745	30.903
  213 --   214	27.513	3.161	3.925	22.096	29.394	30.571
  214 --   215	27.888	3.709	4.606	21.686	30.274	31.172
  215 --   216	28.624	3.093	3.840	23.218	29.555	31.876
  216 --   217	28.178	3.017	3.746	22.836	29.581	30.981
  217 --   218	28.077	3.653	4.535	21.838	29.778	31.487
  218 --   219	27.426	3.484	4.326	21.092	28.831	30.450
  219 --   220	28.280	3.797	4.714	21.076	29.494	31.577
  220 --   221	28.143	3.816	4.739	20.886	30.350	31.045
  221 --   222	28.256	3.536	4.391	21.973	30.245	31.198
  222 --   223	28.493	2.777	3.448	24.488	30.340	30.946
  223 --   224	28.006	2.949	3.662	24.026	30.300	30.572
  224 --   225	28.173	3.264	4.052	23.574	30.601	31.183
  225 --   226	27.964	2.920	3.625	23.299	29.477	31.134
  226 --   227	28.280	3.086	3.832	23.964	29.863	31.355
  227 --   228	28.503	3.240	4.023	23.624	29.774	32.021
  228 --   229	28.659	1.976	2.454	25.590	29.172	30.716
  229 --   230	29.553	2.065	2.564	26.392	29.767	32.119
  230 --   231	29.543	1.447	1.797	27.746	30.443	31.191
  231 --   232	29.447	1.763	2.189	26.745	30.434	31.203
  232 --   233	29.614	1.756	2.180	26.327	30.256	31.196
  233 --   234	29.355	1.055	1.310	27.878	29.472	31.069
  234 --   235	29.687	1.841	2.286	27.745	29.838	32.752
  235 --   236	29.313	2.206	2.739	26.787	29.572	31.807
  236 --   237	29.174	3.028	3.760	25.664	29.706	33.041
  237 --   238	28.702	3.317	4.119	24.588	30.738	31.946
  238 --   239	28.066	3.323	4.126	23.703	30.442	31.084
  239 --   240	28.537	3.457	4.292	23.800	31.063	31.603
  240 --   241	28.657	2.573	3.195	25.090	30.258	31.321
  241 --   242	28.750	2.881	3.578	24.751	30.557	31.382
  242 --   243	28.454	3.196	3.968	23.564	30.778	31.215
  243 --   244	27.908	3.555	4.414	22.712	29.855	31.504
  244 --   245	27.697	3.914	4.860	21.835	30.504	31.102
  245 --   246	27.090	3.531	4.384	20.757	29.428	30.001
  246 --   247	27.040	4.141	5.142	19.581	28.793	31.035
  247 --   248	26.624	4.361	5.415	18.549	29.575	29.948
  248 --   249	26.552	3.616	4.489	19.420	28.307	29.008
  249 --   250	27.635	4.045	5.022	19.699	29.502	30.581
  250 --   251	27.660	3.686	4.577	20.593	28.923	30.584
  251 --   252	27.549	3.619	4.493	21.008	28.202	31.007
  252 --   253	27.586	3.309	4.109	21.917	29.079	30.654
  253 --   254	26.985	3.536	4.390	21.046	29.307	30.084
  254 --   255	27.824	3.512	4.361	23.354	30.626	30.726
  255 --   256	27.950	3.379	4.196	22.860	29.328	32.505
  256 --   257	28.509	3.041	3.776	23.747	29.240	32.724
  257 --   258	28.792	2.638	3.276	24.866	29.340	31.783
  258 --   259	28.542	2.922	3.628	23.704	28.949	31.690
  259 --   260	28.820	3.197	3.969	23.590	29.956	31.944
  260 --   261	28.362	2.904	3.606	23.898	30.463	30.907
  261 --   262	28.579	2.990	3.713	24.835	30.292	31.389
  262 --   263	28.710	2.660	3.302	24.656	30.505	31.085
  263 --   264	28.876	2.345	2.911	24.746	29.850	31.374
  264 --   265	29.577	3.061	3.801	23.718	30.618	32.723
  265 --   266	29.766	3.604	4.475	22.884	31.474	32.955
  266 --   267	29.322	3.957	4.914	21.753	30.881	32.456
  267 --   268	29.490	4.265	5.296	21.178	31.519	32.870
  268 --   269	29.368	2.912	3.616	24.003	30.474	31.847
  269 --   270	29.851	2.165	2.688	25.963	30.797	31.802
  270 --   271	30.070	1.573	1.953	27.019	30.652	31.382
  271 --   272	29.685	1.536	1.907	26.752	30.624	30.758
  272 --   273	29.349	2.022	2.510	25.701	30.505	30.974
  273 --   274	28.927	1.545	1.918	26.336	29.431	30.786
  274 --   275	29.679	0.972	1.207	27.892	30.053	30.685
