Time 1-10.0.0.3-10.0.0.2 Aggregate-Flow
0.000000 424.000000 424.000000
1.000000 236.800000 236.800000
2.000000 309.120000 309.120000
3.000000 460.480000 460.480000
4.000000 374.720000 374.720000
5.000000 572.800000 572.800000
6.000000 600.640000 600.640000
7.000000 141.120000 141.120000
8.000000 350.080000 350.080000
9.000000 672.320000 672.320000
10.000000 342.080000 342.080000
11.000000 671.680000 671.680000
12.000000 493.120000 493.120000
13.000000 503.680000 503.680000
14.000000 588.480000 588.480000
15.000000 361.280000 361.280000
16.000000 446.080000 446.080000
17.000000 211.520000 211.520000
18.000000 726.720000 726.720000
19.000000 388.800000 388.800000
20.000000 494.400000 494.400000
21.000000 275.200000 275.200000
22.000000 417.280000 417.280000
23.000000 390.720000 390.720000
24.000000 320.320000 320.320000
25.000000 579.840000 579.840000
26.000000 711.360000 711.360000
27.000000 376.320000 376.320000
28.000000 423.040000 423.040000
29.000000 401.600000 401.600000
30.000000 209.280000 209.280000
31.000000 267.840000 267.840000
32.000000 490.240000 490.240000
33.000000 537.920000 537.920000
34.000000 603.520000 603.520000
35.000000 408.640000 408.640000
36.000000 426.880000 426.880000
37.000000 413.440000 413.440000
38.000000 279.040000 279.040000
39.000000 422.720000 422.720000
40.000000 427.520000 427.520000
41.000000 267.200000 267.200000
42.000000 452.800000 452.800000
43.000000 561.600000 561.600000
44.000000 364.160000 364.160000
45.000000 416.000000 416.000000
46.000000 572.160000 572.160000
47.000000 334.080000 334.080000
48.000000 505.600000 505.600000
49.000000 341.120000 341.120000
50.000000 191.680000 191.680000
51.000000 451.840000 451.840000
52.000000 581.440000 581.440000
53.000000 367.680000 367.680000
54.000000 415.680000 415.680000
55.000000 380.160000 380.160000
56.000000 387.520000 387.520000
57.000000 553.280000 553.280000
58.000000 424.960000 424.960000
59.000000 309.120000 309.120000
60.000000 435.520000 435.520000
61.000000 162.560000 162.560000
62.000000 509.760000 509.760000
63.000000 504.640000 504.640000
64.000000 378.880000 378.880000
65.000000 379.840000 379.840000
66.000000 545.920000 545.920000
67.000000 354.880000 354.880000
68.000000 541.120000 541.120000
69.000000 507.200000 507.200000
70.000000 256.640000 256.640000
71.000000 377.600000 377.600000
72.000000 438.720000 438.720000
73.000000 303.040000 303.040000
74.000000 590.720000 590.720000
75.000000 491.840000 491.840000
76.000000 324.480000 324.480000
77.000000 625.920000 625.920000
78.000000 392.320000 392.320000
79.000000 416.640000 416.640000
80.000000 448.000000 448.000000
81.000000 210.560000 210.560000
82.000000 449.920000 449.920000
83.000000 548.480000 548.480000
84.000000 487.040000 487.040000
85.000000 575.680000 575.680000
86.000000 450.560000 450.560000
87.000000 355.520000 355.520000
88.000000 476.800000 476.800000
89.000000 366.720000 366.720000
90.000000 350.080000 350.080000
91.000000 318.720000 318.720000
92.000000 500.480000 500.480000
93.000000 255.680000 255.680000
94.000000 406.080000 406.080000
95.000000 513.600000 513.600000
96.000000 311.680000 311.680000
97.000000 533.440000 533.440000
98.000000 620.800000 620.800000
99.000000 277.120000 277.120000
100.000000 431.680000 431.680000
101.000000 331.520000 331.520000
102.000000 250.880000 250.880000
103.000000 519.680000 519.680000
104.000000 310.720000 310.720000
105.000000 652.160000 652.160000
106.000000 618.240000 618.240000
107.000000 307.200000 307.200000
108.000000 462.400000 462.400000
109.000000 570.880000 570.880000
