Time 1-10.0.0.3-10.0.0.2 Aggregate-Flow
0.000000 0.000093 0.000093
1.000000 0.001304 0.001304
2.000000 0.000788 0.000788
3.000000 0.002692 0.002692
4.000000 0.001553 0.001553
5.000000 0.000925 0.000925
6.000000 0.001214 0.001214
7.000000 0.000322 0.000322
8.000000 0.000370 0.000370
9.000000 0.001211 0.001211
10.000000 0.001450 0.001450
11.000000 0.000759 0.000759
12.000000 0.002031 0.002031
13.000000 0.000723 0.000723
14.000000 0.000329 0.000329
15.000000 0.002614 0.002614
16.000000 0.000904 0.000904
17.000000 0.000130 0.000130
18.000000 0.000507 0.000507
19.000000 0.000999 0.000999
20.000000 0.000106 0.000106
21.000000 0.003157 0.003157
22.000000 0.001469 0.001469
23.000000 0.001637 0.001637
24.000000 0.000094 0.000094
25.000000 0.000967 0.000967
26.000000 0.000440 0.000440
27.000000 0.000276 0.000276
28.000000 0.009434 0.009434
29.000000 0.012401 0.012401
30.000000 0.000482 0.000482
31.000000 0.004099 0.004099
32.000000 0.000509 0.000509
33.000000 0.000931 0.000931
34.000000 0.001606 0.001606
35.000000 0.004556 0.004556
36.000000 0.000371 0.000371
37.000000 0.002064 0.002064
38.000000 0.001557 0.001557
39.000000 0.000499 0.000499
40.000000 0.002135 0.002135
41.000000 0.002102 0.002102
42.000000 0.001635 0.001635
43.000000 0.005596 0.005596
44.000000 0.002853 0.002853
45.000000 0.003218 0.003218
46.000000 0.011242 0.011242
47.000000 0.003064 0.003064
48.000000 0.001215 0.001215
49.000000 0.000539 0.000539
50.000000 0.002914 0.002914
51.000000 0.001623 0.001623
52.000000 0.003044 0.003044
53.000000 0.002588 0.002588
54.000000 0.001923 0.001923
55.000000 0.007840 0.007840
56.000000 0.000968 0.000968
57.000000 0.000653 0.000653
58.000000 0.001658 0.001658
59.000000 0.003648 0.003648
60.000000 0.000525 0.000525
61.000000 0.000198 0.000198
62.000000 0.002668 0.002668
63.000000 0.000629 0.000629
64.000000 0.002484 0.002484
65.000000 0.002147 0.002147
66.000000 0.000987 0.000987
67.000000 0.000315 0.000315
68.000000 0.000530 0.000530
69.000000 0.000727 0.000727
70.000000 0.001283 0.001283
71.000000 0.002018 0.002018
72.000000 0.001267 0.001267
73.000000 0.003543 0.003543
74.000000 0.002560 0.002560
75.000000 0.002727 0.002727
76.000000 0.001756 0.001756
77.000000 0.003874 0.003874
78.000000 0.001024 0.001024
79.000000 0.000292 0.000292
80.000000 0.001067 0.001067
81.000000 0.001022 0.001022
82.000000 0.001511 0.001511
83.000000 0.003662 0.003662
84.000000 0.000240 0.000240
85.000000 0.001680 0.001680
86.000000 0.000269 0.000269
87.000000 0.000090 0.000090
88.000000 0.000962 0.000962
89.000000 0.000773 0.000773
90.000000 0.000859 0.000859
91.000000 0.000604 0.000604
92.000000 0.000088 0.000088
93.000000 0.000804 0.000804
94.000000 0.002002 0.002002
95.000000 0.001960 0.001960
96.000000 0.000113 0.000113
97.000000 0.003732 0.003732
98.000000 0.000756 0.000756
99.000000 0.000383 0.000383
100.000000 0.004732 0.004732
101.000000 0.001496 0.001496
102.000000 0.000726 0.000726
103.000000 0.004790 0.004790
104.000000 0.001517 0.001517
105.000000 0.000764 0.000764
106.000000 0.002458 0.002458
107.000000 0.000146 0.000146
108.000000 0.001209 0.001209
109.000000 0.002666 0.002666
110.000000 0.001575 0.001575
111.000000 0.000846 0.000846
112.000000 0.001887 0.001887
113.000000 0.000387 0.000387
114.000000 0.000864 0.000864
115.000000 0.004672 0.004672
116.000000 0.000791 0.000791
117.000000 0.000164 0.000164
118.000000 0.000171 0.000171
119.000000 0.000272 0.000272
120.000000 0.000233 0.000233
121.000000 0.003219 0.003219
122.000000 0.001674 0.001674
123.000000 0.000106 0.000106
124.000000 0.013315 0.013315
125.000000 0.001350 0.001350
126.000000 0.000832 0.000832
127.000000 0.000455 0.000455
128.000000 0.003786 0.003786
129.000000 0.001710 0.001710
130.000000 0.001470 0.001470
131.000000 0.000159 0.000159
132.000000 0.000425 0.000425
133.000000 0.001743 0.001743
134.000000 0.000166 0.000166
135.000000 0.002399 0.002399
136.000000 0.000650 0.000650
137.000000 0.009488 0.009488
138.000000 0.001114 0.001114
139.000000 0.006039 0.006039
140.000000 0.002114 0.002114
141.000000 0.000645 0.000645
142.000000 0.005443 0.005443
143.000000 0.002166 0.002166
144.000000 0.006226 0.006226
145.000000 0.001794 0.001794
146.000000 0.001072 0.001072
147.000000 0.000109 0.000109
148.000000 0.001310 0.001310
149.000000 0.003606 0.003606
150.000000 0.000096 0.000096
151.000000 0.003236 0.003236
152.000000 0.000689 0.000689
153.000000 0.000429 0.000429
154.000000 0.011922 0.011922
155.000000 0.000965 0.000965
156.000000 0.000511 0.000511
157.000000 0.000325 0.000325
158.000000 0.000118 0.000118
159.000000 0.013082 0.013082
160.000000 0.000791 0.000791
161.000000 0.000693 0.000693
162.000000 0.001099 0.001099
163.000000 0.002384 0.002384
164.000000 0.002377 0.002377
165.000000 0.001741 0.001741
166.000000 0.000889 0.000889
167.000000 0.000622 0.000622
168.000000 0.002501 0.002501
169.000000 0.001157 0.001157
170.000000 0.000155 0.000155
171.000000 0.006201 0.006201
172.000000 0.000374 0.000374
173.000000 0.000152 0.000152
174.000000 0.000797 0.000797
175.000000 0.000652 0.000652
176.000000 0.000345 0.000345
177.000000 0.002117 0.002117
178.000000 0.002434 0.002434
179.000000 0.001712 0.001712
180.000000 0.005932 0.005932
181.000000 0.004689 0.004689
182.000000 0.002548 0.002548
183.000000 0.003685 0.003685
184.000000 0.000317 0.000317
185.000000 0.001981 0.001981
186.000000 0.001292 0.001292
187.000000 0.006120 0.006120
188.000000 0.000148 0.000148
189.000000 0.000700 0.000700
190.000000 0.000150 0.000150
191.000000 0.002340 0.002340
192.000000 0.004746 0.004746
193.000000 0.003657 0.003657
194.000000 0.003284 0.003284
195.000000 0.000245 0.000245
196.000000 0.002189 0.002189
197.000000 0.002325 0.002325
198.000000 0.001400 0.001400
199.000000 0.000178 0.000178
200.000000 0.001415 0.001415
201.000000 0.003025 0.003025
202.000000 0.000331 0.000331
203.000000 0.001834 0.001834
204.000000 0.008594 0.008594
205.000000 0.000289 0.000289
206.000000 0.000415 0.000415
207.000000 0.002807 0.002807
208.000000 0.002229 0.002229
209.000000 0.002938 0.002938
210.000000 0.001811 0.001811
211.000000 0.000191 0.000191
212.000000 0.000822 0.000822
213.000000 0.001779 0.001779
214.000000 0.001408 0.001408
215.000000 0.000753 0.000753
216.000000 0.000939 0.000939
217.000000 0.000100 0.000100
218.000000 0.004734 0.004734
219.000000 0.000370 0.000370
220.000000 0.001556 0.001556
221.000000 0.003175 0.003175
222.000000 0.001837 0.001837
223.000000 0.000518 0.000518
224.000000 0.001173 0.001173
225.000000 0.000165 0.000165
226.000000 0.000089 0.000089
227.000000 0.005518 0.005518
228.000000 0.000944 0.000944
229.000000 0.000209 0.000209
230.000000 0.001613 0.001613
231.000000 0.000079 0.000079
232.000000 0.000271 0.000271
233.000000 0.003402 0.003402
234.000000 0.004323 0.004323
235.000000 0.000125 0.000125
236.000000 0.000729 0.000729
237.000000 0.002255 0.002255
238.000000 0.001795 0.001795
239.000000 0.001167 0.001167
240.000000 0.000925 0.000925
241.000000 0.001441 0.001441
242.000000 0.004195 0.004195
243.000000 0.000378 0.000378
244.000000 0.000958 0.000958
245.000000 0.001245 0.001245
246.000000 0.002949 0.002949
247.000000 0.002619 0.002619
248.000000 0.008993 0.008993
249.000000 0.000812 0.000812
250.000000 0.003738 0.003738
251.000000 0.001899 0.001899
252.000000 0.002506 0.002506
253.000000 0.000335 0.000335
254.000000 0.000257 0.000257
255.000000 0.000746 0.000746
256.000000 0.001228 0.001228
257.000000 0.001789 0.001789
258.000000 0.001148 0.001148
259.000000 0.000418 0.000418
260.000000 0.000525 0.000525
261.000000 0.004028 0.004028
