Time 1-10.0.0.3-10.0.0.2 Aggregate-Flow
0.000000 0.005881 0.005881
1.000000 0.005457 0.005457
2.000000 0.005930 0.005930
3.000000 0.003868 0.003868
4.000000 0.003915 0.003915
5.000000 0.003139 0.003139
6.000000 0.002970 0.002970
7.000000 0.003796 0.003796
8.000000 0.003857 0.003857
9.000000 0.003082 0.003082
10.000000 0.004568 0.004568
11.000000 0.003325 0.003325
12.000000 0.003813 0.003813
13.000000 0.005230 0.005230
14.000000 0.005722 0.005722
15.000000 0.003316 0.003316
16.000000 0.003170 0.003170
17.000000 0.002933 0.002933
18.000000 0.006586 0.006586
19.000000 0.006773 0.006773
20.000000 0.003416 0.003416
21.000000 0.004262 0.004262
22.000000 0.004474 0.004474
23.000000 0.004514 0.004514
24.000000 0.006041 0.006041
25.000000 0.004172 0.004172
26.000000 0.003421 0.003421
27.000000 0.003636 0.003636
28.000000 0.004460 0.004460
29.000000 0.002659 0.002659
30.000000 0.003527 0.003527
31.000000 0.003938 0.003938
32.000000 0.004391 0.004391
33.000000 0.004069 0.004069
34.000000 0.004329 0.004329
35.000000 0.003720 0.003720
36.000000 0.005340 0.005340
37.000000 0.003754 0.003754
38.000000 0.003301 0.003301
39.000000 0.005512 0.005512
40.000000 0.006297 0.006297
41.000000 0.003570 0.003570
42.000000 0.003089 0.003089
43.000000 0.004562 0.004562
44.000000 0.004890 0.004890
45.000000 0.005276 0.005276
46.000000 0.004152 0.004152
47.000000 0.003357 0.003357
48.000000 0.005332 0.005332
49.000000 0.004105 0.004105
50.000000 0.003905 0.003905
51.000000 0.003988 0.003988
52.000000 0.004793 0.004793
53.000000 0.003682 0.003682
54.000000 0.003434 0.003434
55.000000 0.004180 0.004180
56.000000 0.004273 0.004273
57.000000 0.004868 0.004868
58.000000 0.003665 0.003665
59.000000 0.003858 0.003858
60.000000 0.006447 0.006447
61.000000 0.003849 0.003849
62.000000 0.002712 0.002712
63.000000 0.005701 0.005701
64.000000 0.004211 0.004211
65.000000 0.004275 0.004275
66.000000 0.004405 0.004405
67.000000 0.005855 0.005855
68.000000 0.003199 0.003199
69.000000 0.003573 0.003573
70.000000 0.002854 0.002854
71.000000 0.004763 0.004763
72.000000 0.003715 0.003715
73.000000 0.003521 0.003521
74.000000 0.004712 0.004712
75.000000 0.004008 0.004008
76.000000 0.004186 0.004186
77.000000 0.004516 0.004516
78.000000 0.003049 0.003049
79.000000 0.004895 0.004895
80.000000 0.005325 0.005325
81.000000 0.006441 0.006441
82.000000 0.005826 0.005826
83.000000 0.004328 0.004328
84.000000 0.005664 0.005664
85.000000 0.003130 0.003130
86.000000 0.004183 0.004183
87.000000 0.003930 0.003930
88.000000 0.004862 0.004862
89.000000 0.005374 0.005374
90.000000 0.003554 0.003554
91.000000 0.004407 0.004407
92.000000 0.004402 0.004402
93.000000 0.004992 0.004992
94.000000 0.005175 0.005175
95.000000 0.004073 0.004073
96.000000 0.005097 0.005097
97.000000 0.004343 0.004343
98.000000 0.004822 0.004822
99.000000 0.003922 0.003922
100.000000 0.003888 0.003888
101.000000 0.005629 0.005629
102.000000 0.003619 0.003619
103.000000 0.005529 0.005529
104.000000 0.003751 0.003751
105.000000 0.003506 0.003506
106.000000 0.004824 0.004824
107.000000 0.005301 0.005301
108.000000 0.004199 0.004199
109.000000 0.004921 0.004921
110.000000 0.004776 0.004776
111.000000 0.004895 0.004895
112.000000 0.005115 0.005115
113.000000 0.004030 0.004030
114.000000 0.003385 0.003385
115.000000 0.005029 0.005029
116.000000 0.006934 0.006934
117.000000 0.005357 0.005357
118.000000 0.003995 0.003995
119.000000 0.003592 0.003592
120.000000 0.002771 0.002771
121.000000 0.004462 0.004462
122.000000 0.004484 0.004484
123.000000 0.005338 0.005338
124.000000 0.004393 0.004393
125.000000 0.003032 0.003032
126.000000 0.003031 0.003031
127.000000 0.004208 0.004208
128.000000 0.003891 0.003891
129.000000 0.003811 0.003811
130.000000 0.004184 0.004184
131.000000 0.004307 0.004307
132.000000 0.005479 0.005479
133.000000 0.004140 0.004140
134.000000 0.003309 0.003309
135.000000 0.005773 0.005773
136.000000 0.005715 0.005715
137.000000 0.005508 0.005508
138.000000 0.004263 0.004263
139.000000 0.004633 0.004633
140.000000 0.003754 0.003754
141.000000 0.004475 0.004475
142.000000 0.003281 0.003281
143.000000 0.004622 0.004622
144.000000 0.004158 0.004158
145.000000 0.004063 0.004063
146.000000 0.004903 0.004903
147.000000 0.004035 0.004035
148.000000 0.003422 0.003422
149.000000 0.005282 0.005282
150.000000 0.004134 0.004134
151.000000 0.004501 0.004501
152.000000 0.003473 0.003473
153.000000 0.003928 0.003928
154.000000 0.003062 0.003062
155.000000 0.005460 0.005460
156.000000 0.006652 0.006652
157.000000 0.003399 0.003399
158.000000 0.003482 0.003482
159.000000 0.003579 0.003579
160.000000 0.003235 0.003235
161.000000 0.003951 0.003951
162.000000 0.004555 0.004555
163.000000 0.003601 0.003601
164.000000 0.005016 0.005016
165.000000 0.004348 0.004348
166.000000 0.003525 0.003525
167.000000 0.004286 0.004286
168.000000 0.004827 0.004827
169.000000 0.004455 0.004455
170.000000 0.005571 0.005571
171.000000 0.004839 0.004839
172.000000 0.004207 0.004207
173.000000 0.004857 0.004857
174.000000 0.006600 0.006600
175.000000 0.005129 0.005129
176.000000 0.004304 0.004304
177.000000 0.004480 0.004480
178.000000 0.005813 0.005813
179.000000 0.004296 0.004296
180.000000 0.003548 0.003548
181.000000 0.004622 0.004622
182.000000 0.004485 0.004485
183.000000 0.003152 0.003152
184.000000 0.004129 0.004129
185.000000 0.005672 0.005672
186.000000 0.005094 0.005094
187.000000 0.006160 0.006160
188.000000 0.003086 0.003086
189.000000 0.003525 0.003525
190.000000 0.005140 0.005140
191.000000 0.005421 0.005421
192.000000 0.006061 0.006061
193.000000 0.005715 0.005715
194.000000 0.002301 0.002301
195.000000 0.005179 0.005179
196.000000 0.004927 0.004927
197.000000 0.003121 0.003121
198.000000 0.003027 0.003027
199.000000 0.003833 0.003833
200.000000 0.003681 0.003681
201.000000 0.004383 0.004383
202.000000 0.002937 0.002937
203.000000 0.005947 0.005947
204.000000 0.003675 0.003675
205.000000 0.004037 0.004037
206.000000 0.002572 0.002572
207.000000 0.004520 0.004520
208.000000 0.002633 0.002633
209.000000 0.002697 0.002697
210.000000 0.005278 0.005278
211.000000 0.005830 0.005830
212.000000 0.003985 0.003985
213.000000 0.005815 0.005815
214.000000 0.005546 0.005546
215.000000 0.006243 0.006243
216.000000 0.005256 0.005256
217.000000 0.003194 0.003194
218.000000 0.005026 0.005026
219.000000 0.003485 0.003485
220.000000 0.003666 0.003666
221.000000 0.003966 0.003966
222.000000 0.004760 0.004760
223.000000 0.004435 0.004435
224.000000 0.004266 0.004266
225.000000 0.004000 0.004000
226.000000 0.006051 0.006051
227.000000 0.004372 0.004372
228.000000 0.003624 0.003624
229.000000 0.003940 0.003940
230.000000 0.003926 0.003926
231.000000 0.004088 0.004088
232.000000 0.006529 0.006529
233.000000 0.004709 0.004709
234.000000 0.003630 0.003630
235.000000 0.005373 0.005373
236.000000 0.006644 0.006644
237.000000 0.004669 0.004669
238.000000 0.006291 0.006291
239.000000 0.006932 0.006932
240.000000 0.005628 0.005628
241.000000 0.005346 0.005346
242.000000 0.005994 0.005994
243.000000 0.006194 0.006194
244.000000 0.004872 0.004872
245.000000 0.003073 0.003073
246.000000 0.004635 0.004635
247.000000 0.003343 0.003343
248.000000 0.003426 0.003426
249.000000 0.002814 0.002814
250.000000 0.004224 0.004224
251.000000 0.004530 0.004530
252.000000 0.005268 0.005268
253.000000 0.006451 0.006451
254.000000 0.004511 0.004511
255.000000 0.002973 0.002973
256.000000 0.004341 0.004341
257.000000 0.003304 0.003304
258.000000 0.004713 0.004713
259.000000 0.004283 0.004283
260.000000 0.002910 0.002910
261.000000 0.005825 0.005825
262.000000 0.005995 0.005995
263.000000 0.004367 0.004367
264.000000 0.003089 0.003089
265.000000 0.003420 0.003420
266.000000 0.003612 0.003612
267.000000 0.003806 0.003806
268.000000 0.005177 0.005177
269.000000 0.003775 0.003775
270.000000 0.004908 0.004908
271.000000 0.003402 0.003402
272.000000 0.004236 0.004236
273.000000 0.005705 0.005705
274.000000 0.004926 0.004926
275.000000 0.005563 0.005563
276.000000 0.004531 0.004531
277.000000 0.004121 0.004121
278.000000 0.006788 0.006788
279.000000 0.003885 0.003885
280.000000 0.004965 0.004965
281.000000 0.002950 0.002950
282.000000 0.006874 0.006874
283.000000 0.005463 0.005463
284.000000 0.005118 0.005118
285.000000 0.004401 0.004401
286.000000 0.005386 0.005386
287.000000 0.006212 0.006212
288.000000 0.007550 0.007550
289.000000 0.005797 0.005797
290.000000 0.005007 0.005007
291.000000 0.005723 0.005723
292.000000 0.004869 0.004869
293.000000 0.004344 0.004344
294.000000 0.003375 0.003375
295.000000 0.004303 0.004303
296.000000 0.004022 0.004022
297.000000 0.003215 0.003215
298.000000 0.004078 0.004078
299.000000 0.005040 0.005040
300.000000 0.005945 0.005945
301.000000 0.004597 0.004597
302.000000 0.007211 0.007211
303.000000 0.003884 0.003884
304.000000 0.005290 0.005290
305.000000 0.003585 0.003585
306.000000 0.003353 0.003353
307.000000 0.004115 0.004115
308.000000 0.003938 0.003938
309.000000 0.004273 0.004273
310.000000 0.005687 0.005687
311.000000 0.003199 0.003199
312.000000 0.004095 0.004095
313.000000 0.004964 0.004964
314.000000 0.003914 0.003914
315.000000 0.003552 0.003552
316.000000 0.003597 0.003597
317.000000 0.003222 0.003222
318.000000 0.003236 0.003236
319.000000 0.004023 0.004023
320.000000 0.004121 0.004121
321.000000 0.003421 0.003421
322.000000 0.004653 0.004653
323.000000 0.004460 0.004460
324.000000 0.004097 0.004097
325.000000 0.005135 0.005135
326.000000 0.005009 0.005009
327.000000 0.006774 0.006774
328.000000 0.007512 0.007512
329.000000 0.004621 0.004621
330.000000 0.003699 0.003699
331.000000 0.005501 0.005501
332.000000 0.003458 0.003458
333.000000 0.003619 0.003619
334.000000 0.002791 0.002791
335.000000 0.005046 0.005046
336.000000 0.004027 0.004027
337.000000 0.005697 0.005697
338.000000 0.004731 0.004731
339.000000 0.004490 0.004490
340.000000 0.004074 0.004074
341.000000 0.003087 0.003087
342.000000 0.004601 0.004601
343.000000 0.004573 0.004573
344.000000 0.004130 0.004130
345.000000 0.006431 0.006431
346.000000 0.005121 0.005121
347.000000 0.003408 0.003408
348.000000 0.004091 0.004091
349.000000 0.006016 0.006016
350.000000 0.005150 0.005150
351.000000 0.004822 0.004822
352.000000 0.003149 0.003149
353.000000 0.004758 0.004758
354.000000 0.002872 0.002872
355.000000 0.003354 0.003354
356.000000 0.003794 0.003794
357.000000 0.004219 0.004219
358.000000 0.004861 0.004861
359.000000 0.003328 0.003328
360.000000 0.005571 0.005571
361.000000 0.006709 0.006709
362.000000 0.003739 0.003739
363.000000 0.005841 0.005841
364.000000 0.004879 0.004879
365.000000 0.005645 0.005645
366.000000 0.005171 0.005171
367.000000 0.005473 0.005473
368.000000 0.003666 0.003666
369.000000 0.004864 0.004864
370.000000 0.005831 0.005831
371.000000 0.005855 0.005855
372.000000 0.003922 0.003922
373.000000 0.003645 0.003645
374.000000 0.003637 0.003637
375.000000 0.005970 0.005970
376.000000 0.003502 0.003502
377.000000 0.005633 0.005633
378.000000 0.005583 0.005583
379.000000 0.003034 0.003034
380.000000 0.004032 0.004032
381.000000 0.002688 0.002688
382.000000 0.004012 0.004012
383.000000 0.005404 0.005404
384.000000 0.004533 0.004533
385.000000 0.004125 0.004125
386.000000 0.003547 0.003547
387.000000 0.003992 0.003992
388.000000 0.004574 0.004574
389.000000 0.004477 0.004477
390.000000 0.003625 0.003625
391.000000 0.005464 0.005464
392.000000 0.003789 0.003789
393.000000 0.004412 0.004412
394.000000 0.006741 0.006741
395.000000 0.005178 0.005178
396.000000 0.004603 0.004603
397.000000 0.003248 0.003248
398.000000 0.006368 0.006368
399.000000 0.004259 0.004259
400.000000 0.004987 0.004987
401.000000 0.003745 0.003745
402.000000 0.004685 0.004685
403.000000 0.005748 0.005748
404.000000 0.005400 0.005400
405.000000 0.006869 0.006869
406.000000 0.004258 0.004258
407.000000 0.003613 0.003613
408.000000 0.003890 0.003890
409.000000 0.005029 0.005029
410.000000 0.004746 0.004746
411.000000 0.004146 0.004146
412.000000 0.006702 0.006702
413.000000 0.005429 0.005429
414.000000 0.004362 0.004362
415.000000 0.004087 0.004087
416.000000 0.004451 0.004451
417.000000 0.002729 0.002729
418.000000 0.004620 0.004620
419.000000 0.003478 0.003478
420.000000 0.005004 0.005004
421.000000 0.003400 0.003400
422.000000 0.003500 0.003500
423.000000 0.005092 0.005092
424.000000 0.005400 0.005400
425.000000 0.003898 0.003898
426.000000 0.005590 0.005590
427.000000 0.003650 0.003650
428.000000 0.006306 0.006306
429.000000 0.003065 0.003065
430.000000 0.004343 0.004343
431.000000 0.005046 0.005046
432.000000 0.003048 0.003048
433.000000 0.008177 0.008177
434.000000 0.003585 0.003585
435.000000 0.004314 0.004314
436.000000 0.004838 0.004838
437.000000 0.002686 0.002686
438.000000 0.005853 0.005853
439.000000 0.003542 0.003542
440.000000 0.005426 0.005426
441.000000 0.002786 0.002786
442.000000 0.004330 0.004330
443.000000 0.005408 0.005408
444.000000 0.004534 0.004534
445.000000 0.004307 0.004307
446.000000 0.003398 0.003398
447.000000 0.004669 0.004669
