Interval	Avg	Std	CI=0.95	Min	Median	Max
    0 --     1	1555.840	172.853	214.625	1268.800	1560.000	1747.200
    1 --     2	1641.120	110.925	137.731	1466.400	1643.200	1768.000
    2 --     3	1451.840	264.217	328.069	1133.600	1487.200	1903.200
    3 --     4	1628.640	170.332	211.495	1393.600	1549.600	1830.400
    4 --     5	1555.840	69.796	86.664	1476.800	1518.400	1674.400
    5 --     6	1649.440	69.486	86.278	1580.800	1601.600	1757.600
    6 --     7	1545.440	100.746	125.093	1414.400	1591.200	1653.600
    7 --     8	1543.360	247.476	307.282	1185.600	1570.400	1944.800
    8 --     9	1495.520	114.002	141.552	1352.000	1560.000	1601.600
    9 --    10	1697.280	158.735	197.096	1476.800	1695.200	1882.400
   10 --    11	1557.920	200.091	248.446	1216.800	1674.400	1747.200
   11 --    12	1591.200	52.620	65.337	1518.400	1612.000	1643.200
   12 --    13	1547.520	155.847	193.510	1258.400	1643.200	1664.000
   13 --    14	1643.200	203.266	252.388	1497.600	1539.200	2038.400
   14 --    15	1439.360	118.870	147.596	1268.800	1466.400	1622.400
   15 --    16	1639.040	297.418	369.293	1050.400	1788.800	1851.200
   16 --    17	1643.200	240.058	298.071	1268.800	1580.800	1934.400
   17 --    18	1636.960	166.867	207.193	1393.600	1705.600	1851.200
   18 --    19	1566.240	174.844	217.097	1320.800	1539.200	1851.200
   19 --    20	1528.800	163.647	203.195	1383.200	1445.600	1830.400
   20 --    21	1530.880	124.869	155.046	1383.200	1570.400	1664.000
   21 --    22	1699.360	237.120	294.423	1268.800	1788.800	1913.600
   22 --    23	1466.400	254.322	315.782	988.000	1518.400	1736.800
   23 --    24	1566.240	146.872	182.366	1362.400	1622.400	1736.800
   24 --    25	1688.960	94.084	116.821	1570.400	1653.600	1809.600
   25 --    26	1537.120	286.059	355.189	977.600	1632.800	1747.200
   26 --    27	1468.480	146.843	182.329	1227.200	1497.600	1684.800
   27 --    28	1632.800	124.973	155.175	1435.200	1632.800	1788.800
   28 --    29	1732.640	47.249	58.667	1643.200	1757.600	1768.000
   29 --    30	1624.480	211.138	262.162	1289.600	1653.600	1934.400
   30 --    31	1576.640	247.913	307.825	1164.800	1601.600	1903.200
   31 --    32	1474.720	51.958	64.515	1414.400	1487.200	1539.200
   32 --    33	1664.000	134.799	167.376	1466.400	1632.800	1820.000
   33 --    34	1607.840	199.246	247.397	1248.000	1612.000	1830.400
   34 --    35	1526.720	271.231	336.777	1175.200	1476.800	2007.200
   35 --    36	1676.480	228.175	283.317	1362.400	1684.800	1996.800
   36 --    37	1508.000	182.756	226.922	1206.400	1539.200	1778.400
   37 --    38	1439.360	159.035	197.468	1185.600	1404.000	1643.200
   38 --    39	1539.200	114.872	142.632	1435.200	1466.400	1736.800
   39 --    40	1524.640	228.478	283.693	1258.400	1487.200	1913.600
   40 --    41	1493.440	239.119	296.905	1248.000	1372.800	1934.400
   41 --    42	1485.120	116.071	144.121	1352.000	1466.400	1695.200
   42 --    43	1524.640	150.077	186.346	1362.400	1487.200	1809.600
   43 --    44	1603.680	293.671	364.640	1050.400	1736.800	1872.000
   44 --    45	1599.520	162.905	202.274	1310.400	1601.600	1799.200
   45 --    46	1655.680	281.331	349.319	1237.600	1768.000	2038.400
   46 --    47	1451.840	193.406	240.146	1133.600	1497.600	1684.800
   47 --    48	1584.960	89.850	111.564	1466.400	1643.200	1684.800
   48 --    49	1657.760	292.874	363.651	1175.200	1726.400	1965.600
   49 --    50	1593.280	167.618	208.125	1341.600	1591.200	1851.200
   50 --    51	1401.920	263.709	327.438	1040.000	1372.800	1778.400
   51 --    52	1634.880	136.933	170.025	1414.400	1643.200	1809.600
   52 --    53	1713.920	186.552	231.635	1528.800	1632.800	1986.400
   53 --    54	1564.160	202.477	251.408	1248.000	1674.400	1757.600
   54 --    55	1643.200	116.554	144.721	1466.400	1674.400	1809.600
   55 --    56	1668.160	212.384	263.710	1331.200	1757.600	1903.200
   56 --    57	1609.920	125.904	156.331	1372.800	1674.400	1716.000
   57 --    58	1672.320	166.582	206.839	1456.000	1612.000	1934.400
   58 --    59	1682.720	72.472	89.986	1560.000	1716.000	1757.600
   59 --    60	1458.080	178.614	221.778	1164.800	1528.800	1695.200
   60 --    61	1553.760	179.965	223.456	1258.400	1591.200	1747.200
   61 --    62	1526.720	185.622	230.480	1227.200	1487.200	1778.400
   62 --    63	1659.840	104.746	130.059	1456.000	1695.200	1736.800
   63 --    64	1489.280	204.687	254.153	1175.200	1487.200	1820.000
   64 --    65	1537.120	101.559	126.102	1456.000	1476.800	1726.400
   65 --    66	1503.840	177.057	219.845	1175.200	1580.800	1695.200
   66 --    67	1491.360	235.012	291.806	1081.600	1466.400	1747.200
   67 --    68	1451.840	369.257	458.493	759.200	1632.800	1778.400
   68 --    69	1639.040	152.224	189.011	1445.600	1632.800	1903.200
