Interval	Avg	Std	CI=0.95	Min	Median	Max
    0 --     1	0.005	0.006	0.007	0.002	0.002	0.017
    1 --     2	0.006	0.003	0.004	0.002	0.005	0.011
    2 --     3	0.006	0.003	0.003	0.004	0.006	0.011
    3 --     4	0.003	0.001	0.001	0.002	0.003	0.004
    4 --     5	0.003	0.001	0.001	0.003	0.003	0.005
    5 --     6	0.004	0.001	0.002	0.002	0.003	0.006
    6 --     7	0.003	0.001	0.001	0.002	0.003	0.005
    7 --     8	0.003	0.001	0.001	0.002	0.002	0.005
    8 --     9	0.004	0.002	0.002	0.002	0.004	0.007
    9 --    10	0.004	0.002	0.003	0.002	0.003	0.009
   10 --    11	0.003	0.001	0.001	0.002	0.003	0.005
   11 --    12	0.003	0.001	0.001	0.002	0.003	0.004
   12 --    13	0.003	0.001	0.002	0.002	0.003	0.005
   13 --    14	0.004	0.001	0.002	0.002	0.003	0.006
   14 --    15	0.006	0.002	0.002	0.003	0.006	0.008
   15 --    16	0.005	0.002	0.002	0.002	0.006	0.007
   16 --    17	0.004	0.001	0.001	0.002	0.004	0.005
   17 --    18	0.004	0.002	0.002	0.002	0.004	0.008
   18 --    19	0.004	0.002	0.002	0.003	0.003	0.007
   19 --    20	0.005	0.003	0.003	0.001	0.006	0.008
   20 --    21	0.004	0.002	0.003	0.003	0.003	0.009
   21 --    22	0.004	0.002	0.002	0.002	0.003	0.007
   22 --    23	0.003	0.001	0.001	0.003	0.004	0.004
   23 --    24	0.005	0.002	0.003	0.003	0.004	0.009
   24 --    25	0.004	0.002	0.002	0.003	0.003	0.007
   25 --    26	0.004	0.002	0.002	0.002	0.003	0.007
   26 --    27	0.003	0.001	0.001	0.002	0.003	0.004
   27 --    28	0.002	0.000	0.000	0.002	0.002	0.002
   28 --    29	0.003	0.002	0.002	0.002	0.004	0.006
   29 --    30	0.003	0.001	0.001	0.002	0.002	0.004
   30 --    31	0.004	0.003	0.004	0.002	0.003	0.010
   31 --    32	0.004	0.001	0.001	0.002	0.004	0.006
   32 --    33	0.004	0.000	0.000	0.003	0.003	0.004
   33 --    34	0.003	0.000	0.001	0.003	0.003	0.004
   34 --    35	0.004	0.001	0.002	0.002	0.004	0.006
   35 --    36	0.004	0.002	0.002	0.003	0.003	0.007
   36 --    37	0.003	0.002	0.002	0.002	0.003	0.006
   37 --    38	0.004	0.001	0.001	0.003	0.004	0.005
   38 --    39	0.004	0.002	0.002	0.002	0.003	0.007
   39 --    40	0.005	0.002	0.002	0.002	0.004	0.007
   40 --    41	0.004	0.002	0.002	0.003	0.003	0.007
   41 --    42	0.005	0.002	0.003	0.002	0.006	0.008
   42 --    43	0.003	0.001	0.001	0.002	0.002	0.004
   43 --    44	0.004	0.001	0.001	0.002	0.004	0.005
   44 --    45	0.005	0.002	0.002	0.002	0.006	0.006
   45 --    46	0.003	0.001	0.001	0.002	0.003	0.005
   46 --    47	0.003	0.001	0.001	0.002	0.003	0.004
   47 --    48	0.004	0.001	0.002	0.002	0.003	0.006
   48 --    49	0.003	0.002	0.002	0.002	0.002	0.006
   49 --    50	0.004	0.001	0.001	0.002	0.003	0.006
   50 --    51	0.004	0.002	0.003	0.002	0.002	0.008
   51 --    52	0.004	0.002	0.002	0.003	0.004	0.007
   52 --    53	0.004	0.001	0.002	0.002	0.004	0.006
   53 --    54	0.005	0.002	0.003	0.002	0.004	0.008
   54 --    55	0.004	0.001	0.002	0.002	0.003	0.007
   55 --    56	0.003	0.002	0.002	0.002	0.002	0.006
   56 --    57	0.003	0.001	0.001	0.002	0.004	0.004
   57 --    58	0.003	0.001	0.001	0.002	0.003	0.005
   58 --    59	0.003	0.001	0.001	0.002	0.003	0.004
   59 --    60	0.003	0.001	0.001	0.003	0.003	0.005
   60 --    61	0.005	0.002	0.003	0.002	0.004	0.008
