Interval	Avg	Std	CI=0.95	Min	Median	Max
    0 --     1	0.200	0.400	0.497	0.000	0.000	1.000
    1 --     2	2.494	2.417	3.002	0.000	1.806	7.125
    2 --     3	5.565	3.162	3.926	2.010	5.979	11.000
    3 --     4	9.268	2.696	3.348	5.637	9.946	13.457
    4 --     5	11.232	1.650	2.048	8.667	11.830	12.967
    5 --     6	11.351	0.786	0.976	10.000	11.821	12.114
    6 --     7	12.446	1.620	2.012	10.181	12.101	15.135
    7 --     8	13.519	2.478	3.076	9.443	13.230	16.844
    8 --     9	13.877	2.865	3.558	9.693	15.341	17.421
    9 --    10	14.545	2.534	3.146	9.639	15.758	16.587
   10 --    11	14.420	1.494	1.855	12.317	14.476	16.736
   11 --    12	14.315	1.497	1.859	12.525	13.645	16.523
   12 --    13	14.198	1.340	1.664	12.475	15.082	15.476
   13 --    14	13.603	1.171	1.454	11.430	14.079	14.641
   14 --    15	14.228	0.716	0.889	13.025	14.232	15.181
   15 --    16	14.359	1.943	2.412	12.108	13.567	17.884
   16 --    17	13.697	2.046	2.540	11.255	13.308	17.478
   17 --    18	13.586	2.352	2.921	10.057	13.507	17.399
   18 --    19	13.788	2.877	3.573	9.357	13.332	17.473
   19 --    20	14.694	3.032	3.765	11.365	13.154	18.353
   20 --    21	15.059	3.858	4.790	10.413	15.376	20.155
   21 --    22	15.728	3.283	4.077	11.640	16.284	20.653
   22 --    23	15.308	2.609	3.239	12.596	15.446	19.666
   23 --    24	14.789	2.237	2.778	12.202	14.310	18.633
   24 --    25	14.458	2.699	3.351	11.446	13.556	19.449
   25 --    26	14.230	3.276	4.068	12.024	12.275	20.575
   26 --    27	14.066	3.851	4.782	11.104	11.581	21.219
   27 --    28	14.386	4.220	5.240	10.429	12.232	20.657
   28 --    29	14.141	4.164	5.170	9.346	14.788	19.688
   29 --    30	13.271	4.166	5.173	8.231	14.450	18.654
   30 --    31	13.106	4.121	5.117	7.730	15.608	17.404
   31 --    32	13.585	5.258	6.529	6.779	14.624	20.981
   32 --    33	13.266	5.710	7.089	5.564	13.584	22.040
   33 --    34	12.872	5.656	7.023	4.684	14.037	20.767
   34 --    35	12.758	5.976	7.421	4.329	14.207	19.945
   35 --    36	14.232	6.195	7.692	4.179	17.061	21.327
   36 --    37	15.649	6.838	8.490	3.405	16.741	23.506
   37 --    38	16.634	6.509	8.083	5.021	18.672	24.320
   38 --    39	17.138	6.996	8.686	4.785	18.977	25.950
   39 --    40	17.403	7.233	8.981	3.994	19.127	25.831
   40 --    41	17.481	6.758	8.391	5.320	19.197	25.917
   41 --    42	17.607	7.497	9.309	4.448	19.385	27.568
   42 --    43	17.635	7.188	8.926	5.496	18.309	27.614
   43 --    44	17.331	6.971	8.655	6.393	17.344	28.029
   44 --    45	17.553	6.350	7.885	8.085	17.344	27.918
   45 --    46	18.620	4.909	6.096	11.694	18.098	27.057
   46 --    47	20.062	4.287	5.322	14.982	19.046	28.002
   47 --    48	20.989	5.569	6.915	14.420	19.986	30.963
   48 --    49	20.456	5.364	6.661	13.461	19.282	29.954
   49 --    50	19.500	5.165	6.413	13.267	18.177	28.870
   50 --    51	19.948	4.634	5.754	16.885	17.484	29.117
   51 --    52	20.885	4.259	5.288	16.358	19.836	28.913
   52 --    53	21.525	4.966	6.166	15.292	20.791	30.136
   53 --    54	21.764	6.040	7.499	14.248	20.516	32.658
   54 --    55	21.477	6.242	7.751	13.212	20.069	32.081
   55 --    56	20.787	6.421	7.973	12.582	18.758	31.334
   56 --    57	20.229	7.124	8.845	11.437	17.709	32.413
   57 --    58	19.785	7.117	8.837	10.304	17.735	31.619
   58 --    59	19.516	6.989	8.678	10.190	16.709	30.207
   59 --    60	21.088	8.070	10.020	10.145	18.127	31.557
   60 --    61	21.041	8.703	10.806	9.318	18.536	32.723
   61 --    62	20.009	9.173	11.390	8.039	17.471	32.381
   62 --    63	19.542	8.918	11.073	7.246	18.005	31.211
   63 --    64	19.490	9.110	11.312	6.391	17.628	32.096
   64 --    65	19.015	9.104	11.304	5.327	16.472	31.257
   65 --    66	19.026	9.950	12.354	4.439	15.723	31.616
   66 --    67	18.575	10.142	12.592	3.342	15.482	31.261
   67 --    68	18.062	10.810	13.423	2.171	16.462	30.122
   68 --    69	20.825	10.265	12.745	7.666	17.836	33.061
   69 --    70	21.792	9.389	11.658	8.355	18.502	32.511
