1 1,999999286
2 6,16666575
3 10,6437775
4 11,4183295
5 10,3180045
6 9,4781534
7 11,961655556
8 15,2852142
9 14,310323
10 13,21444275
11 12,43537
12 13,0276392
13 12,32188425
14 12,519954667
15 12,709353
16 11,709574
17 12,431365833
18 13,20107925
19 13,4554156
20 13,90050525
21 13,156286
22 14,3147265
23 14,5906265
24 15,19152575
25 14,856557333
26 13,77295
27 12,692283667
28 11,672426333
29 10,7100485
30 11,2299544
31 10,398460333
32 11,529477833
33 13,0862795
34 11,768010667
35 12,8051235
36 13,21893275
37 12,96057025
38 11,718867333
39 14,179302
40 13,816331
41 14,231591625
42 13,7288025
43 12,728687667
44 12,317646333
45 12,8074692
46 13,0669
47 14,702445
48 14,96389125
49 14,7338455
50 13,942602
51 14,503255429
52 15,8575325
53 14,6151672
54 13,7848415
55 12,690917
56 11,7338115
57 10,857784
58 9,8076822
59 8,604693667
60 7,597761714
61 6,588236
62 5,72288
63 4,636386
64 3,7334235
65 2,75385475
66 1,771916
67 0,85581
68 2,0782008
69 8,525815
70 1,73080075
71 0,6060975
72 1,2400052
73 2,886375
74 1,7742
75 0,608466
76 1,8500504
77 3,662912286
78 3,693558667
79 2,738189333
80 3,72385475
81 4,809319
82 7,15559025
83 10,922491
84 11,338943375
85 14,3866315
86 13,609102
87 12,608208667
88 11,607131667
89 12,665443333
90 11,5480642
91 10,73113
92 9,857756667
93 8,8638908
94 7,847926
95 6,678483
96 5,799044
97 4,774590333
98 4,5360305
99 4,883237
100 11,049214
101 2,6064915
102 1,856135
103 0,694186333
104 3,693872333
105 7,6097724
106 9,006854167
107 10,8851072
108 9,6465284
109 10,5309545
110 11,63255625
111 13,981135
112 13,7338415
113 12,836138167
114 11,855232667
115 11,1297004
116 11,9182555
117 12,3529184
118 11,671364
119 10,658593667
120 11,233153
121 12,422002333
122 11,606006
123 10,77415
124 11,160063
125 10,6088315
126 9,7328995
127 9,3168722
128 9,6005645
129 8,8187725
130 10,313943625 
131 10,860946
132 11,121004833
133 12,421689333
134 11,41397675
135 10,678224
136 9,8720268
137 12,837445333
138 13,221789
139 12,600341
140 11,603048667
141 10,727313
142 11,441154333
143 11,854381333
144 11,663291
145 10,604828
146 9,764679
147 11,778334333
148 13,2641365
149 12,774805333
150 11,86046
151 10,778079
152 9,6087355
153 8,836146333
154 9,070757167
155 8,733599
156 7,879977833
157 6,692482
158 5,57085
159 4,861017333
160 3,8574375
161 2,903761667


2018-04-06T16:54:04,123Z	2,110374
2018-04-06T16:54:04,617Z	1,610501
2018-04-06T16:54:05,112Z	1,110918
2018-04-06T16:54:05,365Z	0,86045300000001
