Time 1-10.0.0.3-10.0.0.2 Aggregate-Flow
0.000000 0.001021 0.001021
1.000000 0.001929 0.001929
2.000000 0.004429 0.004429
3.000000 0.002162 0.002162
4.000000 0.001733 0.001733
5.000000 0.009051 0.009051
6.000000 0.004307 0.004307
7.000000 0.003143 0.003143
8.000000 0.005411 0.005411
9.000000 0.002191 0.002191
10.000000 0.005386 0.005386
11.000000 0.005079 0.005079
12.000000 0.006501 0.006501
13.000000 0.006377 0.006377
14.000000 0.001870 0.001870
15.000000 0.005404 0.005404
16.000000 0.003945 0.003945
17.000000 0.006681 0.006681
18.000000 0.006098 0.006098
19.000000 0.006937 0.006937
20.000000 0.005698 0.005698
21.000000 0.001970 0.001970
22.000000 0.003731 0.003731
23.000000 0.006648 0.006648
24.000000 0.092304 0.092304
25.000000 0.172027 0.172027
26.000000 0.005981 0.005981
27.000000 0.004268 0.004268
28.000000 0.006521 0.006521
29.000000 0.004820 0.004820
30.000000 0.040520 0.040520
31.000000 0.025843 0.025843
32.000000 0.003357 0.003357
33.000000 0.001473 0.001473
34.000000 0.001593 0.001593
35.000000 0.005153 0.005153
36.000000 0.004967 0.004967
37.000000 0.006665 0.006665
38.000000 0.006382 0.006382
39.000000 0.005884 0.005884
40.000000 0.007784 0.007784
41.000000 0.004044 0.004044
42.000000 0.001621 0.001621
43.000000 0.001676 0.001676
44.000000 0.001671 0.001671
45.000000 0.001575 0.001575
46.000000 0.001603 0.001603
47.000000 0.003960 0.003960
48.000000 0.006247 0.006247
49.000000 0.002684 0.002684
50.000000 0.001855 0.001855
51.000000 0.003435 0.003435
52.000000 0.001375 0.001375
53.000000 0.001969 0.001969
54.000000 0.001656 0.001656
55.000000 0.004605 0.004605
56.000000 0.005959 0.005959
57.000000 0.003985 0.003985
58.000000 0.006020 0.006020
59.000000 0.004537 0.004537
60.000000 0.006869 0.006869
61.000000 0.004935 0.004935
62.000000 0.001935 0.001935
63.000000 0.002063 0.002063
64.000000 0.001788 0.001788
65.000000 0.006314 0.006314
66.000000 0.006579 0.006579
67.000000 0.004731 0.004731
68.000000 0.366829 0.366829
69.000000 0.002076 0.002076
70.000000 0.004004 0.004004
71.000000 0.001473 0.001473
72.000000 0.002030 0.002030
73.000000 0.001624 0.001624
74.000000 0.001605 0.001605
75.000000 0.004621 0.004621
76.000000 0.003817 0.003817
77.000000 0.007785 0.007785
78.000000 0.004183 0.004183
79.000000 0.001588 0.001588
80.000000 0.004815 0.004815
81.000000 0.001670 0.001670
82.000000 0.002016 0.002016
83.000000 0.001748 0.001748
84.000000 0.001854 0.001854
85.000000 0.004378 0.004378
86.000000 0.004852 0.004852
87.000000 0.004591 0.004591
88.000000 0.001666 0.001666
89.000000 0.001407 0.001407
90.000000 0.003598 0.003598
91.000000 0.002097 0.002097
92.000000 0.001278 0.001278
93.000000 0.002020 0.002020
94.000000 0.001582 0.001582
95.000000 0.004354 0.004354
96.000000 0.003074 0.003074
97.000000 0.003429 0.003429
98.000000 0.004407 0.004407
99.000000 0.005987 0.005987
100.000000 0.005185 0.005185
101.000000 0.003670 0.003670
102.000000 0.002174 0.002174
103.000000 0.001991 0.001991
104.000000 0.001742 0.001742
105.000000 0.003790 0.003790
106.000000 0.001748 0.001748
107.000000 0.002065 0.002065
108.000000 0.001733 0.001733
109.000000 0.001528 0.001528
110.000000 0.005256 0.005256
111.000000 0.004029 0.004029
112.000000 0.003243 0.003243
113.000000 0.005195 0.005195
114.000000 0.001757 0.001757
115.000000 0.003692 0.003692
116.000000 0.004440 0.004440
117.000000 0.003992 0.003992
118.000000 0.001730 0.001730
119.000000 0.001866 0.001866
120.000000 0.004512 0.004512
121.000000 0.005213 0.005213
122.000000 0.004301 0.004301
123.000000 0.001674 0.001674
124.000000 0.002019 0.002019
125.000000 0.005236 0.005236
126.000000 0.002428 0.002428
127.000000 0.001733 0.001733
128.000000 0.001809 0.001809
129.000000 0.005027 0.005027
130.000000 0.002956 0.002956
131.000000 0.002101 0.002101
132.000000 0.003658 0.003658
133.000000 0.004193 0.004193
134.000000 0.001613 0.001613
135.000000 0.002111 0.002111
136.000000 0.001926 0.001926
137.000000 0.003744 0.003744
138.000000 0.004381 0.004381
139.000000 0.001790 0.001790
140.000000 0.002023 0.002023
141.000000 0.001783 0.001783
142.000000 0.003029 0.003029
143.000000 0.005118 0.005118
144.000000 0.002580 0.002580
145.000000 0.001622 0.001622
146.000000 0.001796 0.001796
147.000000 0.003500 0.003500
148.000000 0.003065 0.003065
149.000000 0.001503 0.001503
150.000000 0.002208 0.002208
151.000000 0.002025 0.002025
152.000000 0.002963 0.002963
153.000000 0.003484 0.003484
154.000000 0.001269 0.001269
155.000000 0.001590 0.001590
156.000000 0.002188 0.002188
157.000000 0.003393 0.003393
158.000000 0.003538 0.003538
159.000000 0.002069 0.002069
160.000000 0.001947 0.001947
161.000000 0.001817 0.001817
162.000000 0.002492 0.002492
163.000000 0.004538 0.004538
164.000000 0.001609 0.001609
165.000000 0.004129 0.004129
166.000000 0.002085 0.002085
167.000000 0.002577 0.002577
168.000000 0.003069 0.003069
169.000000 0.001706 0.001706
170.000000 0.001446 0.001446
171.000000 0.001714 0.001714
172.000000 0.003232 0.003232
173.000000 0.004512 0.004512
174.000000 0.002197 0.002197
175.000000 0.001615 0.001615
176.000000 0.001825 0.001825
177.000000 0.004129 0.004129
178.000000 0.004088 0.004088
179.000000 0.001748 0.001748
180.000000 0.002072 0.002072
181.000000 0.001792 0.001792
182.000000 0.003873 0.003873
183.000000 0.004945 0.004945
184.000000 0.001627 0.001627
185.000000 0.002053 0.002053
186.000000 0.001931 0.001931
187.000000 0.003345 0.003345
188.000000 0.004583 0.004583
189.000000 0.002445 0.002445
190.000000 0.002033 0.002033
191.000000 0.001605 0.001605
192.000000 0.001874 0.001874
193.000000 0.004088 0.004088
194.000000 0.002496 0.002496
195.000000 0.002785 0.002785
196.000000 0.002104 0.002104
197.000000 0.003665 0.003665
198.000000 0.003904 0.003904
199.000000 0.002514 0.002514
200.000000 0.003581 0.003581
201.000000 0.002215 0.002215
202.000000 0.002808 0.002808
203.000000 0.003311 0.003311
204.000000 0.001773 0.001773
205.000000 0.002318 0.002318
206.000000 0.002215 0.002215
207.000000 0.003012 0.003012
208.000000 0.005272 0.005272
209.000000 0.002224 0.002224
210.000000 0.002004 0.002004
211.000000 0.002892 0.002892
212.000000 0.004431 0.004431
213.000000 0.004232 0.004232
214.000000 0.002840 0.002840
215.000000 0.001767 0.001767
216.000000 0.001720 0.001720
217.000000 0.003335 0.003335
218.000000 0.020883 0.020883
219.000000 0.002648 0.002648
220.000000 0.003800 0.003800
221.000000 0.003264 0.003264
222.000000 0.003965 0.003965
223.000000 0.003336 0.003336
224.000000 0.004780 0.004780
225.000000 0.002080 0.002080
226.000000 0.002681 0.002681
227.000000 0.003286 0.003286
228.000000 0.016480 0.016480
229.000000 0.001617 0.001617
230.000000 0.002034 0.002034
231.000000 0.003190 0.003190
232.000000 0.003828 0.003828
233.000000 0.015088 0.015088
234.000000 0.001837 0.001837
235.000000 0.002733 0.002733
236.000000 0.002065 0.002065
237.000000 0.003922 0.003922
238.000000 0.036079 0.036079
239.000000 0.002117 0.002117
240.000000 0.002451 0.002451
241.000000 0.003268 0.003268
242.000000 0.002909 0.002909
243.000000 0.023844 0.023844
244.000000 0.001768 0.001768
245.000000 0.002387 0.002387
246.000000 0.002567 0.002567
247.000000 0.003118 0.003118
248.000000 0.003444 0.003444
249.000000 0.002138 0.002138
250.000000 0.001829 0.001829
251.000000 0.003001 0.003001
252.000000 0.008119 0.008119
253.000000 0.017392 0.017392
254.000000 0.001842 0.001842
255.000000 0.001732 0.001732
256.000000 0.001992 0.001992
257.000000 0.003883 0.003883
258.000000 0.033352 0.033352
259.000000 0.002300 0.002300
260.000000 0.001823 0.001823
261.000000 0.002399 0.002399
262.000000 0.003779 0.003779
263.000000 0.033364 0.033364
264.000000 0.002628 0.002628
265.000000 0.003539 0.003539
266.000000 0.002092 0.002092
267.000000 0.003967 0.003967
268.000000 0.036417 0.036417
269.000000 0.001716 0.001716
270.000000 0.001662 0.001662
271.000000 0.002380 0.002380
272.000000 0.003006 0.003006
273.000000 0.003112 0.003112
274.000000 0.002020 0.002020
275.000000 0.001844 0.001844
276.000000 0.003999 0.003999
277.000000 0.004695 0.004695
