Time 1-10.0.0.3-10.0.0.2 Aggregate-Flow
0.000000 0.001765 0.001765
1.000000 0.004433 0.004433
2.000000 0.003089 0.003089
3.000000 0.003088 0.003088
4.000000 0.002704 0.002704
5.000000 0.004473 0.004473
6.000000 0.004528 0.004528
7.000000 0.002930 0.002930
8.000000 0.003235 0.003235
9.000000 0.002354 0.002354
10.000000 0.003389 0.003389
11.000000 0.003777 0.003777
12.000000 0.002932 0.002932
13.000000 0.003509 0.003509
14.000000 0.002560 0.002560
15.000000 0.002705 0.002705
16.000000 0.002516 0.002516
17.000000 0.003467 0.003467
18.000000 0.004179 0.004179
19.000000 0.002904 0.002904
20.000000 0.003526 0.003526
21.000000 0.003428 0.003428
22.000000 0.003212 0.003212
23.000000 0.003896 0.003896
24.000000 0.003219 0.003219
25.000000 0.004216 0.004216
26.000000 0.003184 0.003184
27.000000 0.002264 0.002264
28.000000 0.003646 0.003646
29.000000 0.002925 0.002925
30.000000 0.002893 0.002893
31.000000 0.003153 0.003153
32.000000 0.003550 0.003550
33.000000 0.003077 0.003077
34.000000 0.002537 0.002537
35.000000 0.003446 0.003446
36.000000 0.002926 0.002926
37.000000 0.002937 0.002937
38.000000 0.003104 0.003104
39.000000 0.003102 0.003102
40.000000 0.003997 0.003997
41.000000 0.002556 0.002556
42.000000 0.002949 0.002949
43.000000 0.002847 0.002847
44.000000 0.003347 0.003347
45.000000 0.003617 0.003617
46.000000 0.003256 0.003256
47.000000 0.004072 0.004072
48.000000 0.003951 0.003951
49.000000 0.004037 0.004037
50.000000 0.003952 0.003952
51.000000 0.003180 0.003180
52.000000 0.003580 0.003580
53.000000 0.004077 0.004077
54.000000 0.003329 0.003329
55.000000 0.003939 0.003939
56.000000 0.002527 0.002527
57.000000 0.002899 0.002899
58.000000 0.003674 0.003674
59.000000 0.004531 0.004531
60.000000 0.003571 0.003571
61.000000 0.002731 0.002731
62.000000 0.004020 0.004020
63.000000 0.004766 0.004766
64.000000 0.003848 0.003848
65.000000 0.003818 0.003818
66.000000 0.005966 0.005966
67.000000 0.004929 0.004929
68.000000 0.003297 0.003297
69.000000 0.002405 0.002405
70.000000 0.004604 0.004604
71.000000 0.004911 0.004911
72.000000 0.002830 0.002830
73.000000 0.002784 0.002784
74.000000 0.003088 0.003088
75.000000 0.004998 0.004998
76.000000 0.004769 0.004769
77.000000 0.005191 0.005191
78.000000 0.003267 0.003267
79.000000 0.002970 0.002970
80.000000 0.003224 0.003224
81.000000 0.003079 0.003079
82.000000 0.003219 0.003219
83.000000 0.003048 0.003048
84.000000 0.003399 0.003399
85.000000 0.004735 0.004735
86.000000 0.004014 0.004014
87.000000 0.003228 0.003228
88.000000 0.003426 0.003426
89.000000 0.003385 0.003385
90.000000 0.003361 0.003361
91.000000 0.003534 0.003534
92.000000 0.004821 0.004821
93.000000 0.003141 0.003141
94.000000 0.003646 0.003646
95.000000 0.003342 0.003342
96.000000 0.003736 0.003736
97.000000 0.003401 0.003401
98.000000 0.004976 0.004976
99.000000 0.003277 0.003277
100.000000 0.003038 0.003038
101.000000 0.003045 0.003045
102.000000 0.004166 0.004166
103.000000 0.003154 0.003154
104.000000 0.004404 0.004404
105.000000 0.003566 0.003566
106.000000 0.003418 0.003418
107.000000 0.002660 0.002660
108.000000 0.003674 0.003674
109.000000 0.002902 0.002902
110.000000 0.002932 0.002932
111.000000 0.002436 0.002436
112.000000 0.003057 0.003057
113.000000 0.002593 0.002593
114.000000 0.003427 0.003427
115.000000 0.004136 0.004136
116.000000 0.003149 0.003149
117.000000 0.003328 0.003328
118.000000 0.002608 0.002608
119.000000 0.003401 0.003401
120.000000 0.005288 0.005288
121.000000 0.006995 0.006995
122.000000 0.005393 0.005393
123.000000 0.004939 0.004939
124.000000 0.003337 0.003337
125.000000 0.003428 0.003428
126.000000 0.003296 0.003296
127.000000 0.003367 0.003367
