Interval	Avg	Std	CI=0.95	Min	Median	Max
    0 --     1	1.519	2.133	1.526	0.000	0.833	6.208
    1 --     2	3.987	3.479	2.489	1.854	2.000	11.682
    2 --     3	5.484	3.459	2.475	2.000	4.150	13.048
    3 --     4	7.823	2.449	1.752	4.000	7.500	12.976
    4 --     5	9.964	2.274	1.627	7.000	9.333	14.058
    5 --     6	12.992	3.791	2.712	9.333	12.612	23.482
    6 --     7	14.571	4.010	2.869	10.838	13.319	26.181
    7 --     8	15.499	4.874	3.486	9.554	14.367	28.820
    8 --     9	17.383	5.040	3.606	8.714	17.247	29.980
    9 --    10	18.475	4.908	3.511	8.634	17.993	30.239
   10 --    11	18.728	4.655	3.330	9.857	18.501	29.988
   11 --    12	18.865	4.445	3.180	11.003	19.487	29.118
   12 --    13	18.204	4.811	3.441	10.435	18.673	29.640
   13 --    14	17.254	4.834	3.458	9.589	17.580	28.869
   14 --    15	16.677	5.363	3.837	8.838	17.153	30.268
   15 --    16	16.408	5.716	4.089	7.776	16.392	31.118
   16 --    17	16.602	5.560	3.978	9.070	16.762	30.117
   17 --    18	16.967	6.107	4.368	9.780	18.429	31.150
   18 --    19	17.266	5.513	3.944	10.288	18.369	30.116
   19 --    20	17.401	5.368	3.840	10.502	18.396	30.470
   20 --    21	16.970	5.346	3.824	9.149	17.411	29.946
   21 --    22	16.682	5.007	3.582	9.839	16.626	28.875
   22 --    23	16.386	5.735	4.102	8.597	15.938	30.489
   23 --    24	16.222	6.093	4.359	7.757	14.889	30.964
   24 --    25	16.407	6.410	4.585	8.389	14.599	32.293
   25 --    26	17.046	6.401	4.579	9.535	15.268	33.046
   26 --    27	17.585	5.872	4.201	9.299	15.899	32.046
   27 --    28	17.110	6.477	4.634	8.591	14.821	33.080
   28 --    29	16.755	6.572	4.702	7.340	15.847	32.001
   29 --    30	16.407	7.103	5.081	6.298	15.517	32.483
   30 --    31	16.335	7.205	5.154	5.215	14.539	31.873
   31 --    32	16.189	7.213	5.160	4.465	13.902	30.955
   32 --    33	15.757	7.464	5.340	3.301	13.555	31.672
   33 --    34	15.969	7.420	5.308	2.310	14.155	30.875
   34 --    35	15.872	7.779	5.565	1.310	14.059	30.899
   35 --    36	15.913	8.046	5.755	0.351	13.960	31.126
   36 --    37	15.573	7.853	5.618	0.000	14.605	29.959
   37 --    38	15.177	8.005	5.727	0.169	14.607	30.652
   38 --    39	15.059	7.618	5.450	0.000	15.075	30.007
   39 --    40	14.889	7.155	5.118	2.068	13.876	29.948
   40 --    41	14.773	7.643	5.468	1.972	14.021	32.262
   41 --    42	14.536	7.541	5.394	0.971	14.921	31.124
   42 --    43	14.307	7.533	5.389	1.873	13.971	32.062
   43 --    44	14.160	6.665	4.768	4.434	13.410	30.874
   44 --    45	14.287	6.580	4.707	3.889	13.782	30.822
   45 --    46	14.850	6.962	4.980	2.805	14.377	30.958
   46 --    47	15.241	6.553	4.688	3.659	14.584	30.000
   47 --    48	15.257	7.033	5.031	2.804	14.409	31.139
   48 --    49	14.885	6.893	4.931	1.930	14.122	29.955
   49 --    50	14.447	7.248	5.185	0.890	13.969	30.652
   50 --    51	14.284	7.375	5.276	0.029	14.469	30.123
   51 --    52	14.586	7.176	5.133	0.000	13.785	29.877
   52 --    53	14.473	7.047	5.041	1.156	13.478	30.093
   53 --    54	14.436	6.890	4.929	2.481	13.592	30.232
   54 --    55	14.225	6.484	4.638	5.481	12.534	30.029
   55 --    56	14.566	6.103	4.366	8.479	11.696	29.040
   56 --    57	15.179	6.187	4.426	7.477	12.802	29.552
   57 --    58	15.480	6.280	4.492	6.314	13.365	29.951
   58 --    59	14.920	6.474	4.632	5.230	12.973	29.813
   59 --    60	14.359	6.503	4.652	4.230	12.836	28.863
   60 --    61	14.314	6.704	4.796	3.230	12.679	29.624
   61 --    62	14.325	6.622	4.737	2.355	13.422	29.124
   62 --    63	13.911	6.750	4.829	1.395	13.458	27.953
   63 --    64	13.604	7.027	5.027	0.240	12.776	28.990
   64 --    65	14.089	6.439	4.607	3.853	12.470	27.958
   65 --    66	13.981	6.772	4.844	4.397	11.543	28.501
   66 --    67	14.031	7.005	5.011	3.230	12.262	28.041
   67 --    68	13.843	6.815	4.875	2.479	13.123	27.000
   68 --    69	13.293	7.195	5.147	1.495	12.347	28.106
   69 --    70	12.931	6.871	4.915	1.153	12.220	26.875
   70 --    71	12.430	6.410	4.585	2.734	11.488	25.875
   71 --    72	11.814	6.283	4.495	2.657	11.094	24.957
   72 --    73	11.736	6.228	4.455	3.823	10.479	24.143
   73 --    74	11.883	6.553	4.688	2.657	9.428	24.428
   74 --    75	11.452	6.727	4.812	1.659	9.121	24.125
   75 --    76	11.268	7.273	5.203	0.742	9.240	24.543
   76 --    77	11.317	7.431	5.316	0.958	9.435	24.079
   77 --    78	11.016	7.554	5.404	2.768	8.334	25.035
   78 --    79	11.243	7.601	5.437	2.818	7.292	25.072
   79 --    80	10.829	7.793	5.575	1.863	7.082	24.953
   80 --    81	10.019	8.212	5.875	0.905	6.055	26.136
   81 --    82	9.291	8.145	5.827	0.000	5.173	25.041
   82 --    83	9.095	8.227	5.885	0.000	5.260	26.143
   83 --    84	9.073	8.220	5.880	0.000	5.512	26.691
   84 --    85	8.775	8.041	5.752	0.000	6.579	25.981
   85 --    86	9.032	8.250	5.902	0.000	8.466	27.208
   86 --    87	9.444	8.619	6.166	0.000	9.169	27.567
   87 --    88	10.128	8.580	6.138	0.000	10.458	27.171
   88 --    89	10.642	8.050	5.759	0.185	11.326	26.043
   89 --    90	11.646	7.462	5.338	2.180	10.646	27.125
   90 --    91	12.854	6.209	4.442	5.658	11.219	26.591
   91 --    92	13.621	5.736	4.103	7.173	11.421	27.266
   92 --    93	13.426	5.191	3.713	9.376	10.552	26.053
   93 --    94	14.365	4.917	3.517	8.878	12.650	27.205
   94 --    95	14.452	4.812	3.442	10.190	12.596	27.651
   95 --    96	14.267	4.937	3.532	10.670	11.559	27.135
   96 --    97	14.151	5.453	3.901	9.671	11.172	28.212
   97 --    98	14.523	5.183	3.708	8.919	13.002	27.133
   98 --    99	14.165	5.073	3.629	9.502	12.290	26.133
   99 --   100	13.292	4.951	3.542	8.794	11.315	25.050
  100 --   101	12.827	4.874	3.486	7.905	10.652	24.135
  101 --   102	12.448	5.246	3.753	6.917	10.665	24.660
  102 --   103	11.826	5.513	3.944	5.752	9.953	24.604
  103 --   104	11.776	5.963	4.266	4.750	10.213	25.237
  104 --   105	11.430	6.305	4.510	3.668	9.437	23.965
  105 --   106	11.289	6.388	4.570	2.985	10.086	22.856
  106 --   107	11.158	6.982	4.994	1.973	10.471	24.338
  107 --   108	10.659	7.436	5.319	0.670	10.278	25.007
  108 --   109	10.582	7.610	5.444	0.159	10.318	25.058
  109 --   110	10.571	7.590	5.430	0.000	11.503	24.885
  110 --   111	9.766	7.485	5.354	0.000	10.414	23.885
  111 --   112	9.851	6.814	4.874	0.000	10.594	23.051
  112 --   113	9.806	6.150	4.400	0.812	9.858	22.151
  113 --   114	9.801	5.302	3.793	2.120	9.779	21.002
  114 --   115	9.571	5.188	3.711	2.615	9.125	20.136
  115 --   116	9.115	5.268	3.769	1.755	8.914	18.957
  116 --   117	8.658	5.927	4.240	0.827	8.039	20.087
  117 --   118	8.290	6.123	4.380	0.000	7.041	18.988
  118 --   119	8.545	6.209	4.441	0.408	6.959	18.684
  119 --   120	8.135	6.822	4.881	0.000	6.786	21.240
  120 --   121	7.870	6.588	4.713	0.000	6.965	19.977
  121 --   122	8.057	6.216	4.447	0.389	7.140	18.898
  122 --   123	8.249	5.586	3.996	0.784	7.456	18.201
  123 --   124	8.885	5.396	3.860	0.029	9.615	17.681
  124 --   125	9.712	5.769	4.127	0.000	11.357	18.286
  125 --   126	9.657	5.352	3.829	0.815	10.550	17.148
  126 --   127	10.214	4.329	3.097	2.486	10.499	17.032
  127 --   128	10.307	3.977	2.845	1.611	10.813	16.200
  128 --   129	10.141	4.120	2.947	0.610	10.202	15.277
  129 --   130	9.766	4.109	2.939	0.000	9.604	14.893
