Time 1-10.0.0.4-10.0.0.2 5-10.0.0.4-10.0.0.2 3-10.0.0.4-10.0.0.2 4-10.0.0.4-10.0.0.2 2-10.0.0.4-10.0.0.2 1-10.0.0.3-10.0.0.2 5-10.0.0.3-10.0.0.2 3-10.0.0.3-10.0.0.2 2-10.0.0.3-10.0.0.2 4-10.0.0.3-10.0.0.2 Aggregate-Flow
0.000000 0.007286 0.003807 0.005077 0.005130 0.007297 0.000000 0.000000 0.000000 0.000000 0.000000 0.028597
1.000000 0.006172 0.003741 0.003903 0.003922 0.004521 0.000000 0.000000 0.000000 0.000000 0.000000 0.022259
2.000000 0.007495 0.004058 0.004587 0.003934 0.005170 0.000000 0.000000 0.000000 0.000000 0.000000 0.025244
3.000000 0.010005 0.005528 0.007272 0.006614 0.006039 0.000000 0.000000 0.000000 0.000000 0.000000 0.035458
4.000000 0.007975 0.004778 0.005416 0.005272 0.006066 0.007029 0.004834 0.011868 0.010173 0.012915 0.076326
5.000000 0.087046 0.086552 0.084248 0.086017 0.086336 0.089365 0.083537 0.083960 0.086484 0.080637 0.854182
6.000000 0.170930 0.170374 0.172115 0.171258 0.169646 0.171995 0.287796 0.171290 0.272233 0.210560 1.968197
7.000000 0.204771 0.200614 0.201548 0.200538 0.202609 0.207466 0.421947 0.212917 0.420410 0.322249 2.595069
8.000000 0.276929 0.272798 0.274735 0.274136 0.274142 0.278706 0.741907 0.294374 0.620601 0.480121 3.788449
9.000000 0.325492 0.318760 0.319286 0.327217 0.318673 0.324696 1.072489 0.413368 0.901220 0.447302 4.768503
10.000000 0.364085 0.363528 0.356659 0.357395 0.356864 0.363294 1.184396 0.441399 1.108330 0.374200 5.270150
11.000000 0.502236 0.475418 0.470257 0.483314 0.467256 0.477313 1.284035 0.576389 1.174216 0.482528 6.392962
12.000000 0.688291 0.585614 0.588742 0.661719 0.587473 0.592654 1.246264 0.735956 1.336156 0.593576 7.616445
13.000000 0.771481 0.745400 0.743325 0.975929 0.742784 0.760844 1.174546 0.782971 1.240678 0.747817 8.685775
14.000000 0.873206 0.876464 0.870777 1.305317 0.873810 1.046722 1.045035 0.876768 1.158382 0.878837 9.805318
15.000000 1.602849 1.633007 0.000000 2.276553 1.639369 1.132205 1.648317 1.639271 1.645640 1.622602 14.839813
16.000000 1.253319 1.208636 1.608329 2.052084 1.325181 1.128610 1.136274 1.156794 1.056567 1.197336 13.123130
17.000000 1.203674 1.142930 1.004862 2.467202 1.393770 0.952082 0.779691 0.805697 0.762265 0.950247 11.462420
18.000000 1.296779 1.237682 1.222343 2.206041 1.880816 0.830734 0.816960 0.869562 0.823941 1.056503 12.241361
19.000000 1.637016 1.579452 1.264368 2.870692 2.376167 0.872766 1.365990 1.453574 1.702022 2.067963 17.190010
20.000000 1.253700 1.228948 1.225086 2.744038 2.702774 0.767810 1.044178 1.178349 1.149870 1.377596 14.672349
21.000000 1.396593 1.420463 1.146449 3.195936 2.988062 0.693872 1.166363 1.229629 0.999969 1.149660 15.386996
22.000000 1.464853 1.538400 1.124122 3.625555 3.243454 0.768611 1.186730 1.278730 1.081940 1.094073 16.406468
23.000000 1.412352 1.572406 1.137565 3.273256 3.605587 0.780931 1.127179 1.313025 1.087775 1.009226 16.319302
24.000000 1.335412 1.637945 1.198146 3.194357 3.871446 0.802958 1.191374 1.332418 1.112183 0.954955 16.631194
25.000000 1.368158 1.751036 1.264509 3.613576 4.138133 0.867748 1.252182 1.388192 1.258071 0.971139 17.872744
26.000000 1.354949 1.860718 1.288914 3.979751 4.262150 0.899820 1.319239 1.508586 1.427659 1.056814 18.958600
27.000000 1.301791 2.043727 1.348082 3.359622 3.560570 0.945616 1.413599 1.637857 1.656428 1.036721 18.304013
28.000000 1.198854 2.271631 1.384984 3.360727 2.908290 1.063702 1.583224 1.723860 1.932631 1.171869 18.599772
29.000000 1.154165 2.576637 1.344621 3.561883 2.635568 1.161612 1.634472 1.829319 2.063423 1.431181 19.392881
30.000000 1.222163 2.606003 1.219319 3.041527 2.307118 1.254647 1.896561 2.047160 2.294002 1.699446 19.587946
31.000000 0.000000 4.046908 2.456306 0.000000 0.000000 2.448302 2.906237 0.000000 3.419048 2.947308 18.224109
32.000000 0.000000 3.778372 2.296226 0.000000 3.862958 2.287588 2.942555 4.038036 3.650984 3.860484 26.717203
33.000000 3.136502 4.248717 2.770932 4.575207 2.342682 2.494443 2.776556 3.899567 4.027982 4.055175 34.327763
34.000000 1.863396 4.149914 1.851993 1.270111 1.266405 2.031686 2.516364 3.299920 3.842282 3.385505 25.477576
35.000000 0.816612 4.167918 1.038863 1.007895 0.831404 1.714535 2.317263 1.111755 3.268142 3.084396 19.358783
36.000000 0.801536 4.488723 0.991986 0.968477 0.796755 1.657199 2.486753 1.303806 3.434046 3.138475 20.067756
37.000000 0.830404 4.870939 0.915621 0.876538 0.823008 1.535042 2.692917 1.415419 3.555311 3.025297 20.540496
38.000000 0.865810 4.783844 0.882024 0.871872 0.861862 1.306705 2.860782 1.402301 3.726763 3.376034 20.937997
39.000000 0.886401 4.305157 0.888780 0.895367 0.881740 1.257052 2.991272 1.545425 3.798342 3.642781 21.092317
40.000000 0.911526 4.664992 0.907505 0.933636 0.906165 1.215038 3.203323 1.689746 3.900530 3.900609 22.233070
41.000000 0.939898 5.014968 0.937681 0.993189 0.937028 1.106933 3.472129 1.883360 3.988062 4.131283 23.404531
42.000000 0.921799 5.340668 0.918240 0.955518 0.919186 0.946549 3.637681 2.025893 4.062565 4.369079 24.097178
43.000000 0.973201 5.686096 0.968993 0.971693 0.970974 0.973070 3.773468 2.127374 4.190474 4.663955 25.299298
44.000000 1.019003 6.071928 1.012614 1.020311 1.015122 1.018386 3.724087 2.229861 4.217218 4.862599 26.191129
45.000000 1.789180 6.812982 1.713029 1.838985 1.738049 1.839951 4.366745 2.885876 4.890401 5.846490 33.721688
46.000000 1.471793 6.449427 1.233672 1.513952 1.270497 1.340937 3.814765 2.390193 4.509478 5.821350 29.816064
47.000000 1.471491 4.600815 1.600819 1.675701 1.545233 1.078802 4.315624 3.024844 4.811677 4.694212 28.819218
48.000000 1.403740 4.246037 1.452329 1.566399 1.426655 0.743762 4.475438 3.387154 4.762612 3.952923 27.417049
49.000000 1.564138 3.424939 1.547532 1.641750 1.549382 0.721984 4.696382 3.799014 4.937502 4.137602 28.020225
50.000000 1.721812 2.854195 1.698764 1.607442 1.641131 0.747305 4.993151 4.195911 5.125940 3.894847 28.480498
51.000000 1.917574 2.776677 1.884306 1.678201 1.748223 0.764019 5.278988 4.585683 5.240496 4.050054 29.924221
52.000000 2.006866 2.549136 2.062035 1.807637 1.918708 0.770286 5.555610 4.921657 5.410592 4.360756 31.363283
53.000000 2.019858 2.412509 2.222396 1.854573 2.022771 0.787120 5.736360 5.323754 5.572273 4.522507 32.474121
54.000000 1.718448 2.303876 2.378353 1.997181 2.051271 0.826518 6.035346 5.748850 5.801801 4.760305 33.621949
55.000000 1.190766 2.130522 2.506724 2.057506 2.136375 0.884130 6.299800 5.821733 6.020904 5.026946 34.075406
56.000000 0.978950 2.039493 2.686917 2.080041 2.205750 0.977339 6.515764 4.299984 6.120615 5.269875 33.174728
57.000000 1.088874 1.961578 2.701353 2.189845 2.304998 1.089369 6.623572 4.570014 6.211752 5.501122 34.242477
58.000000 1.241345 1.978317 2.921245 2.308228 2.426639 1.248508 6.825108 4.779060 6.322459 5.544204 35.595113
59.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.329534 0.000000 4.947812 0.000000 5.801629 12.078975
60.000000 2.551063 3.424852 0.000000 0.000000 3.658453 2.516484 8.160476 6.317554 7.808880 7.168384 41.606146
61.000000 2.366843 4.049337 5.236257 0.000000 4.294289 2.369589 8.961579 7.172615 8.489351 7.964472 50.904332
62.000000 2.369923 3.611125 5.635003 5.026943 3.998301 2.640618 8.732779 6.767606 7.952245 6.683382 53.417925
63.000000 2.004738 3.120268 4.989127 4.557301 5.116613 2.431506 9.031814 5.966926 7.919242 5.523882 50.661417
