Time 1-10.0.0.3-10.0.0.2 2-10.0.0.3-10.0.0.2 3-10.0.0.3-10.0.0.2 5-10.0.0.3-10.0.0.2 4-10.0.0.3-10.0.0.2 1-10.0.0.6-10.0.0.2 5-10.0.0.6-10.0.0.2 4-10.0.0.6-10.0.0.2 2-10.0.0.6-10.0.0.2 3-10.0.0.6-10.0.0.2 5-10.0.0.4-10.0.0.2 1-10.0.0.4-10.0.0.2 2-10.0.0.4-10.0.0.2 4-10.0.0.4-10.0.0.2 3-10.0.0.4-10.0.0.2 Aggregate-Flow
0.000000 0.002481 0.003451 0.001673 0.001264 0.001836 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.010705
1.000000 0.006584 0.006096 0.003701 0.005712 0.003672 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.025765
2.000000 0.012382 0.008749 0.006899 0.011682 0.007173 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.046885
3.000000 0.068771 0.068311 0.063824 0.066076 0.067315 0.084023 0.068004 0.070411 0.072312 0.072301 0.000000 0.000000 0.000000 0.000000 0.000000 0.701348
4.000000 0.176089 0.170185 0.175977 0.167289 0.170596 0.178484 0.227958 0.192973 0.244098 0.190678 0.000000 0.000000 0.000000 0.000000 0.000000 1.894327
5.000000 0.232872 0.228767 0.226935 0.229709 0.225677 0.238084 0.427105 0.373162 0.422318 0.317484 0.000000 0.000000 0.000000 0.000000 0.000000 2.922113
6.000000 0.283042 0.277353 0.277481 0.277326 0.276276 0.285748 0.548761 0.545201 0.605693 0.385704 0.267624 0.000000 0.000000 0.000000 0.000000 4.030209
7.000000 0.358154 0.356601 0.358418 0.359033 0.353441 0.359726 0.708171 0.718054 0.918571 0.453380 0.629901 0.429082 0.000000 0.000000 0.000000 6.002532
8.000000 0.481728 0.470668 0.470103 0.467479 0.468756 0.523434 1.046235 1.041335 1.278199 0.716155 0.556893 0.483730 0.488603 0.000000 0.000000 8.493318
9.000000 0.621377 0.609538 0.610264 0.609539 0.606557 0.786221 1.377353 1.362176 1.570412 1.072032 1.083456 0.612436 1.000081 0.662485 0.000000 12.583927
10.000000 0.833372 0.765836 0.768712 0.763737 0.765039 1.040915 1.689278 1.514644 1.901741 1.409388 1.757235 0.770571 1.236839 1.360088 0.000000 16.577395
11.000000 1.205985 0.915878 0.940570 0.930398 0.923963 1.296705 1.888029 1.693555 2.062345 1.551561 2.404500 0.936312 1.971759 1.950565 0.974346 21.646471
12.000000 1.570855 2.208585 0.000000 2.222837 2.228588 0.000000 0.000000 3.041605 0.000000 2.916432 3.803338 0.000000 0.000000 1.968948 2.071144 22.032332
13.000000 2.366344 2.155354 2.149181 2.047527 2.078356 1.823879 3.107737 2.771380 2.975745 3.488529 4.106927 2.142014 3.818682 2.961929 2.601004 40.594588
14.000000 2.395534 2.924185 2.951035 2.476236 0.000000 1.337776 3.755060 0.000000 0.000000 3.608585 4.679482 3.100458 4.785415 3.624652 1.780729 37.419147
15.000000 2.263877 2.342270 2.400976 2.406549 2.435885 0.826075 3.234100 2.445129 2.618716 3.417221 4.828050 2.034329 5.379629 4.176817 2.302341 43.111964
16.000000 1.824136 2.056184 2.445113 2.284919 2.163306 0.749744 2.870626 1.433155 1.864819 3.284562 5.384480 1.194733 5.556713 4.724608 2.923203 40.760301
17.000000 2.088189 2.005407 2.728776 2.822121 2.566391 0.794114 3.182215 1.654661 2.276573 3.056200 6.084244 1.566844 4.872658 2.889636 2.731426 41.319455
18.000000 2.325413 2.002469 2.949189 3.269966 2.962290 0.840490 3.477134 1.901415 2.745033 2.811452 5.872087 2.022097 2.563595 3.365644 2.904354 42.012628
19.000000 2.591675 1.953261 3.121459 3.705769 3.438388 0.899320 3.824563 2.191254 3.343055 3.118968 4.505457 2.451097 3.415352 3.937563 2.391864 44.889045
20.000000 2.938746 2.024860 3.349420 4.145818 3.915349 0.941995 4.077754 2.528280 3.818294 3.548151 5.298685 2.969190 4.032607 4.553045 2.319376 50.461570
21.000000 3.353440 1.960610 3.720965 4.681384 4.406379 1.008051 4.510317 2.899801 4.383050 3.982571 6.094507 3.372911 4.757538 3.602510 1.904585 54.638619
22.000000 3.505727 1.871982 4.124789 5.308668 4.969013 1.093006 4.937682 3.293079 4.879459 4.455455 5.019789 3.564209 4.164255 4.052045 1.412320 56.651478
23.000000 3.558227 1.993565 4.383741 5.744379 5.323236 1.202724 5.324128 3.699603 5.183238 4.396706 5.301320 2.799493 4.432149 4.849334 1.178032 59.369875
24.000000 4.575046 0.000000 4.890502 6.894685 6.622213 1.928611 5.585607 3.884279 6.342937 5.798209 6.658953 3.673580 4.651142 5.977362 2.424358 69.907484
25.000000 4.435613 3.568120 5.652523 7.441534 7.321668 0.000000 6.614346 4.893692 6.813298 5.688736 7.541463 3.278947 4.592147 0.000000 3.326802 71.168889
26.000000 4.966581 2.790665 5.690500 7.739543 7.549124 2.271157 7.288160 5.793028 7.365077 6.124182 5.607248 2.738934 3.905677 5.818658 2.745878 78.394412
27.000000 4.578116 2.326852 5.358429 8.542611 8.202797 1.820302 7.406889 5.699007 7.742407 6.211724 5.297205 2.688363 4.416211 5.513102 1.508834 77.312849
28.000000 4.184536 1.939048 4.746710 9.247642 8.795251 1.660049 7.869380 5.380950 8.155637 5.142350 5.096567 2.306222 4.380166 5.936059 0.999992 75.840559
29.000000 2.581335 1.999121 4.832523 10.000295 9.339399 1.690099 8.396943 5.823236 8.488976 5.307565 5.818239 2.116051 5.027024 6.494915 0.832760 78.748481
30.000000 2.267805 2.016109 5.305145 10.777914 10.028863 1.708847 8.946146 6.311427 8.819593 5.568050 6.573764 2.024847 4.219800 7.009178 0.866861 82.444349
31.000000 2.274769 2.125772 5.508328 11.563964 10.720805 1.799752 9.509342 4.733085 5.355378 5.053033 4.135307 2.068830 3.742934 6.605016 0.898372 76.094687
32.000000 2.377947 2.031025 5.490596 12.302737 11.280305 1.896907 7.285153 4.644023 5.359867 4.339043 4.798839 2.080992 4.309498 4.838893 0.894540 73.930365
33.000000 2.450549 1.942081 5.829427 13.102299 11.946891 1.951803 6.333320 5.089429 5.711514 4.672338 5.433697 2.057021 4.884355 5.453843 0.915893 77.774460
34.000000 2.401333 1.917596 6.159079 13.841656 12.560250 1.787410 6.787768 5.555607 6.070803 4.912521 6.053485 1.850368 5.439311 6.023260 0.963769 82.324216
35.000000 2.208034 2.083602 6.593428 14.460015 13.146472 1.713351 7.338383 6.102126 6.493164 5.229324 6.159702 1.516774 5.758124 6.616956 1.088931 86.508386
36.000000 2.043304 2.210149 7.095335 15.106785 13.773248 1.499305 7.810977 6.672664 6.825862 5.477468 4.708523 1.291561 3.888171 6.112237 1.231777 85.747366
37.000000 1.592694 2.553527 7.772629 15.493813 14.068509 1.332082 8.081004 6.910958 7.290259 5.705624 5.072989 1.334572 4.184033 5.007547 1.326171 87.726411
38.000000 2.572265 0.000000 0.000000 16.874925 15.545683 2.637770 9.475816 7.540770 8.754044 7.067744 6.485572 2.591723 5.543057 0.000000 0.000000 85.089369
39.000000 2.639279 5.010733 9.126373 17.051455 15.728764 2.236457 10.556046 0.000000 7.840216 0.000000 0.000000 2.534404 0.000000 6.954515 3.288069 82.966311
40.000000 2.849820 5.280952 10.133818 16.884491 14.268999 1.641074 10.275663 9.483296 6.670493 8.524710 5.997923 3.329266 6.638885 7.695573 3.110309 112.785272
41.000000 2.491791 4.916551 9.300134 13.442783 13.045670 2.450221 10.775164 7.567562 7.966579 8.575210 5.070470 0.000000 6.298986 6.931651 3.277713 102.110485
42.000000 1.612606 4.976686 6.953182 13.267693 13.017621 1.731984 9.234990 6.715904 7.333220 8.350603 5.411153 3.045351 5.976574 4.582637 2.910104 95.120308
43.000000 0.922053 4.937375 7.094260 13.602805 13.304616 0.933731 7.562900 6.925147 7.429191 8.592543 5.791876 2.047152 5.965786 1.730185 2.775911 89.615531
44.000000 0.997455 5.346581 7.622800 13.763026 13.808169 0.997100 8.289773 4.993148 8.110339 5.769601 6.360308 2.107158 6.398297 2.038762 3.003775 89.606292
45.000000 0.983677 5.693635 8.097869 6.277413 14.323811 0.984013 9.004329 4.346409 5.940958 4.348630 4.895503 2.027469 6.821291 2.493076 3.206957 79.445040
46.000000 1.001544 6.013987 7.010390 6.761647 11.229977 1.003062 9.681451 4.741106 6.094481 4.750517 4.773262 1.887679 7.147540 2.883502 3.439974 78.420119
47.000000 1.033242 6.397720 5.403853 7.341772 9.691499 1.039436 10.302860 5.203927 6.744160 5.196790 5.316259 1.797355 7.469653 3.301553 3.618463 79.858542
48.000000 1.035665 6.804026 5.948026 7.805017 10.146991 1.031646 10.899461 5.622054 7.368474 5.624644 5.811669 1.578150 6.126121 3.856402 3.811474 83.469820
49.000000 1.079629 7.262064 6.445829 8.406458 10.570480 1.083521 9.628934 6.010913 7.923379 6.078130 6.347401 1.255045 6.037681 4.395296 4.146748 86.671508
50.000000 1.112799 7.714518 6.936317 7.999530 9.622081 1.113753 8.962722 6.443783 8.491691 6.356577 6.829218 1.113605 6.362500 4.228302 4.376453 87.663849
51.000000 1.223347 8.096082 7.430145 7.819805 7.991641 1.193501 9.630924 6.822983 9.003059 6.627613 7.271073 1.203154 6.633446 4.837675 4.566838 90.351286
52.000000 0.000000 0.000000 8.068899 7.965203 0.000000 0.000000 0.000000 0.000000 9.538838 6.739552 7.561586 1.284130 0.000000 5.428248 4.657221 51.243677
53.000000 0.000000 0.000000 8.942069 9.243440 9.215038 2.624250 11.272716 8.288523 10.886207 8.074337 7.726030 2.541458 8.156393 6.318507 5.736089 99.025057
54.000000 0.000000 10.714138 9.062024 9.330353 10.105688 3.334056 12.195826 8.842696 0.000000 8.633291 5.795059 2.997626 8.947481 4.623782 5.740732 100.322752
55.000000 3.146886 10.560856 9.743481 10.038742 9.908528 2.875057 12.462765 9.081858 12.445920 8.288892 5.883597 2.427252 8.773781 3.844959 5.665956 115.148530
56.000000 2.114713 10.186375 8.356211 10.300182 10.219426 2.702902 12.763329 9.266103 12.757723 8.092884 6.170689 1.615766 8.612376 4.222919 4.991171 112.372769
57.000000 1.688907 7.273662 6.715884 9.190279 10.864677 2.536854 13.386022 9.688443 13.446843 7.002799 6.617952 1.021545 9.129749 4.216344 5.270834 108.050794
58.000000 1.211514 7.629264 6.866547 7.512044 9.702550 2.277333 14.100741 10.213120 14.122217 3.609518 5.759260 0.963836 9.590697 3.394980 5.599959 102.553580
59.000000 1.004843 8.034764 7.030386 8.106731 8.048442 2.015755 14.423414 5.372289 14.843703 4.029608 5.361321 0.999302 10.029134 3.760692 5.742775 98.803159
