Time 1-10.0.0.4-10.0.0.2 5-10.0.0.4-10.0.0.2 3-10.0.0.4-10.0.0.2 4-10.0.0.4-10.0.0.2 2-10.0.0.4-10.0.0.2 1-10.0.0.3-10.0.0.2 5-10.0.0.3-10.0.0.2 3-10.0.0.3-10.0.0.2 2-10.0.0.3-10.0.0.2 4-10.0.0.3-10.0.0.2 Aggregate-Flow
0.000000 0.000821 0.002536 0.004624 0.004331 0.004230 0.000000 0.000000 0.000000 0.000000 0.000000 0.016542
1.000000 0.000721 0.003263 0.003306 0.003556 0.004301 0.000000 0.000000 0.000000 0.000000 0.000000 0.015147
2.000000 0.000945 0.003173 0.003900 0.003238 0.004903 0.000000 0.000000 0.000000 0.000000 0.000000 0.016159
3.000000 0.001057 0.004324 0.005776 0.006193 0.005132 0.000000 0.000000 0.000000 0.000000 0.000000 0.022482
4.000000 0.000881 0.003955 0.004115 0.003581 0.004313 0.000795 0.001131 0.003913 0.002103 0.010107 0.034894
5.000000 0.001084 0.005653 0.005132 0.006441 0.005946 0.001095 0.005285 0.007146 0.005973 0.005971 0.049726
6.000000 0.001235 0.006892 0.010565 0.006158 0.006761 0.001230 0.008911 0.006364 0.009860 0.008433 0.066409
7.000000 0.001174 0.005242 0.006469 0.005753 0.005381 0.001081 0.010045 0.007079 0.010564 0.009896 0.062684
8.000000 0.001094 0.005434 0.005382 0.005481 0.005784 0.001053 0.010056 0.007396 0.009763 0.009843 0.061286
9.000000 0.001205 0.005886 0.005886 0.005948 0.005740 0.001149 0.009996 0.007894 0.009286 0.012086 0.065076
10.000000 0.001069 0.005587 0.006546 0.006934 0.006007 0.001125 0.010028 0.009337 0.009511 0.007742 0.063886
11.000000 0.001169 0.005548 0.005944 0.007557 0.005563 0.001172 0.009086 0.009019 0.007698 0.006496 0.059252
12.000000 0.001310 0.006763 0.005785 0.010535 0.007027 0.001258 0.006905 0.008743 0.007601 0.006489 0.062416
13.000000 0.001240 0.005385 0.006921 0.012148 0.005885 0.001367 0.008376 0.008320 0.007164 0.006013 0.062819
14.000000 0.001435 0.006464 0.009346 0.014139 0.008034 0.001383 0.007110 0.006120 0.008078 0.005161 0.067270
15.000000 0.002077 0.016678 0.000000 0.022034 0.017157 0.001289 0.016064 0.021119 0.016558 0.022646 0.135622
16.000000 0.001002 0.006353 0.016550 0.010722 0.008350 0.001088 0.006421 0.010275 0.006111 0.007397 0.074269
17.000000 0.001105 0.006855 0.007282 0.012899 0.011768 0.001020 0.006162 0.007886 0.006150 0.006527 0.067654
18.000000 0.001014 0.007506 0.008952 0.017296 0.011553 0.001236 0.005880 0.008192 0.006890 0.007393 0.075912
19.000000 0.001147 0.010216 0.008817 0.016268 0.011208 0.001284 0.012104 0.012359 0.029304 0.055168 0.157875
20.000000 0.001181 0.007910 0.007821 0.013060 0.009742 0.001018 0.005970 0.007725 0.006825 0.007778 0.069030
21.000000 0.001168 0.010117 0.009819 0.011535 0.011936 0.001048 0.006629 0.008132 0.007368 0.008684 0.076436
22.000000 0.001279 0.008136 0.008069 0.015049 0.010030 0.001200 0.007679 0.008451 0.008351 0.009701 0.077945
23.000000 0.001241 0.009081 0.009386 0.027117 0.011397 0.001238 0.008018 0.009663 0.008190 0.008485 0.093816
24.000000 0.001144 0.007955 0.008471 0.013199 0.011366 0.001165 0.007980 0.009643 0.010563 0.009667 0.081153
25.000000 0.001128 0.008751 0.008679 0.011536 0.009403 0.001134 0.007375 0.009275 0.007693 0.008934 0.073908
26.000000 0.001051 0.009053 0.009010 0.014998 0.009387 0.001007 0.007349 0.008964 0.007271 0.008506 0.076596
27.000000 0.001003 0.009707 0.008720 0.022431 0.016668 0.001176 0.008291 0.009667 0.009041 0.009850 0.096554
28.000000 0.001310 0.009722 0.008238 0.010950 0.007633 0.001287 0.010422 0.010663 0.009996 0.009783 0.080004
29.000000 0.001252 0.009497 0.009679 0.013519 0.007438 0.001249 0.010409 0.010175 0.010698 0.009322 0.083238
30.000000 0.001124 0.022268 0.009287 0.013146 0.010001 0.001130 0.005667 0.008557 0.006489 0.008519 0.086188
