Time 1-10.0.0.4-10.0.0.2 5-10.0.0.4-10.0.0.2 2-10.0.0.4-10.0.0.2 3-10.0.0.4-10.0.0.2 4-10.0.0.4-10.0.0.2 1-10.0.0.6-10.0.0.2 5-10.0.0.6-10.0.0.2 2-10.0.0.6-10.0.0.2 3-10.0.0.6-10.0.0.2 4-10.0.0.6-10.0.0.2 1-10.0.0.3-10.0.0.2 5-10.0.0.3-10.0.0.2 3-10.0.0.3-10.0.0.2 2-10.0.0.3-10.0.0.2 4-10.0.0.3-10.0.0.2 Aggregate-Flow
0.000000 0.000333 0.000549 0.001986 0.000619 0.000546 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.004033
1.000000 0.000552 0.002042 0.003837 0.002505 0.002263 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.011199
2.000000 0.001103 0.004646 0.004984 0.005201 0.006918 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.022852
3.000000 0.000761 0.003297 0.003744 0.003961 0.003541 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.015304
4.000000 0.001018 0.004272 0.005178 0.005386 0.006153 0.001039 0.008234 0.007902 0.010964 0.010606 0.000000 0.000000 0.000000 0.000000 0.000000 0.060752
5.000000 0.001169 0.004747 0.006279 0.006814 0.007100 0.001229 0.006964 0.007157 0.006802 0.008286 0.000000 0.000000 0.000000 0.000000 0.000000 0.056547
6.000000 0.001225 0.005661 0.005553 0.006627 0.009270 0.001167 0.005751 0.007191 0.006251 0.007187 0.000463 0.000919 0.000932 0.000858 0.000926 0.059981
7.000000 0.001029 0.007254 0.006373 0.007510 0.009915 0.001060 0.008274 0.008246 0.007563 0.007953 0.000477 0.001244 0.001810 0.003000 0.001873 0.073581
8.000000 0.001172 0.008086 0.006972 0.007768 0.008551 0.001220 0.008752 0.010044 0.009842 0.008527 0.001003 0.004483 0.004585 0.005872 0.005536 0.092413
9.000000 0.001243 0.007942 0.005296 0.005892 0.006539 0.001141 0.008428 0.009666 0.008721 0.009017 0.000900 0.003610 0.004201 0.004226 0.003971 0.080793
10.000000 0.001143 0.009131 0.005949 0.008266 0.006024 0.001064 0.007341 0.007523 0.009252 0.009280 0.000318 0.000590 0.000485 0.003625 0.000768 0.070759
11.000000 0.001023 0.007237 0.006416 0.006747 0.006187 0.001124 0.009538 0.008973 0.009896 0.010760 0.000281 0.000461 0.000485 0.002778 0.000422 0.072328
12.000000 0.001092 0.008291 0.007354 0.006501 0.006655 0.001158 0.008795 0.007835 0.009547 0.008661 0.000444 0.001025 0.000764 0.003641 0.000863 0.072626
13.000000 0.000890 0.005255 0.007908 0.006032 0.005769 0.001440 0.011126 0.008022 0.010640 0.009106 0.000667 0.002432 0.002832 0.003820 0.003092 0.079031
14.000000 0.002437 0.013368 0.015325 0.023901 0.018516 0.001301 0.012628 0.015035 0.016018 0.014914 0.000369 0.000599 0.000608 0.002816 0.000532 0.138367
15.000000 0.000813 0.006147 0.006255 0.007016 0.012325 0.003724 0.007459 0.008493 0.006681 0.009192 0.000488 0.001465 0.000786 0.002693 0.000440 0.073977
16.000000 0.001239 0.009918 0.010971 0.010456 0.012397 0.001349 0.014222 0.009878 0.012221 0.010967 0.000379 0.000620 0.000628 0.003585 0.000616 0.099446
17.000000 0.001257 0.007253 0.007998 0.008033 0.008252 0.001176 0.007219 0.005696 0.007878 0.008270 0.000474 0.001421 0.001340 0.003624 0.001407 0.071298
18.000000 0.001138 0.007771 0.006945 0.009787 0.007885 0.001133 0.006837 0.006405 0.006822 0.006937 0.000908 0.004592 0.007266 0.005175 0.006529 0.086130
19.000000 0.001110 0.006927 0.007351 0.008463 0.008078 0.001120 0.008522 0.006636 0.009373 0.006328 0.001027 0.005884 0.006342 0.004877 0.007198 0.089236
20.000000 0.001155 0.008153 0.008683 0.009430 0.008860 0.001255 0.008909 0.007210 0.008024 0.006923 0.000785 0.003500 0.003368 0.004023 0.004005 0.084283
21.000000 0.001127 0.007847 0.007681 0.009817 0.009905 0.001153 0.008250 0.007898 0.008984 0.007171 0.000407 0.001188 0.001308 0.003214 0.001597 0.077547
22.000000 0.001102 0.009465 0.010361 0.009819 0.008490 0.001050 0.007841 0.007232 0.008979 0.005782 0.001076 0.005559 0.004755 0.005905 0.004428 0.091844
23.000000 0.000942 0.008661 0.007912 0.009348 0.009095 0.000994 0.009229 0.006660 0.009425 0.007473 0.000772 0.003600 0.004079 0.004469 0.003739 0.086398
24.000000 0.000981 0.007663 0.009121 0.010300 0.009062 0.001000 0.008423 0.007645 0.008200 0.007004 0.000888 0.003929 0.003593 0.004316 0.004826 0.086951
25.000000 0.000933 0.009774 0.009271 0.009509 0.009639 0.000941 0.008476 0.008968 0.008690 0.007213 0.000622 0.001633 0.002279 0.004437 0.002499 0.084884
26.000000 0.001143 0.008120 0.009358 0.010586 0.009210 0.001196 0.007807 0.010090 0.008722 0.006722 0.000969 0.003667 0.004553 0.004973 0.004984 0.092100
27.000000 0.001149 0.007965 0.007883 0.010161 0.009975 0.001135 0.010192 0.011545 0.009194 0.007566 0.000563 0.001641 0.001847 0.004246 0.002099 0.087161
28.000000 0.001646 0.010847 0.013962 0.011052 0.009748 0.002001 0.006258 0.008296 0.008643 0.009066 0.000828 0.004371 0.004358 0.004915 0.005122 0.101113
29.000000 0.000000 1.250643 0.184581 0.422053 1.277924 0.005510 1.307780 0.433968 0.172003 0.435604 0.001218 0.005244 0.006174 0.005850 0.005371 5.513923
30.000000 0.000000 0.073434 0.079370 0.016155 0.072791 0.000000 0.013232 0.014386 0.000000 0.410226 0.000991 0.003053 0.004519 0.005264 0.002882 0.696303
31.000000 0.001420 0.009041 0.008908 0.024719 0.010192 0.001260 0.016079 0.013540 0.016538 0.000000 0.000811 0.002778 0.003903 0.004159 0.003445 0.116793
32.000000 0.001376 0.009159 0.009984 0.010012 0.011470 0.000975 0.008650 0.011282 0.014366 0.011326 0.000358 0.000509 0.001005 0.003331 0.000671 0.094474
33.000000 0.001151 0.008943 0.017613 0.025925 0.008117 0.001341 0.007764 0.009978 0.011443 0.009348 0.000812 0.002773 0.003865 0.004406 0.003367 0.116846
