Interval	Avg	Std	CI=0.95	Min	Median	Max
    0 --     1	1664.000	116.740	185.759	1539.200	1632.800	1851.200
    1 --     2	1596.400	93.166	148.247	1476.800	1591.200	1726.400
    2 --     3	1547.000	90.179	143.495	1393.600	1591.200	1612.000
    3 --     4	1492.400	202.400	322.063	1216.800	1497.600	1757.600
    4 --     5	1565.200	53.789	85.591	1497.600	1560.000	1643.200
    5 --     6	1658.800	192.119	305.704	1497.600	1575.600	1986.400
    6 --     7	1565.200	130.415	207.520	1393.600	1575.600	1716.000
    7 --     8	1583.400	117.749	187.364	1456.000	1560.000	1757.600
    8 --     9	1508.000	82.874	131.872	1404.000	1497.600	1632.800
    9 --    10	1531.400	84.290	134.124	1435.200	1523.600	1643.200
   10 --    11	1547.000	95.140	151.389	1404.000	1570.400	1643.200
   11 --    12	1601.600	164.274	261.396	1414.400	1565.200	1861.600
   12 --    13	1573.000	76.909	122.379	1456.000	1586.000	1664.000
   13 --    14	1513.200	160.528	255.435	1258.400	1560.000	1674.400
   14 --    15	1578.200	85.563	136.150	1435.200	1612.000	1653.600
   15 --    16	1695.200	142.408	226.603	1487.200	1721.200	1851.200
   16 --    17	1554.800	177.182	281.936	1310.400	1549.600	1809.600
   17 --    18	1541.800	81.018	128.918	1456.000	1518.400	1674.400
   18 --    19	1674.400	146.156	232.567	1528.800	1648.400	1872.000
   19 --    20	1554.800	109.694	174.548	1404.000	1554.800	1705.600
   20 --    21	1565.200	79.375	126.303	1466.400	1560.000	1674.400
   21 --    22	1661.400	141.718	225.505	1487.200	1653.600	1851.200
   22 --    23	1591.200	138.753	220.787	1424.800	1591.200	1757.600
   23 --    24	1554.800	209.102	332.728	1279.200	1565.200	1809.600
   24 --    25	1687.400	58.543	93.155	1591.200	1705.600	1747.200
   25 --    26	1575.600	74.089	117.891	1497.600	1560.000	1684.800
   26 --    27	1627.600	78.690	125.214	1528.800	1617.200	1747.200
   27 --    28	1713.400	99.039	157.593	1560.000	1731.600	1830.400
   28 --    29	1684.800	116.740	185.759	1560.000	1653.600	1872.000
   29 --    30	1755.000	47.303	75.269	1705.600	1742.000	1830.400
   30 --    31	1666.600	83.968	133.612	1560.000	1669.200	1768.000
   31 --    32	1645.800	63.846	101.593	1539.200	1674.400	1695.200
   32 --    33	1505.400	96.830	154.079	1383.200	1497.600	1643.200
   33 --    34	1583.400	197.651	314.507	1393.600	1513.200	1913.600
   34 --    35	1502.800	191.555	304.807	1310.400	1440.400	1820.000
   35 --    36	1609.400	117.978	187.730	1487.200	1601.600	1747.200
   36 --    37	1513.200	109.200	173.762	1404.000	1492.400	1664.000
   37 --    38	1700.400	118.007	187.775	1539.200	1695.200	1872.000
   38 --    39	1565.200	64.320	102.348	1456.000	1596.400	1612.000
   39 --    40	1547.000	98.766	157.158	1404.000	1565.200	1653.600
   40 --    41	1565.200	104.130	165.694	1445.600	1554.800	1705.600
   41 --    42	1651.000	73.677	117.236	1549.600	1664.000	1726.400
   42 --    43	1674.400	63.687	101.340	1580.800	1679.600	1757.600
   43 --    44	1570.400	210.070	334.268	1362.400	1549.600	1820.000
   44 --    45	1710.800	163.200	259.688	1497.600	1695.200	1955.200
   45 --    46	1541.800	97.387	154.965	1424.800	1549.600	1643.200
   46 --    47	1677.000	147.697	235.020	1528.800	1653.600	1872.000
   47 --    48	1510.600	128.299	204.152	1362.400	1518.400	1643.200
   48 --    49	1640.600	139.215	221.523	1476.800	1648.400	1788.800
   49 --    50	1588.600	180.340	286.960	1352.000	1586.000	1830.400
   50 --    51	1565.200	119.826	190.670	1393.600	1580.800	1705.600
   51 --    52	1541.800	144.739	230.311	1310.400	1591.200	1674.400
   52 --    53	1588.600	93.419	148.651	1435.200	1617.200	1684.800
   53 --    54	1554.800	52.259	83.156	1497.600	1554.800	1612.000
   54 --    55	1591.200	182.667	290.665	1289.600	1653.600	1768.000
   55 --    56	1690.000	34.883	55.506	1632.800	1700.400	1726.400
   56 --    57	1505.400	49.537	78.824	1424.800	1518.400	1560.000
   57 --    58	1508.000	142.408	226.603	1341.600	1482.000	1726.400
   58 --    59	1625.000	61.252	97.466	1549.600	1627.600	1695.200
   59 --    60	1578.200	155.196	246.952	1383.200	1565.200	1799.200
   60 --    61	1580.800	131.345	208.999	1393.600	1586.000	1757.600
   61 --    62	1658.800	80.053	127.382	1528.800	1679.600	1747.200
   62 --    63	1414.400	77.478	123.285	1300.000	1419.600	1518.400
   63 --    64	1669.200	105.163	167.339	1549.600	1669.200	1788.800
   64 --    65	1523.600	50.147	79.795	1445.600	1534.000	1580.800
   65 --    66	1625.000	161.682	257.271	1435.200	1591.200	1882.400
   66 --    67	1661.400	52.195	83.053	1580.800	1669.200	1726.400
   67 --    68	1604.200	178.380	283.842	1362.400	1612.000	1830.400
   68 --    69	1591.200	62.400	99.292	1487.200	1612.000	1653.600
   69 --    70	1599.000	127.877	203.480	1476.800	1565.200	1788.800
   70 --    71	1669.200	203.333	323.548	1508.000	1575.600	2017.600
   71 --    72	1578.200	63.421	100.917	1518.400	1554.800	1684.800
   72 --    73	1593.800	101.998	162.302	1424.800	1638.000	1674.400
   73 --    74	1627.600	86.232	137.215	1549.600	1601.600	1757.600
   74 --    75	1606.800	150.261	239.099	1445.600	1580.800	1820.000
   75 --    76	1500.200	85.879	136.652	1383.200	1497.600	1622.400
   76 --    77	1510.600	116.827	185.897	1320.800	1544.400	1632.800
   77 --    78	1653.600	143.919	229.007	1414.400	1700.400	1799.200
   78 --    79	1534.000	128.325	204.194	1352.000	1554.800	1674.400
   79 --    80	1500.200	157.273	250.257	1320.800	1471.600	1736.800
   80 --    81	1622.400	104.777	166.724	1445.600	1669.200	1705.600
   81 --    82	1476.800	86.389	137.464	1362.400	1487.200	1570.400
   82 --    83	1526.200	147.147	234.144	1279.200	1591.200	1643.200
   83 --    84	1627.600	135.699	215.928	1487.200	1586.000	1851.200
   84 --    85	1606.800	155.740	247.817	1362.400	1658.800	1747.200
   85 --    86	1596.400	65.981	104.990	1508.000	1601.600	1674.400
   86 --    87	1521.000	42.484	67.602	1476.800	1508.000	1591.200
   87 --    88	1744.600	177.924	283.117	1508.000	1742.000	1986.400
   88 --    89	1716.000	132.166	210.306	1632.800	1643.200	1944.800
   89 --    90	1640.600	29.758	47.352	1601.600	1643.200	1674.400
   90 --    91	1604.200	80.011	127.315	1466.400	1643.200	1664.000
   91 --    92	1661.400	115.429	183.674	1518.400	1643.200	1840.800
   92 --    93	1645.800	134.473	213.977	1508.000	1632.800	1809.600
   93 --    94	1638.000	93.455	148.708	1539.200	1622.400	1768.000
   94 --    95	1747.200	112.253	178.619	1612.000	1726.400	1924.000
   95 --    96	1562.600	123.356	196.287	1362.400	1606.800	1674.400
   96 --    97	1710.800	210.263	334.575	1393.600	1747.200	1955.200
   97 --    98	1664.000	158.919	252.876	1404.000	1710.800	1830.400
   98 --    99	1534.000	211.928	337.225	1175.200	1632.800	1695.200
   99 --   100	1645.800	154.673	246.119	1414.400	1664.000	1840.800
  100 --   101	1749.800	33.999	54.101	1695.200	1757.600	1788.800
  101 --   102	1471.600	85.286	135.710	1341.600	1482.000	1580.800
  102 --   103	1690.000	216.847	345.052	1362.400	1736.800	1924.000
  103 --   104	1474.200	220.173	350.344	1102.400	1560.000	1674.400
  104 --   105	1723.800	168.399	267.960	1518.400	1700.400	1976.000
  105 --   106	1500.200	239.807	381.586	1258.400	1445.600	1851.200
  106 --   107	1617.200	291.988	464.618	1206.400	1653.600	1955.200
  107 --   108	1544.400	155.913	248.093	1341.600	1560.000	1716.000
  108 --   109	1580.800	84.809	134.951	1456.000	1601.600	1664.000
  109 --   110	1489.800	135.674	215.888	1362.400	1450.800	1695.200
  110 --   111	1461.200	103.086	164.033	1310.400	1471.600	1591.200
  111 --   112	1575.600	51.214	81.493	1487.200	1601.600	1612.000
  112 --   113	1469.000	152.560	242.758	1258.400	1476.800	1664.000
  113 --   114	1476.800	131.551	209.327	1310.400	1476.800	1643.200
  114 --   115	1552.200	65.518	104.254	1476.800	1554.800	1622.400
  115 --   116	1497.600	125.233	199.273	1320.800	1497.600	1674.400
  116 --   117	1508.000	138.167	219.855	1424.800	1430.000	1747.200
  117 --   118	1552.200	77.609	123.493	1497.600	1513.200	1684.800
  118 --   119	1474.200	177.772	282.875	1175.200	1539.200	1643.200
  119 --   120	1489.800	168.720	268.471	1237.600	1518.400	1684.800
  120 --   121	1648.400	78.690	125.214	1580.800	1617.200	1778.400
  121 --   122	1580.800	64.530	102.682	1497.600	1586.000	1653.600
  122 --   123	1710.800	151.694	241.379	1549.600	1705.600	1882.400
  123 --   124	1575.600	119.600	190.310	1445.600	1560.000	1736.800
  124 --   125	1508.000	38.212	60.804	1476.800	1492.400	1570.400
