Time 1-10.0.0.3-10.0.0.2 Aggregate-Flow
0.000000 0.002269 0.002269
1.000000 0.002815 0.002815
2.000000 0.002763 0.002763
3.000000 0.004323 0.004323
4.000000 0.005227 0.005227
5.000000 0.002874 0.002874
6.000000 0.003148 0.003148
7.000000 0.004631 0.004631
8.000000 0.004074 0.004074
9.000000 0.003236 0.003236
10.000000 0.004431 0.004431
11.000000 0.003107 0.003107
12.000000 0.003430 0.003430
13.000000 0.004837 0.004837
14.000000 0.004047 0.004047
15.000000 0.003846 0.003846
16.000000 0.004331 0.004331
17.000000 0.003314 0.003314
18.000000 0.004195 0.004195
19.000000 0.003604 0.003604
20.000000 0.004474 0.004474
21.000000 0.003041 0.003041
22.000000 0.003906 0.003906
23.000000 0.003379 0.003379
24.000000 0.004275 0.004275
25.000000 0.004151 0.004151
26.000000 0.003373 0.003373
27.000000 0.004114 0.004114
28.000000 0.004362 0.004362
29.000000 0.003052 0.003052
30.000000 0.003332 0.003332
31.000000 0.003568 0.003568
32.000000 0.003335 0.003335
33.000000 0.002963 0.002963
34.000000 0.004112 0.004112
35.000000 0.003750 0.003750
36.000000 0.002746 0.002746
37.000000 0.004447 0.004447
38.000000 0.003749 0.003749
39.000000 0.003261 0.003261
40.000000 0.003344 0.003344
41.000000 0.003309 0.003309
42.000000 0.003803 0.003803
43.000000 0.005418 0.005418
44.000000 0.005373 0.005373
45.000000 0.003519 0.003519
46.000000 0.004309 0.004309
47.000000 0.003050 0.003050
48.000000 0.003855 0.003855
49.000000 0.005049 0.005049
50.000000 0.002647 0.002647
51.000000 0.003076 0.003076
52.000000 0.004085 0.004085
53.000000 0.002842 0.002842
54.000000 0.003171 0.003171
55.000000 0.004200 0.004200
56.000000 0.003469 0.003469
57.000000 0.003174 0.003174
58.000000 0.003134 0.003134
59.000000 0.003622 0.003622
60.000000 0.002846 0.002846
61.000000 0.005167 0.005167
62.000000 0.003737 0.003737
63.000000 0.003472 0.003472
64.000000 0.003932 0.003932
65.000000 0.003120 0.003120
66.000000 0.004209 0.004209
67.000000 0.003682 0.003682
68.000000 0.004741 0.004741
69.000000 0.002947 0.002947
70.000000 0.003773 0.003773
71.000000 0.003142 0.003142
72.000000 0.003980 0.003980
73.000000 0.004509 0.004509
74.000000 0.002856 0.002856
75.000000 0.004735 0.004735
76.000000 0.003801 0.003801
77.000000 0.003643 0.003643
78.000000 0.006708 0.006708
79.000000 0.003217 0.003217
80.000000 0.003252 0.003252
81.000000 0.003970 0.003970
82.000000 0.003070 0.003070
83.000000 0.003640 0.003640
84.000000 0.005032 0.005032
85.000000 0.003564 0.003564
86.000000 0.003756 0.003756
87.000000 0.003038 0.003038
88.000000 0.003398 0.003398
89.000000 0.003756 0.003756
90.000000 0.003083 0.003083
91.000000 0.003491 0.003491
92.000000 0.003103 0.003103
93.000000 0.003672 0.003672
94.000000 0.003931 0.003931
95.000000 0.002929 0.002929
96.000000 0.004500 0.004500
97.000000 0.003955 0.003955
98.000000 0.003683 0.003683
99.000000 0.003934 0.003934
100.000000 0.003247 0.003247
101.000000 0.002721 0.002721
102.000000 0.003443 0.003443
103.000000 0.003173 0.003173
104.000000 0.003495 0.003495
105.000000 0.004089 0.004089
106.000000 0.003545 0.003545
107.000000 0.003627 0.003627
108.000000 0.003161 0.003161
109.000000 0.003059 0.003059
110.000000 0.003559 0.003559
111.000000 0.003131 0.003131
112.000000 0.003232 0.003232
113.000000 0.004308 0.004308
114.000000 0.004038 0.004038
115.000000 0.003370 0.003370
116.000000 0.003896 0.003896
117.000000 0.003756 0.003756
118.000000 0.004113 0.004113
119.000000 0.003943 0.003943
120.000000 0.003120 0.003120
121.000000 0.003105 0.003105
122.000000 0.003613 0.003613
123.000000 0.003511 0.003511
124.000000 0.003908 0.003908
125.000000 0.004731 0.004731
126.000000 0.003424 0.003424
127.000000 0.004587 0.004587
128.000000 0.004628 0.004628
129.000000 0.003587 0.003587
130.000000 0.003698 0.003698
131.000000 0.003528 0.003528
132.000000 0.002715 0.002715
133.000000 0.003916 0.003916
134.000000 0.003946 0.003946
135.000000 0.003935 0.003935
136.000000 0.003849 0.003849
137.000000 0.003806 0.003806
138.000000 0.003463 0.003463
139.000000 0.003772 0.003772
140.000000 0.004081 0.004081
141.000000 0.003222 0.003222
142.000000 0.004772 0.004772
143.000000 0.004447 0.004447
144.000000 0.004090 0.004090
145.000000 0.002963 0.002963
146.000000 0.004342 0.004342
147.000000 0.003663 0.003663
148.000000 0.003420 0.003420
149.000000 0.004238 0.004238
150.000000 0.003505 0.003505
151.000000 0.004226 0.004226
152.000000 0.003267 0.003267
153.000000 0.003981 0.003981
154.000000 0.002712 0.002712
155.000000 0.005871 0.005871
156.000000 0.003231 0.003231
157.000000 0.004057 0.004057
158.000000 0.004376 0.004376
159.000000 0.003854 0.003854
160.000000 0.003628 0.003628
161.000000 0.003566 0.003566
162.000000 0.002916 0.002916
163.000000 0.003304 0.003304
164.000000 0.003067 0.003067
165.000000 0.004692 0.004692
166.000000 0.004738 0.004738
167.000000 0.004219 0.004219
168.000000 0.003676 0.003676
169.000000 0.002988 0.002988
170.000000 0.003721 0.003721
171.000000 0.003331 0.003331
172.000000 0.005115 0.005115
173.000000 0.003228 0.003228
174.000000 0.003112 0.003112
175.000000 0.003593 0.003593
176.000000 0.004052 0.004052
177.000000 0.003127 0.003127
178.000000 0.003857 0.003857
179.000000 0.003022 0.003022
180.000000 0.003392 0.003392
181.000000 0.004537 0.004537
182.000000 0.003067 0.003067
183.000000 0.003259 0.003259
184.000000 0.004603 0.004603
185.000000 0.003874 0.003874
186.000000 0.003820 0.003820
187.000000 0.005230 0.005230
188.000000 0.003379 0.003379
189.000000 0.004835 0.004835
190.000000 0.004121 0.004121
191.000000 0.003332 0.003332
192.000000 0.003798 0.003798
193.000000 0.004839 0.004839
194.000000 0.004206 0.004206
195.000000 0.003837 0.003837
196.000000 0.003537 0.003537
197.000000 0.003322 0.003322
198.000000 0.002645 0.002645
199.000000 0.002975 0.002975
200.000000 0.002758 0.002758
201.000000 0.004120 0.004120
202.000000 0.002467 0.002467
203.000000 0.003307 0.003307
204.000000 0.004179 0.004179
205.000000 0.003367 0.003367
206.000000 0.003380 0.003380
207.000000 0.003914 0.003914
208.000000 0.003008 0.003008
209.000000 0.004076 0.004076
210.000000 0.005033 0.005033
211.000000 0.004252 0.004252
212.000000 0.004846 0.004846
213.000000 0.004057 0.004057
214.000000 0.002244 0.002244
215.000000 0.003631 0.003631
216.000000 0.003963 0.003963
217.000000 0.003319 0.003319
218.000000 0.004583 0.004583
219.000000 0.002595 0.002595
220.000000 0.004856 0.004856
221.000000 0.003863 0.003863
222.000000 0.003893 0.003893
223.000000 0.003384 0.003384
224.000000 0.004386 0.004386
225.000000 0.003595 0.003595
226.000000 0.004697 0.004697
227.000000 0.004137 0.004137
