Time 1-10.0.0.3-10.0.0.2 Aggregate-Flow
0.000000 0.001508 0.001508
1.000000 0.004240 0.004240
2.000000 0.002548 0.002548
3.000000 0.001770 0.001770
4.000000 0.002302 0.002302
5.000000 0.002135 0.002135
6.000000 0.001403 0.001403
7.000000 0.002403 0.002403
8.000000 0.002123 0.002123
9.000000 0.002099 0.002099
10.000000 0.002418 0.002418
11.000000 0.001941 0.001941
12.000000 0.002014 0.002014
13.000000 0.003396 0.003396
14.000000 0.003831 0.003831
15.000000 0.003547 0.003547
16.000000 0.005431 0.005431
17.000000 0.002854 0.002854
18.000000 0.002823 0.002823
19.000000 0.004425 0.004425
20.000000 0.003844 0.003844
21.000000 0.002286 0.002286
22.000000 0.003184 0.003184
23.000000 0.004514 0.004514
24.000000 0.002553 0.002553
25.000000 0.002766 0.002766
26.000000 0.002110 0.002110
27.000000 0.002826 0.002826
28.000000 0.003885 0.003885
29.000000 0.003897 0.003897
30.000000 0.003344 0.003344
31.000000 0.001997 0.001997
32.000000 0.010021 0.010021
33.000000 0.003504 0.003504
34.000000 0.004473 0.004473
35.000000 0.002060 0.002060
36.000000 0.002354 0.002354
37.000000 0.002860 0.002860
38.000000 0.003004 0.003004
39.000000 0.002155 0.002155
40.000000 0.001696 0.001696
41.000000 0.002362 0.002362
42.000000 0.004140 0.004140
43.000000 0.003089 0.003089
44.000000 0.002450 0.002450
45.000000 0.002538 0.002538
46.000000 0.002768 0.002768
47.000000 0.001648 0.001648
48.000000 0.003020 0.003020
49.000000 0.002825 0.002825
50.000000 0.002389 0.002389
51.000000 0.002715 0.002715
52.000000 0.003183 0.003183
53.000000 0.001614 0.001614
54.000000 0.002727 0.002727
55.000000 0.002507 0.002507
56.000000 0.002648 0.002648
57.000000 0.002845 0.002845
58.000000 0.002321 0.002321
59.000000 0.001782 0.001782
60.000000 0.004064 0.004064
61.000000 0.002494 0.002494
62.000000 0.002939 0.002939
63.000000 0.002057 0.002057
64.000000 0.004709 0.004709
65.000000 0.002189 0.002189
66.000000 0.002940 0.002940
67.000000 0.004269 0.004269
68.000000 0.003536 0.003536
69.000000 0.002153 0.002153
70.000000 0.003527 0.003527
71.000000 0.002435 0.002435
72.000000 0.002697 0.002697
73.000000 0.004128 0.004128
74.000000 0.002026 0.002026
75.000000 0.002040 0.002040
76.000000 0.003278 0.003278
77.000000 0.003509 0.003509
78.000000 0.002974 0.002974
79.000000 0.002030 0.002030
80.000000 0.004985 0.004985
81.000000 0.005333 0.005333
82.000000 0.002024 0.002024
83.000000 0.003949 0.003949
84.000000 0.002953 0.002953
85.000000 0.001885 0.001885
86.000000 0.002485 0.002485
87.000000 0.001895 0.001895
88.000000 0.002099 0.002099
89.000000 0.002933 0.002933
90.000000 0.002269 0.002269
91.000000 0.003667 0.003667
92.000000 0.003418 0.003418
93.000000 0.004884 0.004884
94.000000 0.001977 0.001977
95.000000 0.002385 0.002385
96.000000 0.003402 0.003402
97.000000 0.002468 0.002468
98.000000 0.002244 0.002244
99.000000 0.002245 0.002245
100.000000 0.001932 0.001932
101.000000 0.002253 0.002253
102.000000 0.002541 0.002541
103.000000 0.003968 0.003968
104.000000 0.001907 0.001907
105.000000 0.001842 0.001842
106.000000 0.003072 0.003072
107.000000 0.002843 0.002843
108.000000 0.002779 0.002779
109.000000 0.001805 0.001805
110.000000 0.001690 0.001690
111.000000 0.003809 0.003809
112.000000 0.003898 0.003898
113.000000 0.002870 0.002870
114.000000 0.002755 0.002755
115.000000 0.002969 0.002969
116.000000 0.003403 0.003403
117.000000 0.001984 0.001984
118.000000 0.001808 0.001808
119.000000 0.002092 0.002092
120.000000 0.005332 0.005332
121.000000 0.004210 0.004210
122.000000 0.003154 0.003154
123.000000 0.004460 0.004460
124.000000 0.003796 0.003796
125.000000 0.001885 0.001885
126.000000 0.002824 0.002824
127.000000 0.002862 0.002862
128.000000 0.003604 0.003604
129.000000 0.002087 0.002087
130.000000 0.002794 0.002794
131.000000 0.002485 0.002485
132.000000 0.004378 0.004378
133.000000 0.002017 0.002017
134.000000 0.002333 0.002333
135.000000 0.002788 0.002788
136.000000 0.002985 0.002985
137.000000 0.002340 0.002340
138.000000 0.003978 0.003978
139.000000 0.001922 0.001922
140.000000 0.002164 0.002164
141.000000 0.002040 0.002040
142.000000 0.002693 0.002693
143.000000 0.002178 0.002178
144.000000 0.003238 0.003238
145.000000 0.002641 0.002641
146.000000 0.002108 0.002108
147.000000 0.003508 0.003508
148.000000 0.002062 0.002062
149.000000 0.004978 0.004978
150.000000 0.001956 0.001956
151.000000 0.002312 0.002312
152.000000 0.002298 0.002298
153.000000 0.002362 0.002362
154.000000 0.002754 0.002754
155.000000 0.002333 0.002333
156.000000 0.001981 0.001981
157.000000 0.003160 0.003160
158.000000 0.002395 0.002395
159.000000 0.002203 0.002203
160.000000 0.003435 0.003435
161.000000 0.002946 0.002946
162.000000 0.003615 0.003615
163.000000 0.002716 0.002716
164.000000 0.002396 0.002396
165.000000 0.002264 0.002264
166.000000 0.002050 0.002050
167.000000 0.006632 0.006632
168.000000 0.003523 0.003523
169.000000 0.003624 0.003624
170.000000 0.006338 0.006338
171.000000 0.002155 0.002155
172.000000 0.002127 0.002127
173.000000 0.004262 0.004262
174.000000 0.003511 0.003511
175.000000 0.002854 0.002854
176.000000 0.002943 0.002943
177.000000 0.002323 0.002323
178.000000 0.001907 0.001907
179.000000 0.002610 0.002610
180.000000 0.002536 0.002536
181.000000 0.002332 0.002332
182.000000 0.001834 0.001834
183.000000 0.002990 0.002990
184.000000 0.002051 0.002051
185.000000 0.001944 0.001944
186.000000 0.002045 0.002045
187.000000 0.002155 0.002155
188.000000 0.003185 0.003185
189.000000 0.002817 0.002817
190.000000 0.003343 0.003343
191.000000 0.003900 0.003900
192.000000 0.003434 0.003434
193.000000 0.002271 0.002271
194.000000 0.004256 0.004256
195.000000 0.002170 0.002170
196.000000 0.002079 0.002079
197.000000 0.006798 0.006798
198.000000 0.004150 0.004150
199.000000 0.002485 0.002485
200.000000 0.001853 0.001853
201.000000 0.006301 0.006301
202.000000 0.001766 0.001766
203.000000 0.003156 0.003156
204.000000 0.002388 0.002388
205.000000 0.002697 0.002697
206.000000 0.002819 0.002819
207.000000 0.003028 0.003028
208.000000 0.003083 0.003083
209.000000 0.003399 0.003399
210.000000 0.003330 0.003330
211.000000 0.002684 0.002684
212.000000 0.003698 0.003698
213.000000 0.005101 0.005101
214.000000 0.001955 0.001955
215.000000 0.002086 0.002086
216.000000 0.003091 0.003091
217.000000 0.003959 0.003959
218.000000 0.002524 0.002524
219.000000 0.002356 0.002356
220.000000 0.002608 0.002608
221.000000 0.002421 0.002421
222.000000 0.002649 0.002649
223.000000 0.001553 0.001553
224.000000 0.002881 0.002881
225.000000 0.002012 0.002012
226.000000 0.001859 0.001859
227.000000 0.002066 0.002066
228.000000 0.003090 0.003090
229.000000 0.001669 0.001669
230.000000 0.002312 0.002312
231.000000 0.003108 0.003108
232.000000 0.003924 0.003924
233.000000 0.002383 0.002383
234.000000 0.003224 0.003224
235.000000 0.002954 0.002954
236.000000 0.002080 0.002080
237.000000 0.002265 0.002265
238.000000 0.002242 0.002242
239.000000 0.002897 0.002897
