Time 1-10.0.0.3-10.0.0.2 Aggregate-Flow
0.000000 0.002538 0.002538
1.000000 0.005190 0.005190
2.000000 0.003871 0.003871
3.000000 0.002880 0.002880
4.000000 0.003887 0.003887
5.000000 0.003405 0.003405
6.000000 0.002496 0.002496
7.000000 0.003835 0.003835
8.000000 0.003603 0.003603
9.000000 0.003674 0.003674
10.000000 0.003807 0.003807
11.000000 0.002878 0.002878
12.000000 0.002946 0.002946
13.000000 0.004045 0.004045
14.000000 0.005400 0.005400
15.000000 0.004217 0.004217
16.000000 0.006262 0.006262
17.000000 0.004186 0.004186
18.000000 0.004290 0.004290
19.000000 0.004600 0.004600
20.000000 0.005036 0.005036
21.000000 0.003798 0.003798
22.000000 0.003912 0.003912
23.000000 0.004582 0.004582
24.000000 0.003231 0.003231
25.000000 0.004075 0.004075
26.000000 0.003529 0.003529
27.000000 0.004168 0.004168
28.000000 0.004386 0.004386
29.000000 0.005585 0.005585
30.000000 0.003876 0.003876
31.000000 0.003175 0.003175
32.000000 0.007145 0.007145
33.000000 0.003802 0.003802
34.000000 0.004482 0.004482
35.000000 0.003418 0.003418
36.000000 0.003508 0.003508
37.000000 0.003982 0.003982
38.000000 0.003867 0.003867
39.000000 0.003226 0.003226
40.000000 0.002905 0.002905
41.000000 0.003792 0.003792
42.000000 0.003716 0.003716
43.000000 0.004286 0.004286
44.000000 0.003972 0.003972
45.000000 0.004115 0.004115
46.000000 0.004243 0.004243
47.000000 0.002577 0.002577
48.000000 0.003931 0.003931
49.000000 0.003867 0.003867
50.000000 0.003295 0.003295
51.000000 0.003716 0.003716
52.000000 0.003980 0.003980
53.000000 0.002619 0.002619
54.000000 0.003702 0.003702
55.000000 0.003208 0.003208
56.000000 0.003959 0.003959
57.000000 0.003912 0.003912
58.000000 0.003792 0.003792
59.000000 0.002880 0.002880
60.000000 0.003671 0.003671
61.000000 0.004007 0.004007
62.000000 0.003917 0.003917
63.000000 0.003539 0.003539
64.000000 0.006413 0.006413
65.000000 0.003409 0.003409
66.000000 0.003422 0.003422
67.000000 0.004603 0.004603
68.000000 0.004037 0.004037
69.000000 0.003483 0.003483
70.000000 0.004314 0.004314
71.000000 0.003823 0.003823
72.000000 0.003746 0.003746
73.000000 0.004552 0.004552
74.000000 0.003493 0.003493
75.000000 0.003222 0.003222
76.000000 0.004924 0.004924
77.000000 0.005067 0.005067
78.000000 0.003836 0.003836
79.000000 0.003102 0.003102
80.000000 0.005553 0.005553
81.000000 0.003935 0.003935
82.000000 0.003348 0.003348
83.000000 0.004777 0.004777
84.000000 0.003625 0.003625
85.000000 0.003279 0.003279
86.000000 0.003648 0.003648
87.000000 0.002881 0.002881
88.000000 0.003411 0.003411
89.000000 0.004149 0.004149
90.000000 0.003797 0.003797
91.000000 0.004313 0.004313
92.000000 0.004359 0.004359
93.000000 0.006157 0.006157
94.000000 0.003236 0.003236
95.000000 0.003885 0.003885
96.000000 0.003723 0.003723
97.000000 0.003715 0.003715
98.000000 0.003621 0.003621
99.000000 0.003459 0.003459
100.000000 0.003147 0.003147
101.000000 0.003745 0.003745
102.000000 0.003157 0.003157
103.000000 0.005271 0.005271
104.000000 0.003192 0.003192
105.000000 0.003316 0.003316
106.000000 0.003999 0.003999
107.000000 0.004067 0.004067
108.000000 0.003966 0.003966
109.000000 0.003226 0.003226
110.000000 0.002874 0.002874
