Interval	Avg	Std	CI=0.95	Min	Median	Max
    0 --     1	0.002	0.001	0.002	0.001	0.002	0.004
    1 --     2	0.004	0.002	0.003	0.002	0.003	0.006
    2 --     3	0.004	0.001	0.002	0.002	0.003	0.006
    3 --     4	0.004	0.002	0.003	0.002	0.004	0.007
    4 --     5	0.003	0.000	0.001	0.002	0.003	0.003
    5 --     6	0.004	0.002	0.003	0.002	0.004	0.006
    6 --     7	0.004	0.003	0.004	0.002	0.003	0.008
    7 --     8	0.004	0.002	0.002	0.003	0.003	0.006
    8 --     9	0.004	0.002	0.002	0.002	0.004	0.006
    9 --    10	0.004	0.001	0.001	0.002	0.004	0.004
   10 --    11	0.004	0.001	0.002	0.002	0.004	0.006
   11 --    12	0.006	0.001	0.002	0.004	0.006	0.007
   12 --    13	0.005	0.003	0.004	0.002	0.005	0.009
   13 --    14	0.004	0.002	0.002	0.001	0.004	0.006
   14 --    15	0.003	0.002	0.003	0.001	0.002	0.007
   15 --    16	0.005	0.002	0.003	0.003	0.004	0.007
   16 --    17	0.003	0.001	0.002	0.002	0.003	0.006
   17 --    18	0.003	0.001	0.001	0.003	0.003	0.004
   18 --    19	0.004	0.002	0.003	0.002	0.003	0.006
   19 --    20	0.005	0.001	0.002	0.002	0.005	0.006
   20 --    21	0.005	0.001	0.002	0.004	0.005	0.007
   21 --    22	0.004	0.002	0.003	0.002	0.004	0.006
   22 --    23	0.002	0.000	0.001	0.002	0.002	0.003
   23 --    24	0.004	0.001	0.001	0.003	0.003	0.005
   24 --    25	0.004	0.001	0.001	0.003	0.003	0.005
   25 --    26	0.004	0.001	0.002	0.002	0.003	0.005
   26 --    27	0.004	0.001	0.002	0.003	0.004	0.006
   27 --    28	0.002	0.000	0.001	0.002	0.002	0.003
   28 --    29	0.005	0.002	0.002	0.002	0.005	0.006
   29 --    30	0.003	0.001	0.002	0.002	0.003	0.004
   30 --    31	0.004	0.001	0.002	0.002	0.004	0.006
   31 --    32	0.005	0.001	0.002	0.003	0.005	0.006
   32 --    33	0.004	0.001	0.001	0.003	0.004	0.005
   33 --    34	0.005	0.002	0.003	0.002	0.005	0.006
   34 --    35	0.004	0.003	0.004	0.003	0.003	0.009
   35 --    36	0.005	0.001	0.002	0.004	0.005	0.007
   36 --    37	0.005	0.001	0.001	0.004	0.005	0.006
   37 --    38	0.003	0.000	0.001	0.003	0.003	0.004
   38 --    39	0.004	0.002	0.002	0.002	0.003	0.006
   39 --    40	0.003	0.000	0.001	0.002	0.003	0.003
   40 --    41	0.005	0.001	0.002	0.004	0.005	0.007
   41 --    42	0.007	0.003	0.004	0.003	0.006	0.011
   42 --    43	0.003	0.001	0.002	0.002	0.003	0.005
   43 --    44	0.005	0.001	0.001	0.003	0.005	0.005
   44 --    45	0.003	0.001	0.001	0.002	0.004	0.004
   45 --    46	0.005	0.002	0.003	0.002	0.005	0.007
   46 --    47	0.006	0.002	0.004	0.002	0.006	0.009
   47 --    48	0.004	0.002	0.002	0.002	0.003	0.006
   48 --    49	0.004	0.001	0.001	0.002	0.004	0.005
   49 --    50	0.003	0.000	0.001	0.003	0.003	0.003
   50 --    51	0.005	0.002	0.003	0.002	0.005	0.007
   51 --    52	0.006	0.001	0.002	0.004	0.006	0.007
   52 --    53	0.004	0.001	0.001	0.003	0.004	0.005
   53 --    54	0.004	0.001	0.001	0.002	0.004	0.004
   54 --    55	0.003	0.001	0.002	0.003	0.003	0.005
   55 --    56	0.004	0.002	0.002	0.003	0.004	0.007
   56 --    57	0.004	0.002	0.003	0.002	0.004	0.006
   57 --    58	0.003	0.001	0.001	0.002	0.003	0.004
   58 --    59	0.005	0.002	0.003	0.003	0.004	0.007
   59 --    60	0.003	0.000	0.001	0.003	0.003	0.003
   60 --    61	0.005	0.001	0.002	0.003	0.005	0.006
   61 --    62	0.004	0.001	0.002	0.003	0.004	0.006
   62 --    63	0.003	0.001	0.001	0.003	0.003	0.004
   63 --    64	0.004	0.001	0.002	0.003	0.004	0.006
   64 --    65	0.003	0.000	0.000	0.003	0.003	0.003
   65 --    66	0.005	0.000	0.001	0.004	0.005	0.005
   66 --    67	0.005	0.001	0.002	0.003	0.005	0.006
   67 --    68	0.004	0.002	0.003	0.002	0.004	0.006
   68 --    69	0.006	0.001	0.002	0.004	0.006	0.008
   69 --    70	0.004	0.002	0.003	0.002	0.004	0.007
   70 --    71	0.004	0.002	0.003	0.002	0.004	0.007
   71 --    72	0.004	0.002	0.003	0.002	0.003	0.007
   72 --    73	0.003	0.000	0.001	0.002	0.003	0.003
   73 --    74	0.004	0.001	0.002	0.002	0.004	0.005
   74 --    75	0.002	0.000	0.001	0.002	0.002	0.003
   75 --    76	0.004	0.001	0.002	0.002	0.003	0.006
   76 --    77	0.004	0.001	0.002	0.003	0.004	0.006
   77 --    78	0.004	0.002	0.003	0.003	0.003	0.007
   78 --    79	0.005	0.001	0.001	0.005	0.005	0.006
   79 --    80	0.003	0.000	0.001	0.002	0.002	0.003
   80 --    81	0.005	0.001	0.001	0.004	0.005	0.006
   81 --    82	0.003	0.000	0.000	0.003	0.003	0.003
   82 --    83	0.003	0.000	0.001	0.003	0.003	0.004
   83 --    84	0.005	0.001	0.002	0.003	0.005	0.006
   84 --    85	0.003	0.001	0.001	0.002	0.003	0.004
   85 --    86	0.005	0.001	0.002	0.003	0.005	0.006
   86 --    87	0.005	0.001	0.002	0.002	0.005	0.006
   87 --    88	0.004	0.000	0.000	0.003	0.004	0.004
   88 --    89	0.004	0.001	0.001	0.003	0.004	0.005
   89 --    90	0.002	0.001	0.001	0.002	0.002	0.004
   90 --    91	0.004	0.002	0.002	0.002	0.005	0.006
   91 --    92	0.005	0.001	0.002	0.003	0.005	0.006
   92 --    93	0.004	0.000	0.001	0.003	0.004	0.004
   93 --    94	0.005	0.001	0.001	0.004	0.006	0.006
   94 --    95	0.005	0.002	0.003	0.002	0.005	0.007
   95 --    96	0.004	0.001	0.002	0.002	0.005	0.006
   96 --    97	0.004	0.002	0.002	0.002	0.004	0.006
   97 --    98	0.003	0.000	0.001	0.003	0.003	0.004
   98 --    99	0.004	0.001	0.001	0.003	0.004	0.006
   99 --   100	0.003	0.000	0.001	0.002	0.002	0.003
  100 --   101	0.005	0.001	0.002	0.003	0.005	0.006
  101 --   102	0.004	0.001	0.002	0.002	0.003	0.006
  102 --   103	0.004	0.001	0.001	0.003	0.003	0.004
  103 --   104	0.005	0.000	0.001	0.004	0.005	0.006
  104 --   105	0.003	0.001	0.001	0.002	0.003	0.004
  105 --   106	0.006	0.001	0.001	0.005	0.005	0.007
  106 --   107	0.004	0.001	0.002	0.002	0.004	0.004
  107 --   108	0.003	0.001	0.001	0.002	0.003	0.004
  108 --   109	0.004	0.000	0.001	0.004	0.004	0.005
  109 --   110	0.003	0.001	0.002	0.002	0.003	0.006
  110 --   111	0.004	0.001	0.002	0.002	0.004	0.005
  111 --   112	0.005	0.002	0.003	0.003	0.004	0.007
  112 --   113	0.003	0.001	0.001	0.002	0.003	0.004
  113 --   114	0.005	0.001	0.001	0.004	0.005	0.006
  114 --   115	0.004	0.001	0.002	0.002	0.003	0.005
  115 --   116	0.005	0.002	0.003	0.002	0.006	0.006
  116 --   117	0.003	0.002	0.003	0.002	0.003	0.006
  117 --   118	0.003	0.001	0.001	0.003	0.003	0.004
  118 --   119	0.004	0.000	0.001	0.004	0.004	0.005
  119 --   120	0.003	0.001	0.002	0.002	0.003	0.005
  120 --   121	0.004	0.002	0.003	0.001	0.004	0.006
  121 --   122	0.005	0.001	0.002	0.003	0.005	0.006
  122 --   123	0.004	0.001	0.002	0.002	0.004	0.005
  123 --   124	0.005	0.001	0.002	0.004	0.004	0.007
  124 --   125	0.004	0.001	0.002	0.002	0.004	0.005
  125 --   126	0.005	0.002	0.003	0.002	0.005	0.007
  126 --   127	0.004	0.002	0.003	0.002	0.004	0.006
  127 --   128	0.003	0.001	0.001	0.003	0.003	0.004
  128 --   129	0.004	0.000	0.001	0.004	0.004	0.005
  129 --   130	0.003	0.001	0.001	0.002	0.003	0.004
  130 --   131	0.004	0.001	0.002	0.003	0.005	0.005
  131 --   132	0.005	0.001	0.002	0.003	0.005	0.006
  132 --   133	0.003	0.001	0.001	0.002	0.003	0.004
  133 --   134	0.005	0.001	0.002	0.003	0.005	0.006
  134 --   135	0.006	0.004	0.006	0.002	0.005	0.011
  135 --   136	0.004	0.001	0.002	0.002	0.004	0.005
  136 --   137	0.003	0.001	0.002	0.002	0.003	0.005
  137 --   138	0.003	0.001	0.001	0.002	0.003	0.004
  138 --   139	0.004	0.001	0.001	0.004	0.004	0.005
  139 --   140	0.003	0.001	0.002	0.002	0.003	0.005
  140 --   141	0.005	0.002	0.003	0.002	0.005	0.007
  141 --   142	0.004	0.001	0.001	0.003	0.004	0.005
  142 --   143	0.003	0.000	0.001	0.003	0.003	0.004
  143 --   144	0.004	0.001	0.001	0.003	0.005	0.005
  144 --   145	0.004	0.002	0.003	0.002	0.003	0.007
  145 --   146	0.005	0.001	0.001	0.004	0.006	0.006
  146 --   147	0.004	0.003	0.004	0.002	0.003	0.009
  147 --   148	0.003	0.001	0.001	0.002	0.003	0.004
  148 --   149	0.005	0.001	0.001	0.004	0.006	0.006
