Time 1-10.0.0.3-10.0.0.2 Aggregate-Flow
0.000000 0.000140 0.000140
1.000000 0.000157 0.000157
2.000000 0.000129 0.000129
3.000000 0.000119 0.000119
4.000000 0.000277 0.000277
5.000000 0.000162 0.000162
6.000000 0.000125 0.000125
7.000000 0.000132 0.000132
8.000000 0.000165 0.000165
9.000000 0.000155 0.000155
10.000000 0.000099 0.000099
11.000000 0.001281 0.001281
12.000000 0.000181 0.000181
13.000000 0.001392 0.001392
14.000000 0.000866 0.000866
15.000000 0.000425 0.000425
16.000000 0.000314 0.000314
17.000000 0.000250 0.000250
18.000000 0.000823 0.000823
19.000000 0.000254 0.000254
20.000000 0.000178 0.000178
21.000000 0.000146 0.000146
22.000000 0.000245 0.000245
23.000000 0.001445 0.001445
24.000000 0.000153 0.000153
25.000000 0.000173 0.000173
26.000000 0.000103 0.000103
27.000000 0.000931 0.000931
28.000000 0.000241 0.000241
29.000000 0.000224 0.000224
30.000000 0.000925 0.000925
31.000000 0.000578 0.000578
32.000000 0.000824 0.000824
33.000000 0.000151 0.000151
34.000000 0.000142 0.000142
35.000000 0.000738 0.000738
36.000000 0.000628 0.000628
37.000000 0.000182 0.000182
38.000000 0.000249 0.000249
39.000000 0.000429 0.000429
40.000000 0.000740 0.000740
41.000000 0.000130 0.000130
42.000000 0.000158 0.000158
43.000000 0.000224 0.000224
44.000000 0.001702 0.001702
45.000000 0.000152 0.000152
46.000000 0.000184 0.000184
47.000000 0.000268 0.000268
48.000000 0.001015 0.001015
49.000000 0.000153 0.000153
50.000000 0.000202 0.000202
51.000000 0.000408 0.000408
52.000000 0.000154 0.000154
53.000000 0.001600 0.001600
54.000000 0.000171 0.000171
55.000000 0.000772 0.000772
56.000000 0.000274 0.000274
57.000000 0.000192 0.000192
58.000000 0.000150 0.000150
59.000000 0.000141 0.000141
60.000000 0.000147 0.000147
61.000000 0.000157 0.000157
62.000000 0.000193 0.000193
63.000000 0.001143 0.001143
64.000000 0.000114 0.000114
65.000000 0.000322 0.000322
66.000000 0.001146 0.001146
67.000000 0.000124 0.000124
68.000000 0.001137 0.001137
69.000000 0.000367 0.000367
70.000000 0.000139 0.000139
71.000000 0.000202 0.000202
72.000000 0.000138 0.000138
73.000000 0.000537 0.000537
74.000000 0.000902 0.000902
75.000000 0.000288 0.000288
76.000000 0.000123 0.000123
77.000000 0.000153 0.000153
78.000000 0.000187 0.000187
79.000000 0.000157 0.000157
80.000000 0.000818 0.000818
81.000000 0.000500 0.000500
82.000000 0.000107 0.000107
83.000000 0.000581 0.000581
84.000000 0.000188 0.000188
85.000000 0.000119 0.000119
86.000000 0.000117 0.000117
87.000000 0.000157 0.000157
88.000000 0.001132 0.001132
89.000000 0.000145 0.000145
90.000000 0.001358 0.001358
91.000000 0.000354 0.000354
92.000000 0.000498 0.000498
93.000000 0.000756 0.000756
94.000000 0.000453 0.000453
95.000000 0.000802 0.000802
96.000000 0.000178 0.000178
97.000000 0.000189 0.000189
98.000000 0.000169 0.000169
99.000000 0.000189 0.000189
100.000000 0.000139 0.000139
101.000000 0.000128 0.000128
102.000000 0.000147 0.000147
103.000000 0.000248 0.000248
104.000000 0.000168 0.000168
105.000000 0.000207 0.000207
106.000000 0.000172 0.000172
107.000000 0.000172 0.000172
108.000000 0.000781 0.000781
109.000000 0.000259 0.000259
110.000000 0.000680 0.000680
111.000000 0.000746 0.000746
112.000000 0.000245 0.000245
113.000000 0.000130 0.000130
114.000000 0.000214 0.000214
115.000000 0.000816 0.000816
116.000000 0.000271 0.000271
117.000000 0.000174 0.000174
118.000000 0.000997 0.000997
119.000000 0.000571 0.000571
120.000000 0.000809 0.000809
121.000000 0.000183 0.000183
122.000000 0.000202 0.000202
123.000000 0.000148 0.000148
124.000000 0.000103 0.000103
125.000000 0.000214 0.000214
126.000000 0.000160 0.000160
127.000000 0.000168 0.000168
128.000000 0.000243 0.000243
129.000000 0.000125 0.000125
130.000000 0.000152 0.000152
131.000000 0.000342 0.000342
132.000000 0.000983 0.000983
133.000000 0.000709 0.000709
134.000000 0.000369 0.000369
135.000000 0.000852 0.000852
136.000000 0.000149 0.000149
137.000000 0.001635 0.001635
138.000000 0.000188 0.000188
139.000000 0.000232 0.000232
140.000000 0.001396 0.001396
141.000000 0.001007 0.001007
142.000000 0.000387 0.000387
143.000000 0.000279 0.000279
144.000000 0.000199 0.000199
145.000000 0.000935 0.000935
146.000000 0.000514 0.000514
147.000000 0.000189 0.000189
148.000000 0.000177 0.000177
149.000000 0.000239 0.000239
150.000000 0.000165 0.000165
151.000000 0.001146 0.001146
152.000000 0.000223 0.000223
153.000000 0.000214 0.000214
154.000000 0.000155 0.000155
155.000000 0.000701 0.000701
156.000000 0.000154 0.000154
157.000000 0.001369 0.001369
158.000000 0.000166 0.000166
159.000000 0.000244 0.000244
160.000000 0.000136 0.000136
161.000000 0.000179 0.000179
162.000000 0.000590 0.000590
163.000000 0.000168 0.000168
164.000000 0.000690 0.000690
165.000000 0.000782 0.000782
166.000000 0.000137 0.000137
167.000000 0.000154 0.000154
168.000000 0.000579 0.000579
169.000000 0.000761 0.000761
170.000000 0.000189 0.000189
171.000000 0.000202 0.000202
172.000000 0.000849 0.000849
173.000000 0.001038 0.001038
174.000000 0.000639 0.000639
175.000000 0.000148 0.000148
176.000000 0.000893 0.000893
177.000000 0.000248 0.000248
178.000000 0.000242 0.000242
179.000000 0.000152 0.000152
180.000000 0.001057 0.001057
181.000000 0.000169 0.000169
182.000000 0.000211 0.000211
