Time 1-10.0.0.3-10.0.0.2 Aggregate-Flow
0.000000 0.001532 0.001532
1.000000 0.002691 0.002691
2.000000 0.001618 0.001618
3.000000 0.002022 0.002022
4.000000 0.002430 0.002430
5.000000 0.002074 0.002074
6.000000 0.002356 0.002356
7.000000 0.004078 0.004078
8.000000 0.001927 0.001927
9.000000 0.002077 0.002077
10.000000 0.002743 0.002743
11.000000 0.002028 0.002028
12.000000 0.004148 0.004148
13.000000 0.003845 0.003845
14.000000 0.003160 0.003160
15.000000 0.001949 0.001949
16.000000 0.003253 0.003253
17.000000 0.002139 0.002139
18.000000 0.002019 0.002019
19.000000 0.002223 0.002223
20.000000 0.003121 0.003121
21.000000 0.002097 0.002097
22.000000 0.005312 0.005312
23.000000 0.004364 0.004364
24.000000 0.002058 0.002058
25.000000 0.003140 0.003140
26.000000 0.002497 0.002497
27.000000 0.001678 0.001678
28.000000 0.001927 0.001927
29.000000 0.002785 0.002785
30.000000 0.002599 0.002599
31.000000 0.003115 0.003115
32.000000 0.002352 0.002352
33.000000 0.002224 0.002224
34.000000 0.002667 0.002667
35.000000 0.002046 0.002046
36.000000 0.002136 0.002136
37.000000 0.002321 0.002321
38.000000 0.001944 0.001944
39.000000 0.002450 0.002450
40.000000 0.004140 0.004140
41.000000 0.002803 0.002803
42.000000 0.001581 0.001581
43.000000 0.004437 0.004437
44.000000 0.002943 0.002943
45.000000 0.003034 0.003034
46.000000 0.006117 0.006117
47.000000 0.002641 0.002641
48.000000 0.003815 0.003815
49.000000 0.006969 0.006969
50.000000 0.003030 0.003030
51.000000 0.004469 0.004469
52.000000 0.003461 0.003461
53.000000 0.002791 0.002791
54.000000 0.004578 0.004578
55.000000 0.003942 0.003942
56.000000 0.002752 0.002752
57.000000 0.002955 0.002955
58.000000 0.001627 0.001627
59.000000 0.003448 0.003448
60.000000 0.001861 0.001861
61.000000 0.002924 0.002924
62.000000 0.002084 0.002084
63.000000 0.001865 0.001865
64.000000 0.003776 0.003776
65.000000 0.002215 0.002215
66.000000 0.001925 0.001925
67.000000 0.003252 0.003252
68.000000 0.002677 0.002677
69.000000 0.001644 0.001644
70.000000 0.003346 0.003346
71.000000 0.002943 0.002943
72.000000 0.001916 0.001916
73.000000 0.002664 0.002664
74.000000 0.002286 0.002286
75.000000 0.002042 0.002042
76.000000 0.001902 0.001902
77.000000 0.003176 0.003176
78.000000 0.003478 0.003478
79.000000 0.003232 0.003232
80.000000 0.002698 0.002698
81.000000 0.002859 0.002859
82.000000 0.002533 0.002533
83.000000 0.002225 0.002225
84.000000 0.003455 0.003455
85.000000 0.004231 0.004231
86.000000 0.001898 0.001898
87.000000 0.002835 0.002835
88.000000 0.002961 0.002961
89.000000 0.001824 0.001824
90.000000 0.003200 0.003200
91.000000 0.002651 0.002651
92.000000 0.001791 0.001791
93.000000 0.003013 0.003013
94.000000 0.002459 0.002459
95.000000 0.002005 0.002005
96.000000 0.004396 0.004396
97.000000 0.002328 0.002328
98.000000 0.002317 0.002317
99.000000 0.003875 0.003875
100.000000 0.002063 0.002063
101.000000 0.002558 0.002558
102.000000 0.002318 0.002318
103.000000 0.002350 0.002350
104.000000 0.002508 0.002508
105.000000 0.003303 0.003303
106.000000 0.001529 0.001529
107.000000 0.002021 0.002021
108.000000 0.004730 0.004730
109.000000 0.002130 0.002130
110.000000 0.002005 0.002005
111.000000 0.002057 0.002057
112.000000 0.001939 0.001939
113.000000 0.002400 0.002400
114.000000 0.002424 0.002424
115.000000 0.002627 0.002627
116.000000 0.002313 0.002313
117.000000 0.002382 0.002382
118.000000 0.001722 0.001722
119.000000 0.002093 0.002093
120.000000 0.002338 0.002338
121.000000 0.002641 0.002641
122.000000 0.002511 0.002511
123.000000 0.003078 0.003078
124.000000 0.002101 0.002101
125.000000 0.001793 0.001793
126.000000 0.003126 0.003126
127.000000 0.002801 0.002801
128.000000 0.001551 0.001551
129.000000 0.001599 0.001599
130.000000 0.002106 0.002106
131.000000 0.001988 0.001988
132.000000 0.007170 0.007170
133.000000 0.002085 0.002085
134.000000 0.001723 0.001723
135.000000 0.002116 0.002116
136.000000 0.002005 0.002005
137.000000 0.002172 0.002172
138.000000 0.004432 0.004432
139.000000 0.002071 0.002071
140.000000 0.002764 0.002764
141.000000 0.002988 0.002988
142.000000 0.002002 0.002002
143.000000 0.003672 0.003672
144.000000 0.001731 0.001731
145.000000 0.002399 0.002399
146.000000 0.002990 0.002990
147.000000 0.002411 0.002411
148.000000 0.002159 0.002159
149.000000 0.003046 0.003046
150.000000 0.001833 0.001833
151.000000 0.002344 0.002344
152.000000 0.002802 0.002802
153.000000 0.002537 0.002537
154.000000 0.002454 0.002454
155.000000 0.002148 0.002148
156.000000 0.002117 0.002117
157.000000 0.001968 0.001968
158.000000 0.004062 0.004062
159.000000 0.001791 0.001791
160.000000 0.001948 0.001948
161.000000 0.002939 0.002939
162.000000 0.001823 0.001823
163.000000 0.002429 0.002429
164.000000 0.002019 0.002019
165.000000 0.002109 0.002109
166.000000 0.001914 0.001914
167.000000 0.002934 0.002934
168.000000 0.001568 0.001568
169.000000 0.002826 0.002826
170.000000 0.003449 0.003449
171.000000 0.002422 0.002422
172.000000 0.002003 0.002003
173.000000 0.002761 0.002761
174.000000 0.002227 0.002227
175.000000 0.003220 0.003220
176.000000 0.002129 0.002129
177.000000 0.001690 0.001690
178.000000 0.002696 0.002696
179.000000 0.002386 0.002386
180.000000 0.002469 0.002469
181.000000 0.002351 0.002351
182.000000 0.002020 0.002020
183.000000 0.002198 0.002198
184.000000 0.002821 0.002821
185.000000 0.002906 0.002906
186.000000 0.002337 0.002337
187.000000 0.002479 0.002479
188.000000 0.002402 0.002402
189.000000 0.002023 0.002023
190.000000 0.004976 0.004976
191.000000 0.002628 0.002628
192.000000 0.003036 0.003036
193.000000 0.003540 0.003540
194.000000 0.002036 0.002036
195.000000 0.002267 0.002267
196.000000 0.005993 0.005993
197.000000 0.002950 0.002950
198.000000 0.002678 0.002678
199.000000 0.003484 0.003484
200.000000 0.002762 0.002762
201.000000 0.002583 0.002583
202.000000 0.002417 0.002417
203.000000 0.002124 0.002124
204.000000 0.001939 0.001939
205.000000 0.001897 0.001897
206.000000 0.001818 0.001818
207.000000 0.002521 0.002521
208.000000 0.002485 0.002485
209.000000 0.002437 0.002437
210.000000 0.002949 0.002949
211.000000 0.002706 0.002706
212.000000 0.002141 0.002141
213.000000 0.002362 0.002362
214.000000 0.003496 0.003496
215.000000 0.002398 0.002398
216.000000 0.002686 0.002686
217.000000 0.003544 0.003544
218.000000 0.001967 0.001967
219.000000 0.003116 0.003116
220.000000 0.002816 0.002816
221.000000 0.002309 0.002309
222.000000 0.002971 0.002971
223.000000 0.002788 0.002788
224.000000 0.001693 0.001693
225.000000 0.002660 0.002660
226.000000 0.002636 0.002636
227.000000 0.002427 0.002427
228.000000 0.002629 0.002629
229.000000 0.002445 0.002445
230.000000 0.003015 0.003015
231.000000 0.003553 0.003553
232.000000 0.002178 0.002178
233.000000 0.001774 0.001774
234.000000 0.004272 0.004272
235.000000 0.002029 0.002029
236.000000 0.002614 0.002614
237.000000 0.002156 0.002156
238.000000 0.002632 0.002632
239.000000 0.002758 0.002758
240.000000 0.002807 0.002807
241.000000 0.002042 0.002042
242.000000 0.002873 0.002873
243.000000 0.002685 0.002685
244.000000 0.001915 0.001915
245.000000 0.002498 0.002498
246.000000 0.002540 0.002540
247.000000 0.001905 0.001905
248.000000 0.001919 0.001919
249.000000 0.001889 0.001889
250.000000 0.001860 0.001860
251.000000 0.003225 0.003225
252.000000 0.001890 0.001890
253.000000 0.002931 0.002931
254.000000 0.002202 0.002202
255.000000 0.001838 0.001838
256.000000 0.002207 0.002207
257.000000 0.003508 0.003508
258.000000 0.002172 0.002172
259.000000 0.002813 0.002813
260.000000 0.002439 0.002439
261.000000 0.001517 0.001517
262.000000 0.002098 0.002098
263.000000 0.003343 0.003343
264.000000 0.002010 0.002010
265.000000 0.002139 0.002139
266.000000 0.002273 0.002273
267.000000 0.002068 0.002068
268.000000 0.001724 0.001724
269.000000 0.002198 0.002198
270.000000 0.001721 0.001721
271.000000 0.003504 0.003504
272.000000 0.001884 0.001884
273.000000 0.001976 0.001976
274.000000 0.003021 0.003021
275.000000 0.002447 0.002447
276.000000 0.001994 0.001994
