Time 1-10.0.0.3-10.0.0.2 Aggregate-Flow
0.000000 0.003018 0.003018
1.000000 0.003219 0.003219
2.000000 0.004071 0.004071
3.000000 0.003208 0.003208
4.000000 0.003604 0.003604
5.000000 0.003842 0.003842
6.000000 0.003466 0.003466
7.000000 0.004496 0.004496
8.000000 0.003886 0.003886
9.000000 0.003303 0.003303
10.000000 0.004224 0.004224
11.000000 0.003579 0.003579
12.000000 0.002802 0.002802
13.000000 0.003254 0.003254
14.000000 0.003320 0.003320
15.000000 0.003847 0.003847
16.000000 0.004630 0.004630
17.000000 0.002704 0.002704
18.000000 0.004108 0.004108
19.000000 0.003641 0.003641
20.000000 0.003508 0.003508
21.000000 0.003636 0.003636
22.000000 0.004698 0.004698
23.000000 0.003901 0.003901
24.000000 0.002979 0.002979
25.000000 0.004264 0.004264
26.000000 0.004045 0.004045
27.000000 0.003931 0.003931
28.000000 0.004283 0.004283
29.000000 0.003420 0.003420
30.000000 0.003532 0.003532
31.000000 0.003516 0.003516
32.000000 0.003948 0.003948
33.000000 0.004307 0.004307
34.000000 0.003559 0.003559
35.000000 0.003995 0.003995
36.000000 0.004391 0.004391
37.000000 0.002804 0.002804
38.000000 0.003401 0.003401
39.000000 0.004492 0.004492
40.000000 0.003119 0.003119
41.000000 0.002809 0.002809
42.000000 0.003625 0.003625
43.000000 0.003471 0.003471
44.000000 0.003634 0.003634
45.000000 0.005051 0.005051
46.000000 0.003640 0.003640
47.000000 0.003818 0.003818
48.000000 0.003719 0.003719
49.000000 0.003091 0.003091
50.000000 0.004019 0.004019
51.000000 0.003474 0.003474
52.000000 0.002739 0.002739
53.000000 0.003438 0.003438
54.000000 0.005136 0.005136
55.000000 0.004000 0.004000
56.000000 0.003454 0.003454
57.000000 0.004768 0.004768
58.000000 0.002602 0.002602
59.000000 0.003476 0.003476
60.000000 0.004264 0.004264
61.000000 0.003870 0.003870
62.000000 0.002759 0.002759
63.000000 0.003143 0.003143
64.000000 0.003158 0.003158
65.000000 0.003545 0.003545
66.000000 0.003566 0.003566
67.000000 0.003682 0.003682
68.000000 0.002596 0.002596
69.000000 0.003415 0.003415
70.000000 0.003457 0.003457
71.000000 0.003702 0.003702
72.000000 0.003864 0.003864
73.000000 0.002086 0.002086
74.000000 0.003405 0.003405
75.000000 0.003816 0.003816
76.000000 0.003422 0.003422
77.000000 0.003751 0.003751
78.000000 0.002918 0.002918
79.000000 0.003086 0.003086
80.000000 0.004133 0.004133
81.000000 0.003669 0.003669
82.000000 0.003639 0.003639
83.000000 0.004680 0.004680
84.000000 0.004020 0.004020
85.000000 0.002987 0.002987
86.000000 0.004570 0.004570
87.000000 0.003034 0.003034
88.000000 0.003901 0.003901
89.000000 0.003512 0.003512
90.000000 0.002238 0.002238
91.000000 0.002440 0.002440
92.000000 0.003973 0.003973
93.000000 0.002747 0.002747
94.000000 0.003418 0.003418
95.000000 0.003659 0.003659
96.000000 0.004594 0.004594
97.000000 0.002421 0.002421
98.000000 0.003534 0.003534
99.000000 0.003285 0.003285
100.000000 0.003964 0.003964
101.000000 0.003005 0.003005
102.000000 0.002957 0.002957
103.000000 0.003517 0.003517
104.000000 0.003279 0.003279
105.000000 0.003471 0.003471
106.000000 0.003562 0.003562
107.000000 0.003475 0.003475
108.000000 0.003576 0.003576
109.000000 0.004166 0.004166
110.000000 0.002753 0.002753
111.000000 0.002893 0.002893
112.000000 0.003502 0.003502
113.000000 0.003113 0.003113
114.000000 0.003528 0.003528
115.000000 0.003844 0.003844
116.000000 0.004145 0.004145
117.000000 0.003405 0.003405
118.000000 0.004426 0.004426
119.000000 0.003377 0.003377
120.000000 0.003607 0.003607
121.000000 0.003216 0.003216
122.000000 0.002646 0.002646
123.000000 0.003614 0.003614
124.000000 0.003759 0.003759
125.000000 0.003050 0.003050
126.000000 0.003254 0.003254
127.000000 0.003799 0.003799
128.000000 0.003037 0.003037
129.000000 0.004011 0.004011
130.000000 0.003689 0.003689
131.000000 0.003298 0.003298
132.000000 0.003725 0.003725
133.000000 0.004379 0.004379
134.000000 0.003021 0.003021
135.000000 0.004263 0.004263
136.000000 0.003499 0.003499
137.000000 0.002610 0.002610
138.000000 0.003181 0.003181
139.000000 0.005303 0.005303
140.000000 0.003582 0.003582
141.000000 0.003776 0.003776
142.000000 0.003625 0.003625
143.000000 0.003554 0.003554
144.000000 0.003775 0.003775
145.000000 0.003895 0.003895
146.000000 0.002877 0.002877
147.000000 0.003839 0.003839
148.000000 0.003749 0.003749
149.000000 0.002793 0.002793
150.000000 0.003634 0.003634
151.000000 0.003424 0.003424
152.000000 0.002437 0.002437
153.000000 0.003575 0.003575
154.000000 0.004085 0.004085
155.000000 0.004741 0.004741
156.000000 0.003685 0.003685
157.000000 0.003960 0.003960
158.000000 0.002893 0.002893
159.000000 0.003033 0.003033
160.000000 0.002923 0.002923
161.000000 0.004289 0.004289
162.000000 0.003714 0.003714
163.000000 0.003343 0.003343
164.000000 0.004647 0.004647
165.000000 0.003146 0.003146
166.000000 0.003169 0.003169
167.000000 0.003693 0.003693
168.000000 0.003703 0.003703
169.000000 0.003307 0.003307
170.000000 0.004226 0.004226
171.000000 0.002733 0.002733
172.000000 0.003043 0.003043
173.000000 0.003996 0.003996
174.000000 0.003540 0.003540
175.000000 0.003330 0.003330
176.000000 0.003837 0.003837
177.000000 0.002433 0.002433
178.000000 0.003876 0.003876
179.000000 0.003986 0.003986
180.000000 0.003673 0.003673
181.000000 0.003460 0.003460
182.000000 0.002851 0.002851
183.000000 0.002720 0.002720
184.000000 0.004890 0.004890
185.000000 0.004066 0.004066
186.000000 0.002942 0.002942
187.000000 0.003774 0.003774
188.000000 0.003123 0.003123
189.000000 0.003312 0.003312
190.000000 0.003395 0.003395
191.000000 0.003334 0.003334
192.000000 0.003543 0.003543
193.000000 0.003057 0.003057
194.000000 0.003278 0.003278
195.000000 0.003588 0.003588
196.000000 0.003679 0.003679
197.000000 0.003039 0.003039
198.000000 0.002854 0.002854
199.000000 0.005670 0.005670
200.000000 0.004264 0.004264
201.000000 0.002925 0.002925
202.000000 0.004838 0.004838
203.000000 0.003165 0.003165
204.000000 0.003457 0.003457
205.000000 0.004384 0.004384
206.000000 0.003288 0.003288
207.000000 0.004355 0.004355
208.000000 0.004034 0.004034
209.000000 0.004060 0.004060
210.000000 0.003188 0.003188
211.000000 0.003823 0.003823
212.000000 0.003777 0.003777
213.000000 0.004099 0.004099
214.000000 0.003067 0.003067
215.000000 0.003413 0.003413
216.000000 0.004792 0.004792
217.000000 0.004126 0.004126
218.000000 0.003563 0.003563
219.000000 0.003624 0.003624
220.000000 0.003746 0.003746
221.000000 0.003212 0.003212
222.000000 0.003720 0.003720
223.000000 0.003866 0.003866
224.000000 0.003110 0.003110
225.000000 0.003406 0.003406
226.000000 0.003032 0.003032
227.000000 0.003960 0.003960
228.000000 0.003999 0.003999
229.000000 0.002380 0.002380
230.000000 0.002623 0.002623
231.000000 0.003824 0.003824
232.000000 0.002904 0.002904
233.000000 0.003270 0.003270
234.000000 0.004109 0.004109
235.000000 0.003575 0.003575
236.000000 0.003693 0.003693
237.000000 0.004167 0.004167
238.000000 0.003795 0.003795
239.000000 0.004855 0.004855
240.000000 0.002997 0.002997
241.000000 0.003042 0.003042
242.000000 0.003581 0.003581
243.000000 0.004368 0.004368
244.000000 0.002732 0.002732
245.000000 0.004349 0.004349
246.000000 0.003360 0.003360
247.000000 0.002440 0.002440
248.000000 0.003660 0.003660
249.000000 0.002693 0.002693
