Time 1-10.0.0.4-10.0.0.2 3-10.0.0.4-10.0.0.2 2-10.0.0.4-10.0.0.2 Aggregate-Flow
0.000000 0.006560 0.015932 0.006532 0.029024
1.000000 0.003310 0.003133 0.004539 0.010982
2.000000 0.004897 0.004771 0.005904 0.015572
3.000000 0.012758 0.057990 0.046918 0.117666
4.000000 0.012818 0.620538 0.328608 0.961964
5.000000 0.058073 0.646896 0.093291 0.798260
6.000000 0.022705 0.859594 0.319475 1.201774
7.000000 0.238128 0.685104 0.338752 1.261984
8.000000 0.098680 0.097186 0.091814 0.287680
9.000000 0.004636 0.006031 0.006145 0.016812
10.000000 0.010411 0.008372 0.009406 0.028189
11.000000 0.014787 0.009934 0.009624 0.034345
12.000000 0.004958 0.004489 0.005652 0.015099
13.000000 0.007435 0.006020 0.006192 0.019647
14.000000 0.012216 0.008723 0.007926 0.028865
15.000000 0.015211 0.011422 0.009479 0.036112
16.000000 0.011433 0.008427 0.008058 0.027918
17.000000 0.004355 0.003738 0.004729 0.012822
18.000000 0.015448 0.009182 0.013249 0.037879
19.000000 0.011883 0.009067 0.011175 0.032125
20.000000 0.023280 0.011988 0.010217 0.045485
21.000000 0.006304 0.003650 0.005708 0.015662
22.000000 0.003050 0.002562 0.004404 0.010016
23.000000 0.003514 0.002665 0.004039 0.010218
24.000000 0.005308 0.003854 0.004595 0.013757
25.000000 0.012790 0.008010 0.007602 0.028402
26.000000 0.010466 0.009924 0.008654 0.029044
27.000000 0.019007 0.007532 0.007287 0.033826
28.000000 0.004898 0.004541 0.004969 0.014408
29.000000 0.003617 0.003197 0.004074 0.010888
30.000000 0.007136 0.006569 0.006399 0.020104
31.000000 0.075132 0.079219 0.104789 0.259140
32.000000 0.007206 0.006379 0.007198 0.020783
33.000000 0.005462 0.005190 0.006078 0.016730
34.000000 0.004002 0.003349 0.004257 0.011608
35.000000 0.012894 0.008087 0.008670 0.029651
36.000000 0.008887 0.006146 0.006435 0.021468
37.000000 0.008659 0.008646 0.009493 0.026798
38.000000 0.011966 0.009238 0.011278 0.032482
39.000000 0.004057 0.003262 0.004402 0.011721
40.000000 0.011344 0.008005 0.007576 0.026925
41.000000 0.011805 0.008792 0.008823 0.029420
42.000000 0.005654 0.004508 0.005624 0.015786
43.000000 0.012246 0.008880 0.008087 0.029213
44.000000 0.011295 0.009493 0.008531 0.029319
45.000000 0.020831 0.072891 0.014026 0.107748
46.000000 0.023805 0.018530 0.014357 0.056692
47.000000 0.010481 0.008763 0.008886 0.028130
48.000000 0.005235 0.003945 0.004253 0.013433
49.000000 0.006954 0.005922 0.007496 0.020372
50.000000 0.010668 0.007135 0.007480 0.025283
51.000000 0.014607 0.008900 0.009555 0.033062
