Time 1-10.0.0.4-10.0.0.2 3-10.0.0.4-10.0.0.2 2-10.0.0.4-10.0.0.2 Aggregate-Flow
0.000000 0.000621 0.003432 0.003028 0.007081
1.000000 0.000432 0.002253 0.003825 0.006510
2.000000 0.000968 0.003057 0.004774 0.008799
3.000000 0.001195 0.008975 0.007776 0.017946
4.000000 0.001148 0.016925 0.011653 0.029726
5.000000 0.001095 0.011787 0.007101 0.019983
6.000000 0.001052 0.020310 0.012095 0.033457
7.000000 0.001264 0.008879 0.007161 0.017304
8.000000 0.000909 0.006515 0.004880 0.012304
9.000000 0.000656 0.002611 0.003061 0.006328
10.000000 0.000838 0.004843 0.005549 0.011230
11.000000 0.001526 0.007408 0.005471 0.014405
12.000000 0.000602 0.002521 0.004529 0.007652
13.000000 0.000932 0.003719 0.005074 0.009725
14.000000 0.001156 0.006042 0.005949 0.013147
15.000000 0.001466 0.007753 0.006701 0.015920
16.000000 0.001180 0.005927 0.005373 0.012480
17.000000 0.000649 0.003319 0.003909 0.007877
18.000000 0.001607 0.006666 0.005627 0.013900
19.000000 0.001081 0.006799 0.005912 0.013792
20.000000 0.002307 0.006978 0.006422 0.015707
21.000000 0.000815 0.002821 0.005474 0.009110
22.000000 0.000503 0.001899 0.004262 0.006664
23.000000 0.000518 0.001778 0.003987 0.006283
24.000000 0.000687 0.002931 0.003807 0.007425
25.000000 0.001447 0.006764 0.005910 0.014121
26.000000 0.001102 0.007281 0.007236 0.015619
27.000000 0.000939 0.004041 0.004403 0.009383
28.000000 0.000514 0.002343 0.004215 0.007072
29.000000 0.000509 0.002188 0.004046 0.006743
30.000000 0.000772 0.003851 0.004644 0.009267
31.000000 0.001139 0.008613 0.008195 0.017947
32.000000 0.000558 0.002896 0.004147 0.007601
33.000000 0.000595 0.002758 0.003593 0.006946
34.000000 0.000473 0.002105 0.003397 0.005975
35.000000 0.001291 0.004824 0.004916 0.011031
36.000000 0.000927 0.004294 0.004743 0.009964
37.000000 0.000840 0.004227 0.004644 0.009711
38.000000 0.001129 0.004815 0.004669 0.010613
39.000000 0.000455 0.002518 0.003205 0.006178
40.000000 0.001342 0.006073 0.005658 0.013073
41.000000 0.001112 0.006043 0.005781 0.012936
42.000000 0.000924 0.003557 0.004939 0.009420
43.000000 0.001176 0.006136 0.004915 0.012227
44.000000 0.001187 0.008513 0.005606 0.015306
45.000000 0.000962 0.008744 0.005464 0.015170
46.000000 0.001315 0.006092 0.005880 0.013287
47.000000 0.000925 0.005215 0.005335 0.011475
48.000000 0.000655 0.003308 0.004001 0.007964
49.000000 0.000720 0.003678 0.004434 0.008832
50.000000 0.001157 0.004882 0.005424 0.011463
51.000000 0.001427 0.006261 0.005784 0.013472
52.000000 0.000741 0.002964 0.004491 0.008196
53.000000 0.001318 0.004850 0.005836 0.012004
54.000000 0.001119 0.006129 0.005471 0.012719
55.000000 0.001713 0.006603 0.005549 0.013865
56.000000 0.001202 0.006154 0.005886 0.013242
57.000000 0.001389 0.005959 0.006143 0.013491
58.000000 0.000819 0.005607 0.004716 0.011142
59.000000 0.000666 0.003316 0.004985 0.008967
60.000000 0.001670 0.005380 0.005326 0.012376
61.000000 0.001464 0.006530 0.006192 0.014186
62.000000 0.001118 0.002861 0.004648 0.008627
63.000000 0.001379 0.006101 0.006732 0.014212
64.000000 0.001359 0.007356 0.008054 0.016769
65.000000 0.001143 0.007423 0.006597 0.015163
66.000000 0.001223 0.006557 0.006109 0.013889
67.000000 0.001090 0.005439 0.005446 0.011975
68.000000 0.000607 0.002782 0.004400 0.007789
