Time 1-10.0.0.3-10.0.0.2 Aggregate-Flow
0.000000 0.000254 0.000254
1.000000 0.000187 0.000187
2.000000 0.000274 0.000274
3.000000 0.000175 0.000175
4.000000 0.010250 0.010250
5.000000 0.000136 0.000136
6.000000 0.012062 0.012062
7.000000 0.012653 0.012653
8.000000 0.000217 0.000217
9.000000 0.000167 0.000167
10.000000 0.005077 0.005077
11.000000 0.000150 0.000150
12.000000 0.001761 0.001761
13.000000 0.015850 0.015850
14.000000 0.016339 0.016339
15.000000 0.003623 0.003623
16.000000 0.002204 0.002204
17.000000 0.000155 0.000155
18.000000 0.000181 0.000181
19.000000 0.007380 0.007380
20.000000 0.008647 0.008647
21.000000 0.010466 0.010466
22.000000 0.005487 0.005487
23.000000 0.009746 0.009746
24.000000 0.000141 0.000141
25.000000 0.000201 0.000201
26.000000 0.018080 0.018080
27.000000 0.001542 0.001542
28.000000 0.000211 0.000211
29.000000 0.000184 0.000184
30.000000 0.008441 0.008441
31.000000 0.000185 0.000185
32.000000 0.000204 0.000204
33.000000 0.008623 0.008623
34.000000 0.000180 0.000180
35.000000 0.000253 0.000253
36.000000 0.005258 0.005258
37.000000 0.013010 0.013010
38.000000 0.008868 0.008868
39.000000 0.000546 0.000546
40.000000 0.006573 0.006573
41.000000 0.000178 0.000178
42.000000 0.000067 0.000067
43.000000 0.001252 0.001252
44.000000 0.002439 0.002439
45.000000 0.000052 0.000052
46.000000 0.000051 0.000051
47.000000 0.000031 0.000031
48.000000 0.001150 0.001150
49.000000 0.153806 0.153806
50.000000 0.300247 0.300247
51.000000 0.012843 0.012843
52.000000 0.014439 0.014439
53.000000 0.000056 0.000056
54.000000 0.000041 0.000041
55.000000 0.000029 0.000029
56.000000 0.004060 0.004060
57.000000 0.024309 0.024309
58.000000 0.008771 0.008771
59.000000 0.005925 0.005925
60.000000 0.004624 0.004624
61.000000 0.005492 0.005492
62.000000 0.002960 0.002960
63.000000 0.080710 0.080710
64.000000 0.251718 0.251718
65.000000 0.000022 0.000022
66.000000 0.113612 0.113612
67.000000 0.154592 0.154592
68.000000 0.000018 0.000018
69.000000 0.000046 0.000046
70.000000 0.000260 0.000260
71.000000 0.000169 0.000169
72.000000 0.000200 0.000200
73.000000 0.000130 0.000130
74.000000 0.000210 0.000210
75.000000 0.000185 0.000185
76.000000 0.006823 0.006823
77.000000 0.001704 0.001704
78.000000 0.003038 0.003038
79.000000 0.000219 0.000219
80.000000 0.000188 0.000188
81.000000 0.000182 0.000182
82.000000 0.017012 0.017012
83.000000 0.006802 0.006802
84.000000 0.016426 0.016426
85.000000 0.001169 0.001169
86.000000 0.000182 0.000182
87.000000 0.002197 0.002197
88.000000 0.025188 0.025188
89.000000 0.009900 0.009900
90.000000 0.000175 0.000175
91.000000 0.000250 0.000250
92.000000 0.004185 0.004185
93.000000 0.016740 0.016740
94.000000 0.004232 0.004232
95.000000 0.007839 0.007839
96.000000 0.015797 0.015797
97.000000 0.020739 0.020739
98.000000 0.006421 0.006421
99.000000 0.000164 0.000164
100.000000 0.009344 0.009344
101.000000 0.020515 0.020515
102.000000 0.000917 0.000917
103.000000 0.000165 0.000165
104.000000 0.000200 0.000200
105.000000 0.013071 0.013071
106.000000 0.019311 0.019311
107.000000 0.022609 0.022609
108.000000 0.017029 0.017029
109.000000 0.013294 0.013294
110.000000 0.015888 0.015888
111.000000 0.000159 0.000159
112.000000 0.000177 0.000177
113.000000 0.000285 0.000285
114.000000 0.000179 0.000179
115.000000 0.000202 0.000202
116.000000 0.000228 0.000228
117.000000 0.000173 0.000173
118.000000 0.000182 0.000182
119.000000 0.000160 0.000160
120.000000 0.003924 0.003924
121.000000 0.012115 0.012115
122.000000 0.009918 0.009918
123.000000 0.000172 0.000172
124.000000 0.000190 0.000190
125.000000 0.012047 0.012047
126.000000 0.000124 0.000124
127.000000 0.000221 0.000221
128.000000 0.000221 0.000221
129.000000 0.000207 0.000207
130.000000 0.008265 0.008265
131.000000 0.003070 0.003070
132.000000 0.008521 0.008521
133.000000 0.000813 0.000813
134.000000 0.000061 0.000061
135.000000 0.000052 0.000052
136.000000 0.000046 0.000046
137.000000 0.005592 0.005592
138.000000 0.002479 0.002479
139.000000 0.000059 0.000059
140.000000 0.000037 0.000037
141.000000 0.000040 0.000040
142.000000 0.002311 0.002311
143.000000 0.005279 0.005279
144.000000 0.000031 0.000031
145.000000 0.000022 0.000022
146.000000 0.000017 0.000017
147.000000 0.004118 0.004118
148.000000 0.003321 0.003321
149.000000 0.000017 0.000017
150.000000 0.000017 0.000017
151.000000 0.000017 0.000017
152.000000 0.001847 0.001847
153.000000 0.002207 0.002207
154.000000 0.000029 0.000029
155.000000 0.000192 0.000192
156.000000 0.000198 0.000198
157.000000 0.000168 0.000168
158.000000 0.000177 0.000177
159.000000 0.000400 0.000400
160.000000 0.014229 0.014229
161.000000 0.000212 0.000212
162.000000 0.000173 0.000173
163.000000 0.000187 0.000187
164.000000 0.000181 0.000181
165.000000 0.006841 0.006841
166.000000 0.000206 0.000206
167.000000 0.000219 0.000219
168.000000 0.006480 0.006480
169.000000 0.003713 0.003713
170.000000 0.000206 0.000206
171.000000 0.000179 0.000179
172.000000 0.000234 0.000234
173.000000 0.000173 0.000173
174.000000 0.000158 0.000158
175.000000 0.000084 0.000084
176.000000 0.000162 0.000162
177.000000 0.000711 0.000711
178.000000 0.000197 0.000197
179.000000 0.000186 0.000186
180.000000 0.000154 0.000154
181.000000 0.000167 0.000167
182.000000 0.000146 0.000146
183.000000 0.000207 0.000207
184.000000 0.000208 0.000208
185.000000 0.000150 0.000150
186.000000 0.000112 0.000112
187.000000 0.000122 0.000122
188.000000 0.000148 0.000148
189.000000 0.000178 0.000178
190.000000 0.000200 0.000200
191.000000 0.000176 0.000176
192.000000 0.000170 0.000170
193.000000 0.000145 0.000145
194.000000 0.000150 0.000150
195.000000 0.000189 0.000189
196.000000 0.000200 0.000200
197.000000 0.000182 0.000182
198.000000 0.000162 0.000162
199.000000 0.000166 0.000166
200.000000 0.000235 0.000235
201.000000 0.000169 0.000169
202.000000 0.000163 0.000163
203.000000 0.000236 0.000236
204.000000 0.000187 0.000187
205.000000 0.000324 0.000324
206.000000 0.000157 0.000157
207.000000 0.000170 0.000170
208.000000 0.000162 0.000162
209.000000 0.000180 0.000180
210.000000 0.000195 0.000195
211.000000 0.000183 0.000183
212.000000 0.002017 0.002017
213.000000 0.000179 0.000179
214.000000 0.000142 0.000142
215.000000 0.000181 0.000181
216.000000 0.000160 0.000160
217.000000 0.000170 0.000170
218.000000 0.000183 0.000183
219.000000 0.000143 0.000143
220.000000 0.000166 0.000166
221.000000 0.000236 0.000236
222.000000 0.000176 0.000176
223.000000 0.000177 0.000177
224.000000 0.000189 0.000189
225.000000 0.000735 0.000735
226.000000 0.005128 0.005128
227.000000 0.005733 0.005733
228.000000 0.004286 0.004286
229.000000 0.000067 0.000067
230.000000 0.006139 0.006139
231.000000 0.004369 0.004369
232.000000 0.000021 0.000021
233.000000 0.000017 0.000017
234.000000 0.000956 0.000956
235.000000 0.004511 0.004511
236.000000 0.004113 0.004113
237.000000 0.004635 0.004635
238.000000 0.004118 0.004118
239.000000 0.000878 0.000878
240.000000 0.005041 0.005041
241.000000 0.003387 0.003387
242.000000 0.012958 0.012958
243.000000 0.071930 0.071930
244.000000 0.211612 0.211612
245.000000 0.045317 0.045317
246.000000 0.048165 0.048165
247.000000 0.000018 0.000018
248.000000 0.000017 0.000017
249.000000 0.000909 0.000909
250.000000 0.005015 0.005015
251.000000 0.009659 0.009659
252.000000 0.005711 0.005711
253.000000 0.140326 0.140326
254.000000 0.005945 0.005945
255.000000 0.005439 0.005439
256.000000 0.005688 0.005688
257.000000 0.002193 0.002193
258.000000 0.000120 0.000120
259.000000 0.000267 0.000267
260.000000 0.000209 0.000209
261.000000 0.000196 0.000196
262.000000 0.000175 0.000175
263.000000 0.000239 0.000239
264.000000 0.000173 0.000173
265.000000 0.000177 0.000177
266.000000 0.000157 0.000157
267.000000 0.000172 0.000172
268.000000 0.000193 0.000193
269.000000 0.000153 0.000153
270.000000 0.000197 0.000197
271.000000 0.000217 0.000217
272.000000 0.000228 0.000228
273.000000 0.003642 0.003642
274.000000 0.010170 0.010170
275.000000 0.000176 0.000176
276.000000 0.000754 0.000754
277.000000 0.000208 0.000208
278.000000 0.000250 0.000250
279.000000 0.000140 0.000140
280.000000 0.000195 0.000195
281.000000 0.000137 0.000137
282.000000 0.000223 0.000223
283.000000 0.000195 0.000195
284.000000 0.000113 0.000113
285.000000 0.000169 0.000169
286.000000 0.000168 0.000168
287.000000 0.000105 0.000105
288.000000 0.000167 0.000167
289.000000 0.000142 0.000142
290.000000 0.000188 0.000188
291.000000 0.000156 0.000156
292.000000 0.000189 0.000189
293.000000 0.000164 0.000164
294.000000 0.000170 0.000170
295.000000 0.000177 0.000177
296.000000 0.000242 0.000242
297.000000 0.000178 0.000178
298.000000 0.000147 0.000147
299.000000 0.000362 0.000362
300.000000 0.000169 0.000169
301.000000 0.000154 0.000154
302.000000 0.000132 0.000132
303.000000 0.009856 0.009856
304.000000 0.001461 0.001461
305.000000 0.000265 0.000265
306.000000 0.000175 0.000175
307.000000 0.000201 0.000201
308.000000 0.000168 0.000168
