Interval	Avg	Std	CI=0.95	Min	Median	Max
    0 --     1	0.000	0.000	0.000	0.000	0.000	0.000
    1 --     2	1.233	0.646	0.803	0.000	1.417	1.917
    2 --     3	1.983	0.033	0.041	1.917	2.000	2.000
    3 --     4	2.375	0.750	0.931	2.000	2.000	3.875
    4 --     5	3.742	0.457	0.567	2.833	4.000	4.000
    5 --     6	4.742	0.913	1.134	4.000	4.000	6.000
    6 --     7	5.600	0.800	0.993	4.000	6.000	6.000
    7 --     8	7.308	0.825	1.024	6.000	7.875	8.000
    8 --     9	8.742	0.913	1.134	8.000	8.000	10.000
    9 --    10	9.142	0.938	1.165	8.000	9.708	10.000
   10 --    11	10.742	1.033	1.283	9.708	10.000	12.000
   11 --    12	11.200	0.980	1.217	10.000	12.000	12.000
   12 --    13	12.320	0.781	0.970	11.755	12.000	13.871
   13 --    14	11.942	1.070	1.329	10.388	11.850	13.746
   14 --    15	11.388	1.580	1.962	9.708	10.860	14.261
   15 --    16	11.121	1.585	1.968	9.615	10.637	14.187
   16 --    17	11.062	2.081	2.584	8.889	10.381	15.036
   17 --    18	11.069	2.076	2.578	8.889	10.637	14.960
   18 --    19	10.814	2.145	2.663	8.889	9.835	14.876
   19 --    20	10.866	2.099	2.606	8.889	9.771	14.637
   20 --    21	11.290	1.816	2.255	9.404	10.435	14.637
   21 --    22	11.341	1.238	1.537	10.333	10.435	13.465
   22 --    23	11.342	1.157	1.437	10.335	10.716	13.396
   23 --    24	11.235	1.151	1.430	10.103	10.636	13.254
   24 --    25	11.118	0.803	0.997	10.085	10.847	12.335
   25 --    26	10.921	1.191	1.478	9.359	10.847	12.335
   26 --    27	11.483	1.618	2.009	9.838	10.847	14.335
   27 --    28	11.643	1.764	2.190	9.963	10.505	14.335
   28 --    29	11.714	1.715	2.129	9.883	10.759	14.335
   29 --    30	11.867	1.574	1.954	10.162	11.016	14.335
   30 --    31	11.803	1.959	2.433	9.424	10.937	15.065
   31 --    32	12.169	1.865	2.315	9.396	12.442	15.054
   32 --    33	12.477	2.010	2.496	10.222	12.175	16.101
   33 --    34	12.190	1.912	2.374	10.222	11.246	15.647
   34 --    35	12.072	1.954	2.426	10.222	10.967	15.600
   35 --    36	12.472	1.669	2.072	10.222	12.604	15.285
   36 --    37	12.340	1.688	2.096	10.222	12.530	15.225
   37 --    38	12.436	1.516	1.883	10.320	12.222	15.053
   38 --    39	12.118	1.634	2.029	10.242	12.092	15.041
   39 --    40	11.976	1.762	2.187	9.620	12.083	14.964
   40 --    41	11.921	1.536	1.908	10.133	11.589	14.668
   41 --    42	11.756	1.603	1.990	10.133	10.992	14.661
   42 --    43	12.058	1.653	2.052	10.769	11.117	15.220
   43 --    44	12.106	1.784	2.215	10.648	11.008	15.220
   44 --    45	12.025	1.862	2.312	10.185	11.092	15.220
   45 --    46	11.868	2.289	2.843	9.159	11.550	15.637
   46 --    47	12.125	2.697	3.348	8.441	12.962	16.179
   47 --    48	12.557	2.902	3.603	8.360	13.092	16.179
   48 --    49	13.227	3.522	4.373	7.915	15.092	16.834
   49 --    50	13.243	3.441	4.272	7.479	15.092	16.695
   50 --    51	13.070	3.324	4.127	7.477	15.039	16.594
   51 --    52	12.331	3.229	4.009	7.170	14.165	15.804
   52 --    53	11.841	2.944	3.656	7.148	12.747	15.485
   53 --    54	11.722	2.972	3.691	6.952	12.442	15.444
   54 --    55	11.631	2.947	3.660	6.884	12.346	15.411
   55 --    56	11.425	2.832	3.517	6.849	11.665	14.858
   56 --    57	11.736	2.777	3.448	6.722	12.015	14.793
   57 --    58	11.821	2.831	3.515	6.722	12.015	15.049
   58 --    59	11.848	2.855	3.545	6.722	11.932	14.984
   59 --    60	11.665	2.796	3.472	6.722	11.611	14.686
