Time 1-10.0.0.4-10.0.0.2 Aggregate-Flow
0.000000 0.000964 0.000964
1.000000 0.000448 0.000448
2.000000 0.000505 0.000505
3.000000 0.000548 0.000548
4.000000 0.001001 0.001001
5.000000 0.001334 0.001334
6.000000 0.001111 0.001111
7.000000 0.000995 0.000995
8.000000 0.001324 0.001324
9.000000 0.001196 0.001196
10.000000 0.000657 0.000657
11.000000 0.001069 0.001069
12.000000 0.000796 0.000796
13.000000 0.001122 0.001122
14.000000 0.001233 0.001233
15.000000 0.000992 0.000992
16.000000 0.000675 0.000675
17.000000 0.000649 0.000649
18.000000 0.000832 0.000832
19.000000 0.000944 0.000944
20.000000 0.001188 0.001188
21.000000 0.000896 0.000896
22.000000 0.000149 0.000149
23.000000 0.000438 0.000438
24.000000 0.000975 0.000975
25.000000 0.000917 0.000917
26.000000 0.000663 0.000663
27.000000 0.000265 0.000265
28.000000 0.000465 0.000465
29.000000 0.001497 0.001497
30.000000 0.000958 0.000958
31.000000 0.000282 0.000282
32.000000 0.000250 0.000250
33.000000 0.000374 0.000374
34.000000 0.000234 0.000234
35.000000 0.000682 0.000682
36.000000 0.000553 0.000553
37.000000 0.000181 0.000181
38.000000 0.000421 0.000421
39.000000 0.000437 0.000437
40.000000 0.000974 0.000974
41.000000 0.001023 0.001023
42.000000 0.000411 0.000411
43.000000 0.000510 0.000510
44.000000 0.000424 0.000424
45.000000 0.000406 0.000406
46.000000 0.000690 0.000690
47.000000 0.000605 0.000605
48.000000 0.000335 0.000335
49.000000 0.000435 0.000435
50.000000 0.000310 0.000310
51.000000 0.000693 0.000693
52.000000 0.000686 0.000686
53.000000 0.001136 0.001136
54.000000 0.000711 0.000711
55.000000 0.000258 0.000258
56.000000 0.000439 0.000439
57.000000 0.000240 0.000240
58.000000 0.000346 0.000346
59.000000 0.000334 0.000334
60.000000 0.000231 0.000231
61.000000 0.000263 0.000263
62.000000 0.000338 0.000338
63.000000 0.000620 0.000620
64.000000 0.000598 0.000598
65.000000 0.000785 0.000785
66.000000 0.000612 0.000612
67.000000 0.000497 0.000497
68.000000 0.001105 0.001105
69.000000 0.000400 0.000400
70.000000 0.000439 0.000439
71.000000 0.001051 0.001051
72.000000 0.000649 0.000649
73.000000 0.000776 0.000776
74.000000 0.000881 0.000881
75.000000 0.000248 0.000248
76.000000 0.000753 0.000753
77.000000 0.000687 0.000687
78.000000 0.001125 0.001125
79.000000 0.000501 0.000501
80.000000 0.000326 0.000326
81.000000 0.000378 0.000378
82.000000 0.000176 0.000176
83.000000 0.000337 0.000337
84.000000 0.000634 0.000634
85.000000 0.000743 0.000743
86.000000 0.000411 0.000411
87.000000 0.000420 0.000420
88.000000 0.000254 0.000254
89.000000 0.000502 0.000502
90.000000 0.000834 0.000834
91.000000 0.001067 0.001067
92.000000 0.000541 0.000541
93.000000 0.001009 0.001009
94.000000 0.000926 0.000926
95.000000 0.000632 0.000632
96.000000 0.000503 0.000503
97.000000 0.000853 0.000853
98.000000 0.001744 0.001744
99.000000 0.000414 0.000414
100.000000 0.000925 0.000925
101.000000 0.000440 0.000440
102.000000 0.000077 0.000077
103.000000 0.000374 0.000374
104.000000 0.001046 0.001046
105.000000 0.001187 0.001187
106.000000 0.000849 0.000849
107.000000 0.000914 0.000914
108.000000 0.000427 0.000427
109.000000 0.000115 0.000115
110.000000 0.000369 0.000369
111.000000 0.000332 0.000332
112.000000 0.001150 0.001150
113.000000 0.000862 0.000862
114.000000 0.000627 0.000627
115.000000 0.000852 0.000852
116.000000 0.000793 0.000793
117.000000 0.000108 0.000108
118.000000 0.000262 0.000262
119.000000 0.000221 0.000221
120.000000 0.000275 0.000275
121.000000 0.001032 0.001032
122.000000 0.000926 0.000926
123.000000 0.000081 0.000081
124.000000 0.001116 0.001116
125.000000 0.000861 0.000861
126.000000 0.000288 0.000288
127.000000 0.000191 0.000191
128.000000 0.000123 0.000123
129.000000 0.000149 0.000149
130.000000 0.000188 0.000188
131.000000 0.001189 0.001189
132.000000 0.001026 0.001026
133.000000 0.001211 0.001211
134.000000 0.000608 0.000608
135.000000 0.000597 0.000597
136.000000 0.000350 0.000350
137.000000 0.000347 0.000347
138.000000 0.000230 0.000230
139.000000 0.001189 0.001189
140.000000 0.000930 0.000930
141.000000 0.000706 0.000706
142.000000 0.000123 0.000123
143.000000 0.000467 0.000467
144.000000 0.000184 0.000184
145.000000 0.000286 0.000286
146.000000 0.000828 0.000828
147.000000 0.000244 0.000244
148.000000 0.000956 0.000956
149.000000 0.000333 0.000333
150.000000 0.000519 0.000519
151.000000 0.000820 0.000820
152.000000 0.000484 0.000484
153.000000 0.000308 0.000308
154.000000 0.000931 0.000931
155.000000 0.000169 0.000169
156.000000 0.001089 0.001089
157.000000 0.000487 0.000487
158.000000 0.000184 0.000184
159.000000 0.000810 0.000810
160.000000 0.000253 0.000253
161.000000 0.000302 0.000302
162.000000 0.000361 0.000361
163.000000 0.000425 0.000425
164.000000 0.000337 0.000337
165.000000 0.000074 0.000074
166.000000 0.001304 0.001304
167.000000 0.000606 0.000606
168.000000 0.000710 0.000710
169.000000 0.000372 0.000372
170.000000 0.000272 0.000272
171.000000 0.000704 0.000704
172.000000 0.000806 0.000806
173.000000 0.000820 0.000820
174.000000 0.000725 0.000725
175.000000 0.000188 0.000188
176.000000 0.000156 0.000156
177.000000 0.000091 0.000091
178.000000 0.000070 0.000070
179.000000 0.000175 0.000175
180.000000 0.000353 0.000353
181.000000 0.001018 0.001018
182.000000 0.000874 0.000874
183.000000 0.000866 0.000866
184.000000 0.000373 0.000373
185.000000 0.000129 0.000129
186.000000 0.000060 0.000060
187.000000 0.000287 0.000287
188.000000 0.000828 0.000828
189.000000 0.000673 0.000673
190.000000 0.000164 0.000164
191.000000 0.000174 0.000174
192.000000 0.000141 0.000141
193.000000 0.000818 0.000818
194.000000 0.000566 0.000566
195.000000 0.000264 0.000264
196.000000 0.000682 0.000682
197.000000 0.000455 0.000455
198.000000 0.001683 0.001683
199.000000 0.000840 0.000840
200.000000 0.000204 0.000204
201.000000 0.000937 0.000937
202.000000 0.000858 0.000858
203.000000 0.000930 0.000930
204.000000 0.000704 0.000704
205.000000 0.000118 0.000118
206.000000 0.000281 0.000281
207.000000 0.000388 0.000388
208.000000 0.000431 0.000431
209.000000 0.000468 0.000468
210.000000 0.000690 0.000690
211.000000 0.000282 0.000282
212.000000 0.000286 0.000286
213.000000 0.000367 0.000367
214.000000 0.000239 0.000239
215.000000 0.000185 0.000185
216.000000 0.000582 0.000582
217.000000 0.000538 0.000538
218.000000 0.000120 0.000120
219.000000 0.000956 0.000956
220.000000 0.000300 0.000300
221.000000 0.000396 0.000396
222.000000 0.000395 0.000395
223.000000 0.000373 0.000373
224.000000 0.000670 0.000670
225.000000 0.000636 0.000636
226.000000 0.000955 0.000955
227.000000 0.000814 0.000814
228.000000 0.000616 0.000616
229.000000 0.000528 0.000528
230.000000 0.000919 0.000919
231.000000 0.000928 0.000928
232.000000 0.000186 0.000186
233.000000 0.000546 0.000546
234.000000 0.000916 0.000916
235.000000 0.001001 0.001001
236.000000 0.001237 0.001237
237.000000 0.000147 0.000147
238.000000 0.000261 0.000261
239.000000 0.001327 0.001327
240.000000 0.000266 0.000266
241.000000 0.000314 0.000314
242.000000 0.000366 0.000366
243.000000 0.000596 0.000596
244.000000 0.000498 0.000498
245.000000 0.000288 0.000288
246.000000 0.000366 0.000366
247.000000 0.000538 0.000538
248.000000 0.001044 0.001044
249.000000 0.000040 0.000040
250.000000 0.000070 0.000070
251.000000 0.000849 0.000849
252.000000 0.000558 0.000558
253.000000 0.000498 0.000498
254.000000 0.000289 0.000289
255.000000 0.000721 0.000721
256.000000 0.000466 0.000466
257.000000 0.000221 0.000221
258.000000 0.000184 0.000184
259.000000 0.001007 0.001007
260.000000 0.000824 0.000824
261.000000 0.000602 0.000602
262.000000 0.000215 0.000215
263.000000 0.000464 0.000464
264.000000 0.000918 0.000918
265.000000 0.001033 0.001033
266.000000 0.001197 0.001197
267.000000 0.000992 0.000992
268.000000 0.000183 0.000183
269.000000 0.000222 0.000222
270.000000 0.000182 0.000182
271.000000 0.000976 0.000976
272.000000 0.000490 0.000490
273.000000 0.000243 0.000243
274.000000 0.000381 0.000381
275.000000 0.000156 0.000156
276.000000 0.000329 0.000329
277.000000 0.000668 0.000668
278.000000 0.000730 0.000730
279.000000 0.000474 0.000474
280.000000 0.000138 0.000138
281.000000 0.000633 0.000633
282.000000 0.000549 0.000549
283.000000 0.000745 0.000745
284.000000 0.000247 0.000247
285.000000 0.000126 0.000126
286.000000 0.000278 0.000278
287.000000 0.000166 0.000166
288.000000 0.000366 0.000366
289.000000 0.000451 0.000451
290.000000 0.001417 0.001417
291.000000 0.000249 0.000249
292.000000 0.000142 0.000142
293.000000 0.000532 0.000532
294.000000 0.000337 0.000337
295.000000 0.000650 0.000650
296.000000 0.000680 0.000680
297.000000 0.000630 0.000630
298.000000 0.001130 0.001130
299.000000 0.000348 0.000348
300.000000 0.000150 0.000150
301.000000 0.000329 0.000329
302.000000 0.000114 0.000114
303.000000 0.000189 0.000189
304.000000 0.000804 0.000804
305.000000 0.000886 0.000886
306.000000 0.000249 0.000249
307.000000 0.000265 0.000265
308.000000 0.000155 0.000155
309.000000 0.000216 0.000216
310.000000 0.000419 0.000419
311.000000 0.000080 0.000080
312.000000 0.000153 0.000153
313.000000 0.000299 0.000299
314.000000 0.000626 0.000626
315.000000 0.000883 0.000883
316.000000 0.001333 0.001333
317.000000 0.000413 0.000413
318.000000 0.000441 0.000441
319.000000 0.000853 0.000853
320.000000 0.000699 0.000699
321.000000 0.000661 0.000661
322.000000 0.000081 0.000081
323.000000 0.000245 0.000245
324.000000 0.000885 0.000885
325.000000 0.000163 0.000163
326.000000 0.000220 0.000220
327.000000 0.000190 0.000190
328.000000 0.000189 0.000189
329.000000 0.000264 0.000264
330.000000 0.000178 0.000178
331.000000 0.000974 0.000974
332.000000 0.001140 0.001140
333.000000 0.000216 0.000216
334.000000 0.001350 0.001350
335.000000 0.000332 0.000332
336.000000 0.000254 0.000254
337.000000 0.000867 0.000867
338.000000 0.000222 0.000222
339.000000 0.000698 0.000698
340.000000 0.000942 0.000942
341.000000 0.000534 0.000534
342.000000 0.000601 0.000601
343.000000 0.000767 0.000767
344.000000 0.000061 0.000061
345.000000 0.000243 0.000243
346.000000 0.000976 0.000976
347.000000 0.000755 0.000755
348.000000 0.000986 0.000986
349.000000 0.000589 0.000589
350.000000 0.000735 0.000735
351.000000 0.000466 0.000466
352.000000 0.000122 0.000122
353.000000 0.000357 0.000357
354.000000 0.000148 0.000148
355.000000 0.000773 0.000773
356.000000 0.000654 0.000654
357.000000 0.000786 0.000786
358.000000 0.000549 0.000549
359.000000 0.000081 0.000081
360.000000 0.000270 0.000270
361.000000 0.000744 0.000744
362.000000 0.000283 0.000283
363.000000 0.000946 0.000946
364.000000 0.000332 0.000332
365.000000 0.000040 0.000040
366.000000 0.001096 0.001096
367.000000 0.000604 0.000604
368.000000 0.000562 0.000562
369.000000 0.000285 0.000285
370.000000 0.000290 0.000290
371.000000 0.000737 0.000737
372.000000 0.000882 0.000882
373.000000 0.000759 0.000759
374.000000 0.000614 0.000614
375.000000 0.000160 0.000160
376.000000 0.000234 0.000234
377.000000 0.000317 0.000317
378.000000 0.000449 0.000449
379.000000 0.000570 0.000570
380.000000 0.000510 0.000510
381.000000 0.001117 0.001117
382.000000 0.000754 0.000754
383.000000 0.000384 0.000384
384.000000 0.000351 0.000351
385.000000 0.000693 0.000693
386.000000 0.000093 0.000093
387.000000 0.000202 0.000202
388.000000 0.000565 0.000565
389.000000 0.000764 0.000764
390.000000 0.000661 0.000661
391.000000 0.000436 0.000436
392.000000 0.000466 0.000466
393.000000 0.000359 0.000359
394.000000 0.000203 0.000203
395.000000 0.000241 0.000241
396.000000 0.000409 0.000409
397.000000 0.001173 0.001173
398.000000 0.000831 0.000831
399.000000 0.000373 0.000373
400.000000 0.000240 0.000240
401.000000 0.000752 0.000752
402.000000 0.000662 0.000662
403.000000 0.000479 0.000479
404.000000 0.000190 0.000190
405.000000 0.000754 0.000754
406.000000 0.000648 0.000648
407.000000 0.000873 0.000873
408.000000 0.000661 0.000661
409.000000 0.000091 0.000091
410.000000 0.000176 0.000176
411.000000 0.000798 0.000798
412.000000 0.000524 0.000524
413.000000 0.000764 0.000764
414.000000 0.000451 0.000451
415.000000 0.000177 0.000177
416.000000 0.000178 0.000178
417.000000 0.000442 0.000442
418.000000 0.000667 0.000667
419.000000 0.000339 0.000339
420.000000 0.001153 0.001153
421.000000 0.000371 0.000371
422.000000 0.000169 0.000169
423.000000 0.000339 0.000339
424.000000 0.000911 0.000911
425.000000 0.000386 0.000386
426.000000 0.000220 0.000220
427.000000 0.000738 0.000738
428.000000 0.000454 0.000454
429.000000 0.000988 0.000988
430.000000 0.000267 0.000267
431.000000 0.000589 0.000589
432.000000 0.000841 0.000841
433.000000 0.000451 0.000451
434.000000 0.000417 0.000417
435.000000 0.000260 0.000260
436.000000 0.000502 0.000502
437.000000 0.000723 0.000723
438.000000 0.000431 0.000431
439.000000 0.000678 0.000678
440.000000 0.000115 0.000115
441.000000 0.000301 0.000301
442.000000 0.000817 0.000817
443.000000 0.000304 0.000304
444.000000 0.000815 0.000815
445.000000 0.000293 0.000293
446.000000 0.000245 0.000245
447.000000 0.000325 0.000325
448.000000 0.000492 0.000492
449.000000 0.000623 0.000623
450.000000 0.000611 0.000611
451.000000 0.000779 0.000779
452.000000 0.000296 0.000296
