Interval	Avg	CI=0.95	Limite Inferior	Limite Superior
0	18.318	10.719	7.599	29.037
1	18.496	10.534	7.962	29.030
2	18.543	10.359	8.184	28.902
3	19.149	10.125	9.024	29.274
4	19.187	9.785	9.402	28.972
5	19.447	9.525	9.922	28.972
6	19.611	9.345	10.266	28.956
7	19.881	9.218	10.663	29.099
8	20.262	8.964	11.298	29.226
9	20.362	8.927	11.435	29.289
10	20.814	8.593	12.221	29.407
11	21.301	8.155	13.146	29.456
12	21.549	8.245	13.304	29.794
13	21.598	7.987	13.611	29.585
14	22.107	7.638	14.469	29.745
15	22.294	7.520	14.774	29.814
16	22.737	7.052	15.685	29.789
17	22.951	6.893	16.058	29.844
18	23.177	6.838	16.339	30.015
19	23.295	6.733	16.562	30.028
20	23.475	6.888	16.587	30.363
21	23.361	6.931	16.430	30.292
22	23.189	7.049	16.140	30.238
23	23.051	7.061	15.990	30.112
24	23.159	6.857	16.302	30.016
25	23.220	6.830	16.390	30.050
26	23.412	6.741	16.671	30.153
27	23.465	6.744	16.721	30.209
28	23.629	6.780	16.849	30.409
29	24.211	6.554	17.657	30.765
30	24.379	6.540	17.839	30.919
31	24.379	6.581	17.798	30.960
32	24.181	6.606	17.575	30.787
33	24.412	6.298	18.114	30.710
34	24.289	6.236	18.053	30.525
35	24.418	6.046	18.372	30.464
36	24.184	5.995	18.189	30.179
37	24.339	6.115	18.224	30.454
38	24.294	6.236	18.058	30.530
39	24.618	6.467	18.151	31.085
40	24.726	6.673	18.053	31.399
41	24.570	6.722	17.848	31.292
42	24.543	6.746	17.797	31.289
43	24.372	6.893	17.479	31.265
44	24.412	6.752	17.660	31.164
45	24.346	6.729	17.617	31.075
46	24.332	6.629	17.703	30.961
47	24.187	6.778	17.409	30.965
48	24.361	6.838	17.523	31.199
49	24.421	6.860	17.561	31.281
50	24.398	6.913	17.485	31.311
51	24.441	6.965	17.476	31.406
52	24.548	6.869	17.679	31.417
53	24.258	6.903	17.355	31.161
54	23.993	6.817	17.176	30.810
55	23.830	6.708	17.122	30.538
56	23.925	6.680	17.245	30.605
57	24.172	6.690	17.482	30.862
58	24.276	6.748	17.528	31.024
59	24.245	6.842	17.403	31.087
60	24.019	6.846	17.173	30.865
61	24.020	6.535	17.485	30.555
62	23.894	6.461	17.433	30.355
63	23.561	6.629	16.932	30.190
64	23.457	6.564	16.893	30.021
65	23.445	6.329	17.116	29.774
66	23.566	6.303	17.263	29.869
67	23.941	6.444	17.497	30.385
68	23.969	6.494	17.475	30.463
69	24.292	6.710	17.582	31.002
70	24.268	6.757	17.511	31.025
71	24.146	7.043	17.103	31.189
72	24.133	6.942	17.191	31.075
73	24.110	6.732	17.378	30.842
74	24.287	6.428	17.859	30.715
75	23.988	6.356	17.632	30.344
76	23.974	6.098	17.876	30.072
77	23.881	6.003	17.878	29.884
78	23.930	6.166	17.764	30.096
79	24.058	6.322	17.736	30.380
80	23.888	6.409	17.479	30.297
81	23.983	6.309	17.674	30.292
82	23.807	6.265	17.542	30.072
83	23.620	6.247	17.373	29.867
84	23.766	6.383	17.383	30.149
85	23.638	6.257	17.381	29.895
86	23.637	5.974	17.663	29.611
87	23.815	6.020	17.795	29.835
88	23.938	6.138	17.800	30.076
89	23.962	6.149	17.813	30.111
90	24.220	6.285	17.935	30.505
91	24.239	6.241	17.998	30.480
92	24.119	6.378	17.741	30.497
93	24.004	6.316	17.688	30.320
94	23.993	6.289	17.704	30.282
95	23.773	6.545	17.228	30.318
96	24.139	6.808	17.331	30.947
97	24.456	6.944	17.512	31.400
98	24.589	6.740	17.849	31.329
99	24.382	6.791	17.591	31.173
100	24.308	6.665	17.643	30.973
101	24.144	6.571	17.573	30.715
102	24.109	6.423	17.686	30.532
103	24.389	6.745	17.644	31.134
104	24.782	6.886	17.896	31.668
105	24.677	6.875	17.802	31.552
106	24.439	6.820	17.619	31.259
107	24.310	6.789	17.521	31.099
108	24.342	6.691	17.651	31.033
109	24.166	6.825	17.341	30.991
110	24.220	6.836	17.384	31.056
111	24.441	6.788	17.653	31.229
112	24.430	6.834	17.596	31.264
113	24.657	6.643	18.014	31.300
114	24.539	6.824	17.715	31.363
115	24.751	6.826	17.925	31.577
116	24.700	6.839	17.861	31.539
117	25.013	6.450	18.563	31.463
118	24.737	6.435	18.302	31.172
119	24.543	6.460	18.083	31.003
120	24.387	6.522	17.865	30.909
121	24.532	6.543	17.989	31.075
122	24.603	6.695	17.908	31.298
123	24.608	6.813	17.795	31.421
124	24.610	7.150	17.460	31.760
125	24.438	7.025	17.413	31.463
126	24.225	6.935	17.290	31.160
127	24.522	6.804	17.718	31.326
128	24.441	6.790	17.651	31.231
129	24.373	6.680	17.693	31.053
