Time 1-10.0.0.4-10.0.0.2 Aggregate-Flow
0.000000 0.005049 0.005049
1.000000 0.002590 0.002590
2.000000 0.001915 0.001915
3.000000 0.000884 0.000884
4.000000 0.001587 0.001587
5.000000 0.003820 0.003820
6.000000 0.015813 0.015813
7.000000 0.005484 0.005484
8.000000 0.004314 0.004314
9.000000 0.002005 0.002005
10.000000 0.001633 0.001633
11.000000 0.002250 0.002250
12.000000 0.001900 0.001900
13.000000 0.005283 0.005283
14.000000 0.003153 0.003153
15.000000 0.002515 0.002515
16.000000 0.047279 0.047279
17.000000 0.009754 0.009754
18.000000 0.004172 0.004172
19.000000 0.000541 0.000541
20.000000 0.015209 0.015209
21.000000 0.022545 0.022545
22.000000 0.001413 0.001413
23.000000 0.000178 0.000178
24.000000 0.000579 0.000579
25.000000 0.001521 0.001521
26.000000 0.009038 0.009038
27.000000 0.004243 0.004243
28.000000 0.003148 0.003148
29.000000 0.003326 0.003326
30.000000 0.005590 0.005590
31.000000 0.001329 0.001329
32.000000 0.002225 0.002225
33.000000 0.018825 0.018825
34.000000 0.001553 0.001553
35.000000 0.000903 0.000903
36.000000 0.000317 0.000317
37.000000 0.001040 0.001040
38.000000 0.002542 0.002542
39.000000 0.001409 0.001409
40.000000 0.001650 0.001650
41.000000 0.000287 0.000287
42.000000 0.004982 0.004982
43.000000 0.002078 0.002078
44.000000 0.000790 0.000790
45.000000 0.002369 0.002369
46.000000 0.000286 0.000286
47.000000 0.000556 0.000556
48.000000 0.004383 0.004383
49.000000 0.001127 0.001127
50.000000 0.000300 0.000300
51.000000 0.003049 0.003049
52.000000 0.001492 0.001492
53.000000 0.002721 0.002721
54.000000 0.002797 0.002797
55.000000 0.003586 0.003586
56.000000 0.004000 0.004000
57.000000 0.004176 0.004176
58.000000 0.004286 0.004286
59.000000 0.003869 0.003869
60.000000 0.002472 0.002472
61.000000 0.001839 0.001839
62.000000 0.001668 0.001668
63.000000 0.001793 0.001793
64.000000 0.002562 0.002562
65.000000 0.000468 0.000468
66.000000 0.004740 0.004740
67.000000 0.027189 0.027189
68.000000 0.000708 0.000708
69.000000 0.001467 0.001467
70.000000 0.006003 0.006003
71.000000 0.002726 0.002726
72.000000 0.004211 0.004211
73.000000 0.000820 0.000820
74.000000 0.008994 0.008994
75.000000 0.004760 0.004760
76.000000 0.010911 0.010911
77.000000 0.006553 0.006553
78.000000 0.002533 0.002533
79.000000 0.001478 0.001478
80.000000 0.001654 0.001654
81.000000 0.005014 0.005014
82.000000 0.000203 0.000203
83.000000 0.001439 0.001439
84.000000 0.000940 0.000940
85.000000 0.001449 0.001449
86.000000 0.001858 0.001858
87.000000 0.001446 0.001446
88.000000 0.000351 0.000351
89.000000 0.000667 0.000667
90.000000 0.005189 0.005189
91.000000 0.007705 0.007705
92.000000 0.001263 0.001263
93.000000 0.002654 0.002654
94.000000 0.001330 0.001330
95.000000 0.002185 0.002185
96.000000 0.001818 0.001818
97.000000 0.003396 0.003396
98.000000 0.000341 0.000341
99.000000 0.007754 0.007754
100.000000 0.003201 0.003201
101.000000 0.001837 0.001837
102.000000 0.000765 0.000765
103.000000 0.000755 0.000755
104.000000 0.000678 0.000678
105.000000 0.002437 0.002437
106.000000 0.001867 0.001867
107.000000 0.001722 0.001722
108.000000 0.000434 0.000434
109.000000 0.000817 0.000817
110.000000 0.001597 0.001597
111.000000 0.001160 0.001160
112.000000 0.001924 0.001924
113.000000 0.002040 0.002040
114.000000 0.001903 0.001903
115.000000 0.000322 0.000322
116.000000 0.005458 0.005458
117.000000 0.000102 0.000102
118.000000 0.000441 0.000441
119.000000 0.000967 0.000967
120.000000 0.001378 0.001378
121.000000 0.000910 0.000910
122.000000 0.000299 0.000299
123.000000 0.000585 0.000585
124.000000 0.000387 0.000387
125.000000 0.001408 0.001408
126.000000 0.000558 0.000558
