Time 1-10.0.0.4-10.0.0.2 Aggregate-Flow
0.000000 149.760000 149.760000
1.000000 172.480000 172.480000
2.000000 278.400000 278.400000
3.000000 332.160000 332.160000
4.000000 304.000000 304.000000
5.000000 153.600000 153.600000
6.000000 148.160000 148.160000
7.000000 242.880000 242.880000
8.000000 199.680000 199.680000
9.000000 109.760000 109.760000
10.000000 267.200000 267.200000
11.000000 163.200000 163.200000
12.000000 216.000000 216.000000
13.000000 338.560000 338.560000
14.000000 449.600000 449.600000
15.000000 460.480000 460.480000
16.000000 131.840000 131.840000
17.000000 596.800000 596.800000
18.000000 316.160000 316.160000
19.000000 118.400000 118.400000
20.000000 342.720000 342.720000
21.000000 364.160000 364.160000
22.000000 394.560000 394.560000
23.000000 409.280000 409.280000
24.000000 310.080000 310.080000
25.000000 257.280000 257.280000
26.000000 369.600000 369.600000
27.000000 403.520000 403.520000
28.000000 227.200000 227.200000
29.000000 219.520000 219.520000
30.000000 623.040000 623.040000
31.000000 533.760000 533.760000
32.000000 490.560000 490.560000
33.000000 138.240000 138.240000
34.000000 367.040000 367.040000
35.000000 582.720000 582.720000
36.000000 208.640000 208.640000
37.000000 326.400000 326.400000
38.000000 376.320000 376.320000
39.000000 485.120000 485.120000
40.000000 262.720000 262.720000
41.000000 318.400000 318.400000
42.000000 190.720000 190.720000
43.000000 230.720000 230.720000
44.000000 440.640000 440.640000
45.000000 273.600000 273.600000
46.000000 186.880000 186.880000
47.000000 255.680000 255.680000
48.000000 406.720000 406.720000
49.000000 250.240000 250.240000
50.000000 417.920000 417.920000
51.000000 237.440000 237.440000
52.000000 327.040000 327.040000
53.000000 267.840000 267.840000
54.000000 450.240000 450.240000
55.000000 506.880000 506.880000
56.000000 227.200000 227.200000
57.000000 262.400000 262.400000
58.000000 423.360000 423.360000
59.000000 538.560000 538.560000
60.000000 376.320000 376.320000
61.000000 529.600000 529.600000
62.000000 227.200000 227.200000
63.000000 376.640000 376.640000
64.000000 467.200000 467.200000
65.000000 364.800000 364.800000
66.000000 341.760000 341.760000
67.000000 256.000000 256.000000
68.000000 640.000000 640.000000
69.000000 405.120000 405.120000
70.000000 295.360000 295.360000
71.000000 341.440000 341.440000
72.000000 225.280000 225.280000
73.000000 370.880000 370.880000
74.000000 283.200000 283.200000
75.000000 269.760000 269.760000
76.000000 330.240000 330.240000
77.000000 565.120000 565.120000
78.000000 671.680000 671.680000
79.000000 210.560000 210.560000
80.000000 272.640000 272.640000
81.000000 346.560000 346.560000
82.000000 368.000000 368.000000
83.000000 418.880000 418.880000
84.000000 455.040000 455.040000
85.000000 268.480000 268.480000
86.000000 291.520000 291.520000
87.000000 503.040000 503.040000
88.000000 469.120000 469.120000
89.000000 132.800000 132.800000
90.000000 266.560000 266.560000
91.000000 478.400000 478.400000
92.000000 324.480000 324.480000
93.000000 502.720000 502.720000
94.000000 371.200000 371.200000
95.000000 267.200000 267.200000
96.000000 377.600000 377.600000
97.000000 322.880000 322.880000
98.000000 339.840000 339.840000
99.000000 560.320000 560.320000
100.000000 353.280000 353.280000
101.000000 256.960000 256.960000
102.000000 215.680000 215.680000
103.000000 292.160000 292.160000
104.000000 282.240000 282.240000
105.000000 434.880000 434.880000
106.000000 402.240000 402.240000
107.000000 207.360000 207.360000
108.000000 255.680000 255.680000
109.000000 393.600000 393.600000
110.000000 448.960000 448.960000
111.000000 207.040000 207.040000
112.000000 402.240000 402.240000
113.000000 734.400000 734.400000
114.000000 310.400000 310.400000
115.000000 412.800000 412.800000
116.000000 607.360000 607.360000
117.000000 403.840000 403.840000
118.000000 131.520000 131.520000
119.000000 365.440000 365.440000
120.000000 521.920000 521.920000
121.000000 223.360000 223.360000
122.000000 323.840000 323.840000
123.000000 366.400000 366.400000
124.000000 467.200000 467.200000
125.000000 151.040000 151.040000
126.000000 392.960000 392.960000
127.000000 474.560000 474.560000
128.000000 369.280000 369.280000
129.000000 142.720000 142.720000
130.000000 447.680000 447.680000
131.000000 382.720000 382.720000
132.000000 150.720000 150.720000
133.000000 553.280000 553.280000
134.000000 528.960000 528.960000
135.000000 151.040000 151.040000
136.000000 190.720000 190.720000
137.000000 642.880000 642.880000
138.000000 367.040000 367.040000
139.000000 200.640000 200.640000
140.000000 213.440000 213.440000
141.000000 491.200000 491.200000
142.000000 433.600000 433.600000
143.000000 195.520000 195.520000
144.000000 396.160000 396.160000
145.000000 595.840000 595.840000
146.000000 438.400000 438.400000
147.000000 325.120000 325.120000
148.000000 402.240000 402.240000
149.000000 408.640000 408.640000
150.000000 392.640000 392.640000
151.000000 235.520000 235.520000
152.000000 258.880000 258.880000
153.000000 387.200000 387.200000
154.000000 621.120000 621.120000
155.000000 426.560000 426.560000
156.000000 274.880000 274.880000
157.000000 503.680000 503.680000
158.000000 559.680000 559.680000
159.000000 314.880000 314.880000
160.000000 203.840000 203.840000
161.000000 345.280000 345.280000
162.000000 254.080000 254.080000
163.000000 467.200000 467.200000
164.000000 382.400000 382.400000
165.000000 204.800000 204.800000
166.000000 410.240000 410.240000
167.000000 412.160000 412.160000
168.000000 134.080000 134.080000
169.000000 344.000000 344.000000
170.000000 516.160000 516.160000
171.000000 510.080000 510.080000
172.000000 161.600000 161.600000
173.000000 300.800000 300.800000
174.000000 602.560000 602.560000
175.000000 464.960000 464.960000
176.000000 202.880000 202.880000
177.000000 519.680000 519.680000
178.000000 514.560000 514.560000
179.000000 298.240000 298.240000
180.000000 304.640000 304.640000
181.000000 244.160000 244.160000
182.000000 449.280000 449.280000
183.000000 233.280000 233.280000
184.000000 365.440000 365.440000
185.000000 459.840000 459.840000
186.000000 451.520000 451.520000
187.000000 166.400000 166.400000
188.000000 485.440000 485.440000
189.000000 458.240000 458.240000
190.000000 321.280000 321.280000
191.000000 417.920000 417.920000
192.000000 496.960000 496.960000
193.000000 453.440000 453.440000
194.000000 484.800000 484.800000
195.000000 211.200000 211.200000
