Time 1-10.0.0.3-10.0.0.2 Aggregate-Flow
0.000000 537.280000 537.280000
1.000000 636.480000 636.480000
2.000000 498.240000 498.240000
3.000000 501.440000 501.440000
4.000000 781.440000 781.440000
5.000000 450.240000 450.240000
6.000000 684.800000 684.800000
7.000000 494.720000 494.720000
8.000000 507.520000 507.520000
9.000000 578.240000 578.240000
10.000000 674.560000 674.560000
11.000000 357.760000 357.760000
12.000000 578.560000 578.560000
13.000000 730.560000 730.560000
14.000000 297.920000 297.920000
15.000000 563.520000 563.520000
16.000000 612.800000 612.800000
17.000000 345.920000 345.920000
18.000000 607.360000 607.360000
19.000000 642.560000 642.560000
20.000000 240.640000 240.640000
21.000000 415.040000 415.040000
22.000000 493.760000 493.760000
23.000000 319.680000 319.680000
24.000000 457.920000 457.920000
25.000000 427.840000 427.840000
26.000000 311.360000 311.360000
27.000000 432.640000 432.640000
28.000000 704.640000 704.640000
29.000000 330.560000 330.560000
30.000000 448.640000 448.640000
31.000000 320.320000 320.320000
32.000000 437.440000 437.440000
33.000000 408.000000 408.000000
34.000000 463.360000 463.360000
35.000000 310.080000 310.080000
36.000000 387.840000 387.840000
37.000000 503.360000 503.360000
38.000000 409.280000 409.280000
39.000000 508.800000 508.800000
40.000000 638.720000 638.720000
41.000000 418.560000 418.560000
42.000000 359.680000 359.680000
43.000000 428.160000 428.160000
44.000000 314.560000 314.560000
45.000000 426.880000 426.880000
46.000000 220.480000 220.480000
47.000000 416.000000 416.000000
48.000000 655.040000 655.040000
49.000000 611.200000 611.200000
50.000000 299.520000 299.520000
51.000000 421.440000 421.440000
52.000000 482.240000 482.240000
53.000000 448.960000 448.960000
54.000000 456.640000 456.640000
55.000000 521.280000 521.280000
56.000000 389.120000 389.120000
57.000000 511.040000 511.040000
58.000000 546.880000 546.880000
59.000000 301.760000 301.760000
60.000000 691.840000 691.840000
61.000000 584.960000 584.960000
62.000000 468.800000 468.800000
63.000000 564.160000 564.160000
64.000000 608.960000 608.960000
65.000000 456.640000 456.640000
66.000000 488.000000 488.000000
67.000000 697.600000 697.600000
68.000000 322.880000 322.880000
69.000000 439.680000 439.680000
70.000000 613.440000 613.440000
71.000000 554.560000 554.560000
72.000000 483.520000 483.520000
73.000000 601.280000 601.280000
74.000000 439.040000 439.040000
75.000000 405.760000 405.760000
76.000000 640.960000 640.960000
77.000000 434.240000 434.240000
78.000000 626.560000 626.560000
79.000000 856.640000 856.640000
80.000000 424.000000 424.000000
81.000000 484.800000 484.800000
82.000000 568.320000 568.320000
83.000000 474.880000 474.880000
84.000000 481.280000 481.280000
85.000000 502.400000 502.400000
86.000000 312.000000 312.000000
87.000000 513.280000 513.280000
88.000000 720.640000 720.640000
89.000000 416.640000 416.640000
90.000000 544.640000 544.640000
91.000000 494.400000 494.400000
92.000000 347.200000 347.200000
93.000000 579.520000 579.520000
94.000000 620.480000 620.480000
95.000000 349.760000 349.760000
96.000000 656.000000 656.000000
97.000000 693.120000 693.120000
98.000000 375.040000 375.040000
99.000000 638.720000 638.720000
100.000000 667.200000 667.200000
101.000000 470.080000 470.080000
102.000000 508.800000 508.800000
103.000000 669.760000 669.760000
104.000000 352.320000 352.320000
105.000000 581.760000 581.760000
106.000000 401.920000 401.920000
107.000000 408.320000 408.320000
108.000000 479.040000 479.040000
109.000000 514.560000 514.560000
110.000000 430.400000 430.400000
111.000000 725.440000 725.440000
112.000000 625.280000 625.280000
113.000000 471.360000 471.360000
114.000000 563.520000 563.520000
115.000000 482.560000 482.560000
116.000000 565.120000 565.120000
117.000000 663.360000 663.360000
118.000000 549.760000 549.760000
119.000000 511.680000 511.680000
120.000000 390.720000 390.720000
121.000000 407.040000 407.040000
122.000000 400.000000 400.000000
123.000000 641.920000 641.920000
124.000000 367.360000 367.360000
125.000000 515.520000 515.520000
126.000000 508.160000 508.160000
127.000000 305.600000 305.600000
128.000000 625.920000 625.920000
129.000000 644.800000 644.800000
130.000000 588.160000 588.160000
131.000000 510.080000 510.080000
132.000000 568.000000 568.000000
133.000000 315.840000 315.840000
134.000000 435.200000 435.200000
135.000000 332.480000 332.480000
136.000000 313.280000 313.280000
137.000000 322.560000 322.560000
138.000000 611.840000 611.840000
139.000000 335.040000 335.040000
140.000000 453.760000 453.760000
141.000000 632.000000 632.000000
142.000000 288.320000 288.320000
143.000000 452.480000 452.480000
144.000000 398.080000 398.080000
145.000000 265.600000 265.600000
146.000000 504.640000 504.640000
147.000000 586.560000 586.560000
148.000000 275.520000 275.520000
149.000000 455.680000 455.680000
150.000000 526.720000 526.720000
151.000000 277.440000 277.440000
152.000000 560.000000 560.000000
153.000000 561.920000 561.920000
154.000000 394.560000 394.560000
155.000000 687.040000 687.040000
156.000000 447.680000 447.680000
157.000000 328.960000 328.960000
158.000000 422.080000 422.080000
159.000000 299.200000 299.200000
160.000000 205.760000 205.760000
161.000000 507.520000 507.520000
162.000000 319.360000 319.360000
163.000000 208.960000 208.960000
164.000000 220.480000 220.480000
165.000000 241.600000 241.600000
166.000000 357.760000 357.760000
167.000000 407.040000 407.040000
168.000000 408.000000 408.000000
169.000000 374.400000 374.400000
170.000000 378.240000 378.240000
171.000000 511.360000 511.360000
172.000000 372.800000 372.800000
173.000000 417.280000 417.280000
174.000000 291.200000 291.200000
175.000000 439.040000 439.040000
176.000000 347.520000 347.520000
177.000000 374.400000 374.400000
178.000000 520.320000 520.320000
179.000000 505.600000 505.600000
180.000000 402.560000 402.560000
181.000000 433.600000 433.600000
182.000000 564.160000 564.160000
183.000000 574.720000 574.720000
184.000000 352.000000 352.000000
185.000000 309.120000 309.120000
186.000000 405.760000 405.760000
187.000000 403.200000 403.200000
188.000000 607.680000 607.680000
189.000000 411.840000 411.840000
190.000000 404.480000 404.480000
191.000000 424.640000 424.640000
192.000000 430.720000 430.720000
193.000000 482.240000 482.240000
194.000000 404.160000 404.160000
195.000000 317.120000 317.120000
196.000000 347.840000 347.840000
197.000000 302.080000 302.080000
198.000000 352.320000 352.320000
199.000000 488.320000 488.320000
200.000000 585.600000 585.600000
201.000000 285.440000 285.440000
202.000000 450.880000 450.880000
203.000000 498.240000 498.240000
204.000000 339.200000 339.200000
205.000000 386.880000 386.880000
206.000000 416.960000 416.960000
207.000000 343.680000 343.680000
208.000000 574.720000 574.720000
209.000000 630.720000 630.720000
210.000000 298.880000 298.880000
211.000000 434.240000 434.240000
212.000000 393.920000 393.920000
213.000000 618.240000 618.240000
214.000000 823.360000 823.360000
215.000000 527.360000 527.360000
216.000000 309.120000 309.120000
217.000000 543.360000 543.360000
218.000000 467.200000 467.200000
219.000000 383.360000 383.360000
220.000000 339.200000 339.200000
221.000000 274.880000 274.880000
222.000000 450.880000 450.880000
223.000000 408.640000 408.640000
224.000000 391.360000 391.360000
225.000000 696.320000 696.320000
226.000000 478.720000 478.720000
227.000000 265.600000 265.600000
228.000000 525.120000 525.120000
229.000000 632.640000 632.640000
230.000000 241.600000 241.600000
231.000000 376.000000 376.000000
232.000000 489.600000 489.600000
233.000000 293.120000 293.120000
234.000000 548.480000 548.480000
235.000000 612.160000 612.160000
236.000000 274.880000 274.880000
237.000000 423.680000 423.680000
238.000000 560.000000 560.000000
239.000000 329.600000 329.600000
240.000000 413.760000 413.760000
241.000000 474.560000 474.560000
242.000000 319.680000 319.680000
243.000000 372.480000 372.480000
244.000000 360.320000 360.320000
245.000000 306.240000 306.240000
246.000000 402.880000 402.880000
247.000000 327.040000 327.040000
248.000000 418.880000 418.880000
249.000000 681.920000 681.920000
250.000000 444.160000 444.160000
251.000000 474.240000 474.240000
252.000000 610.560000 610.560000
253.000000 410.880000 410.880000
254.000000 446.720000 446.720000
255.000000 344.640000 344.640000
256.000000 339.200000 339.200000
257.000000 495.360000 495.360000
258.000000 773.760000 773.760000
259.000000 597.120000 597.120000
260.000000 725.760000 725.760000
261.000000 556.480000 556.480000
262.000000 354.240000 354.240000
263.000000 548.800000 548.800000
264.000000 535.680000 535.680000
265.000000 406.720000 406.720000
266.000000 489.600000 489.600000
267.000000 487.040000 487.040000
268.000000 456.640000 456.640000
269.000000 554.240000 554.240000
270.000000 797.760000 797.760000
271.000000 336.320000 336.320000
272.000000 813.440000 813.440000
273.000000 822.080000 822.080000
274.000000 393.920000 393.920000
275.000000 777.600000 777.600000
276.000000 640.320000 640.320000
277.000000 334.400000 334.400000
278.000000 533.440000 533.440000
279.000000 474.880000 474.880000
280.000000 368.640000 368.640000
281.000000 707.520000 707.520000
282.000000 380.160000 380.160000
283.000000 561.280000 561.280000
284.000000 597.120000 597.120000
285.000000 537.280000 537.280000
286.000000 567.360000 567.360000
287.000000 669.120000 669.120000
288.000000 660.800000 660.800000
289.000000 482.560000 482.560000
290.000000 678.400000 678.400000
291.000000 603.520000 603.520000
292.000000 377.920000 377.920000
293.000000 562.560000 562.560000
294.000000 561.920000 561.920000
295.000000 574.400000 574.400000
296.000000 532.800000 532.800000
297.000000 473.280000 473.280000
298.000000 573.120000 573.120000
299.000000 638.720000 638.720000
300.000000 333.120000 333.120000
301.000000 495.040000 495.040000
302.000000 655.680000 655.680000
303.000000 371.520000 371.520000
304.000000 635.520000 635.520000
305.000000 712.000000 712.000000
306.000000 444.480000 444.480000
307.000000 613.120000 613.120000
308.000000 595.840000 595.840000
309.000000 389.760000 389.760000
310.000000 597.440000 597.440000
311.000000 782.400000 782.400000
312.000000 457.280000 457.280000
313.000000 730.880000 730.880000
314.000000 572.800000 572.800000
315.000000 341.120000 341.120000
316.000000 492.480000 492.480000
317.000000 525.120000 525.120000
318.000000 429.440000 429.440000
319.000000 624.640000 624.640000
320.000000 560.320000 560.320000
321.000000 452.480000 452.480000
322.000000 691.520000 691.520000
323.000000 563.520000 563.520000
324.000000 465.920000 465.920000
325.000000 726.080000 726.080000
326.000000 704.960000 704.960000
327.000000 568.960000 568.960000
328.000000 552.320000 552.320000
329.000000 453.760000 453.760000
330.000000 488.000000 488.000000
331.000000 586.240000 586.240000
332.000000 427.840000 427.840000
333.000000 655.680000 655.680000
334.000000 656.960000 656.960000
335.000000 576.000000 576.000000
336.000000 430.400000 430.400000
337.000000 587.200000 587.200000
338.000000 451.200000 451.200000
339.000000 736.960000 736.960000
340.000000 677.760000 677.760000
341.000000 350.720000 350.720000
342.000000 597.120000 597.120000
343.000000 701.760000 701.760000
344.000000 408.640000 408.640000
345.000000 638.400000 638.400000
346.000000 870.080000 870.080000
347.000000 491.200000 491.200000
348.000000 496.000000 496.000000
349.000000 447.680000 447.680000
350.000000 470.720000 470.720000
351.000000 702.400000 702.400000
352.000000 743.040000 743.040000
353.000000 542.080000 542.080000
354.000000 419.520000 419.520000
355.000000 541.760000 541.760000
356.000000 317.760000 317.760000
357.000000 567.040000 567.040000
358.000000 717.120000 717.120000
359.000000 393.920000 393.920000
360.000000 247.680000 247.680000
361.000000 343.680000 343.680000
362.000000 264.960000 264.960000
363.000000 405.120000 405.120000
364.000000 621.760000 621.760000
365.000000 486.720000 486.720000
366.000000 519.680000 519.680000
367.000000 596.160000 596.160000
368.000000 504.000000 504.000000
369.000000 547.840000 547.840000
370.000000 688.000000 688.000000
371.000000 429.120000 429.120000
372.000000 825.280000 825.280000
373.000000 645.120000 645.120000
374.000000 320.960000 320.960000
375.000000 576.640000 576.640000
376.000000 689.600000 689.600000
377.000000 433.280000 433.280000
378.000000 580.800000 580.800000
379.000000 572.160000 572.160000
380.000000 283.840000 283.840000
381.000000 568.320000 568.320000
382.000000 653.120000 653.120000
383.000000 512.960000 512.960000
384.000000 723.200000 723.200000
385.000000 566.720000 566.720000
386.000000 406.400000 406.400000
387.000000 521.600000 521.600000
388.000000 673.280000 673.280000
389.000000 481.920000 481.920000
390.000000 576.960000 576.960000
391.000000 546.560000 546.560000
392.000000 334.080000 334.080000
393.000000 568.640000 568.640000
394.000000 530.240000 530.240000
395.000000 525.120000 525.120000
396.000000 820.800000 820.800000
397.000000 557.760000 557.760000
398.000000 275.520000 275.520000
399.000000 663.040000 663.040000
400.000000 640.000000 640.000000
401.000000 474.240000 474.240000
402.000000 727.040000 727.040000
403.000000 557.120000 557.120000
404.000000 421.120000 421.120000
405.000000 479.360000 479.360000
406.000000 549.440000 549.440000
407.000000 442.880000 442.880000
408.000000 800.000000 800.000000
409.000000 538.880000 538.880000
410.000000 440.640000 440.640000
411.000000 538.560000 538.560000
412.000000 573.440000 573.440000
413.000000 467.520000 467.520000
414.000000 533.440000 533.440000
415.000000 502.720000 502.720000
416.000000 570.560000 570.560000
417.000000 589.440000 589.440000
418.000000 684.800000 684.800000
419.000000 635.520000 635.520000
420.000000 742.080000 742.080000
421.000000 496.640000 496.640000
422.000000 423.040000 423.040000
423.000000 710.080000 710.080000
424.000000 448.000000 448.000000
425.000000 491.200000 491.200000
426.000000 509.760000 509.760000
427.000000 362.240000 362.240000
428.000000 617.600000 617.600000
429.000000 468.800000 468.800000
430.000000 447.680000 447.680000
431.000000 658.880000 658.880000
432.000000 824.000000 824.000000
433.000000 504.960000 504.960000
434.000000 621.760000 621.760000
435.000000 487.040000 487.040000
436.000000 330.880000 330.880000
437.000000 554.880000 554.880000
438.000000 687.360000 687.360000
439.000000 518.720000 518.720000
440.000000 722.880000 722.880000
441.000000 382.400000 382.400000
442.000000 622.400000 622.400000
443.000000 646.080000 646.080000
444.000000 402.240000 402.240000
445.000000 555.840000 555.840000
446.000000 602.560000 602.560000
447.000000 364.160000 364.160000
