Time 1-10.0.0.3-10.0.0.2 Aggregate-Flow
0.000000 0.002633 0.002633
1.000000 0.004077 0.004077
2.000000 0.003925 0.003925
3.000000 0.003152 0.003152
4.000000 0.003808 0.003808
5.000000 0.004355 0.004355
6.000000 0.003952 0.003952
7.000000 0.004564 0.004564
8.000000 0.002926 0.002926
9.000000 0.003148 0.003148
10.000000 0.004900 0.004900
11.000000 0.002461 0.002461
12.000000 0.003223 0.003223
13.000000 0.004329 0.004329
14.000000 0.003733 0.003733
15.000000 0.003777 0.003777
16.000000 0.003291 0.003291
17.000000 0.002683 0.002683
18.000000 0.003379 0.003379
19.000000 0.004177 0.004177
20.000000 0.003344 0.003344
21.000000 0.003256 0.003256
22.000000 0.004159 0.004159
23.000000 0.003577 0.003577
24.000000 0.003573 0.003573
25.000000 0.003574 0.003574
26.000000 0.002782 0.002782
27.000000 0.004074 0.004074
28.000000 0.003438 0.003438
29.000000 0.002942 0.002942
30.000000 0.004471 0.004471
31.000000 0.005221 0.005221
32.000000 0.003655 0.003655
33.000000 0.004029 0.004029
34.000000 0.004045 0.004045
35.000000 0.003497 0.003497
36.000000 0.004862 0.004862
37.000000 0.004596 0.004596
38.000000 0.003077 0.003077
39.000000 0.005433 0.005433
40.000000 0.003677 0.003677
41.000000 0.004242 0.004242
42.000000 0.004267 0.004267
43.000000 0.003742 0.003742
44.000000 0.004897 0.004897
45.000000 0.004432 0.004432
46.000000 0.003710 0.003710
47.000000 0.003323 0.003323
48.000000 0.004371 0.004371
49.000000 0.004399 0.004399
50.000000 0.005828 0.005828
51.000000 0.004291 0.004291
52.000000 0.003909 0.003909
53.000000 0.003348 0.003348
54.000000 0.004314 0.004314
55.000000 0.003343 0.003343
56.000000 0.006976 0.006976
57.000000 0.005002 0.005002
58.000000 0.004075 0.004075
59.000000 0.004454 0.004454
60.000000 0.002886 0.002886
61.000000 0.003966 0.003966
62.000000 0.004116 0.004116
63.000000 0.002755 0.002755
64.000000 0.004621 0.004621
65.000000 0.003691 0.003691
66.000000 0.003132 0.003132
67.000000 0.004139 0.004139
68.000000 0.003255 0.003255
69.000000 0.003111 0.003111
70.000000 0.003386 0.003386
71.000000 0.002843 0.002843
72.000000 0.003436 0.003436
73.000000 0.003092 0.003092
74.000000 0.003735 0.003735
75.000000 0.002952 0.002952
76.000000 0.002795 0.002795
77.000000 0.003100 0.003100
78.000000 0.003400 0.003400
79.000000 0.004028 0.004028
80.000000 0.003996 0.003996
