Interval	Avg	Std	CI=0.95	Min	Median	Max
    0 --     1	1584.960	139.933	173.750	1372.800	1549.600	1788.800
    1 --     2	1693.120	71.268	88.491	1612.000	1653.600	1788.800
    2 --     3	1647.360	92.226	114.514	1518.400	1684.800	1757.600
    3 --     4	1614.080	115.323	143.192	1404.000	1674.400	1726.400
    4 --     5	1661.920	190.907	237.043	1456.000	1674.400	1996.800
    5 --     6	1755.520	96.982	120.420	1580.800	1757.600	1851.200
    6 --     7	1672.320	155.847	193.510	1497.600	1643.200	1913.600
    7 --     8	1682.720	200.739	249.250	1466.400	1570.400	1955.200
    8 --     9	1797.120	129.462	160.749	1622.400	1840.800	1986.400
    9 --    10	1699.360	110.769	137.537	1508.000	1768.000	1809.600
   10 --    11	1772.160	184.711	229.348	1476.800	1809.600	2017.600
   11 --    12	1666.080	95.861	119.027	1497.600	1726.400	1757.600
   12 --    13	1682.720	134.864	167.455	1539.200	1601.600	1851.200
   13 --    14	1630.720	154.032	191.256	1456.000	1591.200	1903.200
   14 --    15	1605.760	160.255	198.982	1445.600	1591.200	1903.200
   15 --    16	1557.920	124.174	154.183	1414.400	1549.600	1768.000
   16 --    17	1705.600	151.283	187.843	1414.400	1778.400	1830.400
   17 --    18	1578.720	148.163	183.968	1300.000	1612.000	1726.400
   18 --    19	1680.640	146.577	182.000	1445.600	1664.000	1903.200
   19 --    20	1674.400	140.304	174.210	1508.000	1601.600	1892.800
   20 --    21	1709.760	135.854	168.686	1497.600	1788.800	1840.800
   21 --    22	1645.280	72.770	90.356	1539.200	1622.400	1757.600
   22 --    23	1645.280	88.100	109.390	1539.200	1674.400	1768.000
   23 --    24	1487.200	212.323	263.634	1144.000	1518.400	1809.600
   24 --    25	1697.280	71.268	88.491	1560.000	1716.000	1757.600
   25 --    26	1483.040	97.027	120.475	1393.600	1456.000	1653.600
   26 --    27	1582.880	210.625	261.526	1258.400	1570.400	1809.600
   27 --    28	1709.760	123.335	153.141	1508.000	1716.000	1851.200
   28 --    29	1647.360	125.939	156.374	1435.200	1653.600	1788.800
   29 --    30	1622.400	228.327	283.505	1393.600	1632.800	2028.000
   30 --    31	1716.000	99.970	124.129	1653.600	1664.000	1913.600
   31 --    32	1684.800	115.435	143.332	1518.400	1664.000	1851.200
   32 --    33	1682.720	98.751	122.615	1601.600	1612.000	1840.800
   33 --    34	1597.440	113.470	140.891	1404.000	1612.000	1736.800
   34 --    35	1682.720	92.881	115.327	1539.200	1716.000	1778.400
   35 --    36	1622.400	66.755	82.887	1560.000	1591.200	1747.200
   36 --    37	1647.360	131.649	163.464	1528.800	1622.400	1892.800
   37 --    38	1543.360	78.821	97.869	1445.600	1549.600	1653.600
   38 --    39	1724.320	190.112	236.056	1508.000	1799.200	1996.800
   39 --    40	1628.640	161.197	200.152	1320.800	1684.800	1778.400
   40 --    41	1651.520	102.407	127.155	1518.400	1705.600	1768.000
   41 --    42	1632.800	51.792	64.308	1560.000	1622.400	1705.600
   42 --    43	1582.880	87.854	109.085	1487.200	1580.800	1726.400
   43 --    44	1545.440	172.477	214.159	1289.600	1643.200	1736.800
   44 --    45	1593.280	214.795	266.703	1289.600	1653.600	1903.200
   45 --    46	1780.480	75.970	94.329	1705.600	1757.600	1913.600
