Interval	Avg	Std	CI=0.95	Min	Median	Max
    0 --     1	0.200	0.400	0.497	0.000	0.000	1.000
    1 --     2	3.130	2.887	3.584	0.000	1.458	7.097
    2 --     3	6.779	3.974	4.934	3.150	3.970	11.991
    3 --     4	8.439	3.449	4.283	5.167	6.000	13.867
    4 --     5	9.335	2.842	3.529	6.889	8.000	14.450
    5 --     6	10.577	1.435	1.781	9.145	10.000	13.307
    6 --     7	11.874	1.216	1.510	9.653	12.578	12.888
    7 --     8	13.316	0.836	1.039	12.335	13.367	14.314
    8 --     9	13.773	1.184	1.470	11.945	14.489	15.026
    9 --    10	14.174	1.946	2.416	11.318	13.783	17.223
   10 --    11	13.935	2.360	2.930	10.093	15.019	16.677
   11 --    12	14.685	2.277	2.827	11.496	15.882	17.245
   12 --    13	15.072	1.332	1.654	12.906	15.028	16.565
   13 --    14	14.476	1.028	1.276	13.226	14.226	15.754
   14 --    15	14.737	1.795	2.229	12.295	15.049	16.995
   15 --    16	15.819	1.794	2.227	12.976	15.598	18.097
   16 --    17	15.319	1.902	2.362	12.175	15.101	17.600
   17 --    18	14.288	2.125	2.638	11.074	14.086	16.881
   18 --    19	13.945	3.120	3.874	10.096	13.045	19.141
   19 --    20	13.954	3.420	4.246	9.348	13.071	19.877
   20 --    21	13.401	3.500	4.346	8.535	12.982	19.467
   21 --    22	13.800	3.486	4.329	9.790	12.518	19.962
   22 --    23	13.780	2.967	3.684	10.650	13.267	18.825
   23 --    24	14.075	3.585	4.451	9.847	13.843	20.279
   24 --    25	14.148	3.815	4.737	10.470	12.951	20.930
   25 --    26	13.573	4.072	5.056	9.688	12.056	21.146
   26 --    27	13.095	4.221	5.241	8.482	11.980	20.954
   27 --    28	13.080	4.012	4.982	9.648	12.161	20.838
   28 --    29	13.560	4.239	5.264	9.115	11.391	20.391
   29 --    30	13.679	5.599	6.952	8.068	10.260	23.246
   30 --    31	13.782	5.658	7.025	8.143	11.981	23.871
   31 --    32	14.254	6.021	7.477	8.010	13.443	24.489
   32 --    33	14.722	6.931	8.607	7.595	12.461	27.095
   33 --    34	15.325	6.344	7.877	10.483	11.340	26.948
   34 --    35	16.145	7.760	9.635	10.152	10.828	30.273
   35 --    36	16.099	8.322	10.333	9.262	10.379	30.643
   36 --    37	16.874	8.569	10.639	9.977	10.741	31.624
   37 --    38	17.686	8.188	10.167	10.934	12.777	32.208
   38 --    39	18.333	7.563	9.391	11.781	14.806	32.191
   39 --    40	18.460	7.506	9.320	11.234	15.139	32.433
   40 --    41	18.577	7.044	8.747	13.515	14.275	31.930
   41 --    42	17.989	7.634	9.478	12.472	13.140	32.345
   42 --    43	17.448	7.815	9.704	11.369	12.387	31.670
   43 --    44	17.263	7.841	9.736	10.713	12.450	30.794
   44 --    45	17.489	8.414	10.447	9.592	12.813	31.430
   45 --    46	17.235	8.140	10.107	8.902	14.505	30.771
   46 --    47	17.648	8.515	10.573	8.902	16.692	31.595
   47 --    48	19.532	9.005	11.181	9.177	18.003	30.478
   48 --    49	19.384	8.972	11.141	8.720	18.141	30.513
   49 --    50	18.744	9.058	11.247	8.793	16.905	30.473
   50 --    51	18.927	8.903	11.055	9.210	15.989	29.963
   51 --    52	18.526	9.444	11.727	8.135	15.156	30.642
   52 --    53	18.602	9.371	11.636	9.413	14.012	30.412
   53 --    54	18.943	9.192	11.414	9.189	14.228	30.594
   54 --    55	18.713	9.230	11.460	8.379	14.385	30.096
   55 --    56	18.783	8.938	11.098	7.047	15.213	30.064
   56 --    57	19.488	8.815	10.945	7.358	16.156	29.712
   57 --    58	19.832	8.910	11.063	9.396	15.058	30.709
   58 --    59	20.320	9.173	11.389	10.277	15.108	31.850
   59 --    60	19.587	9.217	11.444	9.382	15.278	31.413
   60 --    61	19.611	8.789	10.913	11.195	14.232	31.358
   61 --    62	19.717	8.723	10.831	11.031	13.554	31.278
   62 --    63	19.976	8.763	10.881	10.852	14.659	30.791
   63 --    64	20.209	8.747	10.861	9.951	15.217	30.730
   64 --    65	20.111	8.479	10.528	8.582	17.158	30.294
   65 --    66	20.317	8.497	10.551	7.824	17.553	30.666
   66 --    67	20.294	9.157	11.370	6.836	18.139	31.766
   67 --    68	19.655	9.380	11.647	5.611	17.139	31.224
   68 --    69	19.484	9.824	12.198	4.859	16.151	31.641
   69 --    70	19.387	9.098	11.296	7.098	15.282	31.290
   70 --    71	20.368	8.201	10.183	11.485	15.278	31.477
   71 --    72	20.486	8.124	10.087	10.514	16.483	31.397
   72 --    73	20.005	8.667	10.762	9.831	15.367	30.667
   73 --    74	21.610	8.338	10.352	12.906	16.213	32.756
   74 --    75	21.714	8.105	10.064	13.507	16.236	32.756
   75 --    76	21.175	8.650	10.741	12.842	15.117	32.756
   76 --    77	21.644	8.088	10.042	13.950	17.157	32.394
   77 --    78	21.455	7.726	9.593	12.944	17.265	31.896
