Interval	Avg	Std	CI=0.95	Min	Median	Max
    0 --     1	0.000	0.000	0.000	0.000	0.000	0.000
    1 --     2	3.030	2.120	2.632	0.708	2.417	6.999
    2 --     3	7.145	2.737	3.399	2.942	6.952	11.566
    3 --     4	10.674	2.561	3.180	6.396	10.525	13.931
    4 --     5	12.748	2.573	3.195	8.333	12.816	15.489
    5 --     6	13.818	2.664	3.307	10.992	12.783	18.610
    6 --     7	15.417	2.181	2.708	11.374	15.889	17.650
    7 --     8	16.863	3.119	3.872	10.660	18.505	18.755
    8 --     9	16.712	3.384	4.201	10.050	17.870	19.151
    9 --    10	16.930	3.264	4.053	11.239	16.738	20.483
   10 --    11	16.378	3.137	3.896	10.569	17.290	19.325
   11 --    12	16.104	3.039	3.773	10.571	18.155	18.506
   12 --    13	15.896	3.223	4.002	10.422	17.317	19.767
   13 --    14	15.893	3.354	4.165	9.556	16.510	19.241
   14 --    15	15.658	3.102	3.852	10.193	16.354	19.670
   15 --    16	14.996	3.667	4.553	9.069	15.195	20.544
   16 --    17	14.525	4.226	5.247	8.541	14.178	21.723
   17 --    18	14.101	3.658	4.542	9.190	13.459	20.557
   18 --    19	13.883	3.663	4.548	8.470	13.589	19.911
   19 --    20	14.240	4.068	5.051	8.230	14.580	20.721
   20 --    21	15.064	4.015	4.985	10.315	14.444	22.035
   21 --    22	15.771	4.712	5.850	10.767	13.855	24.190
   22 --    23	15.365	5.067	6.292	9.423	13.880	23.556
   23 --    24	15.199	4.937	6.130	8.883	15.172	22.660
   24 --    25	15.846	4.401	5.464	9.931	15.444	21.477
   25 --    26	15.719	5.076	6.302	8.362	14.673	21.517
   26 --    27	17.125	5.180	6.432	9.277	18.028	24.273
   27 --    28	17.458	4.491	5.577	11.873	18.580	23.408
   28 --    29	17.371	4.508	5.597	11.873	17.604	24.058
   29 --    30	17.144	3.882	4.821	12.750	17.142	23.120
   30 --    31	16.555	3.977	4.938	10.682	17.608	21.956
   31 --    32	17.321	2.926	3.633	13.363	18.811	20.871
   32 --    33	17.061	3.052	3.789	12.102	18.713	19.979
   33 --    34	16.426	3.214	3.990	11.308	18.759	19.119
   34 --    35	16.671	3.450	4.284	11.152	18.036	20.759
   35 --    36	17.246	3.760	4.668	12.079	16.985	23.559
   36 --    37	18.272	4.294	5.332	11.939	17.617	23.670
   37 --    38	19.082	5.802	7.205	11.447	17.445	27.719
   38 --    39	19.562	5.765	7.159	10.523	19.860	26.960
   39 --    40	19.744	5.322	6.608	10.448	20.954	26.007
   40 --    41	19.596	4.879	6.058	10.746	20.025	24.853
   41 --    42	19.653	5.567	6.913	9.571	21.329	25.804
   42 --    43	19.382	6.339	7.871	8.385	22.141	27.089
   43 --    44	19.162	6.362	7.900	8.030	21.175	25.810
   44 --    45	18.934	6.382	7.924	8.030	21.798	25.037
   45 --    46	19.103	5.946	7.383	10.030	20.785	25.646
   46 --    47	20.549	6.338	7.870	9.664	19.909	28.324
   47 --    48	20.803	6.674	8.287	10.163	20.255	30.609
   48 --    49	20.162	6.792	8.434	9.295	19.395	29.587
   49 --    50	19.605	6.752	8.384	8.258	18.798	28.373
   50 --    51	19.621	7.016	8.711	7.916	20.155	28.966
   51 --    52	19.809	7.279	9.038	7.624	22.602	28.831
   52 --    53	21.124	7.753	9.627	7.565	23.529	30.741
   53 --    54	22.408	7.316	9.084	9.503	22.645	32.047
   54 --    55	22.471	7.249	9.001	10.627	21.489	32.791
   55 --    56	22.483	8.179	10.155	9.724	20.408	34.053
   56 --    57	22.910	8.373	10.397	9.313	20.895	32.766
   57 --    58	23.283	8.512	10.569	8.433	24.677	32.162
   58 --    59	23.809	8.579	10.652	7.836	24.631	31.951
   59 --    60	23.383	7.991	9.922	8.542	24.090	31.069
   60 --    61	22.694	8.011	9.947	8.076	23.062	31.143
   61 --    62	23.279	7.868	9.770	9.085	24.002	31.233
   62 --    63	24.432	7.512	9.327	11.001	25.181	32.127
   63 --    64	24.866	6.957	8.639	11.583	25.954	31.177
   64 --    65	26.122	5.888	7.311	14.582	28.297	30.542
   65 --    66	25.781	5.986	7.433	14.192	28.225	30.945
   66 --    67	26.125	6.424	7.976	13.442	28.348	30.742
   67 --    68	27.132	7.338	9.112	12.484	30.537	31.663
   68 --    69	27.544	7.964	9.888	11.833	30.685	33.554
   69 --    70	27.677	7.761	9.636	12.285	31.748	32.544
   70 --    71	27.072	7.823	9.714	11.534	30.558	32.289
   71 --    72	26.381	8.290	10.294	9.956	30.462	31.665
   72 --    73	26.130	8.414	10.447	9.323	30.266	30.989
   73 --    74	25.919	8.989	11.161	7.969	30.061	31.366
   74 --    75	26.199	8.350	10.368	9.518	30.346	30.792
   75 --    76	25.644	8.707	10.811	8.298	29.543	31.036
   76 --    77	25.868	9.233	11.465	7.439	30.311	31.084
   77 --    78	25.535	9.226	11.455	7.115	29.778	30.970
   78 --    79	25.597	9.074	11.267	7.504	29.675	31.480
   79 --    80	26.707	8.637	10.724	9.471	30.762	31.911
   80 --    81	26.284	8.637	10.724	9.043	30.542	31.390
   81 --    82	26.307	8.516	10.574	9.319	30.672	31.213
   82 --    83	27.279	8.372	10.395	10.587	30.816	32.419
   83 --    84	27.028	8.209	10.193	10.694	30.347	32.422
   84 --    85	27.007	8.506	10.562	10.008	31.165	31.869
   85 --    86	27.090	7.596	9.431	11.974	30.559	31.845
   86 --    87	27.067	7.097	8.812	12.900	30.347	31.408
   87 --    88	26.818	6.325	7.854	14.176	29.906	30.360
   88 --    89	27.497	6.019	7.474	15.732	29.552	31.882
   89 --    90	27.445	6.703	8.323	14.484	30.520	33.316
   90 --    91	26.597	6.896	8.563	13.349	29.967	32.363
   91 --    92	25.873	6.958	8.639	12.551	28.846	31.195
   92 --    93	25.642	7.218	8.962	11.509	28.121	30.937
   93 --    94	26.118	7.684	9.541	10.881	29.425	31.386
   94 --    95	26.408	7.689	9.547	11.291	30.343	32.017
   95 --    96	26.785	6.485	8.052	14.443	29.200	33.361
   96 --    97	27.534	6.280	7.798	15.492	29.095	33.919
   97 --    98	28.206	5.763	7.155	16.956	30.467	33.376
   98 --    99	28.586	5.290	6.568	18.271	30.067	32.522
   99 --   100	28.066	4.462	5.540	19.422	29.734	31.546
  100 --   101	28.251	5.212	6.472	18.255	30.837	32.363
  101 --   102	28.772	4.412	5.479	20.207	31.305	32.019
  102 --   103	27.946	3.995	4.960	20.259	29.996	30.874
  103 --   104	28.145	4.250	5.277	19.652	30.187	30.457
  104 --   105	28.727	4.265	5.296	20.243	30.605	31.658
  105 --   106	27.918	4.399	5.462	19.198	29.484	30.848
  106 --   107	28.195	3.120	3.874	21.958	29.770	29.876
  107 --   108	28.486	3.658	4.542	21.255	29.747	31.153
  108 --   109	27.920	3.999	4.966	20.256	28.669	31.679
  109 --   110	28.348	3.553	4.412	21.408	29.389	31.029
  110 --   111	28.054	3.523	4.374	21.099	29.816	30.634
  111 --   112	28.572	3.433	4.263	21.819	30.168	30.937
  112 --   113	28.466	3.186	3.956	22.297	29.543	30.967
  113 --   114	28.169	3.750	4.656	21.146	29.405	31.645
  114 --   115	27.790	3.850	4.781	20.227	29.504	30.824
  115 --   116	28.319	4.587	5.695	19.295	30.016	31.986
  116 --   117	27.848	4.603	5.716	18.680	29.866	30.947
  117 --   118	27.697	4.218	5.237	19.289	29.574	30.402
  118 --   119	27.681	4.760	5.911	18.224	29.930	30.688
  119 --   120	27.687	4.631	5.751	18.609	29.752	31.011
  120 --   121	28.048	4.641	5.763	19.070	30.704	31.418
  121 --   122	28.944	3.882	4.820	21.250	31.003	31.455
  122 --   123	28.570	3.312	4.113	22.020	29.885	30.873
  123 --   124	28.466	3.539	4.394	21.473	29.836	30.819
  124 --   125	28.080	4.014	4.984	20.111	29.677	30.758
  125 --   126	28.083	3.472	4.310	21.276	29.770	30.863
  126 --   127	28.143	4.114	5.109	20.246	29.322	32.279
  127 --   128	27.948	4.670	5.798	19.165	29.079	33.036
  128 --   129	27.460	4.765	5.917	18.331	29.611	31.956
  129 --   130	27.316	5.220	6.481	17.332	30.581	31.001
  130 --   131	26.897	5.531	6.867	16.235	30.098	30.794
  131 --   132	27.406	5.800	7.201	16.666	29.719	33.213
  132 --   133	27.280	5.316	6.601	17.665	29.925	32.249
  133 --   134	26.673	4.684	5.817	18.473	29.482	31.034
  134 --   135	26.506	4.914	6.102	18.248	29.928	30.790
  135 --   136	25.937	5.285	6.562	17.238	29.064	31.147
  136 --   137	26.216	5.276	6.551	18.255	29.666	31.530
  137 --   138	25.907	5.521	6.856	17.907	30.190	30.620
  138 --   139	27.107	5.218	6.479	19.283	30.019	32.130
  139 --   140	27.530	5.016	6.229	20.903	30.820	32.127
  140 --   141	26.961	4.733	5.877	20.982	30.157	31.427
  141 --   142	27.081	4.261	5.291	21.721	30.013	30.878
  142 --   143	26.733	4.173	5.182	20.698	29.336	30.743
  143 --   144	26.575	4.389	5.450	20.357	29.331	31.442
  144 --   145	26.352	3.854	4.785	20.923	28.229	30.673
  145 --   146	26.414	4.380	5.438	19.838	28.965	30.543
  146 --   147	26.707	3.344	4.152	21.800	28.653	30.051
  147 --   148	27.643	3.492	4.335	22.990	29.992	30.788
  148 --   149	27.454	3.865	4.799	22.091	28.722	32.653
  149 --   150	28.010	4.068	5.051	21.476	29.905	32.540
  150 --   151	27.429	3.652	4.534	21.680	28.773	31.437
  151 --   152	26.998	4.032	5.006	20.861	28.332	31.838
  152 --   153	27.024	4.142	5.143	21.359	29.048	31.246
  153 --   154	27.642	2.516	3.124	23.962	28.698	30.548
  154 --   155	27.547	2.567	3.188	24.401	28.725	30.617
  155 --   156	27.861	2.871	3.565	23.285	29.966	30.235
  156 --   157	28.213	2.971	3.689	23.694	29.456	32.207
  157 --   158	28.583	2.757	3.423	23.545	29.938	31.136
  158 --   159	28.467	2.960	3.675	23.344	29.016	32.388
  159 --   160	28.458	2.502	3.106	24.001	29.423	31.269
  160 --   161	28.194	2.663	3.307	23.196	28.626	30.625
  161 --   162	27.955	3.633	4.510	21.037	29.245	31.145
  162 --   163	28.288	3.016	3.745	22.482	28.839	30.707
  163 --   164	27.698	3.077	3.821	21.802	28.887	30.318
  164 --   165	27.370	3.359	4.171	21.168	28.725	30.819
  165 --   166	26.687	3.586	4.453	20.199	27.866	29.838
  166 --   167	26.321	3.842	4.770	19.081	28.334	29.478
  167 --   168	26.584	3.873	4.810	19.560	27.502	30.179
  168 --   169	26.063	3.966	4.924	19.153	26.690	30.262
  169 --   170	26.300	4.544	5.642	18.066	27.943	30.529
  170 --   171	25.881	4.700	5.836	17.080	28.717	29.486
  171 --   172	26.218	5.192	6.447	16.324	29.125	30.027
  172 --   173	26.469	5.827	7.235	15.148	29.349	31.105
  173 --   174	26.329	6.037	7.496	14.764	30.105	30.590
  174 --   175	26.682	4.967	6.167	17.230	29.381	30.596
  175 --   176	26.169	5.180	6.432	16.016	28.504	29.971
  176 --   177	26.730	5.560	6.903	16.000	29.557	31.081
  177 --   178	26.877	5.165	6.413	17.328	29.366	31.632
  178 --   179	26.541	5.233	6.498	17.040	28.379	31.363
  179 --   180	26.528	5.471	6.793	16.316	28.657	31.952
  180 --   181	26.031	5.032	6.247	16.780	28.931	30.604
  181 --   182	26.810	5.065	6.289	18.118	30.170	31.224
  182 --   183	27.015	5.197	6.453	18.898	29.734	32.483
  183 --   184	26.095	5.332	6.621	17.904	28.739	32.077
  184 --   185	25.886	6.096	7.569	16.976	27.709	32.934
  185 --   186	24.889	5.917	7.347	15.819	26.828	31.573
  186 --   187	25.493	6.011	7.463	15.307	26.682	32.796
  187 --   188	25.781	5.364	6.660	16.457	26.698	31.634
  188 --   189	24.857	5.000	6.208	16.358	25.590	30.613
