Time 1-10.0.0.3-10.0.0.2 Aggregate-Flow
0.000000 0.003264 0.003264
1.000000 0.004942 0.004942
2.000000 0.006456 0.006456
3.000000 0.004511 0.004511
4.000000 0.005679 0.005679
5.000000 0.003786 0.003786
6.000000 0.003347 0.003347
7.000000 0.006468 0.006468
8.000000 0.002657 0.002657
9.000000 0.002704 0.002704
10.000000 0.004840 0.004840
11.000000 0.002604 0.002604
12.000000 0.002902 0.002902
13.000000 0.005580 0.005580
14.000000 0.004461 0.004461
15.000000 0.003770 0.003770
16.000000 0.002038 0.002038
17.000000 0.004737 0.004737
18.000000 0.008731 0.008731
19.000000 0.006006 0.006006
20.000000 0.003671 0.003671
21.000000 0.006427 0.006427
22.000000 0.006948 0.006948
23.000000 0.007485 0.007485
24.000000 0.005038 0.005038
25.000000 0.004926 0.004926
26.000000 0.006195 0.006195
27.000000 0.001522 0.001522
28.000000 0.005977 0.005977
29.000000 0.004953 0.004953
30.000000 0.003742 0.003742
31.000000 0.007155 0.007155
32.000000 0.002987 0.002987
33.000000 0.003222 0.003222
34.000000 0.005721 0.005721
35.000000 0.010520 0.010520
36.000000 0.006565 0.006565
37.000000 0.003926 0.003926
38.000000 0.003404 0.003404
39.000000 0.004406 0.004406
40.000000 0.005124 0.005124
41.000000 0.006308 0.006308
42.000000 0.002660 0.002660
43.000000 0.002796 0.002796
44.000000 0.002535 0.002535
45.000000 0.004893 0.004893
46.000000 0.005592 0.005592
47.000000 0.003548 0.003548
48.000000 0.004979 0.004979
49.000000 0.005688 0.005688
50.000000 0.003614 0.003614
51.000000 0.004459 0.004459
52.000000 0.002562 0.002562
53.000000 0.005531 0.005531
54.000000 0.004569 0.004569
55.000000 0.004007 0.004007
56.000000 0.007339 0.007339
57.000000 0.004167 0.004167
58.000000 0.006132 0.006132
59.000000 0.002505 0.002505
60.000000 0.014855 0.014855
61.000000 0.005128 0.005128
62.000000 0.002141 0.002141
63.000000 0.005855 0.005855
64.000000 0.003298 0.003298
65.000000 0.008885 0.008885
66.000000 0.006462 0.006462
67.000000 0.002922 0.002922
68.000000 0.005221 0.005221
69.000000 0.007226 0.007226
70.000000 0.006788 0.006788
71.000000 0.004113 0.004113
72.000000 0.002121 0.002121
73.000000 0.008435 0.008435
74.000000 0.002492 0.002492
75.000000 0.005547 0.005547
76.000000 0.008481 0.008481
77.000000 0.002810 0.002810
78.000000 0.005487 0.005487
79.000000 0.006506 0.006506
80.000000 0.006023 0.006023
81.000000 0.008936 0.008936
82.000000 0.002364 0.002364
83.000000 0.006636 0.006636
84.000000 0.005790 0.005790
85.000000 0.007672 0.007672
86.000000 0.007888 0.007888
87.000000 0.004067 0.004067
88.000000 0.006186 0.006186
89.000000 0.003500 0.003500
90.000000 0.005371 0.005371
91.000000 0.006561 0.006561
92.000000 0.002497 0.002497
93.000000 0.007240 0.007240
94.000000 0.002481 0.002481
95.000000 0.005570 0.005570
96.000000 0.008345 0.008345
97.000000 0.003766 0.003766
98.000000 0.006450 0.006450
99.000000 0.005188 0.005188
100.000000 0.005908 0.005908
101.000000 0.007352 0.007352
102.000000 0.002976 0.002976
103.000000 0.006221 0.006221
104.000000 0.008061 0.008061
105.000000 0.006816 0.006816
106.000000 0.002603 0.002603
107.000000 0.006132 0.006132
108.000000 0.004957 0.004957
109.000000 0.003608 0.003608
110.000000 0.004465 0.004465
111.000000 0.007187 0.007187
112.000000 0.007196 0.007196
113.000000 0.002816 0.002816
114.000000 0.002652 0.002652
115.000000 0.007202 0.007202
116.000000 0.004708 0.004708
117.000000 0.005860 0.005860
118.000000 0.002665 0.002665
119.000000 0.004914 0.004914
120.000000 0.004666 0.004666
121.000000 0.008128 0.008128
122.000000 0.006076 0.006076
123.000000 0.005149 0.005149
124.000000 0.006526 0.006526
125.000000 0.004042 0.004042
126.000000 0.003192 0.003192
127.000000 0.003606 0.003606
128.000000 0.001558 0.001558
129.000000 0.001710 0.001710
130.000000 0.003559 0.003559
131.000000 0.003956 0.003956
132.000000 0.003862 0.003862
133.000000 0.005862 0.005862
134.000000 0.002434 0.002434
135.000000 0.002467 0.002467
136.000000 0.006164 0.006164
137.000000 0.003459 0.003459
138.000000 0.002211 0.002211
139.000000 0.004531 0.004531
140.000000 0.003158 0.003158
141.000000 0.004655 0.004655
142.000000 0.003627 0.003627
143.000000 0.007523 0.007523
144.000000 0.008148 0.008148
145.000000 0.009061 0.009061
146.000000 0.005667 0.005667
147.000000 0.006518 0.006518
148.000000 0.008505 0.008505
149.000000 0.006308 0.006308
150.000000 0.005837 0.005837
151.000000 0.005272 0.005272
152.000000 0.004367 0.004367
153.000000 0.001784 0.001784
154.000000 0.005262 0.005262
155.000000 0.004144 0.004144
156.000000 0.006985 0.006985
157.000000 0.007403 0.007403
158.000000 0.002821 0.002821
159.000000 0.005148 0.005148
160.000000 0.004399 0.004399
161.000000 0.005966 0.005966
162.000000 0.002392 0.002392
163.000000 0.006169 0.006169
164.000000 0.004049 0.004049
165.000000 0.005136 0.005136
166.000000 0.007546 0.007546
167.000000 0.006700 0.006700
168.000000 0.006509 0.006509
169.000000 0.002922 0.002922
170.000000 0.002079 0.002079
171.000000 0.003672 0.003672
172.000000 0.001774 0.001774
173.000000 0.002185 0.002185
174.000000 0.002781 0.002781
175.000000 0.005137 0.005137
176.000000 0.002175 0.002175
177.000000 0.004119 0.004119
178.000000 0.004429 0.004429
179.000000 0.005904 0.005904
180.000000 0.004492 0.004492
181.000000 0.002753 0.002753
182.000000 0.002229 0.002229
183.000000 0.003286 0.003286
184.000000 0.006294 0.006294
185.000000 0.001893 0.001893
186.000000 0.003604 0.003604
187.000000 0.006885 0.006885
188.000000 0.005108 0.005108
189.000000 0.004954 0.004954
190.000000 0.006469 0.006469
191.000000 0.007275 0.007275
192.000000 0.002601 0.002601
193.000000 0.005838 0.005838
194.000000 0.005544 0.005544
195.000000 0.009319 0.009319
196.000000 0.006184 0.006184
197.000000 0.003723 0.003723
198.000000 0.002993 0.002993
199.000000 0.002008 0.002008
200.000000 0.005109 0.005109
201.000000 0.009703 0.009703
202.000000 0.006356 0.006356
203.000000 0.006149 0.006149
204.000000 0.007939 0.007939
205.000000 0.006777 0.006777
206.000000 0.005604 0.005604
207.000000 0.007256 0.007256
208.000000 0.005882 0.005882
209.000000 0.004899 0.004899
210.000000 0.003869 0.003869
211.000000 0.006614 0.006614
212.000000 0.002400 0.002400
213.000000 0.005540 0.005540
214.000000 0.004266 0.004266
215.000000 0.001959 0.001959
216.000000 0.005765 0.005765
217.000000 0.003683 0.003683
218.000000 0.006462 0.006462
219.000000 0.003828 0.003828
220.000000 0.001646 0.001646
221.000000 0.006540 0.006540
222.000000 0.002976 0.002976
223.000000 0.002168 0.002168
224.000000 0.003147 0.003147
225.000000 0.004499 0.004499
226.000000 0.007846 0.007846
227.000000 0.005110 0.005110
228.000000 0.002790 0.002790
229.000000 0.002115 0.002115
230.000000 0.003875 0.003875
231.000000 0.003636 0.003636
232.000000 0.003939 0.003939
233.000000 0.002673 0.002673
234.000000 0.004779 0.004779
235.000000 0.004089 0.004089
236.000000 0.005831 0.005831
237.000000 0.004859 0.004859
238.000000 0.004606 0.004606
239.000000 0.001751 0.001751
240.000000 0.005256 0.005256
241.000000 0.002806 0.002806
242.000000 0.006574 0.006574
243.000000 0.007717 0.007717
244.000000 0.002929 0.002929
245.000000 0.002881 0.002881
246.000000 0.002867 0.002867
247.000000 0.004158 0.004158
248.000000 0.006950 0.006950
249.000000 0.004701 0.004701
250.000000 0.003069 0.003069
251.000000 0.002011 0.002011
252.000000 0.002735 0.002735
253.000000 0.005620 0.005620
254.000000 0.006068 0.006068
255.000000 0.002261 0.002261
256.000000 0.001927 0.001927
257.000000 0.004962 0.004962
258.000000 0.002897 0.002897
259.000000 0.002489 0.002489
260.000000 0.002841 0.002841
261.000000 0.001872 0.001872
262.000000 0.002228 0.002228
263.000000 0.001754 0.001754
264.000000 0.002559 0.002559
265.000000 0.002846 0.002846
266.000000 0.002043 0.002043
267.000000 0.003878 0.003878
268.000000 0.007816 0.007816
269.000000 0.005669 0.005669
270.000000 0.003380 0.003380
271.000000 0.002200 0.002200
272.000000 0.007465 0.007465
273.000000 0.003076 0.003076
274.000000 0.001501 0.001501
275.000000 0.003394 0.003394
276.000000 0.002563 0.002563
277.000000 0.001743 0.001743
278.000000 0.002341 0.002341
279.000000 0.002276 0.002276
280.000000 0.001815 0.001815
281.000000 0.003260 0.003260
282.000000 0.002999 0.002999
283.000000 0.001648 0.001648
284.000000 0.007069 0.007069
285.000000 0.004493 0.004493
286.000000 0.003134 0.003134
287.000000 0.003263 0.003263
288.000000 0.003469 0.003469
289.000000 0.001919 0.001919
290.000000 0.005554 0.005554
291.000000 0.002362 0.002362
292.000000 0.002190 0.002190
293.000000 0.004350 0.004350
294.000000 0.005356 0.005356
295.000000 0.001824 0.001824
296.000000 0.002389 0.002389
297.000000 0.002960 0.002960
298.000000 0.004204 0.004204
299.000000 0.003327 0.003327
300.000000 0.005559 0.005559
301.000000 0.005108 0.005108
302.000000 0.005583 0.005583
303.000000 0.003302 0.003302
304.000000 0.002336 0.002336
305.000000 0.004228 0.004228
306.000000 0.006055 0.006055
307.000000 0.004989 0.004989
308.000000 0.003245 0.003245
309.000000 0.002284 0.002284
310.000000 0.004368 0.004368
311.000000 0.003300 0.003300
312.000000 0.005770 0.005770
313.000000 0.005512 0.005512
314.000000 0.004212 0.004212
