Time 1-10.0.0.3-10.0.0.2 Aggregate-Flow
0.000000 0.001923 0.001923
1.000000 0.003006 0.003006
2.000000 0.002888 0.002888
3.000000 0.003799 0.003799
4.000000 0.004812 0.004812
5.000000 0.004010 0.004010
6.000000 0.003324 0.003324
7.000000 0.003529 0.003529
8.000000 0.002380 0.002380
9.000000 0.003664 0.003664
10.000000 0.003321 0.003321
11.000000 0.003735 0.003735
12.000000 0.003125 0.003125
13.000000 0.004100 0.004100
14.000000 0.004975 0.004975
15.000000 0.003606 0.003606
16.000000 0.003259 0.003259
17.000000 0.003741 0.003741
18.000000 0.003184 0.003184
19.000000 0.003340 0.003340
20.000000 0.003968 0.003968
21.000000 0.003547 0.003547
22.000000 0.003351 0.003351
23.000000 0.004057 0.004057
24.000000 0.003398 0.003398
25.000000 0.003305 0.003305
26.000000 0.002863 0.002863
27.000000 0.003415 0.003415
28.000000 0.003500 0.003500
29.000000 0.003920 0.003920
30.000000 0.003572 0.003572
31.000000 0.003477 0.003477
32.000000 0.004007 0.004007
33.000000 0.003518 0.003518
34.000000 0.003197 0.003197
35.000000 0.003297 0.003297
36.000000 0.004453 0.004453
37.000000 0.003358 0.003358
38.000000 0.003091 0.003091
39.000000 0.003839 0.003839
40.000000 0.003207 0.003207
41.000000 0.003717 0.003717
42.000000 0.003008 0.003008
43.000000 0.003738 0.003738
44.000000 0.004058 0.004058
45.000000 0.003360 0.003360
46.000000 0.003387 0.003387
47.000000 0.002434 0.002434
48.000000 0.003276 0.003276
49.000000 0.003625 0.003625
50.000000 0.003270 0.003270
51.000000 0.003378 0.003378
52.000000 0.002924 0.002924
53.000000 0.003946 0.003946
54.000000 0.003415 0.003415
55.000000 0.002782 0.002782
56.000000 0.003379 0.003379
57.000000 0.003180 0.003180
58.000000 0.002806 0.002806
59.000000 0.003323 0.003323
60.000000 0.003766 0.003766
61.000000 0.003601 0.003601
62.000000 0.002940 0.002940
63.000000 0.002468 0.002468
64.000000 0.003846 0.003846
65.000000 0.003658 0.003658
66.000000 0.003556 0.003556
67.000000 0.003624 0.003624
68.000000 0.003279 0.003279
69.000000 0.004125 0.004125
70.000000 0.003249 0.003249
71.000000 0.002763 0.002763
72.000000 0.003179 0.003179
73.000000 0.002943 0.002943
74.000000 0.003192 0.003192
75.000000 0.003701 0.003701
76.000000 0.003007 0.003007
77.000000 0.004568 0.004568
78.000000 0.002955 0.002955
79.000000 0.003807 0.003807
80.000000 0.003669 0.003669
81.000000 0.004242 0.004242
82.000000 0.003146 0.003146
83.000000 0.002379 0.002379
84.000000 0.002511 0.002511
85.000000 0.002455 0.002455
86.000000 0.002417 0.002417
87.000000 0.003236 0.003236
88.000000 0.003646 0.003646
89.000000 0.004743 0.004743
90.000000 0.003509 0.003509
91.000000 0.003483 0.003483
92.000000 0.003462 0.003462
93.000000 0.003448 0.003448
94.000000 0.002895 0.002895
95.000000 0.002395 0.002395
96.000000 0.003641 0.003641
97.000000 0.002873 0.002873
98.000000 0.003482 0.003482
99.000000 0.003104 0.003104
100.000000 0.002267 0.002267
101.000000 0.002917 0.002917
102.000000 0.003797 0.003797
103.000000 0.003414 0.003414
104.000000 0.003879 0.003879
105.000000 0.004007 0.004007
106.000000 0.003165 0.003165
107.000000 0.003281 0.003281
108.000000 0.003583 0.003583
109.000000 0.003193 0.003193
110.000000 0.003319 0.003319
111.000000 0.003128 0.003128
112.000000 0.004074 0.004074
113.000000 0.003434 0.003434
114.000000 0.004255 0.004255
115.000000 0.004599 0.004599
