Interval	Avg	Std	CI=0.95	Min	Median	Max
    0 --     1	2.351	4.703	5.839	0.000	0.000	11.756
    1 --     2	4.351	3.814	4.736	0.000	4.000	11.290
    2 --     3	6.961	3.149	3.910	2.549	6.000	10.656
    3 --     4	8.533	2.178	2.704	5.903	9.401	11.137
    4 --     5	9.843	1.772	2.200	8.000	9.616	13.075
    5 --     6	11.370	0.777	0.965	10.000	11.564	12.206
    6 --     7	13.375	1.863	2.313	11.000	13.331	15.512
    7 --     8	14.178	1.906	2.367	11.369	14.967	16.260
    8 --     9	13.580	1.973	2.450	10.206	13.967	15.813
    9 --    10	13.168	1.141	1.417	11.657	12.860	14.651
   10 --    11	13.055	0.963	1.195	11.651	13.108	14.273
   11 --    12	13.374	2.543	3.157	11.407	12.384	18.402
   12 --    13	14.028	3.971	4.931	10.007	12.096	20.934
   13 --    14	13.933	4.426	5.495	9.306	12.599	21.693
   14 --    15	13.675	4.123	5.119	8.369	14.285	20.574
   15 --    16	13.588	4.553	5.653	6.756	14.525	20.195
   16 --    17	13.495	4.920	6.109	6.439	15.329	20.322
   17 --    18	12.999	4.787	5.943	6.560	14.645	19.709
   18 --    19	13.417	4.955	6.152	7.538	13.558	21.946
   19 --    20	13.407	6.280	7.797	7.038	12.404	25.089
   20 --    21	13.310	5.623	6.982	8.542	11.388	24.239
   21 --    22	12.747	5.349	6.641	8.054	11.301	23.171
   22 --    23	12.935	6.215	7.717	6.867	10.326	24.613
   23 --    24	12.927	6.314	7.840	6.118	10.986	24.151
   24 --    25	12.524	6.618	8.217	5.817	10.620	24.311
   25 --    26	12.952	6.293	7.814	6.299	9.587	23.375
   26 --    27	13.599	6.603	8.198	5.118	11.490	22.304
   27 --    28	13.031	6.026	7.482	5.207	10.120	21.261
   28 --    29	13.481	6.550	8.133	6.248	10.653	23.887
   29 --    30	13.225	7.668	9.521	5.214	9.946	26.159
   30 --    31	12.674	7.926	9.842	4.266	8.949	25.380
   31 --    32	12.895	8.383	10.408	3.363	7.831	24.251
   32 --    33	13.147	8.127	10.091	4.525	8.083	23.366
   33 --    34	12.917	7.436	9.233	5.399	9.171	22.192
   34 --    35	12.739	8.771	10.890	3.900	8.929	25.595
   35 --    36	12.929	8.250	10.243	4.317	9.905	25.241
   36 --    37	13.149	8.034	9.976	3.367	11.533	25.415
   37 --    38	13.799	8.236	10.227	2.718	11.468	25.591
   38 --    39	14.139	7.794	9.678	3.171	10.784	24.373
   39 --    40	14.516	7.810	9.697	3.738	12.707	23.479
   40 --    41	14.591	7.151	8.879	6.239	12.314	23.136
   41 --    42	14.640	7.106	8.824	6.085	11.634	23.715
   42 --    43	15.624	9.100	11.299	5.463	10.466	29.643
   43 --    44	15.684	9.026	11.207	6.571	9.858	29.928
   44 --    45	15.490	8.632	10.718	7.393	10.179	28.860
   45 --    46	15.683	8.347	10.365	7.600	10.287	28.037
   46 --    47	15.510	8.198	10.179	7.467	10.138	27.132
   47 --    48	15.563	8.578	10.651	7.646	9.988	28.884
   48 --    49	15.067	8.647	10.737	7.507	9.748	29.009
   49 --    50	14.394	8.883	11.030	6.429	8.540	29.001
   50 --    51	14.395	9.299	11.546	6.506	7.861	30.379
   51 --    52	14.756	8.627	10.712	7.427	8.822	29.923
   52 --    53	15.284	8.277	10.277	7.687	10.635	29.207
   53 --    54	16.126	8.532	10.594	6.835	12.171	29.402
   54 --    55	15.457	8.398	10.428	5.733	11.802	28.601
   55 --    56	15.336	8.101	10.059	4.624	12.732	27.660
   56 --    57	14.858	7.852	9.750	3.597	12.548	26.554
   57 --    58	14.670	7.711	9.574	2.690	13.879	25.481
   58 --    59	14.417	7.623	9.465	3.152	13.049	24.694
   59 --    60	14.780	7.872	9.774	4.273	12.851	26.166
   60 --    61	15.112	8.337	10.352	4.998	12.943	27.185
   61 --    62	15.585	9.239	11.472	5.506	12.165	29.012
   62 --    63	15.958	9.129	11.335	6.344	12.568	29.091
   63 --    64	15.604	8.278	10.278	6.725	11.949	27.628
   64 --    65	15.787	7.805	9.691	8.513	10.440	27.623
   65 --    66	16.156	8.369	10.392	7.982	10.633	28.699
   66 --    67	17.369	9.054	11.242	8.547	11.734	31.968
   67 --    68	18.164	8.639	10.726	9.605	12.396	31.878
   68 --    69	19.177	9.664	12.000	9.341	12.609	32.954
   69 --    70	18.867	9.541	11.847	9.476	12.863	31.830
   70 --    71	18.665	9.893	12.283	8.869	13.242	30.823
   71 --    72	18.202	9.560	11.871	9.281	12.091	30.345
   72 --    73	17.811	9.274	11.516	7.890	12.512	29.462
   73 --    74	17.780	9.488	11.781	7.086	14.217	29.645
   74 --    75	18.255	9.206	11.431	6.127	15.120	30.388
   75 --    76	17.827	8.841	10.978	5.229	14.814	29.188
   76 --    77	17.631	8.588	10.664	4.261	15.416	28.244
   77 --    78	17.766	7.497	9.309	6.322	15.494	27.276
   78 --    79	17.624	7.817	9.706	6.107	15.125	28.606
   79 --    80	16.609	7.703	9.565	5.248	14.058	27.305
   80 --    81	16.628	7.942	9.861	4.356	16.279	27.371
   81 --    82	16.902	8.160	10.132	3.394	16.166	27.426
   82 --    83	17.312	7.805	9.692	3.543	17.321	26.976
   83 --    84	17.098	7.456	9.257	4.730	16.103	27.392
   84 --    85	17.785	7.115	8.834	5.442	17.915	27.521
   85 --    86	18.013	6.924	8.597	5.954	19.303	27.484
   86 --    87	18.394	6.798	8.441	7.064	18.359	28.286
   87 --    88	18.349	6.918	8.590	7.042	17.564	28.347
   88 --    89	18.093	6.567	8.155	8.274	16.405	28.145
   89 --    90	19.658	7.228	8.975	9.019	19.616	30.162
   90 --    91	19.957	8.015	9.952	8.052	18.542	31.011
   91 --    92	20.155	8.145	10.114	7.746	17.686	31.410
   92 --    93	20.634	7.899	9.808	8.443	20.249	30.903
   93 --    94	20.430	7.766	9.643	8.872	20.141	29.869
   94 --    95	19.562	7.736	9.606	8.309	18.993	29.002
   95 --    96	19.100	7.613	9.453	8.840	17.892	28.807
   96 --    97	19.852	7.876	9.780	7.839	20.455	28.991
   97 --    98	19.702	8.083	10.037	6.541	21.029	29.213
   98 --    99	19.260	8.546	10.612	5.410	21.241	29.137
   99 --   100	19.431	9.667	12.003	4.281	20.344	30.237
  100 --   101	19.333	10.097	12.538	3.809	20.886	31.008
  101 --   102	19.520	10.579	13.136	2.853	21.886	31.142
  102 --   103	20.216	10.084	12.521	3.678	21.864	30.501
  103 --   104	20.058	9.116	11.319	5.992	22.081	29.351
  104 --   105	20.046	8.138	10.105	7.662	21.280	28.616
  105 --   106	20.591	8.019	9.957	7.760	22.174	29.261
  106 --   107	20.573	8.098	10.055	8.333	22.065	29.276
  107 --   108	20.655	8.474	10.522	7.807	25.428	29.254
  108 --   109	20.578	8.904	11.056	7.142	26.769	28.172
  109 --   110	20.862	8.699	10.802	7.725	26.746	29.286
  110 --   111	20.619	9.036	11.220	7.010	26.404	29.103
  111 --   112	20.163	9.546	11.852	5.954	26.299	29.584
  112 --   113	20.186	8.458	10.502	7.240	26.220	28.239
  113 --   114	21.145	7.523	9.342	10.238	25.293	28.956
  114 --   115	21.804	6.547	8.129	13.398	24.187	28.590
  115 --   116	21.564	7.176	8.910	12.238	25.937	28.742
  116 --   117	22.163	7.138	8.863	11.769	26.260	29.242
  117 --   118	22.246	7.615	9.456	10.841	27.064	29.218
  118 --   119	21.642	7.670	9.524	9.910	26.442	28.510
  119 --   120	21.410	6.763	8.397	10.659	25.321	27.656
  120 --   121	21.145	6.928	8.603	9.736	24.684	28.532
  121 --   122	20.947	7.770	9.648	8.607	24.785	30.216
  122 --   123	20.580	8.433	10.471	7.457	24.534	31.064
  123 --   124	19.882	8.731	10.841	6.358	23.689	29.911
  124 --   125	20.217	8.530	10.591	5.530	23.447	29.057
  125 --   126	20.705	8.280	10.281	6.374	23.283	29.213
  126 --   127	20.602	7.424	9.218	8.296	22.422	28.904
  127 --   128	20.384	6.929	8.604	8.496	22.875	27.663
