Interval	Avg	Std	CI=0.95	Min	Median	Max
    0 --     1	0.003	0.000	0.001	0.002	0.002	0.003
    1 --     2	0.004	0.001	0.001	0.003	0.004	0.005
    2 --     3	0.004	0.001	0.001	0.003	0.004	0.006
    3 --     4	0.004	0.001	0.001	0.003	0.003	0.005
    4 --     5	0.004	0.001	0.001	0.003	0.005	0.005
    5 --     6	0.004	0.000	0.000	0.004	0.004	0.005
    6 --     7	0.004	0.001	0.001	0.003	0.004	0.005
    7 --     8	0.004	0.001	0.001	0.003	0.004	0.005
    8 --     9	0.003	0.001	0.001	0.002	0.003	0.005
    9 --    10	0.004	0.000	0.000	0.003	0.004	0.004
   10 --    11	0.004	0.001	0.001	0.003	0.003	0.006
   11 --    12	0.004	0.000	0.000	0.003	0.004	0.004
   12 --    13	0.004	0.000	0.001	0.003	0.004	0.004
   13 --    14	0.004	0.001	0.001	0.003	0.004	0.006
   14 --    15	0.005	0.001	0.001	0.003	0.005	0.006
   15 --    16	0.004	0.001	0.001	0.004	0.004	0.005
   16 --    17	0.004	0.001	0.001	0.003	0.003	0.005
   17 --    18	0.004	0.001	0.001	0.003	0.004	0.005
   18 --    19	0.004	0.002	0.002	0.003	0.003	0.007
   19 --    20	0.004	0.001	0.001	0.003	0.003	0.005
   20 --    21	0.004	0.001	0.001	0.003	0.004	0.005
   21 --    22	0.004	0.001	0.001	0.003	0.004	0.005
   22 --    23	0.004	0.001	0.001	0.003	0.004	0.006
   23 --    24	0.004	0.001	0.002	0.002	0.004	0.007
   24 --    25	0.004	0.001	0.001	0.003	0.003	0.005
   25 --    26	0.004	0.001	0.002	0.003	0.003	0.006
   26 --    27	0.004	0.001	0.001	0.003	0.003	0.006
   27 --    28	0.003	0.000	0.000	0.003	0.003	0.003
   28 --    29	0.004	0.001	0.002	0.003	0.004	0.006
   29 --    30	0.004	0.001	0.001	0.004	0.004	0.005
   30 --    31	0.004	0.000	0.001	0.003	0.004	0.004
   31 --    32	0.004	0.001	0.001	0.003	0.004	0.006
   32 --    33	0.004	0.000	0.000	0.003	0.004	0.004
   33 --    34	0.004	0.001	0.001	0.003	0.004	0.004
   34 --    35	0.004	0.001	0.001	0.003	0.004	0.005
   35 --    36	0.004	0.002	0.002	0.003	0.003	0.007
   36 --    37	0.004	0.001	0.001	0.003	0.004	0.006
   37 --    38	0.004	0.001	0.001	0.003	0.004	0.005
   38 --    39	0.003	0.001	0.001	0.002	0.003	0.004
   39 --    40	0.004	0.000	0.001	0.003	0.004	0.005
   40 --    41	0.004	0.001	0.001	0.003	0.004	0.005
   41 --    42	0.004	0.001	0.001	0.003	0.004	0.006
   42 --    43	0.003	0.000	0.000	0.003	0.003	0.004
   43 --    44	0.004	0.000	0.000	0.004	0.004	0.004
   44 --    45	0.004	0.000	0.000	0.003	0.004	0.004
   45 --    46	0.003	0.001	0.001	0.002	0.003	0.005
   46 --    47	0.004	0.001	0.001	0.003	0.004	0.005
   47 --    48	0.003	0.001	0.001	0.002	0.004	0.004
   48 --    49	0.004	0.001	0.001	0.003	0.004	0.005
   49 --    50	0.004	0.001	0.001	0.003	0.004	0.005
